Y,O,Z,J,X
l,30,87.48500629420415,2,35.88533648251928
z,30,1.1604664813501975,65,76.44300285204022
p,66,71.23385370928978,86,57.41894583834706
z,57,55.19679080810883,21,60.714276907072176
k,94,68.56500219417224,12,1.7216073294906598
h,52,46.8910803230716,63,27.89022228563769
j,10,2.404078126640019,97,55.46408837879563
y,77,89.49682573698306,58,55.236982920601584
d,67,97.19063582878485,1,37.89256977004164
r,33,29.771468838965543,75,57.382391015959186
s,85,50.76491845135439,68,32.71141994679843
o,52,84.72840502228135,67,60.067054106934556
z,42,2.6737645538537858,24,97.2577464730893
j,26,24.140459967456685,95,16.013222401015405
q,85,59.285545547311145,4,7.101576159692136
u,8,45.20840760378808,27,13.891358363611095
q,89,42.88778311597387,93,58.67039633988145
x,53,54.58856267015819,36,96.6238344760781
e,34,92.73355623088379,63,30.78380017809318
c,66,17.08379400969352,48,78.5800704253543
s,39,39.396706477647804,60,88.15461983887039
d,55,69.3747500790403,70,80.24603352800833
y,9,86.23452405550417,92,86.96277356702421
d,12,98.68767551731248,41,99.20238482729472
e,20,40.86716761069298,69,90.39504029462545
g,100,3.2438148386275345,62,66.25909047639098
c,12,56.41987341465051,97,67.49783339818055
m,46,68.17958448066902,95,72.31436239643827
l,76,80.56714087213182,70,9.428038748641699
r,85,76.11113722062628,16,38.78239196207639
o,52,14.610099421408119,2,34.34354057005977
d,40,7.904212319992665,42,12.915676742377025
v,22,61.5885912672967,62,7.415853134145656
o,0,46.9054899756998,16,4.226030984520179
d,17,68.05294424276046,84,75.95704139355959
g,99,92.71642300411297,26,24.272679480864955
p,52,30.92876000707607,28,52.54599969349696
t,76,15.629433552478956,27,12.00249666777722
m,25,13.64132425432889,84,43.336236453784416
c,86,92.97716292333237,8,59.39200425698756
x,48,43.94068056206507,45,57.05679012077092
r,37,91.24941037723455,44,79.90531756395922
v,22,64.1726493970656,67,92.64543478548374
x,61,15.593564409153593,40,64.97826417551232
w,85,96.63440655794012,29,91.75919516232854
x,21,15.370202843864389,74,93.90940101556092
b,28,51.11476419096922,18,65.14173086919335
m,64,21.170826882581363,36,24.61773976536803
u,15,23.198491860986724,54,97.83064035702157
c,0,61.70375367325713,91,2.4024560141749363
m,93,18.57665494443841,92,10.785154016639876
c,14,70.63790392601037,8,1.1826756378646608
j,7,6.345234255622579,91,58.00615307785711
r,64,55.69899578700682,7,74.62873297891018
x,97,19.42273864414118,35,33.916956519823174
e,65,55.75965030989368,53,84.10061428475075
t,67,35.713015457510785,1,13.241515157141315
j,73,41.643513832861366,48,38.58084301917635
c,48,99.3916981558346,5,1.6315858837950947
v,28,14.64858616062913,72,91.16286415512825
d,69,37.12013422482907,59,45.871027109367965
x,28,9.843708006735973,88,19.703928163339558
x,73,25.472580897660045,21,94.54926575360967
d,88,59.10160603299376,0,67.57996159404827
l,59,54.897946470486225,49,17.644224485344175
k,70,71.12319205057922,14,68.74347762584875
i,34,19.59724354415502,58,83.78184488671475
w,5,79.0285352619688,23,94.05511607189557
p,74,30.42862176146951,67,46.687867281666065
k,20,98.40154095633817,10,75.3561489873984
n,87,97.82498464449559,76,15.627285473856444
b,13,23.68752800114754,68,27.023785681229985
j,57,19.724432399542703,44,97.13865354004423
f,78,25.517410278571372,81,91.76567415116446
s,87,66.39508309200983,47,29.84323094532885
a,1,14.70579102489612,94,26.26837079144324
w,83,54.861443799653465,61,96.80532801285328
z,72,32.943685761006215,74,8.576730392074838
u,76,23.544038431562463,3,73.8011950562909
i,74,49.79763463600017,26,12.538476315455894
q,60,11.43219877334004,95,19.800296215744307
j,50,45.907887911467746,15,90.84252673929446
c,70,39.95125280857555,59,38.28287576108441
j,32,46.89817325682187,39,49.33897336975184
u,68,90.49973077776121,85,16.266645637085155
u,15,55.05805578766534,72,68.46885947246948
s,80,1.2594341978817702,3,48.89529333962862
z,75,15.872565761395874,18,81.27637394059164
i,42,14.400891871309284,89,12.598628586543292
z,21,31.757823285713982,96,55.32411090999781
u,58,36.254054956991425,29,92.27562059748774
k,89,11.932002959744302,37,23.003817501205003
b,46,57.716713003086916,0,25.107996904091745
d,28,43.397117928687535,30,81.064997247828
x,99,84.62584761346987,39,24.642752846105576
k,17,71.15717424447826,33,82.81508466128955
y,28,50.45416996718172,73,33.189636241735684
k,70,93.93202815905377,34,98.08570999621871
e,2,10.430565787885326,78,43.34904197409585
p,52,11.250356989909726,33,11.695501035315258
y,29,7.4471207950429825,25,17.781938427326203
p,4,46.349620944269965,0,19.4527144328855
d,31,59.37362129211251,96,72.06977166877441
e,16,77.57376353614296,12,18.445344771476936
q,53,87.74935809212855,10,50.64123911713075
g,77,84.13778229841083,9,64.23387427490194
h,1,69.4455423703378,44,6.632048715533112
n,32,24.760072488218853,46,81.05029753565906
e,55,63.49758933157368,59,99.39418721819126
h,17,96.0577736055396,5,14.204847820582312
k,86,34.66023200922815,99,34.547951400135865
i,39,43.04254487643241,40,86.70439495001774
r,23,48.102913397408244,33,75.40682969290128
o,65,70.34683076970042,40,46.41880371965475
q,80,86.67835327186587,58,58.51466843856271
z,74,78.42936158470573,38,70.45474189750196
n,54,67.07433787763762,46,38.052126274716514
f,63,42.186093424322245,7,79.39716083100747
n,92,11.68394416719466,79,16.829725024044073
w,56,96.99723062090074,68,77.21685625372577
i,58,71.11185580745837,68,99.36300406457381
m,95,78.50697480555708,99,44.4026175190981
v,60,12.649393140259956,2,27.614299895597505
y,59,58.83905226123082,82,57.93910950392258
b,78,29.157393154657186,10,77.08734715779094
o,72,11.421337058841496,44,34.79880343520654
b,71,39.05972476055334,92,33.446125659540726
t,54,79.77487164670177,68,65.6289078924641
p,45,52.513059110886104,82,71.90350241782701
r,89,33.980882498162316,83,75.8460160288554
o,72,1.2389045396266951,56,9.947789751228465
v,97,84.74876164719079,70,69.30857824305082
v,87,1.844149046660426,20,30.120187405321452
s,78,0.8464315537901279,11,78.86087464523162
v,23,53.64529928422146,47,42.880946966611
b,30,47.59679841457232,13,40.839463107639574
a,34,60.17220538727223,67,43.67353150103194
y,73,53.57682353015986,55,8.205663603887404
c,29,89.2522505519491,59,83.0768663688302
k,19,80.9035522668668,75,22.09900446860513
a,66,73.32686441225397,43,67.83743007645494
h,36,46.58932761956094,51,66.47493747104765
y,14,67.0820796404973,34,86.19028960686214
i,11,87.36966756141157,47,15.647220790736904
j,23,85.35761548848905,63,0.9879952084949406
b,1,52.604721328118266,78,1.7863552782796388
s,52,26.07535868247436,32,91.94449594415198
z,68,62.235593122023566,82,7.080445321556783
c,34,95.38186872882838,96,30.664512548612276
f,82,49.42033906724747,70,65.27774839602117
p,66,44.32822183893165,55,54.8730951589426
n,53,86.39977732375624,40,68.44745097563427
f,57,20.14523166155907,46,13.619040995540166
f,59,66.1493769786655,98,47.97715893337177
q,61,53.48604226428495,78,86.64248049907356
f,42,57.714919460775384,58,45.58047963373076
y,91,81.40329118289647,8,69.95387579087605
y,98,67.63178002057116,50,70.71176856509459
j,80,46.26306299102143,58,99.2416693219147
e,86,24.087490616079286,87,23.005361939356874
a,44,61.01503181825627,2,90.09934024751894
u,77,33.66667414245433,29,59.780379620687384
i,22,79.26860900550507,8,10.952500868926062
s,63,42.27584233103303,53,44.95001254586717
p,59,1.1433183557347681,51,78.25679097408491
c,49,68.16506440683229,87,21.22558266170731
e,25,41.97530656600286,53,12.1665196487589
n,75,20.666300935118375,2,33.45959717892284
b,77,98.18905562893434,31,16.96217537950927
p,75,96.37952561523299,11,39.719883485370666
z,93,64.49614413440125,79,28.855052860845376
g,52,58.60804124091745,57,7.649590123821559
s,8,13.525104745738858,93,13.374901673629946
n,65,58.18778608686483,48,86.71641639646269
h,39,35.78479889489233,74,92.77689432937724
d,0,14.6010729682562,82,65.58205237830569
n,82,38.39298804028868,13,53.761100671882375
n,52,90.20382842153458,5,68.13374524534265
l,31,78.98349349609909,83,16.188078380551552
z,94,82.29883730263704,7,70.35108189265985
k,77,50.31722913733514,54,60.13145207416043
j,0,45.365279346806474,41,64.5152837683084
x,9,68.21996579276671,47,46.12081140420767
u,98,45.41063542741382,34,81.36435796696274
j,86,95.40233528670609,19,25.22953024781319
p,14,27.01492759811123,17,86.69589814226632
d,23,46.64765242056603,73,77.29648783845803
t,55,30.03908832546067,15,45.13101773594571
i,35,31.81378796569905,68,47.113328735653525
k,92,26.63897050063739,21,22.423896706047806
j,100,43.51663623485904,36,12.171239200101114
e,85,39.1504970110545,76,28.876690555480387
d,56,22.954505711570906,8,3.4972216955823088
a,94,52.061600891700344,40,33.767630494371005
x,51,35.43330566539164,56,24.47467652298123
j,12,47.14180431505718,25,23.86302410278599
h,98,12.68535735895837,29,76.81617239573157
n,4,41.59627210081902,67,11.337709215114778
d,37,18.21423623565588,81,28.242411719617056
y,100,27.575390087246298,99,89.10755517217312
n,27,78.90028692278986,71,36.688627116588314
n,84,15.194100675968558,21,45.73365220210929
s,54,36.29081651887185,54,4.764303561264127
a,61,70.19673314240364,30,24.61443398937142
w,6,5.772617329857277,1,82.79738817729097
m,43,39.24303104192695,82,43.961368691668966
m,21,43.88593089098997,81,82.52255206649787
b,66,37.15932994085597,25,31.55195180029563
b,70,89.37852311637064,23,40.79289999937098
v,67,33.251912134285035,54,79.93840412760605
w,46,39.34836989957461,17,72.14489599387444
y,96,0.44690923457617604,9,34.36825274290065
o,80,92.51719315806717,14,84.20268098154632
p,59,6.968150934094918,5,97.13226791667977
i,99,89.51039126045286,29,38.83544263803189
g,78,59.04886344748302,30,66.58204320474742
g,26,81.49370903486378,43,15.496926610113803
u,0,57.549882908711446,91,82.31479397475319
h,58,57.898805917392195,43,47.81854950073201
w,5,94.43107635634186,53,69.16977690250505
f,91,77.85313383583978,21,43.32060170318297
t,58,30.772758417972547,3,17.458101368844304
s,20,45.70990504150705,20,71.25458659735412
u,6,69.64452194138208,4,73.46368197621965
n,35,71.46972318011396,51,35.84793453158773
m,92,21.728656216752185,8,75.201122539574
a,15,83.02909866902117,89,21.675805295452967
v,39,20.785699819545545,56,65.99052002493968
k,49,19.741647847270038,5,92.91013568135845
b,98,62.72818798307437,24,15.2756608835091
l,13,30.910689768574674,60,34.72335147090696
j,8,81.79133807831887,95,31.73018416989779
u,20,10.163189067002754,32,51.919002035191774
y,84,5.735630464901553,48,74.13045080349339
p,15,14.270221668086148,19,99.91686106160941
b,24,76.88269903306364,66,51.605386836940404
q,45,14.133130259767867,15,24.273885823788
p,12,1.7557792522306381,50,63.165540176008705
z,3,93.72883139991686,89,56.13719624862424
m,92,44.53302842750486,60,85.16162107796956
z,95,76.19223968502638,34,83.53309675161148
j,14,26.33264374342491,63,42.72528183015189
d,43,71.03301378265799,70,60.680440422259394
o,40,79.96019200896433,95,3.0321030480028877
f,96,85.23940380215478,79,21.004737034420085
m,21,84.52529536219596,38,65.60139925597136
m,55,18.72456672338044,49,21.810303875532743
o,33,86.56103053400021,75,55.639432228560835
x,15,30.379594617660167,39,39.916143500610424
u,9,75.066069651089,11,6.61132060988977
w,63,18.476231685970433,82,18.105700288112704
v,53,42.19991295150035,21,22.071236517340907
u,18,28.742146237966516,64,16.06309737079893
i,36,89.63224846123292,70,34.27200612085321
h,98,78.31399013147356,55,4.118531380521984
r,7,16.99380236309629,4,50.67318605969366
n,81,97.75278036909005,26,75.17680433524704
e,25,10.901654265909833,63,21.016644735292445
c,29,27.964691788014772,66,98.75043138356864
u,30,34.17795370885091,62,22.637138523064316
j,49,47.42032177279747,58,60.46837803762685
a,100,66.74359907164346,85,43.87001588505658
s,73,15.472060849908898,85,40.97807277250678
v,79,61.86143760409506,53,74.81815637983385
j,68,94.82112959909526,64,40.24290527363193
q,85,98.23623248019476,23,26.11345606747193
i,75,91.4337113371594,71,47.974112590445905
d,77,62.56654878453265,16,90.75147450015359
p,2,70.04243414572119,11,80.19772178092317
s,47,18.410074800440956,50,99.19795025069263
s,13,5.189801440141428,28,22.951509185106556
i,29,20.674548354129907,54,20.98974804608763
j,22,73.52112679912489,83,88.28980673367396
b,18,70.40794351338226,41,97.69891326204487
c,12,88.29697064303531,25,51.65519437265769
p,98,60.678436614952425,89,67.56044271605298
y,63,11.11839791317597,80,53.79000699705766
y,37,97.70934987228007,99,32.47427611320979
k,70,39.23338198364604,57,45.489796834799925
y,2,90.50673811379396,91,31.027710373678374
q,34,9.706803751926241,7,27.802712307835165
s,30,8.46286434979595,17,44.69443809973992
m,97,99.59348647938866,54,32.58606457723645
a,32,61.7547345036092,48,42.945542034620345
m,32,12.663430430599998,14,58.829674056315184
m,15,93.77059679163716,65,84.17680645198105
d,32,90.88164606721463,21,84.49253042191869
y,0,85.36070813928312,53,20.290106638738813
x,40,3.5856898931222347,21,54.49844434878872
l,34,46.428397331712446,94,7.1224234058786084
a,58,73.21187649774727,38,33.79216124762547
d,24,4.799442221496985,62,88.01307130851993
l,54,96.13981635158117,13,46.83663873514487
d,8,48.50207649476328,11,86.55045873961905
n,69,84.27280680992048,80,38.03564325936391
w,67,20.42375307304496,7,64.16802344666593
y,87,84.59714087475342,60,38.08857054630308
j,33,39.797958967647936,94,86.71875360219296
a,78,0.9741241218950702,68,62.938380961527585
p,89,47.01612052830133,57,91.81177522322457
t,51,57.07546514356798,19,31.40970219274021
y,35,17.901624899426437,47,65.0071894881257
t,86,0.4042089449056596,2,36.709533313010944
a,85,51.331226283091866,95,74.26104163020705
b,78,62.03237446811097,41,71.50013712938194
c,59,47.53122132374652,52,18.26783467874975
o,33,27.475494166887504,31,35.968551872964994
y,32,8.213294410655369,67,48.3924246663795
y,14,76.72065792756443,32,92.12589558362926
r,51,33.69984497220842,59,88.71329902507746
t,49,41.199918897552976,6,99.12807639661439
w,70,61.00779856547097,14,70.42480575807527
l,70,5.339267548809135,47,98.79960751515998
k,72,58.374907337927404,13,39.185421188808
m,96,71.00114454214908,70,31.676544015573416
n,86,73.78710504647194,86,12.389173516980367
y,68,49.037195695608204,64,2.2204556371317907
e,32,54.71575290348804,46,50.27100374940393
q,71,44.50514718843315,81,24.311296674840634
n,4,94.96974884963115,18,8.663306499738654
c,13,55.23317901709386,34,80.28066265329397
d,7,83.4826488331922,11,72.27069786352558
l,97,74.19202608095398,55,83.74419932102623
n,96,17.082763269041866,52,86.86182251909995
z,42,96.8060898199411,17,47.41489825588042
m,9,82.25189462298368,70,58.40058084035241
n,65,30.967991526525996,100,59.45106204346595
v,34,31.640137874759965,7,1.4788168546359004
m,73,58.966511191810454,38,48.352232008137776
m,53,68.85455598115118,9,11.758177216104748
v,23,17.76632021158867,73,95.99895532629473
m,86,82.9022594357937,53,22.94150207956358
y,91,25.75349050182465,75,89.08989923070006
a,50,60.972084082248244,58,72.61612877509063
f,11,37.89440834854272,78,10.032442601579096
b,97,97.95871107966116,8,33.55821109323117
s,70,5.458981029808196,34,24.051387206867282
p,69,34.585408521453864,62,76.62121772086094
g,85,97.86517863963881,0,41.48692016893505
d,13,19.125090229576614,30,40.195039130434004
g,88,27.52638797518907,79,5.972497108091924
c,95,88.86072488552034,43,62.992387768794835
l,49,39.885964611242045,87,22.625805187615633
v,28,53.193970865701466,74,69.39035512110927
p,95,45.57400517039648,84,61.63943316416272
k,5,94.27824882793988,24,91.57137416118998
k,22,31.037168437253793,24,99.63993406570518
q,59,42.0895660210138,99,31.811950558950166
p,93,32.0023863653377,50,40.46268997295588
q,87,96.90149479849651,16,60.37084925285259
i,92,14.602311093579768,98,14.123281763981199
h,36,19.843176834980202,47,89.99845176417685
j,29,79.23015373707287,59,2.918786446669175
x,71,20.338640361012196,16,79.38004896150532
a,7,29.58653883126151,62,23.971462048831327
a,44,72.85315635207212,12,14.293670406202619
n,81,97.06823843955489,61,89.95724866492651
a,34,16.81150951249748,23,23.423053998322963
g,73,68.6814304069135,4,46.482143071922245
s,75,28.927124891897282,5,26.207175302703213
c,13,20.80471525102211,60,46.37870158553178
o,92,22.55761564897646,77,71.45673619415211
n,9,91.41881014734894,63,5.0713700633835295
a,25,12.377196070855057,3,15.837582948728224
k,49,2.9454941284057123,47,56.217335664724935
b,51,12.23566234590756,38,10.335343205320658
r,53,76.10784009371147,56,88.45466648345082
d,19,46.85286179981535,40,64.46597376412372
s,82,13.97506711380897,41,8.969226258086405
i,69,89.31846313637712,30,93.48701286772784
o,49,26.94687824850992,94,60.266944513040045
i,97,16.51488711189787,27,41.87369308849542
h,87,65.13801137917257,12,32.68186067241843
x,53,37.22483340912039,74,76.12955980019888
y,38,63.13486925096689,17,88.62913873020618
j,9,65.8480124153573,30,45.7895946222627
p,24,54.68000227909311,2,37.66146728593396
y,9,40.79097367580686,7,49.40313044784539
r,9,44.31056043348517,44,53.665118383236695
s,83,82.1312926594828,65,34.99209487471514
h,84,10.190996816122643,54,7.843676453513881
h,34,54.009855693611385,47,66.9842478632838
k,93,91.63227774724695,7,19.696670775399983
x,49,96.88823405898766,3,63.43376377374468
r,70,16.171692190371477,98,26.185527989471336
n,31,15.614719209526374,81,72.80239898468837
h,90,25.360034809872644,41,24.62277691165068
z,20,71.93956256172267,8,85.30045943974713
e,41,55.53119943507427,13,91.52896700538828
a,66,91.87592227101742,11,66.93957849742885
k,91,90.35409902789931,80,16.292984246025455
y,39,59.08024370148891,86,82.9017204288433
u,66,17.036696378750314,65,34.90337933061537
i,1,87.44448998091192,30,67.33940921330263
c,88,41.85629284903045,48,34.63688572131568
k,35,42.9174251983772,95,35.021886156015356
t,98,64.28780774535498,0,34.568494457547814
w,34,66.48065601674674,82,17.71027011520545
p,80,89.9102607746306,85,77.0141841713091
q,30,69.37131226014483,96,93.57158675779023
f,5,4.6096912867266475,38,60.38238298044097
q,47,66.69800435578964,62,97.16998315286183
m,16,90.14515380021551,6,4.429825537329468
o,88,29.861967103814113,29,1.3961685707187699
h,89,72.48527370951227,86,8.218674920644698
j,87,76.57942495433338,55,10.03152776131081
x,23,62.57368453863804,36,88.49679612368553
w,47,42.415510481286766,44,82.58900909069634
r,28,85.97684045027225,44,14.72086437412724
l,95,3.9789248506470476,28,20.958698027952984
z,6,28.555411595196134,81,14.07791830964551
n,63,27.987417389180724,37,48.29758049485675
z,63,15.134598135967947,40,53.50838158696515
y,49,85.84667047581095,13,17.038724178906563
l,16,53.871417896972204,29,0.7377763248421321
b,37,87.7228609126372,64,11.655485540078136
v,80,93.38770840697445,53,58.19701554542554
u,3,37.70039140109608,79,33.24504473156986
w,62,23.1770819352879,83,55.482687788018794
c,16,29.414722825513817,97,15.992269671588621
m,75,61.85320468603274,58,33.84465966138459
n,78,1.9184779947791997,57,94.96649661022951
n,79,38.13316418148042,94,96.74714959563161
f,91,43.17777033986542,3,86.72711324175401
a,23,31.338275673183592,51,79.40747060076909
n,92,10.05159876626881,44,8.39381394098233
p,21,24.378388539135752,46,80.05212830450702
q,37,46.58027863611305,84,42.787283019512614
v,95,10.277656733865426,56,31.750826319852166
s,74,51.35553938504578,38,68.80210691496633
n,48,4.205862189187359,46,57.44401016797169
i,22,44.59156363648986,84,17.194020997605275
a,5,4.432483316756375,14,23.278383487944698
l,69,62.189862294299004,11,57.1978438755394
s,4,67.3590478290029,18,74.26994840310012
e,42,95.6778436797316,65,78.55658193895196
c,5,27.739780505503496,29,30.91355473290066
g,74,67.81456752537792,89,46.90660584811106
b,87,68.04806601720594,100,65.02452389998287
f,31,38.0002591526916,27,4.610749621095556
t,9,82.02892387022813,79,4.084789052964622
g,82,79.2274167665548,82,6.315058338356572
t,95,2.4870186544776907,67,93.82973511016527
m,17,40.58189850577952,35,71.25247921194703
h,46,69.09505948874758,98,33.56537000319093
j,70,22.35591488508425,19,86.84671269784604
g,62,10.478013771497318,93,29.052006127642528
m,38,43.26062766608585,13,26.744715844038126
l,54,87.99517100091543,51,37.70502265772073
o,22,60.61819521632378,65,3.9798925211555813
h,32,33.88133992174775,53,61.03164882388842
m,27,30.458011711122936,39,5.692901664491679
q,0,35.868320723116696,28,8.72249668842625
r,91,31.35779165518169,94,93.61117963278657
l,33,90.14813457004317,68,37.972177509983275
n,93,20.68528151085468,74,92.7191821137347
s,71,16.878002088231536,47,58.66915709767247
y,3,22.824532888846793,70,21.649443738093723
k,77,61.585051604218556,56,2.851368361167872
e,35,16.789124252088218,92,36.771620439173155
x,18,22.54267494517117,74,89.42252136110659
c,57,58.95735220627402,14,94.97741118967235
v,70,85.6845961771023,57,71.71406481835021
b,100,92.02067514773374,50,56.81589476323738
g,9,89.34151699199283,81,15.811608807733379
r,1,81.07653973114081,54,37.99038805127426
i,65,43.62680005297156,16,1.5504684809982128
h,91,89.61524435068785,1,84.43066322800615
v,62,65.46214905305403,42,29.077066521648153
m,6,15.9484005635546,29,49.75549152340607
u,91,71.23494421740195,37,26.072713932092395
g,52,51.87756382311909,81,19.35321151618352
n,24,12.432428210395475,26,70.63041021756352
s,70,8.772059594200499,78,49.2878774023137
j,38,31.70229874551613,23,69.87974449532366
h,6,75.44357655202447,57,62.58671559069945
y,88,40.252826604528465,1,85.68432874840335
j,31,73.75269933091764,94,84.57163048198338
z,14,37.168475030673505,37,59.90032216785956
p,99,3.2876567485566666,41,4.293318183621187
s,95,89.44765120073039,85,36.611176481256535
r,56,84.54033206214265,81,75.10197085655899
b,75,6.332789693225871,29,19.896515228017353
w,55,32.87908163592977,89,30.655846577471113
y,91,76.48611759440347,57,21.20352453285307
g,64,7.649902811943532,98,87.3398238632754
f,6,10.939487777862977,52,18.0238801627833
c,30,57.4752698103536,40,61.945431652463355
p,8,0.23711565102263465,27,45.36044449455989
f,60,48.601171201958884,94,72.13500326251192
w,8,64.00863457129357,81,26.682981938162232
e,58,2.661984551373753,92,82.66905597428578
d,10,75.70414221353299,38,9.694630692685791
s,16,26.128223230014193,67,96.76930298985566
e,18,54.96817496499548,84,14.572659092440631
k,49,92.11265990716973,31,23.550266697140067
e,24,60.812159656020356,44,5.694675669437443
t,47,11.878882080523844,31,5.523294335417095
d,24,96.22215716680675,70,32.73941975775588
o,92,43.363702000654825,19,26.54099770475511
h,57,38.24413547450127,37,57.72459867702749
k,68,0.9774490610010345,22,43.7221301187123
b,23,92.55661943645683,0,45.406427501782254
y,48,58.156884509802694,65,65.99847834813676
s,34,71.66498544227692,59,7.29847470323236
x,76,32.12660666824898,18,7.125524910127723
m,18,79.015953154066,47,18.525141802684765
s,4,7.700129660762379,67,81.8593670876371
k,19,79.5699142527596,53,71.41709609077762
a,61,10.602040355804354,36,25.12735619666523
i,34,83.90288548825437,29,68.19970855318176
t,75,31.140453174855764,48,55.69497802976836
r,45,14.688891314707886,88,60.61074262771656
i,67,51.69862219180658,98,6.406533388703184
m,37,90.9042335420013,81,96.83797968281749
m,56,94.62403534300235,16,79.78618418839017
a,37,75.37731460885406,63,81.13219732505624
n,52,72.65119529461732,56,49.71514146131369
s,70,93.14946985520767,94,15.2207892307462
p,46,33.023616741947805,43,44.14031492853729
t,90,93.39976798383569,26,40.81029888070715
y,37,9.625004928629155,80,2.3709300270289835
r,13,49.381968815953904,6,77.02737788939814
d,83,46.849593444334815,88,43.835660955755394
i,41,2.8928994418538023,54,47.34051673291447
i,60,58.24009424230901,98,66.2771887978736
j,92,95.11426952067194,43,29.02862595716207
n,74,33.6713663657971,65,28.07286730095041
a,0,89.39188139217977,99,47.32148048467422
h,4,95.13774126316187,58,90.03913199601733
m,15,29.46931755472024,34,72.82626217787411
t,75,68.95077962952236,92,77.26927868148846
k,59,88.44115076260486,27,43.80380922134874
h,5,92.05686756361592,17,62.26190591699535
y,70,27.063458639396632,52,2.331841094965059
b,31,20.76607527533986,19,78.77905711743706
t,61,57.1512181613768,63,27.11909825881098
z,20,65.7071741774815,39,10.689231551817691
l,33,68.62440912120923,24,29.943570451955527
c,85,26.549582009451534,4,15.653148920263016
h,8,81.86071142423899,89,41.92972216902222
a,17,83.71839938809659,75,22.124741097410205
g,29,44.19624846291037,96,61.82559872624543
m,66,52.512525817397204,94,34.208093418896155
n,80,87.98910500311698,89,69.88710740687203
w,56,65.37579599021599,3,28.4434921328933
v,20,9.154802054013643,20,66.73574094370713
r,23,40.83757707980439,13,62.55905299512602
x,80,77.75788786100422,30,23.693303378364263
r,1,97.22634830435412,85,22.05364883859593
p,0,74.02058249569504,52,90.80576063648648
b,95,79.26895950494755,74,31.00132441220792
h,97,7.103803239433393,32,19.540053187525796
p,76,98.77574449974394,10,3.9312019239767793
k,67,0.07420402367960266,26,0.4721478434092985
b,84,39.39871738505539,64,42.53000278285369
m,38,92.19662658791678,82,62.386342783315605
f,79,32.793292232142605,33,96.27565969568387
a,86,46.19444928812041,13,9.28138454906885
x,76,98.69021241071168,75,77.6610417826946
e,0,30.073950433596476,0,7.610298164168183
i,55,69.3617255727973,4,88.16331284680014
t,90,70.77665315363514,67,54.40448629372193
w,18,72.89729491968814,76,14.537050060177837
o,60,53.51146042257099,96,53.111209346639875
m,4,6.7438548021295786,96,82.90249349779471
g,96,84.48810578977438,14,96.9844115561259
f,76,74.37016369130679,31,91.42626410698533
x,9,18.952373381505094,38,40.29896140615522
r,1,55.27145484006817,31,46.41445096574013
z,55,38.522497035673865,30,79.80588955516059
u,23,94.61486625691808,25,98.6695611042315
h,97,12.030663702969512,33,66.6206801218971
n,53,86.81147940734365,5,90.83922102107728
w,7,81.15683630082799,27,25.820736610749982
e,5,15.617787400951677,68,47.34078390203359
k,5,74.53434281892638,67,50.36221427772818
x,89,69.95088482009379,68,75.2612912462419
a,32,98.60633395176552,69,12.283519322044324
i,11,34.96528073898549,34,35.07338312457339
u,82,9.285975267606815,53,91.31153231508267
d,27,47.488915410174684,1,22.363171322722984
z,50,10.502196677604648,9,86.96394771707948
o,67,11.267827841205069,87,81.59082855839769
f,66,81.31806248596142,23,65.71033508883814
a,50,3.719258108274315,37,76.09673247502342
z,16,9.305350618633524,38,91.79899163271557
y,8,74.489984203393,66,53.57634878637298
y,83,44.08746488643944,40,27.16154862217708
x,40,24.564669288413434,45,19.38954146404168
s,27,43.601996413078815,45,31.313435075833173
j,34,90.0180773193659,100,79.87650717012468
m,76,75.5182869834015,73,80.90020524248233
f,13,8.110157796403461,21,27.318073427028533
u,51,12.57744609060093,84,94.49218376968373
y,78,52.53366195075644,28,42.52668493691855
t,21,70.52566506342777,17,39.04688427914419
v,70,87.21786968107813,54,65.0479944438504
p,12,99.41364631629199,74,8.110738395284523
e,30,28.40563680988649,66,97.96527131889134
n,59,55.13990865844863,28,37.54691169952652
g,28,78.51754807055043,69,9.920733494849387
m,44,38.32894708847304,72,5.0352917013265275
m,75,27.54546242957566,1,2.885855227021916
g,6,26.488244088300405,69,35.38801893081966
a,53,39.24875192209774,61,94.8509312969086
m,34,86.54959650925218,14,39.051568771625156
s,34,56.79493389501037,44,4.3922476658694976
o,17,80.33928286432196,4,90.81519332303272
c,39,4.10273523486927,57,34.67878190122814
a,7,91.5744921423727,49,42.30099767053207
h,78,26.426944719032285,87,42.82482022413128
h,63,71.03216105189671,62,30.688241015250895
i,27,38.83292061881237,76,55.426004090195335
g,95,28.0994910213608,10,95.38511319393723
q,8,31.490024018607045,16,14.679172643314464
e,68,40.622275730945404,93,37.18228016997952
e,3,12.147290648668951,95,93.95266499144684
i,87,94.60350692503391,72,45.35672294195274
n,61,91.634677495918,82,8.757922705870735
w,12,21.6836452721734,59,86.56318172202955
e,16,79.17992574348196,19,22.532938467149087
s,49,2.9632283727352715,51,76.93722281889404
v,76,5.011717605487254,24,22.993637195468775
w,67,22.887341749497423,8,39.83232049831744
d,47,41.78513391165728,47,68.32087417567207
r,22,80.25287734987917,13,26.800798051872142
s,61,85.46694275499817,17,31.740114030838985
k,81,28.51337413094176,39,59.33211169188838
g,8,35.45368307392127,34,57.6869476588867
x,48,98.40242329428476,30,39.8199962204387
w,89,95.90818974306889,97,25.326055776717805
e,47,86.39720295187954,58,21.34707974909188
r,94,82.36994376689623,60,89.23218221014267
