V,Q,O,T,S
n,32,30.791309026649007,32,60.60361903089041
j,99,22.69607580033639,75,57.49132585314457
b,82,55.35258066337477,42,51.51981489998298
k,91,0.049616943477548414,99,82.57339978321427
u,96,86.89239759129009,42,70.20592154951805
f,69,73.30754794219065,34,19.32155114845728
e,97,79.95668831652797,89,76.94858390695804
f,48,37.38547234836679,56,6.236765967315183
j,47,64.36088499576623,95,49.33577284961422
x,61,19.057324893648865,63,55.75282192848743
o,71,96.09326168378654,94,0.7289330516143666
e,0,99.70525403795429,22,84.04543020890071
g,27,41.399545554298214,100,50.04189691847155
b,14,23.624809615350184,77,84.05673786997143
y,60,21.760976552837384,16,39.04631978032474
i,91,81.23847342071527,94,86.47888021477564
y,73,34.40788103032618,65,38.51306135555809
o,28,10.594855074291498,85,77.6544958410249
y,65,76.86091539677207,70,31.941275181041185
l,38,3.7645490447929975,16,74.31456826282727
z,47,2.6722275173156063,20,33.42967105040942
z,38,27.214909323145363,78,53.917469521090254
x,66,87.37680503913737,83,13.664468898002324
r,17,61.8426859840506,68,91.21301279988185
v,76,46.0592380227975,23,84.20336867278694
f,77,8.946127227315714,0,21.11081958358846
r,69,40.909227612556144,65,51.97959297410445
e,95,7.504969237687686,31,21.14720004769193
n,45,68.20254625114106,12,22.31705661618122
x,87,85.06908482563588,32,67.57868930377794
b,9,15.720827182515219,1,43.30200253267395
v,19,54.10187240874974,5,99.06328076026215
r,39,47.80727541647355,0,76.10828132419836
j,93,1.9679693974465895,86,4.455237710248417
i,51,72.00995102819995,21,1.5667171629281884
q,6,97.25900591296076,88,9.06904926992368
s,52,56.37821767360772,2,26.155313758291953
p,96,63.56329172865875,65,72.56002490298775
z,2,11.281578869225129,13,14.929496759312356
k,27,42.63456646686509,6,40.78775221030902
q,97,4.172253951989402,14,24.739085567853103
h,42,39.0097636730476,68,33.07787256152148
o,58,98.987350981969,67,91.1087459881174
b,70,88.85016813491201,69,43.852163630143515
e,11,79.8101161183576,32,95.23640057249847
q,61,21.099815930278375,36,62.83885511775954
a,71,77.59578007031568,12,39.65833425212205
c,30,99.29380467038311,54,29.832273335131664
g,87,23.911756963400077,94,65.5558113953456
g,11,6.3279577472772015,77,59.94000758052821
o,26,36.79419688623974,17,99.26212631677869
t,62,57.04007020415739,23,4.680969115410294
f,36,50.83793662369619,95,52.127042372471145
i,66,19.526499513501683,65,84.01829272799694
f,12,56.9960745201485,77,56.97992710537091
l,72,24.128681205193093,35,52.468140294016195
w,96,85.6846664482934,75,60.295511074154405
e,12,77.97910654215846,36,20.510291124008884
h,28,64.74050575093314,10,57.92027801827986
x,56,60.11240146529602,56,78.26852751785788
z,98,74.20849708049116,67,53.57405665126246
d,82,18.117173565731104,64,19.73805957916467
z,75,78.55514782439634,97,11.030480350347071
t,91,92.02891170898849,77,46.541979373707235
i,58,20.32960771471014,20,32.58011185307765
b,11,43.92427556204886,96,24.655039761532294
m,61,36.86672620299218,37,64.02926335107153
h,86,33.36593182774942,23,82.79894233936035
r,41,3.48121999321811,79,60.227840077196646
k,26,71.76852979093867,5,47.74818857005276
i,71,48.12724735613219,95,61.32689533499295
j,51,99.4272567291986,80,21.72413614260693
f,54,9.379479999366314,4,35.220694046386924
g,64,8.296194866771177,46,26.83136524557653
l,12,61.58805581816383,15,32.302380504683015
r,86,30.710689502482435,43,55.808976699318656
o,28,27.914276571092632,84,56.114279469615354
m,0,42.558580718667606,36,26.230733764876234
w,95,50.45568695395425,84,25.910148641372665
u,91,87.06300726350031,15,61.72872583035102
k,86,56.43115706308547,39,49.63004295885535
l,87,94.07336026525061,66,79.56416513376821
b,77,71.46024908443756,11,79.62255572280921
k,23,9.929001877767185,55,3.9258103709724934
k,65,77.10448163729518,72,77.59269413810432
d,70,10.969451549482724,63,17.497798615010552
q,62,66.58848485874282,31,14.442163271013786
k,21,82.60695925425898,39,31.45516711502705
o,5,77.73088064648404,37,26.25907269847624
x,4,96.45891262041202,33,11.373307083249939
m,69,85.57268878528319,80,92.05692151799883
k,63,75.9516177627828,100,41.20775158736062
w,22,31.465290276298674,31,82.80810133037176
k,95,85.53509472700951,20,67.95533893375566
t,65,77.0706993271817,48,35.992543968319346
e,21,60.79547699706931,73,41.03320958163834
x,13,87.90126296237055,45,21.41270338851433
y,20,14.156405174825359,58,35.92410271492065
t,89,28.700799349650865,17,15.638034264411505
s,82,91.93215813942754,39,58.8040509194723
f,36,63.71107288799613,26,31.651253311682748
a,76,1.325395187310452,44,0.7652380757462551
l,68,8.877587579944146,30,13.53574862962449
q,52,63.03593780284893,0,36.27363589017579
s,29,76.51828072270503,40,10.595038875256114
s,57,69.74534665756651,66,97.87492232106706
z,1,21.44908843563811,77,55.25811337904224
i,35,49.273995931379545,12,61.32685051450888
n,31,25.114382870748674,63,39.01890283712498
z,80,94.03253255862089,87,20.010611921805054
q,51,6.8427504966812265,66,9.64163530477723
a,44,16.200704739642248,99,13.726783698094081
n,55,51.4631579512336,89,47.21121857571665
g,63,96.52480313435247,88,47.602046601056756
t,14,8.526467053282193,46,8.014904455516614
q,59,85.55787652231042,25,45.043880170695104
b,63,77.09951508354793,47,32.29355836444769
u,72,96.65446351616762,89,42.654990901606524
g,60,38.812040415197266,80,86.6905137209902
h,18,86.23879463315642,80,0.5007128162505148
x,0,99.77026755255623,60,95.31168392898711
e,99,9.82898976643366,76,90.36204597788186
e,27,60.770676452346194,100,67.75118417444818
s,83,81.600766046191,100,43.89579862117865
o,34,54.49197150213077,0,59.41841762791107
a,53,0.9213015415228121,10,82.8210800177771
u,98,85.15405920015736,27,92.23110955199812
u,12,92.4043316781317,34,21.429877059590996
a,43,91.8424780516423,4,77.90493172814695
d,17,38.86559541900289,34,58.47787554067034
y,80,17.07204776236203,41,40.41792859054492
w,75,45.72132350013519,81,53.02112752050281
i,79,55.68140564107681,50,92.61205500902186
p,69,54.925768178107795,62,31.657087204440902
e,50,45.96416087483137,91,69.39531749260404
l,55,66.9712441524183,89,7.0211294061520935
j,8,81.08989943952689,69,16.86991019843824
r,81,47.418123359562124,15,61.36652458541377
z,94,59.776206729876016,36,16.989793573014968
q,3,11.052920798512755,14,52.172541359167425
c,28,62.10607590065832,58,91.46476525656118
h,18,45.71506511300745,56,52.18833228051152
e,85,11.686986909738007,97,95.32982163190094
y,30,91.99483314034357,3,33.19921243564945
l,54,65.52912079655079,10,99.3880484743798
h,15,91.78414126056936,19,92.08658566265203
z,76,60.208543408169376,14,70.61392573680226
c,17,89.68753702157905,70,5.049825968205535
d,42,80.99512275280031,34,73.1523809674755
z,71,74.80381395107113,72,79.10489162288307
t,68,9.65607001878509,72,47.868207089837156
n,66,11.132366153911555,62,33.98256533583541
o,87,40.268524302948514,88,28.44062503220217
s,81,25.275440556717356,54,94.54472713523224
b,61,41.267879005866405,94,15.732652833391025
t,75,68.32345234984629,63,54.02977758104514
q,53,25.26355270519215,84,67.26039012821278
t,62,35.078564836769445,6,31.92318981486344
d,70,95.50289918224455,25,27.450160242844934
s,75,81.51319946013393,10,42.65186807326501
u,67,12.820761626992528,52,9.256570333025005
q,23,4.756089705043842,23,55.28113917079202
g,32,23.041615782367654,70,49.056661879560096
u,89,49.91300245614285,32,8.117010232225507
m,78,57.80903996660992,6,68.3990567610599
f,88,62.108286864732364,36,57.33133373304191
j,43,4.010018204261401,24,11.745210988761535
v,82,63.35786334207872,23,46.42678019401616
s,30,45.75925867515007,13,12.298491311500326
d,73,99.11618764419448,90,45.27360479792245
r,3,36.87196267479956,41,84.17372653091327
l,8,4.443799591076258,3,66.75327183864275
k,68,9.289393038603622,77,7.1266954263003
u,18,41.52031804776137,19,36.18630949455084
s,76,35.06692068534577,27,0.4107163920622048
h,26,44.757049800210225,72,37.9050518294249
o,100,33.83704748918025,29,51.58325642794465
z,64,96.75259587806684,71,22.817433217901606
g,81,16.954481290393765,78,67.2490726677618
y,75,50.02270879440282,65,11.140582608542815
x,60,12.943419369800225,43,76.25145928630857
w,90,63.92273406778356,60,59.238520130207874
g,19,55.88264582172605,58,91.62319054589662
h,41,60.5519723406411,75,66.03945565898125
p,60,75.48679690359072,78,88.67475343302728
j,59,93.78596311252196,43,35.99085567620097
f,12,10.819179146262437,31,24.487900882353696
u,80,68.11740059977303,67,48.4383769463553
u,24,72.9596278013199,23,16.688611924851482
f,28,57.81334933717075,100,6.859899749917897
j,96,28.888563473645668,11,76.36870484826329
s,91,25.815754183465877,61,25.421987286482263
m,13,49.72913302013359,28,82.20219715976339
m,19,79.95814791689072,54,42.34616090513932
r,2,90.72849037108838,73,85.7587554711305
q,58,16.312114304016923,41,90.27173605041246
e,36,28.411247103925973,25,57.785381120084445
l,37,0.3736899658990489,5,69.56473205423572
f,97,48.71816922398287,36,47.26820234028345
f,61,78.66969837463746,83,16.420682376436257
j,74,53.85018179754096,47,67.69194403553594
g,59,3.980795828340078,88,47.34933843698852
b,95,11.666038446580485,29,82.59713205899548
v,29,75.78313568217821,1,53.325278132821715
u,29,7.104902063243634,61,64.66209358917095
p,80,31.104333353678427,87,66.180529666688
m,91,92.26525705349013,19,70.70939995650949
l,68,80.86357554869207,76,66.80981188080793
w,98,26.25758085383698,93,43.46000637563375
v,18,40.613640563160146,60,30.525028637330067
t,42,5.476885184090707,13,22.320729065905944
n,73,97.41162434647475,25,83.71840598653516
r,82,1.352238473174483,63,94.19082349551739
t,16,18.682657416960126,0,49.65489818960806
n,55,42.45490089038124,51,30.17308970761282
n,1,21.3612744230132,1,83.08596810333674
b,98,23.200194906462922,14,6.551995374505825
u,18,82.43391342422906,97,29.493751907792088
c,75,94.73252419235381,68,54.92426648133439
u,85,26.300801191384203,35,0.5002809256002161
f,81,74.80580160898334,21,89.24022960938423
a,52,22.812799430543606,7,66.39498756380735
t,88,66.97237142897406,48,29.378903431258596
w,41,22.696921496325718,49,92.06846343089491
t,0,64.04104878667074,37,8.290435161489128
b,54,3.5709680567008517,96,63.1820710481616
r,30,16.28792528379883,74,78.86169668616262
t,99,46.27797031588059,0,75.26381751843752
r,85,77.25963047959414,20,19.579137295702576
v,46,49.617939576970535,65,81.46479292218677
d,84,85.0865938075894,60,61.18362326878399
k,84,95.57376531139025,56,23.479511128388598
p,57,11.398403360969356,45,22.654279042290483
z,58,94.6297150242186,29,35.08537966451753
c,90,43.28534114164141,50,45.384707343026356
y,14,66.84581384323006,56,68.47079713036182
i,73,35.14612648607515,43,79.0966019916942
o,39,54.798141186053975,6,8.271805399905475
g,79,53.732736489545665,56,28.290523082651752
l,49,24.344989869308677,80,74.88591075846378
w,100,40.38651570683957,82,82.69552707136523
w,24,61.12519083115504,25,55.76685687522859
n,13,78.49325774896852,23,69.5891077315818
n,32,58.83505082484862,20,32.20964916051311
n,82,45.48474191578499,71,73.40989541290091
w,87,94.4594359342304,9,75.5255790291948
a,28,20.78032381915054,95,5.291464478220731
s,21,49.461138326534005,67,32.8034936281734
w,50,14.747010396160299,42,85.64492276892533
n,24,9.017628137386879,69,5.285539758766566
u,39,68.47266660344935,36,39.64536793051578
g,68,54.34844842603772,8,55.30058869841659
o,97,63.2326576982481,81,52.79332899757381
f,38,74.99221590048131,75,86.4354665012181
f,20,67.70523578752973,84,84.42773976201963
e,81,32.418640886895155,82,56.0390862781116
a,3,44.905798860858745,62,25.615352810184298
t,19,44.783858437488654,38,87.3425603241543
l,52,96.33760978336652,86,40.804597873964774
g,29,35.7260021243236,69,33.376652468670386
d,32,50.93908998526449,31,70.77856839355357
w,65,5.811849894407716,45,26.86525584958199
k,19,69.90563219478825,67,83.18142720281016
x,40,3.2042107654752017,52,93.90164322201346
o,93,19.653060204476912,49,22.5508586298908
w,9,92.214721888577,1,60.58133658075271
a,66,58.79352802209525,7,16.682135399134435
m,84,78.04856624415318,26,54.94395106863815
g,100,21.562770173015146,1,81.14652919069573
y,1,97.19339987068525,13,6.782622694248442
v,40,38.33421272807848,46,81.94599543764943
r,15,65.29293924433925,44,74.53383990153111
b,89,91.97137202601994,42,65.76511879414558
h,89,45.53614194335367,12,45.23799799024621
e,4,65.90361335947242,7,98.81734401832269
t,33,14.15770604058716,63,88.20139775773474
p,49,9.771047297625712,65,52.12049159186962
b,95,78.44432557339816,31,86.40665669231655
c,44,14.718372213178643,57,78.62681178446338
t,4,28.34224925936615,25,78.79226299102152
k,14,37.85439368398372,99,43.77827983106142
e,70,46.118110923589676,15,96.75716085495776
w,9,45.57569485586246,59,38.687457272543234
p,84,41.53648230681534,67,81.48708186811625
r,57,61.712778999733054,97,49.23598892544667
n,4,67.80386860020346,30,11.789831131844764
e,78,88.31141022758202,28,95.58064976062496
j,70,72.8581802426732,5,68.62967019657049
z,91,11.842184393421151,58,54.329874409076396
r,82,15.601078455328432,50,78.91616724201165
n,7,82.42758308463073,31,76.20986819694464
g,57,88.24780291025857,48,18.413863794847853
j,92,81.68541159109833,49,3.472785310693016
q,57,26.987374957483368,48,51.45500393705965
h,51,90.35403136761592,45,65.46402908498212
n,66,26.06999367093058,58,51.94759084804925
r,19,68.67227864187629,73,62.99118281107406
s,14,80.68631294454227,84,39.50869161176777
i,67,0.1568274009984938,7,52.24835336952467
x,69,83.37970336473506,20,24.40498123841781
a,50,22.453245424620405,26,56.65152785972506
k,15,97.34834946210582,76,95.15048402090376
a,85,43.53348065166686,93,65.377565195003
s,49,93.77549560211207,5,53.98369098247861
p,93,62.890668144580154,88,48.586451172554526
u,91,41.58043291538041,40,29.12169710254361
u,86,99.41176345092627,85,52.850565365726844
n,33,62.86262398440064,91,63.32393103109107
p,24,38.07041915628414,14,45.357385758278866
y,55,77.97596836628415,69,52.63983881267799
f,54,84.524029628753,100,76.50717470126412
s,82,66.86556626157022,42,60.85510473003086
a,93,41.75956451314473,44,20.42522449743881
t,27,52.061796398037494,85,99.71496911493924
n,18,10.422965073539181,58,38.75685278399096
p,77,35.69071035300837,73,94.14780803034739
x,70,94.58392148750141,28,18.207530347059464
u,27,55.432819528188524,15,37.42451502008112
a,6,4.736330971743219,72,55.321019848434716
e,22,58.90098472460482,30,16.76929689990404
j,91,38.90838039218695,70,25.69629569807215
k,19,76.94775535810727,92,53.925154942441
i,80,43.732875145713145,6,38.470487378655115
z,46,59.200813110251794,57,32.24247250724518
b,6,70.20752543845697,12,96.10099907341527
k,84,76.35796439618349,29,33.007645913157916
g,33,29.11155607127329,32,77.2953615351035
s,3,51.350181848173236,11,14.432236840928569
q,97,29.17965778986835,62,88.35361008857777
u,23,33.62812357412711,20,58.14084445725879
d,65,13.059887939646975,3,16.495772902567673
l,53,27.041020599609368,18,26.700392382237613
k,40,0.9249790576081329,13,37.4225954069231
n,28,28.38715298945762,83,42.11687483128736
k,49,68.27505474736427,74,75.69071321327557
e,49,26.23640033667145,22,85.85518221272899
x,79,10.260547776452377,78,74.79974238436927
j,9,89.04666705553382,45,75.44122923902468
u,63,81.12168866291304,89,60.486062968161825
e,80,31.052113347916887,9,60.09437845394879
r,38,36.45251286257355,40,98.42027831879182
b,30,32.55645420279812,44,69.710985981504
s,38,78.21993483465015,55,39.67700389488282
r,35,34.77801531876511,94,38.669265637603786
g,51,79.88020548775935,34,92.32916935102045
w,57,97.30410866677771,84,46.795346808658955
r,35,99.290231282241,91,61.80446565196773
i,17,75.44444745318464,50,60.71107826990505
d,8,77.67741140112238,76,55.043017800070636
j,60,20.42673573967705,78,88.22583532100919
y,5,83.30342372627119,28,21.056563419364092
s,17,19.1869993826568,100,27.057882788508635
x,91,10.042571695016822,26,27.268081351339546
p,32,68.0436201989938,11,65.85567355335093
b,59,2.7099046509284297,98,77.66054479911682
i,79,18.863666907561004,69,59.60813680326661
d,4,10.882602501712979,17,73.75463299619248
v,36,67.64425943471441,42,78.72082064868164
c,67,88.5093748579889,52,45.41708788977569
w,58,81.67872402872635,96,10.188518791494417
c,97,14.373268761858727,58,11.24598079374869
l,59,99.78003223889522,45,89.7105345003566
c,57,25.11476914140148,51,91.42731974789517
n,38,17.903857863781635,11,91.88068759216813
l,86,42.132985394632094,85,45.15854305261324
b,67,84.9357298648238,33,72.4013372596521
r,38,45.8425864298864,59,11.466983067870629
j,67,92.85336106342706,25,31.426458499247712
a,17,75.86114324325045,58,99.33487344276382
r,67,73.064138855661,62,40.73517980603941
d,54,46.927629423369154,31,14.572796010692224
d,58,48.875893179539865,1,10.098236227999847
s,47,90.61738927575786,20,61.44365231543615
q,15,62.1585035669743,36,11.668820225360566
p,52,60.56646308046353,16,26.243186534645414
s,8,95.62447221225541,43,89.41691062641547
w,39,10.007403013931205,17,5.8671731442543
p,85,11.770377672718224,68,17.300958813959433
e,30,32.331017731078404,79,10.848918719381206
h,27,81.74852510560837,39,92.96894987887732
l,12,34.805059206887,68,8.72968761838493
e,31,23.00829652748574,3,41.0551639499135
p,60,12.461447098552114,41,12.565442987317999
s,36,97.63375336893489,28,73.97274084095872
h,36,30.59794947901494,73,23.609631350504014
o,38,29.615271163181735,93,95.16532631882075
m,40,99.66009555725405,7,35.40235161120114
f,47,70.78990253238118,18,16.220503545597776
s,53,26.028256370856283,26,56.908355808302765
u,36,23.855843367963537,75,7.677763090446
b,0,33.121994227953046,61,13.102847120383998
v,19,5.740629975944578,45,86.99059761755392
b,70,47.670682178016456,0,44.54132254624654
w,71,83.1530766719349,45,66.54320817198948
i,54,60.02242661938427,58,72.40946947704316
g,68,95.91928915867157,88,77.65668694756602
c,73,78.72222105685903,99,87.52909114622918
s,84,61.99731349410127,74,6.041876372135269
v,0,45.71802574985128,71,55.60690474478696
k,90,89.67562153619501,48,91.46785872253756
m,6,35.241152585981915,15,19.91483135812847
m,72,82.47892496017508,99,78.9779136708487
f,19,24.77982702908391,16,51.76592833617845
y,43,90.96486400415462,93,62.244829334162134
b,39,11.606613906174568,76,52.59651500441498
z,93,7.2675922276897005,0,88.09363324484934
f,81,31.708854105874053,14,61.158470439210646
j,1,0.03285124382670368,88,60.21613950100028
n,35,67.38315804211899,28,94.7081525982276
r,41,21.201275081014813,57,3.051668714244138
v,96,14.538075616872682,76,72.69866920773161
n,81,48.33083714448377,22,86.35998207860817
c,42,84.41810074710885,63,90.86141981714013
c,54,31.84091888691254,13,86.07926275872717
a,5,26.50517605511824,65,68.52830455364773
q,47,86.55632696154431,16,80.81037601974631
a,63,74.0371216886086,8,56.97665655694259
e,50,1.7296324289229115,74,74.83033642394726
j,69,75.65011320363016,15,0.32786486890863387
d,86,58.798299164447464,18,30.23153927104014
z,80,49.20215086429176,79,23.81105230668661
g,49,54.37088312552669,7,68.81296326161515
m,99,26.65638258599936,79,50.18404977606866
b,11,95.90076048532572,12,46.26673143598039
h,47,37.869851974420676,0,75.9410467381936
l,12,33.87411791896658,14,95.95202196905123
o,37,46.78102638376589,18,91.49816065315598
o,16,47.15401976959973,68,65.16993117758165
r,3,85.63799324805186,46,14.47305890965529
k,29,8.78687501415991,12,12.797333904439501
i,19,55.621490044042375,68,85.24107752096874
b,8,97.00078132982009,7,48.065971876967
l,17,65.11999594279965,38,53.64971902613933
h,41,48.80866854047776,28,44.12274827856781
w,65,88.38071026397715,39,90.4870873115754
a,25,2.773737656402131,10,24.612622663393214
e,19,90.01796922164172,10,15.717791532606395
b,96,67.65229975883257,56,77.32635775404783
f,76,13.328593905105613,6,9.805902561066171
k,54,36.76414414456123,87,48.57758894402784
q,87,82.26321879102973,95,9.500581768316119
c,67,20.11301205130682,22,80.8369018433135
h,66,84.78758619077975,65,9.876496087283314
x,16,1.2102847713745146,45,17.03628988092096
k,39,3.5292439679212695,94,68.20739938936087
g,86,70.43749341118016,61,51.71560325986011
r,30,88.88860283684848,84,31.289628229676936
o,60,68.21779501623661,88,77.1575633067873
t,60,41.16489674005466,99,6.515267418339321
q,81,40.7820073124543,6,3.757097426201861
j,22,4.290488869143127,21,70.88443222375182
x,66,51.15187600791423,21,17.469099502852348
d,9,75.49518333702787,74,32.53562642048012
z,95,76.47534051697423,57,40.480861248073744
v,31,19.04637448238946,39,21.099161088957363
z,37,4.063152274333548,55,14.396906820742327
g,44,17.22608853198665,56,39.91767292164624
p,52,26.99031625922378,6,69.90304556740983
o,63,32.94450194978859,62,58.15072541154712
z,6,66.43911438894253,89,96.48293248573911
a,100,16.196187993805577,84,17.61432831814641
u,3,44.26185121922466,26,21.221852357533688
m,58,89.95788592486251,35,63.891976719919754
b,75,0.6833193815494409,69,55.48075461428238
d,89,33.99981013025008,76,62.70568102924764
f,62,38.061459684226286,48,67.29918039475781
d,55,76.2727570967915,37,27.014526573071496
j,36,61.467628758982094,46,53.587339483392384
y,74,47.65918901188262,57,48.154177595112365
o,0,31.786251042360625,54,63.99458310401718
n,83,70.25061516760577,19,36.38622459413975
v,95,15.246634163372796,43,4.060973774098587
c,52,21.985937398938294,84,34.963896735715714
o,91,33.11432582277517,43,26.008702790850712
p,6,10.19573395987372,18,67.94182776880008
e,36,50.78984212780255,41,95.12158994161094
k,65,86.58533822255325,96,14.057972501948758
t,34,56.5762670236363,95,70.64926158536868
q,22,4.4415173664379415,99,70.65129463223775
g,36,97.42177939940828,35,16.242402073390107
u,51,16.85775100509509,66,1.5574524896531883
j,2,44.33012097218975,4,95.29684586300465
m,79,82.81231986937988,98,97.14836855757815
z,68,51.94638799672248,88,37.82827490828512
r,1,68.83505287548289,33,36.6416667873395
i,95,16.973631887140794,92,42.469679118488976
s,96,92.35424823210401,22,74.02270662718959
n,58,64.10999903509273,17,78.0381093615748
q,27,78.42511343226285,26,64.51658241081593
d,8,75.96231952597266,13,68.92240824211979
n,90,7.31294233484594,73,79.31335137964034
o,47,18.792522750065476,73,78.52769148332443
z,57,28.061081256795784,71,33.768862358116806
a,47,24.03459274454297,61,1.165194088378163
g,87,81.45131720507497,95,59.33012633384853
p,84,82.4618667784539,29,11.266053396204857
u,90,64.393953123097,81,97.73360199644635
z,3,73.53564144868781,55,42.64961240966765
q,54,7.146139589480649,82,46.0370667216221
r,9,0.7862209024262379,59,95.5813351165289
r,7,79.18540688451004,64,53.82107427402731
b,29,94.62759150818017,50,34.9023335134864
f,71,0.9031043337359601,37,7.6359545198915075
n,57,6.61248078249127,60,15.535205306908273
x,72,0.5019107552558078,70,68.05248632915671
j,23,59.23920807448968,40,32.643497710089285
q,89,91.14917722132681,99,7.932886222799517
x,74,88.88814588976479,48,53.17170910179062
n,20,4.513776833146288,51,46.60067474685465
c,12,38.38000572827806,82,81.26615544980194
k,59,87.9673025805818,75,51.53966304745741
z,47,66.1920364930352,90,37.1148282586832
g,32,55.5208431529551,38,13.08068771866484
l,26,52.66641389884463,90,17.197026004256855
q,88,30.004174258536132,80,66.29647578083737
k,40,38.193055743860235,99,37.25626827339795
f,47,52.84362357278303,60,15.158024035715666
x,43,53.726690178138725,24,78.93621838452383
n,38,94.72959799345321,44,38.00019355346828
q,64,11.609588453259011,68,36.298954483999545
g,80,40.91869993751182,93,41.95695958898901
s,44,39.1148330819426,39,75.70718941292523
f,58,76.98691070224886,39,26.510642186276666
p,34,10.635941156704742,0,34.509426007587315
h,43,30.296977752572694,44,2.060327596079692
y,72,42.122421914685795,72,6.6651895527026
h,41,21.700509281932835,89,78.95818116200724
y,21,20.454119135652682,87,77.28969921509284
a,64,37.67116092949338,13,15.482495674143737
a,83,25.370350177068733,41,86.9718986605108
r,32,34.546274544112684,23,97.70808036712411
x,24,2.713960914502167,8,61.961228434528536
h,62,51.94110636464796,41,82.16967091474865
l,27,18.86589095279185,59,13.983085482492097
w,42,76.36784719043511,40,12.045564817816622
b,29,23.487399946794106,39,49.10352984866505
e,35,81.60985917120634,46,19.15822724854016
p,91,21.068919439417055,44,68.52174148394596
z,34,11.927381893379552,18,32.99546753630417
u,41,66.27614223067168,21,95.5233939217451
o,69,83.7928784085908,60,63.963922758836446
e,86,83.83103726432559,87,55.34843772607269
z,57,25.094035173269035,19,32.75519313755988
p,43,4.340210414577128,64,68.69736140113531
k,12,94.24587893560846,36,93.19618114274755
p,91,18.501662327236122,81,71.72829751569807
m,78,15.795756349199696,35,22.76119865259105
e,79,72.13386095540841,44,29.271062050849583
d,35,81.23037716491248,63,68.36772956847783
y,90,25.464416344391182,74,15.145071230182417
s,19,80.06593565666351,100,70.4764340812332
z,52,83.0151565635119,8,90.66907714434991
o,63,94.51680120844439,37,23.39015965035822
b,87,50.84232101150855,2,91.54693707581457
f,67,80.37219639578377,96,94.36094942430256
c,34,78.10997135731415,84,62.913902272160286
a,12,78.64546693303673,62,22.96156336859315
u,40,0.5870700637660264,31,20.24144771934363
w,55,16.361175911998437,21,84.77679748515041
w,49,93.69606187212354,89,13.851701085672419
f,92,21.488535986103752,49,82.48352536203461
j,60,43.93451916475182,70,84.61310580921976
o,77,2.1132517414808483,58,21.228773524018496
s,47,58.044451304452934,23,85.46794539003504
v,41,33.75307993012239,11,66.52579215062906
k,30,24.88289131497622,13,19.126021752044643
a,3,6.140906360464982,32,95.95870901879503
c,35,97.26401714004037,33,98.98161408151938
v,70,92.36033199284593,9,62.587287716698256
s,44,16.732090620127828,92,10.14006353029483
i,15,81.69802069096869,68,87.403653074074
s,67,72.96025566367302,20,23.86217323741239
z,57,90.26793285497888,89,58.39992659897801
c,21,64.84128366970457,37,10.788296279363529
o,28,86.54227806143808,10,89.40466917933388
v,94,8.86546807989237,11,54.160416825856906
a,74,97.49969750031555,14,75.69087200338815
i,13,57.98699276800138,78,74.49971388150732
e,34,32.76918453424946,37,33.962908819350226
x,100,41.08312961672538,22,92.10222020980798
c,11,99.16234503015878,75,19.01083977222443
l,26,66.06241103061363,92,56.89246294045175
p,10,93.55199948253386,49,68.39205809520102
d,29,18.683177541908403,63,86.60638925872443
h,9,70.70740766684898,61,13.597492438693736
c,19,7.693782429649798,64,51.77587971037584
l,90,52.217643412733054,17,12.301218798694757
i,25,34.64976923101396,33,86.9648055193748
c,96,50.9182793378674,21,35.139889221878306
z,87,67.04835020194095,2,19.895806334135425
a,59,17.204216944968522,37,13.775694826649676
e,46,10.878956029102172,100,59.5660683912986
z,48,35.30575920653579,98,75.74710110627375
c,47,63.365952623035106,89,0.5377435322437285
o,84,87.27822301202652,7,6.768293181424645
y,5,13.329471955632776,97,79.02160350422386
l,72,93.03316753854554,64,12.16769070806839
n,43,58.53201680185275,10,40.72295716510907
w,53,9.763996367863193,2,55.67708056333818
u,26,27.24851757800736,88,66.47076339637962
o,34,56.93386231953998,84,68.4802601252902
b,88,25.123273019043356,50,94.86979105268824
q,6,13.521853035867782,33,52.79040970377737
v,18,58.94823597036154,16,6.032974623086851
c,26,45.59138744823331,15,96.94850670625215
w,90,41.25562697459155,59,29.229390357438913
l,87,86.88248838920035,96,77.1613770037163
j,78,30.606646451404163,91,39.240174071086685
p,85,29.235039291044284,92,2.270852527364653
m,44,38.45759308896394,87,80.40860354326308
o,43,95.18939918140279,97,63.03228930280851
f,10,73.79354466458193,28,72.7426655379649
a,97,83.8879834403815,90,20.528729267169588
f,80,7.1067150638686964,8,31.27639195907186
e,88,52.72886283406694,99,79.25884558106524
w,28,98.87930580096045,31,85.755670601414
y,90,31.44941829087291,55,75.90723480462914
s,87,38.45125594028749,37,41.6497575920729
o,71,5.798611178843915,21,60.604229810249656
u,36,75.40736188469003,75,53.48378416625529
e,28,44.40868559624831,62,65.10210131904248
i,82,79.63919426645974,52,59.91944000324191
g,59,44.53192137668708,0,21.10666201096493
i,47,21.45795647638127,85,68.91608831029617
m,25,63.74518950479442,15,29.9859356604812
n,78,87.22009819111904,29,53.07280140076636
y,60,27.216818533541144,28,82.96749394984944
i,40,87.72035015814681,11,95.25384114305373
i,20,36.61112507137402,41,56.423984227604286
k,73,35.276808434780136,83,2.874415468876157
u,14,16.499933796053558,24,99.90662878660505
s,73,53.364784702223545,11,9.440475720757647
l,83,85.56657821042414,28,24.598147734280886
h,94,39.94918757184226,85,66.68086289019202
