C,L,J,Z,T
o,78,99.20498424449885,39,68.62686624730179
y,45,66.55609174310106,20,88.67948653237858
z,86,16.781874441242874,95,48.448006108015505
f,51,43.37772068377566,21,22.721185010214285
g,31,39.028982552976544,23,63.95811225689384
k,21,66.197675915421,53,4.024131509162087
f,55,6.437406629918351,9,92.65306524305788
t,88,70.5793325971315,14,98.38169321654227
k,45,98.18765580250846,99,64.91475306777829
v,6,93.31658557542247,93,81.57312111346415
z,50,21.368093835076596,86,26.60529205706894
j,70,17.443670108507735,84,33.70980170746839
o,79,3.948666593116734,1,25.59525793591805
l,83,4.813925340586289,72,18.82965721238199
o,43,48.135844461088375,30,80.5697991692349
e,71,95.11332094191516,32,10.161201431417165
i,20,85.19338417433632,27,35.778476164405724
l,47,63.60584995962192,29,94.5384783228329
t,45,15.471199498026689,84,32.31572209324208
h,90,8.242147249427056,2,98.48192589330532
x,7,96.09068013786984,29,7.962398936373527
r,1,32.049341083753546,22,2.269663886271267
l,54,72.6292144424406,22,73.51520099737655
z,71,31.27580979594765,98,35.44632685152636
t,42,99.07547013561864,97,7.890291443347552
u,51,65.93983658317163,99,21.68739690030651
p,65,25.446413480384255,19,1.7750948210066841
k,70,65.98588240241142,25,64.40711284659497
q,70,76.74944937291987,45,10.527469731146411
r,72,74.94321996651641,60,98.40892812879703
u,83,69.56551802447602,97,86.0817032708624
d,94,60.651381792372746,60,80.265518491165
j,53,2.6194929868293304,69,43.826211687151805
v,85,60.788695093993624,83,76.62715025411191
c,63,10.423022433632612,54,29.788068224734765
j,79,2.5281786839066234,8,69.72170797354418
m,28,8.658293168613817,57,35.986845830253465
c,21,69.07329906494441,19,36.85801865431011
w,22,33.94480386108232,91,36.28142576912936
h,76,27.956711253848077,90,10.018026406468916
z,11,0.21876750837355186,25,29.852307543713096
t,71,88.22450970568316,68,20.9122465129543
z,22,83.18804742137614,30,61.893387976359385
d,90,15.288695512281658,55,42.73581974439672
y,31,71.30466679512264,74,6.299989045336963
o,83,63.624400563615616,79,81.70990178515413
y,72,54.410242184280165,97,82.89611515613647
l,5,19.058361956849936,1,26.935340756822445
y,44,70.7306846388111,81,11.433302492140596
r,61,85.48615705429496,75,14.922378756158128
s,71,56.800318016038744,71,76.52419593980035
z,19,57.611691008767515,89,79.29559883006034
g,10,65.40820012800675,99,83.91824869626132
l,95,4.100864816532146,64,39.74732061496853
n,12,84.58940498117833,20,86.74823095660885
k,77,99.04195320568945,59,63.57763054606368
w,97,75.9314826926841,13,13.71697888359973
z,64,2.7495956173196334,14,60.594991967632005
w,95,97.15308523860553,78,54.76687239337069
z,48,58.78743694396441,21,82.80682844456983
o,85,43.11368960392852,79,42.56421723608253
a,5,24.2326029193375,74,24.54836954389559
d,13,49.544756807774824,42,51.05358517086771
u,62,18.396645217045016,90,24.049409933178833
q,96,29.667466789876727,17,6.070947424756856
u,45,98.42051815826858,44,70.79053272810084
e,65,28.676267736283744,77,58.96328337552658
v,32,13.483287050346082,83,83.26198449831162
w,18,35.64287948949002,25,13.529470260965626
x,24,15.222920476721402,48,85.24917450566119
i,77,46.443506360046506,81,57.11936892989694
l,79,93.31628417071356,53,4.957968668641377
c,79,79.8365209084995,35,36.04142467694464
v,23,41.50372200071277,40,27.924582157197108
j,52,12.701883196654308,53,0.5069251577219824
e,38,20.20293415094431,59,49.32428882629488
t,82,57.79605457494503,82,1.995361213684188
x,12,16.594045742376462,33,60.0433234902736
t,83,75.78993508778922,53,63.22774662851182
i,98,62.43968255867542,96,90.74618887275396
b,49,13.181938003353022,4,1.1856516992091448
z,39,89.615864499774,94,44.504777906018546
v,49,47.54473254784231,95,87.34240349858148
t,88,8.9280623198698,51,14.024295759100935
i,18,86.36969454101192,91,19.721499473617055
h,70,53.96113234211906,58,11.79713664045523
k,31,38.547310240387404,82,80.43521812682766
z,47,1.9558993083397702,28,78.79320641897533
r,18,8.828930749899744,8,82.2755781836071
y,31,38.20609869136062,27,22.422929302153992
k,70,24.70993694006275,92,17.980201541223828
m,55,78.14535331076398,19,54.63236743013541
w,35,38.674607739405076,70,18.794124230744846
r,70,75.82489108870261,10,91.55838078764918
g,50,7.923450518590148,39,75.78958085539597
y,12,88.96048912130348,69,32.03772317343263
s,99,30.76013502957592,30,15.300847634108406
h,9,40.32250013801959,74,65.2931436890196
m,10,8.671770908817656,37,15.212003255484941
k,81,66.15416006772219,36,54.925230369457346
u,31,18.103376368368284,65,5.8704506933864975
v,84,94.10994039605274,94,58.43062411064429
h,95,89.49014691743142,41,25.9449916111531
g,52,87.85823389971206,6,44.53911568255021
w,52,0.33536452641069747,11,43.71527955105088
s,39,77.06096025985933,83,67.73279563087493
i,7,85.28947381483829,15,8.424740679543518
i,58,43.61616289638669,17,7.450717809075991
y,67,83.66799822085828,16,1.1828078881004456
r,92,60.462928927943196,13,31.946786599493816
v,94,3.9869806541164454,97,38.20276030895805
r,6,93.91528085315282,97,89.71375198098663
z,63,79.85058158265824,17,8.052523676922728
j,14,39.37446481904038,36,50.69702137045793
h,22,99.06717405245284,18,57.044399851091754
v,11,22.966910804470942,48,75.77151345047696
z,28,11.487978168623059,84,91.47526809773674
i,22,64.48347365403592,36,45.06732214307269
p,11,28.533745073631767,89,67.25838167098198
p,16,32.45266785156507,94,63.04611989156966
b,84,7.117724675957826,18,52.230264863273035
i,2,17.985406208512668,19,29.2114908367063
e,94,55.90146088491902,8,70.1903093464353
o,90,22.336319560032404,10,34.66678745660564
e,77,99.85029160201657,54,50.071276794852835
v,99,75.57766385210945,32,40.29437871698766
a,72,13.78738167366661,60,9.363289028700983
u,47,2.09901131502368,50,98.19588695964048
q,71,34.54521203012001,15,11.840676718209565
t,14,40.9446321573247,79,92.74928730668172
o,64,41.72530344553432,75,49.94718840533559
d,56,89.03051033475704,25,73.5548491711159
j,27,72.36238011669096,63,97.67764017897804
q,4,84.5177647391527,39,17.83820517115462
u,36,13.7273968583418,49,60.07977074919106
l,30,48.10687166809034,67,58.59197658180313
b,48,64.68073861431905,44,69.33030852216275
s,90,59.32467968685962,94,25.000099712305037
d,13,48.97167840781993,94,58.43852936800646
d,89,10.174915751547198,25,73.78219294009047
y,91,68.14415984481198,43,66.88364067711467
j,84,14.30042576778796,12,94.55422918652701
w,85,61.956743238910995,95,96.3623050485426
t,63,48.95429639016214,9,49.33005506125874
o,83,2.8861092069455085,61,41.36696780850081
m,74,71.44168197499945,57,73.7246154870137
r,49,29.38692330525846,46,72.03665429241987
a,18,63.621108913485436,12,76.50493235656788
y,60,36.94073112221549,2,5.4030860390372855
r,54,46.31617614624602,59,28.363249399800182
a,3,90.52193301101707,42,92.53934980532168
b,44,43.295081643299994,58,48.91542082064908
k,62,22.8579466702437,13,54.08015222274304
k,0,42.06274553804822,100,68.67186077488766
t,25,24.331980613637626,74,45.537922274979955
a,40,15.620606475983179,17,53.13677899193034
z,68,17.603573406896455,63,1.6957011932420496
h,4,0.924109805270712,4,83.9529756172146
p,84,70.14093389353052,82,85.7326906537584
o,93,44.15359517527967,63,47.47716465819421
f,59,15.124533079519686,28,24.751226098259227
j,1,47.416114227336934,57,1.888263450404748
m,77,86.60204864494348,64,3.4125236014943883
q,91,37.748211739873604,4,15.842702303918754
c,67,50.10791260340712,19,4.400727377079717
p,97,18.337435609239694,22,19.552593260236726
t,54,80.31446680742364,80,52.794844378618876
p,98,14.077508990855659,35,32.20565801326938
s,10,18.245469627276613,39,15.635229235051861
y,48,31.414378219110027,69,81.56004779991032
p,48,32.024945033630225,34,71.20856277668219
z,20,18.496615273091198,39,26.054797453821532
q,37,73.10447433570047,75,98.87721669429408
t,83,7.734847473118345,75,41.35688918892936
k,91,84.72545734171945,21,58.11010971652104
y,10,85.90509777793896,21,89.20305358834004
p,17,82.65607582518068,80,78.0938710625342
d,2,43.0506703473961,51,82.80876449266404
m,4,16.95634514525688,82,55.889488439033855
z,18,93.55591185884313,2,16.644564713584597
d,4,58.36044739334253,53,35.435096764384355
k,42,6.93378846355972,17,79.81967570166294
q,79,94.59517267377272,15,7.688849124327102
n,70,35.48305821361942,11,17.915387259173933
a,67,36.194959922097205,44,92.00399857214407
v,47,27.567914000803462,35,52.705628527200275
y,66,37.83585383679695,86,52.86196025717524
r,12,55.264684251622775,27,59.07187190773089
u,37,68.9773939959738,99,6.425515471177345
d,72,56.0156572867031,67,68.04330393074936
k,77,41.421319735233695,45,72.12510161977413
l,41,56.51416390159275,82,30.617135157060783
q,36,61.04604209485189,31,3.3391076897236194
e,19,16.416960258207602,1,19.170431680054378
g,32,84.97239186303332,32,2.5791870135013495
i,38,51.604269101812974,88,52.149850457217525
c,64,14.279080482127004,89,14.938299313551306
k,53,19.661364652499703,50,60.85421535126115
k,49,76.91365329858661,7,6.046075271774621
w,98,31.201646906674174,49,96.20201376168694
u,14,19.67953372671205,81,8.270150602373194
d,37,46.441001100575754,12,45.1640601564479
t,59,60.48430359471758,84,29.827856329493496
i,75,79.28734861165739,15,51.162603748485616
z,48,5.322531594682234,20,1.7790910882429012
o,94,51.456101144183954,13,19.14865605063847
f,87,5.0294849240460575,90,57.61364073801527
t,88,90.81621729780737,55,23.80428019687325
p,1,36.94620097369461,62,17.283316825949512
b,4,21.042568924190817,62,42.516763045896155
a,36,14.14299201496344,68,12.074878750682549
j,46,58.252103397397434,90,7.860671937764529
w,28,36.81668354985417,37,62.26062154532846
b,72,58.92886225914764,72,1.6110803424852382
b,40,31.024492500915322,28,73.76607164700576
o,25,84.62786915755856,27,7.783166496995952
x,43,21.80397166654904,64,76.17641336925598
m,39,27.68808389486037,24,36.89537544876217
k,17,82.54582393918614,24,92.26603784441285
p,98,57.0023906092879,66,78.55780516477833
n,16,66.97599017144816,93,83.442916757732
w,43,23.97874453907948,18,94.47582823046139
p,73,61.59164120668644,2,24.9145761416658
y,95,18.860420297726655,74,74.22095479231871
b,41,60.46872950358978,0,82.22259713731697
q,14,13.07497676509315,99,38.361090734431734
c,19,37.64627479123319,6,27.498861155898435
x,94,27.142417860595913,91,90.42324302380574
i,0,28.153488311791353,6,33.07162199261662
y,73,42.24071313725328,99,25.216590259567106
t,98,89.12899258241646,24,0.37464687741424196
d,2,87.97529442240611,84,65.06998535423735
j,57,16.694797775926485,12,68.06677430512066
f,68,95.28242432895414,30,41.04621522427166
g,15,29.22505113601318,10,28.33280694403768
s,41,21.511366475269,5,31.918144093621017
d,20,64.46959715252947,63,2.697744789540635
l,18,21.60172953393371,10,61.91912754004729
n,67,37.7116935905937,63,16.43798269191614
t,28,9.317785448462123,54,15.728918325980457
y,94,48.569398346505075,96,28.780850873424313
n,3,38.39330960470333,87,27.66083691865292
a,13,16.126666554727908,36,70.83546269211097
x,71,85.52230765197906,75,38.65905754831825
r,77,81.11665457257024,98,93.2510426247027
y,82,65.66971409268501,74,91.72980694722224
a,96,67.03847826371162,70,89.77242344566761
i,77,43.37482440150416,36,0.25090144073078857
k,77,11.859336313743341,87,99.7558255885593
f,58,95.84450952156281,12,58.79145813326374
p,100,27.86878555347464,14,29.95438313999005
r,88,41.42092739079324,70,28.06787454782953
t,27,29.48177865726057,33,87.7603332862289
i,68,96.29996657875606,32,41.07403491501393
n,16,65.17107336290954,89,44.04947740799101
f,68,57.858511901480156,53,99.55913354709114
a,38,75.84698685279393,85,13.49927916811431
l,31,73.40023356870995,78,92.84461336172318
h,30,89.25417427761052,84,59.56238631481436
r,34,60.27845185711217,99,97.01233238196787
s,62,59.88958013320094,2,25.729069402645855
h,15,92.6741589844019,86,93.14607393947688
c,92,89.82910816819863,0,75.74036198087805
o,28,37.5996114182631,44,34.22700342889152
s,28,84.0102670085301,81,8.913981953823535
f,25,26.483533329040288,52,84.22296717699376
o,84,56.09396248936754,94,39.54180903781987
g,11,98.40674231231397,40,31.187650219179485
h,53,44.54376714909382,25,3.24087984237984
d,19,31.785287097777616,38,20.90918284552852
n,95,61.857605928975715,25,39.91881398715932
t,38,63.668140357708694,49,88.08759166553727
r,81,94.55841143564591,53,7.1278433650623025
z,47,77.30915497063026,36,30.13901422920464
h,53,90.48002283572517,15,76.22277390722084
p,48,30.95255469360012,89,31.31283068753704
k,41,0.7969052275841881,62,13.909061722636318
v,74,13.705378466268902,94,59.17687491294723
q,24,92.29665649917102,69,55.045443864081655
n,50,90.33872895636729,2,31.737618257779687
n,84,30.245807446482953,32,28.355719414048774
y,39,96.02296891709011,80,37.68375831847302
f,0,75.46509244200563,4,20.288340341801316
d,26,59.803091449305704,63,28.399464516907447
j,52,26.974909003414073,10,29.67658197036297
a,57,13.266224568980544,98,74.51014762122499
j,2,80.34678202012593,65,13.831959096997693
b,52,77.2200818020125,89,77.72912814031095
i,48,72.85141912817258,69,80.39951293669691
l,11,18.02677033400586,43,23.624815197069037
l,38,35.06387811480729,99,14.256579619034493
t,15,15.990918192987625,60,51.518314294048714
t,51,0.25644737911212356,25,14.284169404608793
p,4,53.85782240636796,42,50.9312560129249
m,58,82.15370370424331,48,33.28836408922972
q,45,26.516894980723738,4,16.088398775447075
e,79,41.228466257829155,79,4.980287820393126
h,62,73.91257537761999,74,89.11651515207737
b,48,53.518923902076374,23,88.06178583593723
e,49,24.214228692061813,56,93.5296951697429
f,59,18.78133980459137,23,59.69131944412257
y,80,52.946955144578766,8,68.15119616911932
n,75,13.988913476594544,81,49.29897032117856
s,78,76.58580902788806,91,10.061642209915156
f,26,91.01396480606596,21,2.573210672947135
z,91,25.467565103635927,50,19.12135362367907
e,29,32.51980843684458,99,34.46742393375002
i,11,35.306391525198656,9,15.692967848091687
x,41,0.3864467703566743,93,86.5052490097674
p,19,29.152225264184437,16,80.66116799545436
w,0,26.499116144104086,96,66.48872793419221
c,49,98.78023161226317,61,86.68402392635278
g,94,77.31840652624562,84,66.12602939126818
c,1,61.84040782920257,35,90.15010031471492
z,32,55.08710553240211,59,93.796007459583
m,41,86.50324194034538,72,26.391859262879414
t,0,96.75461057710581,46,50.41510795565851
j,34,16.105001969022226,83,27.37359011911741
k,4,45.56758750824177,100,99.0043702925269
u,18,67.7664796381219,60,9.987308910393565
x,2,77.5787934958455,36,3.850455283279286
r,42,67.91089614403025,98,51.239781305531274
a,57,93.10492704638388,72,63.810589845022726
t,34,44.665957970172755,64,58.42362306948402
d,35,49.9154703786599,7,52.51391348462203
t,70,52.91056456105054,18,50.89185850395437
q,86,13.474250111191388,17,18.86977804986256
a,15,72.3279433474774,1,12.9182514519536
n,56,48.55209966635871,25,78.49099969625847
v,82,4.865634455463763,1,79.8075894942966
b,3,22.396808031352787,100,35.500824681305296
l,34,56.38575434687032,56,89.9422335722141
i,97,93.58857183951628,47,41.518157765369025
p,32,23.6056761772117,0,17.770345764454298
f,98,51.845184409993394,85,89.48394572107277
h,63,11.611253788049957,63,64.20850080108082
q,60,68.3273379052689,90,67.98924306723376
o,3,19.0180966701498,61,36.290187731024496
m,12,69.50697769908133,11,86.50269865120916
t,31,75.94151435201172,20,15.970054755818264
j,53,22.247194364819745,42,59.341200841456335
x,29,17.132383859294876,32,13.113601577585909
v,50,89.41971156750135,48,18.182529986484596
d,68,63.39441091742239,82,63.9920365463657
e,71,5.413663827743154,59,36.20802515389598
b,17,19.400579554068877,98,22.408938620966843
i,28,73.01448524455392,19,94.03684026087977
i,82,20.761312257771568,50,91.84032628235042
i,93,2.0948179790623134,27,59.941612274591094
q,3,9.600678136311569,46,67.50898247344243
q,33,47.063883698504874,70,59.40736881917731
n,57,56.74186094822855,72,5.524092264330149
s,81,20.724766915337266,0,85.45185733498593
a,86,72.07256888853902,94,90.77163944699352
l,41,28.751587153440518,98,56.37932842203922
m,80,25.984903877174304,47,98.44303056757177
d,66,93.78523540829316,7,64.86824753289318
o,22,16.79647733839239,31,92.09407300730446
c,68,97.54517595959364,30,57.91118370467555
f,71,80.79316063276016,3,11.967223777364621
w,16,60.16867259604498,69,87.54984610556546
c,49,22.207776148000637,4,73.11617771014153
d,99,90.26799915642076,48,5.1352347612573235
f,74,40.7571616529445,83,50.7700097869078
n,3,92.57147310659506,74,74.58763815900927
p,52,72.59947785844393,71,98.3221932630448
o,85,4.821063195716924,33,60.74062020775681
n,1,17.24396792685181,39,13.63955936006822
a,73,8.753434872751765,87,77.01742233035264
j,64,31.551358076757964,99,28.02632283089145
w,37,50.93227853205696,32,83.86040584538388
m,3,26.077225595651864,15,34.65332275988842
z,83,74.7226957132765,54,38.155637483357864
p,94,32.51557022722338,55,55.09481742262376
f,14,29.231866345466727,97,11.091740796600668
l,45,23.375074817553298,48,22.84270109734394
b,33,54.22052419088668,79,17.5473228222499
x,20,69.48123249661276,87,86.70663328901493
e,84,39.45168147932794,59,12.139764096528804
o,52,13.008679002806478,21,38.80602753993567
h,40,19.275951196711095,83,24.796532070581346
s,76,12.621746053231032,87,74.1589124540926
k,0,78.62262341573835,34,58.83924656946585
v,7,16.315032088370696,44,20.517322869909094
g,16,71.7421959085874,36,78.61347626325038
t,89,30.63627248442894,64,0.34550251428916434
u,65,51.85169408572261,83,50.347449120802544
u,52,3.6461643838261004,13,11.519373958862666
t,7,15.80747894096055,94,97.19290286052392
s,72,96.83587083960919,80,55.810993882778725
s,95,73.33673290061088,54,97.85689773678506
z,67,19.885050421532412,99,39.5430134587235
m,40,69.44349686379047,100,97.36448282301279
w,10,27.278000333925313,10,69.00689937601405
u,61,89.54499342618692,33,27.97573021415738
h,23,99.82786983513043,92,61.9930464468098
n,36,17.91250993425537,28,39.39588476432244
y,77,25.692366604874607,27,94.61800433976438
z,33,21.529865029632045,19,0.9691690966027178
o,83,81.94604713079704,4,0.3131750935458255
g,95,48.8338036967534,29,37.05993963936219
c,77,90.99546800935259,42,16.66060253621371
s,49,84.33720957087,45,21.016375672283203
o,83,70.40882754897756,36,23.213546606019452
f,64,79.78408661816671,76,94.85683103872819
c,31,90.73486761551547,13,86.27331832038358
t,20,48.43318644882134,92,87.36880985678827
h,78,83.80938866110176,64,76.93428050870246
p,34,11.236310920572512,89,47.608200081928466
c,80,80.27569644900073,4,80.00730063327026
q,55,39.12981468446114,43,19.164753007585876
t,28,26.400300220340434,41,65.96098866912538
a,47,30.625434008214647,61,57.83433079251357
g,28,64.5963178086903,53,77.38344649060066
c,48,41.664647840504585,95,8.568637094539412
b,12,26.26586224389157,61,40.01115659324553
d,71,14.609204982653212,56,1.7959548918999646
y,22,28.221050378645053,75,92.71258597065406
k,68,58.2733903958744,81,75.79715575995213
w,74,15.19747065941911,65,86.51913286525244
m,95,55.9402395932292,100,59.11684138461049
r,88,6.941742512632243,40,50.59487299235978
f,58,39.94332331447319,76,29.993407317461518
e,61,63.86272818541078,36,81.57530411702677
f,27,26.65770616134727,9,33.755329510200795
g,83,51.82727266876628,85,6.832616250222701
q,8,53.282378529876475,61,26.226872912403078
y,42,27.863659086927395,1,1.4225955287908154
u,89,93.88148083743528,48,87.56324775923538
m,70,43.302892521257306,7,7.311657812320204
p,35,83.56042305387501,50,11.885787485348299
l,26,28.20197299541648,34,80.33545783581653
i,87,91.40948437500171,59,41.22654129298721
a,34,24.06008787521334,22,84.32146781783332
i,19,85.43304047112655,97,88.31369146143041
h,6,27.83464720664639,95,24.81170417580968
s,27,8.783860632066387,89,82.15484824690215
u,32,91.06234399202415,14,32.848663893970134
r,55,97.18895880871273,37,15.32396788107554
m,84,42.88140778507494,5,58.40468877652354
l,69,54.35716909470998,45,42.6439904026553
k,39,86.61962447783391,93,32.29497973972125
x,46,54.33109100866407,86,38.90957390867398
y,61,71.71550608092994,95,29.599812779954693
j,57,48.939481488621304,97,1.719739134696452
a,76,77.02506512874592,15,86.00011470432689
p,51,12.1769434478876,43,22.159919328788035
f,20,82.7469474331355,56,66.6164591770907
o,8,68.57492857834615,3,41.52760294386433
g,68,98.71028066130394,27,90.4620775607927
e,34,39.2291864498016,90,11.854938857636643
j,45,2.2549718826233245,28,53.73860306880373
t,48,11.405250213032659,9,76.99978186546352
t,88,51.57423377790453,15,12.085285884605135
h,81,95.88478925516793,67,82.63424527773371
d,48,79.28488065816029,13,98.8030591655823
l,16,55.17014732833344,38,69.68237066249348
j,40,98.74906975542108,96,75.8499546966082
u,4,17.47887642384731,26,72.94946357640411
g,69,99.39897840463955,36,95.7876808297041
h,70,26.720297324203855,50,62.174742412778706
z,59,42.030629071347626,25,45.28721222204914
q,34,95.12054208119737,22,81.51973347815908
o,13,21.557144242391914,43,46.78005001715898
g,38,12.377981171397511,31,98.64374962831192
m,34,76.0654598104509,54,46.32550397883216
m,27,39.033419684067425,49,88.20073824324392
o,81,63.54377360122017,81,68.14595188295374
d,60,44.15890132014761,25,70.49850608690407
t,28,11.620049514787445,5,44.4617235380804
b,20,87.96367569116389,90,22.101732800058848
t,37,36.61368186588694,99,12.969104814994726
a,6,90.70288700381087,61,27.936185960474358
b,40,8.548189606706092,84,92.14570853261569
w,82,0.571432305624453,21,13.536162405622033
w,58,42.623224384216094,22,11.963296559085135
u,93,79.7417095031661,18,42.339772051718526
a,5,90.08289517886747,85,2.983877061231399
q,40,4.502688754528894,61,8.766490598413402
e,82,73.18382786466564,72,79.37589959681198
m,5,23.509090493037597,45,6.550423805612526
t,81,93.64617101066152,69,5.592912093298841
s,59,73.84083445693095,72,70.74508931622904
b,36,52.48689869835365,63,39.575484984897166
c,8,30.34177071356725,64,44.88763017527854
c,100,70.0468745139966,59,0.8799159967904591
r,68,8.781674799476601,99,12.253849245042082
b,44,44.207177088822036,92,61.222794766004874
p,71,31.642888414144622,54,36.44678374931735
p,94,83.09723859200787,26,83.90442640759646
j,95,45.3697170181063,70,56.70641170855099
w,85,79.00607857893874,85,77.80583211735032
a,94,14.059052326404187,16,57.31852777456301
e,77,85.16123887019769,71,39.47689410726575
d,29,97.35067101373949,60,12.6154144547303
y,71,15.508743976995065,86,93.48602580587028
m,56,8.972109263763928,24,47.92665018796672
s,93,92.57325807736952,61,67.02094311562264
f,34,14.702931031602361,19,63.01058610450413
i,100,77.29049431053532,90,45.821710757327814
b,81,0.12966781535086458,91,18.861653914532628
k,58,36.1830796837677,16,80.24639591947522
l,89,77.25862987685035,19,67.70502303612659
q,91,5.634021488289031,88,50.377335372702014
k,95,70.83039212743036,78,72.94759702782592
q,38,72.02475927608145,12,90.36065169040573
q,1,36.59791493011372,12,3.9900685928059287
r,35,27.289031811050723,59,82.80203824162245
f,64,19.239357086800158,40,72.9200914363502
l,6,32.94504491932725,49,37.852049308592896
h,27,9.436215309245355,21,31.034143504517054
w,19,69.02432483524498,69,20.290462764138173
g,93,29.941227682797546,58,51.369732159317216
a,56,32.904200343303,93,61.724620726687775
w,76,59.751122661162825,39,38.14979028435813
p,87,72.87473088153648,86,29.075982903574882
t,29,17.31218838635081,71,37.6380123586642
y,82,94.9304734963201,80,95.71214538094254
c,92,40.80497294838457,64,30.66628683417446
f,63,56.916838903249115,73,48.47298145379904
q,63,1.1422184265641677,61,90.63343982536566
j,94,97.32209414931407,99,62.1641078760202
u,27,83.36400180563481,83,30.687647497480597
z,23,23.024070272522778,10,92.13770263163742
s,4,98.99001331787055,71,0.568870768591967
f,80,74.3344175030178,65,13.776935940720358
i,37,7.681220355624796,69,53.404650627455574
x,51,56.394238258101424,48,28.523636961233688
m,37,97.21092023313393,66,57.44831556775453
f,27,66.61554739921262,19,26.851483363627526
b,83,64.80622479556358,46,31.460125700436326
j,27,8.328353555630386,36,34.661170015282025
y,5,27.29006722545736,65,95.33787398423648
n,74,80.10371094301874,44,10.32578361525437
w,82,12.922615956423034,71,2.2466350889911446
e,1,28.16938813878319,94,91.03756391677877
h,60,47.8992795377718,57,40.63815996605684
v,27,8.382267560220203,81,35.16612052410043
z,69,87.49998540864168,49,12.54355450547563
o,24,44.83996012808059,70,33.86195512554392
s,34,75.89847766689589,26,66.88632840117482
i,24,19.2692417727636,99,55.797304764451624
f,86,22.76879779643538,43,61.72602496282562
n,29,29.96090852006391,30,66.54508003439955
h,33,62.90655348076093,25,2.8746108748332277
u,28,63.680700185045424,55,31.956653392250757
y,91,52.437943523484975,64,74.19941689892475
t,69,56.17118683110175,62,59.76157971865307
a,27,85.093522067157,14,60.59266351834744
d,22,60.87507900411266,51,21.050831332798936
e,19,58.705296658990534,46,42.071194177091954
v,3,47.867465355048346,27,34.13331603615182
h,38,56.418476441756894,88,82.96039983430602
n,58,61.966979679519426,92,97.75011421828783
h,81,90.5248193375667,48,76.43618960902825
s,46,23.15970539148109,79,29.46776338987037
q,24,14.596366692823548,74,90.68273106252057
g,17,64.93232541129295,17,8.95651642324462
i,24,33.40406312572591,11,70.31657550059002
b,24,49.79582361502371,75,62.88739648345367
h,59,71.32225785987548,89,66.83328873544487
p,21,11.731194165584146,24,45.770044402061274
j,59,44.782878576507066,63,61.97358431227278
j,38,68.7432328536763,82,15.51419156922923
s,36,47.05130454452251,69,61.09992417070632
j,90,44.74285046416705,58,48.12161734194318
h,40,41.70073758768,30,68.34785310749089
v,51,27.46301711116451,94,16.5693990775743
e,72,70.65812608130577,90,93.02548009014298
q,92,32.6625803256705,99,6.053541249481775
p,27,77.77874195194158,22,99.86686815610022
f,0,54.300141981578534,52,71.98811003571194
e,19,78.73060411407322,92,56.355090248357044
q,89,13.572554335926945,63,32.45957190191972
h,12,19.83498862206342,52,63.689465062713914
b,73,95.55289119261994,90,54.47885233732691
x,66,97.12584771471272,47,24.518245216838586
q,17,64.56282453298088,56,24.511982995905115
h,32,60.164365158099976,86,96.97241412028907
j,38,25.185701948259553,25,89.60902173376792
t,89,32.47480054581806,13,36.090616980677524
e,36,30.740817548434375,35,49.23188760783389
o,38,95.28456943179047,61,11.062897767605861
w,85,78.16240999576353,57,9.700076808904834
a,40,78.90037813964037,25,38.459918129149216
f,78,50.50959828382329,98,68.26748481112564
l,85,9.020371715845831,2,31.122539186729657
r,39,32.67343953262447,90,70.88594166019239
v,55,10.999765686565844,28,91.26095759547152
p,39,69.52107831487693,40,4.465997499519448
g,43,7.604524067841734,93,28.836727533743243
g,77,75.6951946639823,91,98.31417070383519
y,88,78.74884208774266,93,63.51659012434192
o,91,66.33896736927922,96,75.2596397909425
a,84,99.00006067159016,80,35.46525546258709
w,70,24.339441793239057,68,32.15118145716252
c,87,99.93198233663233,62,58.32700893732626
c,73,10.872890357909892,72,61.560557572139274
e,62,66.61253173596417,79,28.957224704900174
t,9,7.200701069391979,92,13.818097847406774
z,0,59.44592632691722,65,42.272996296597775
z,14,16.796433243405207,22,91.58627786773339
m,16,44.01200078096913,35,27.100734509867596
p,0,59.07140856608779,9,18.570221114984463
m,34,90.27914894212185,62,71.49395867874946
o,39,68.5844697636586,94,17.775590494726888
r,34,54.845520802400785,63,70.67198098017137
a,46,83.80766015448981,45,70.63438671210304
v,66,58.37470548451119,13,49.686209225077924
p,100,73.16103343900022,0,47.54013831146856
w,93,25.011850226319055,12,82.02115228403012
i,87,30.778645176901797,70,52.90660026568417
p,100,15.765560284400715,80,68.84572875460974
e,41,12.878536702736698,42,95.32381356790107
t,75,29.073609595919148,30,36.781800742538515
c,23,74.43145005872948,43,2.2382240202616033
y,97,87.69813120749275,13,10.945203820007443
j,3,48.68467061233596,69,95.37420332170595
i,70,43.065357344208856,23,9.528862869337217
w,50,98.21015761712152,15,38.305660983201506
t,74,28.421094899868038,74,5.171798676021211
p,9,43.27866532945905,55,68.92310749690716
g,5,89.35420994073311,50,49.762142121699725
w,64,10.649524281885792,94,77.27248929272771
r,70,55.172140371146725,35,90.78867412883268
x,66,3.362654138303367,53,97.27685358242287
o,98,40.38189998522105,15,37.85867805885946
i,49,22.88325983424513,96,75.69138418881305
z,7,23.567721407442434,50,36.32064397437325
b,30,68.65730835879887,41,18.18380763121962
e,67,29.805639456038524,51,74.44623688519448
v,4,28.287143266116633,24,41.51682291413857
c,57,99.87687973431393,1,94.56734473044106
c,30,11.97670487785758,85,53.18055546255776
