U,O,S,G,P
p,51,62.908404377399094,78,17.491845264723793
c,64,92.48629737043268,38,30.323583555873913
c,32,25.354012739940657,80,66.88318177144535
z,26,22.706638147025338,62,44.500597107626575
m,67,29.595544254177607,57,26.73992680101773
a,98,51.74206482143767,7,82.68559588420098
q,44,61.34131694555058,77,76.91189925207414
l,96,12.56729018057946,31,21.89845079526108
s,22,22.292980872409874,26,77.48278532528941
k,52,3.5497738585474115,36,62.877589592404306
s,81,3.3023247164793657,40,42.49759815339
e,83,13.658296346925491,18,35.98372260398167
z,69,26.523336331775027,67,54.129976777269626
h,4,31.49024735306819,53,56.26709112510105
n,44,43.03016047902395,94,97.41151465104906
u,23,89.10426014913585,81,66.98304905756241
o,77,78.08766223898566,25,50.85882892335382
x,23,86.1698296369153,20,0.8938486256309885
n,7,56.22791415250465,33,50.47278055701289
p,37,64.62706183240883,48,54.26989632664158
d,85,49.533638591504904,11,68.87519090938879
m,14,94.38982465325428,5,24.385175694193016
i,27,2.6341057135224277,39,7.364924148473184
s,62,38.1791707405128,95,49.94598716261842
w,46,36.437585830098264,47,7.967555899310852
s,37,12.196978932419366,6,64.03863311448875
v,52,56.819409124990514,64,93.8808006010728
n,86,60.48077647759575,83,31.659614033584795
r,12,90.97136707051713,54,93.23961050230339
w,63,65.04882574935925,45,4.768209348114127
h,71,65.93742323438438,47,20.464101213070585
k,12,71.60928906480905,51,93.95073858316815
e,13,46.942125951908054,48,69.02939679662443
u,77,25.391049427066413,96,9.08383425804371
t,16,31.161651919059985,96,48.29415924100427
z,33,62.59784243219485,56,34.42906721815658
h,29,35.74197962314466,53,87.86804616672268
x,13,54.33351184678823,65,23.25615359640961
j,41,54.592838112276795,18,19.467158552236597
q,38,62.686250911430555,55,29.58290874568349
v,1,37.85606224653149,27,51.19297978108347
l,21,31.80882635090064,37,71.62179929710011
a,88,3.125516255846583,64,7.03738232953659
k,47,1.5965464224003578,64,85.13548885710703
u,33,41.18063423049839,61,20.132987598049933
n,96,42.84963684736963,79,67.37809708403914
n,17,71.59872059739997,45,15.805562681610274
t,70,26.355642257363087,91,4.020228545510318
c,66,83.1265086074775,38,35.018646886039875
k,53,32.85104208853385,32,20.078996260561265
x,73,32.81405322980674,46,8.962173214348256
m,84,90.8934480017449,98,60.61788262776716
h,69,3.2794894651312023,26,82.23134788490542
c,29,29.223338406749598,22,70.93791148021211
n,50,11.0510151521509,62,35.62753180951128
x,62,63.55338331272944,61,91.42532531852896
q,70,47.56874164567576,66,88.74151298486255
p,51,61.934912761033125,14,4.3082045529997615
d,39,78.1880399631869,73,26.07991805906239
e,57,63.13232240499983,88,40.77948789861152
h,79,70.81953577354774,27,58.625486591368556
w,62,25.99356361802141,16,4.764899111302656
v,8,67.9249868818851,10,88.17892172437425
f,64,27.037992654105413,72,20.52883275282207
g,21,99.64505186829899,3,20.045455408155853
v,9,76.80822636489225,2,49.58617715020798
i,35,20.580419042775667,9,47.83818524268292
m,33,76.63594219781993,60,97.28673008628581
l,86,78.7816365100095,17,64.09071890854378
j,79,12.269581159308407,19,61.10130569659085
i,93,52.27558100871885,71,0.1360390357411756
e,80,57.26677976822895,19,90.53509085342112
h,1,55.05360979298395,10,72.59997132825534
n,37,95.99855161585738,51,28.52215451149628
q,11,88.51937864586644,86,46.29557996885342
y,51,14.90420947286033,3,71.35095382550067
m,12,87.25667006254342,33,8.687710310982833
t,26,12.731680967837477,62,21.934293580901997
n,93,69.93307052237931,26,54.89672062191191
f,78,36.29885812529401,85,59.47836815404045
e,99,44.913501947906894,10,88.82992224641282
i,91,26.24343650641443,58,57.629884054411626
a,41,84.83846826094815,58,54.41400901813882
k,10,32.03026210297926,27,70.25601279122353
v,50,75.34775914241203,46,42.23956316735076
h,8,19.8739282702213,73,27.2547605354579
u,69,54.341309951362426,24,60.095419144558335
c,52,40.7512600475334,40,88.35167702801049
x,81,93.93523109428833,81,78.14935483108118
f,68,13.32885219193386,51,33.77278909877328
o,51,50.54975658992694,23,45.64905482174262
y,48,10.372362537121827,53,56.78077341572296
p,66,43.214387670922086,65,90.14973922927342
l,46,20.76669845839695,20,26.063679275838325
y,51,43.37589428726355,48,73.63027312017569
b,47,99.42130235610642,55,4.135924356978982
x,35,68.47345362464281,30,62.887068711542206
d,58,18.534543098764743,82,37.59603750016088
v,63,82.74612016291023,63,49.1390552672216
y,45,0.600085530540273,58,62.57579623501234
e,55,25.052144297449807,41,51.85278463212172
c,79,57.00002235594833,74,64.52626294124131
m,84,79.43385612715161,9,76.39655139804539
l,73,98.92370188243142,7,48.04428251075578
z,54,65.59406021220549,26,6.402459105465974
w,23,19.40597325070921,61,14.044307422321012
u,95,90.3323631476795,42,60.63969298301905
o,27,55.71611856608805,47,77.5222674218764
h,5,46.1935142494126,20,78.09052823982951
s,66,14.741200965861466,18,63.935471728651635
y,24,88.48395554427857,85,1.073262246936313
q,45,16.803419483511995,28,60.4361706067301
z,68,42.693590944401485,10,32.86900680747112
g,2,54.490654950558906,57,71.47314998199283
w,14,88.68361673827546,25,30.90755039237353
s,54,47.6495297815431,65,7.71440188733653
s,42,31.86389475678617,13,49.03152812505376
u,61,85.24178630828199,26,98.40199733483067
f,47,10.456395313677124,14,75.7427161268717
q,54,92.93797344787409,36,38.65792393356903
s,18,53.03851754121107,31,99.87968834188088
a,20,51.67224290269738,42,94.8610802709339
b,84,47.11802127949013,39,28.704912758631064
p,72,40.652633619118326,47,71.83963685883855
x,59,30.29889304107092,98,81.2295777288003
v,80,26.25286189079764,95,2.9707286679973133
n,70,45.05421154655942,84,34.43454683747037
d,83,60.2397479874127,46,77.19394442474582
a,4,17.427369116105673,62,50.790218531655405
i,6,60.72674863959819,66,30.378260156007375
i,71,63.71014486432009,16,2.579290265080747
i,41,48.70378972024717,63,63.41395222504398
p,66,22.717160325600283,16,6.310178997363225
i,13,42.18942008614872,39,66.04125446559014
h,30,24.90841259159491,50,2.3748522812605866
f,7,82.6319841741174,89,19.61275429012027
o,8,1.3514864603460963,95,57.17256689817388
n,3,25.12161063962235,72,34.10641819497605
t,30,4.497773415164064,61,92.52187312903776
i,30,60.800516617074315,96,90.32654169837903
s,37,96.81516410539498,76,78.2653042683185
s,91,13.046396280273132,30,3.208661278698244
g,70,4.752784629113549,97,92.05218817664091
r,20,28.376634180483062,85,78.16674081624295
k,34,93.77997542243979,7,25.240496020881174
j,47,93.97235919181644,89,93.93560751530855
u,1,64.603191472071,68,72.42189945995376
w,94,14.95431661521971,44,25.573376933730785
r,6,99.89754353947829,67,0.28355079711923636
i,42,4.632187186931446,92,71.12868725101158
l,58,65.15302607931636,86,3.9536059394953083
q,40,65.82584969389286,98,27.75420484623353
m,81,4.549269210863582,2,38.64199221681868
m,9,17.10737679284535,22,22.401687157153617
c,53,82.16935521644629,84,76.28874846603281
f,52,49.266977107750634,78,41.26399187309689
z,82,67.19251335475295,32,46.821214039168325
q,62,62.565433967388906,46,42.93915788160469
q,93,50.3300293089339,76,19.010941813146033
j,47,41.2451642737077,32,57.54687901772756
x,100,3.5556502588776184,89,58.05675396779934
c,97,6.851128374839677,54,91.33546756906406
i,64,78.30948004396923,51,48.669597001532225
u,74,69.23307280866437,28,8.889999517032843
p,43,96.28466024403168,74,17.27109393882753
u,27,88.85387878872068,86,32.12036411312982
d,66,18.812220914818557,41,98.10942748660545
g,24,57.945127902078106,64,37.98797155065306
k,54,16.391551880285103,8,68.23476619758688
y,83,19.87965654788101,19,89.11544576249327
u,100,61.730257133493495,36,81.87326896626986
c,49,95.61277186489126,10,19.30915442136071
m,60,78.95626217574757,6,72.59836017859516
k,87,13.01342683736837,62,35.99726405909293
p,38,50.021639391539615,47,58.46211634206182
v,53,36.632589981595046,92,77.2415674242024
h,75,84.26191078391147,23,43.47899638617236
y,55,36.48286392576118,95,81.68854206726893
o,44,32.14688963757597,47,74.37204077079652
l,68,42.94735959068049,16,58.04358961671087
a,72,27.32006825947202,66,50.21860159763168
m,11,18.967871458123533,80,81.56750382171184
w,48,83.31474083126334,18,47.521696110699466
k,24,50.08107143950992,16,84.58378996983096
x,75,33.82622572072608,69,86.92977511307514
l,70,40.827949032300126,49,74.26519313286228
u,56,27.975219585898202,25,0.5663333043509189
v,74,63.71129605182274,53,83.28944234734175
i,83,70.09540498810625,59,70.60349022275683
y,5,35.588288924299036,10,58.9344859282806
u,58,30.331179132600262,35,21.70031150812909
n,9,3.2481145251240684,74,46.875793175246216
u,7,8.371781804074075,50,54.43042084003429
o,58,16.80080978062435,66,66.14843906311991
u,65,30.319167845709984,49,57.39736325993561
w,23,62.62485810223038,49,87.94024540052199
z,0,23.025299923593256,70,31.99800485346853
f,55,8.797271251619987,51,62.557267679248554
o,18,12.160147827767776,62,24.95356094444855
u,92,47.21586858479473,23,36.988630830087786
r,97,34.81438034624499,97,85.4549207494875
x,73,81.91465392738444,41,47.73423379610801
h,87,76.50833141690643,52,80.4790377476061
d,45,38.735056336186446,47,54.78806985418441
k,80,23.580452645317575,89,52.574030854247255
u,47,58.36998776659643,18,64.13019817034917
r,56,41.91652024098572,6,95.30625713462051
e,42,69.80897419423795,31,49.86470056778354
y,8,3.0065196839261565,34,1.4873487097835425
n,87,97.94031953465242,16,25.638001726601367
c,40,27.17637464519357,76,38.439955261580614
g,78,87.41885705717674,85,82.401857093177
h,13,68.46652809660411,45,35.06844410281866
z,7,92.70761803874937,19,63.77797340768653
r,94,7.741442399061571,25,4.513581283456347
u,59,13.022157442285254,63,14.751817760139541
s,48,37.89123529269115,8,41.37026205488783
j,2,93.54789539584448,60,55.31130823977809
j,92,27.731781620732388,62,27.08254887436522
j,25,85.91633049682609,21,10.423141476587494
h,78,95.3819394481735,3,84.99433517753592
g,18,41.269725525411715,83,35.80734051848719
z,88,43.51959984694444,24,49.00782961383502
w,82,8.926462607903051,79,78.64582967294817
v,45,35.689501052480765,45,65.02879397466246
r,53,76.9264292777261,45,45.5840256522413
q,11,40.53908932975493,98,28.845847535042957
u,20,57.93028828571012,54,88.01787694067028
h,43,17.163490460017716,49,97.80101276105049
d,2,95.45510703623171,50,87.3880609095235
e,99,60.37116466802698,58,33.66710812435068
w,65,60.073378820168685,1,4.63561418930597
w,33,10.230898981403735,65,3.8697853531984183
m,91,64.53383553952624,7,20.07286898509556
t,85,94.08843663017701,2,56.33219899456476
t,16,16.862541033881286,21,74.89985511235511
m,10,40.58817739826415,100,38.460863017514
s,56,2.8820071193353725,1,56.011764919508124
r,10,26.12739502766154,2,38.572567147930926
e,96,53.346258326903495,41,18.94967037015953
x,47,47.9161534275655,3,87.79109932627337
z,65,51.99684236301123,7,51.57319907492194
h,71,78.9487193106261,87,20.73604092192256
q,80,98.6841414311023,20,57.545579657193166
x,64,72.8112058996125,81,44.519711710992794
a,8,24.66219486167126,73,67.62147422807772
t,6,56.25247497050735,4,45.40791747773737
k,17,34.26469254408487,13,27.94188765947343
x,65,59.354452816308104,49,10.770762292212932
y,1,83.15362804578838,36,80.69406368267067
b,7,4.9032563279535974,2,7.358512157842235
z,17,78.70547471145653,17,55.52196491116281
e,65,78.93356265584376,42,9.070641169634408
g,71,13.767864401899498,40,53.7076366797002
g,65,44.86965758220992,48,7.26545551283232
f,29,11.029972374477692,76,31.65662258932511
t,41,41.80131899846358,87,74.08698349797812
t,2,84.62191780411142,11,96.42298686801158
w,87,61.68365989165125,3,65.9726011865432
m,88,30.719775720175633,91,26.141787724534847
p,96,9.707374947018499,62,85.23555751904043
o,25,62.06717871549977,72,81.33641077953804
j,74,35.09913793493533,56,34.88566661759593
y,92,19.27222990549725,4,63.69912765779261
x,39,99.99603409691098,58,35.79244374546725
y,90,19.22763519837777,14,53.32032073929979
j,28,78.45100579128916,96,55.70782584297129
s,5,22.3047832949396,80,23.423417687028948
s,99,78.46163096445022,2,0.6234557481724856
w,93,54.11933641690497,81,81.407475303115
t,44,40.08180878702673,33,91.63084714103285
f,39,26.8428172200711,62,42.29748199859118
z,64,67.46403335172305,73,72.5095742202069
c,42,79.58540800736841,86,13.533496658119526
l,63,0.46457819420312463,39,50.997606882511604
x,24,6.261554058909724,24,81.43131800243889
u,21,58.976735728347094,12,21.196316568919393
x,86,7.5812269423966905,60,43.543547621114655
h,3,92.8665138782789,81,24.931331529779644
q,33,92.58590304778785,100,58.21386322735567
z,6,41.163033461727004,82,93.49846243038836
s,27,69.03192156654391,98,8.940795928525702
y,25,14.493143982564893,8,20.715950132749583
n,66,27.800725583239693,56,11.13829716556224
f,82,72.08075950949076,41,91.92925501338387
c,10,25.799448599204812,61,65.84095968510888
d,32,45.77170277303594,26,0.9734614389234841
w,23,27.414388010516156,29,22.218218219123177
x,45,86.74578652909912,31,43.243592275946206
m,73,51.26154155856993,1,60.054009120164444
o,56,25.26926265470114,78,34.430786672345604
r,72,69.80793655071695,63,21.938156326672132
s,86,44.682362278054256,96,56.873580065193565
v,8,46.12037627916668,49,28.014634340051934
z,80,41.312992824724645,72,96.69207630349888
p,87,1.4762648580581406,63,85.32555583696805
m,58,26.29000091052204,27,56.11512172226886
o,51,79.49490432548065,0,11.853904074221145
k,88,73.11467464884781,47,88.54993590332579
t,82,60.652089194786775,29,9.915355819980022
h,42,60.23212467972724,34,86.73838250255777
b,57,27.44212584020671,44,9.98873250102157
x,92,60.98141013954614,33,49.38919078886552
k,39,27.654891837825378,17,96.17233283126762
p,17,36.59992552599501,79,26.63013450420566
h,7,57.00268786835026,75,17.26937711600982
a,30,19.152956987937475,87,93.6190446877538
a,4,16.715601290113824,68,9.888128347282754
v,52,82.01825647052853,39,44.90983880835754
h,30,46.0398810695669,48,22.431943545578115
a,97,19.068162157884494,99,76.75116335402244
i,30,81.72037566716371,46,82.32692660216946
s,30,11.042711808776884,26,98.02957847922796
y,52,63.62641481684692,99,57.35757289805957
y,13,40.675744426709805,58,63.17865395203906
v,14,56.141362021362525,62,91.4406146859632
m,87,73.43396582530866,9,48.434781029277474
w,83,33.236296891645736,39,55.833249210717184
v,62,27.07511391254811,7,75.39738110202808
h,58,44.68005066966953,89,8.23295620797918
n,29,36.52375281769223,35,94.78163534617052
j,61,50.07282486659261,15,80.82599562657704
w,88,36.58333113186757,32,25.102524082358745
e,62,21.826829434485205,33,53.80492485363415
q,45,40.733263889671804,27,42.023276482847805
e,1,70.79509022456716,75,43.13321803623652
c,55,96.97968981029246,32,53.17827643901736
s,75,9.801094872364658,6,58.96006221318785
v,64,30.85977900984338,63,61.79592263864123
a,28,32.258849802471346,16,49.198427274897895
a,95,19.080079589689593,89,42.165524288627175
g,9,72.06271906397727,49,87.73293026071947
k,76,42.165961428364064,48,53.03285755764611
y,84,54.72305869823189,73,49.16350491802189
z,40,45.13301981787641,32,33.69077610917345
y,0,33.8162206417286,57,35.627805865642785
u,2,47.506054055751555,75,90.87596477856805
n,32,91.80346164630835,24,85.68793532095302
d,82,53.54193173305043,21,70.58617454706511
y,94,77.18493702653068,12,76.98906186023487
y,61,41.7148104052136,26,11.250582662730867
p,94,27.288706764108937,32,20.624908716791225
j,11,65.26824705694399,22,53.320324765676276
y,34,43.50913916687755,12,55.02101366493274
m,82,3.7411940203214145,17,18.660086872646588
q,31,60.969719416951065,89,84.97356428635993
r,66,74.86284718038914,16,69.1845206370944
w,52,17.317434086317363,66,27.675228494047698
c,58,21.73028533290654,76,0.563150713225069
q,7,46.17106676897767,40,63.45937825690431
g,46,9.090191373166345,81,79.1424876113881
u,24,34.17348326684171,5,83.0332938607088
m,43,77.51856039068382,27,83.14033439415851
n,15,67.55595084906088,25,29.94197819385547
r,23,70.68459082089885,94,27.86125422954815
q,96,90.68815500342072,34,83.07173221490963
u,1,91.9288496178639,91,82.4165375831328
r,7,1.8456977792469242,38,21.57419078523497
g,41,27.670215888651907,54,22.79797125585801
q,64,26.96738453144083,41,70.84021522175898
w,29,68.36710615279627,14,83.92780140951177
q,79,95.89036797621517,89,82.61821464788397
d,90,93.62235769482517,1,52.087393479221845
q,2,62.860599060887125,75,84.24808245366651
j,65,27.39748820545226,62,85.94594406913797
p,78,42.38343866066152,81,28.964219514878277
w,17,52.30859238929846,64,72.920526823116
e,4,10.749029862196469,66,32.87676056997477
p,18,65.55490178410757,64,0.041997211363176135
w,41,50.70881868786111,73,63.941901850999685
j,25,8.945579843558694,43,31.773306929100332
d,40,48.73718850090103,80,94.5992852905315
z,29,10.961467254956592,41,99.2739847266873
q,76,49.27044547230781,84,67.08419112644852
u,62,61.487624413474016,72,48.294749525569316
g,79,26.00004526227545,33,86.92892927395816
y,89,65.51767496696024,77,33.815002746201685
r,40,90.93166548940657,62,38.74125212450941
y,94,7.120929379808095,55,89.41533855896635
y,56,22.78800110386242,4,59.704836652589755
k,37,6.065098211814468,35,48.19180030727842
s,31,37.417509184319364,79,17.59826637450157
w,49,93.04195969175775,10,46.05366323911627
m,59,97.81606420449536,99,71.16992993710214
f,11,52.88622160656988,37,60.01117807566673
c,42,73.5608487725495,11,44.473643781147544
p,88,1.2641755436450852,21,90.1868368463331
x,16,52.003232170159976,47,83.91611006706059
v,41,53.81301990354176,81,59.28209965065043
p,45,55.763440475425426,76,30.41636914771566
n,97,57.22821393240917,1,82.82429514046842
l,87,70.94580526816318,3,89.1911446228446
w,0,32.491477346344276,39,0.6511267029504553
c,40,55.94778191879889,82,18.553737009825312
e,61,16.36365418608985,30,19.549325336735535
v,21,73.09161700933538,92,18.77542968189687
r,33,71.99504593396135,12,64.05360304656567
a,12,34.1651651507445,23,5.701861605429881
k,46,64.13347611141359,15,83.47252628969862
b,31,61.52724412012397,37,12.267961753811507
c,98,49.474216222987046,22,15.246861640088028
w,85,99.29692862022671,71,58.689549126854466
x,50,99.14555245895346,31,76.0906526840657
f,41,29.89363951395675,68,11.726647782754739
q,24,33.27051082090725,21,49.346085085238336
x,41,34.44616272995608,14,99.15234526370703
h,56,68.56734049366206,41,37.69763164030208
x,78,29.142581558338787,72,29.08822193379218
b,11,23.90625862280248,54,65.12922067685705
b,91,20.759497713197707,65,49.253413732685914
d,55,82.65720629087406,50,69.51504421210511
v,20,4.532127945033926,58,38.5056863749894
k,51,35.60217843121888,72,29.622581817768722
b,82,7.5289545186340785,45,58.15024055484906
y,79,82.30595531439904,48,4.730857707691804
w,97,28.412739474560144,74,69.30377797559701
q,8,45.815021705997296,39,68.58353188302934
c,75,60.258518754637905,56,24.29388772128104
q,60,95.09433986972371,47,18.229510115474458
i,88,98.2833893626299,91,8.76261831202404
n,34,41.117995242633995,46,69.63424639850358
p,22,59.92699583221244,21,92.1128620952421
c,97,70.6890493791242,5,84.80149031112535
n,51,76.65995350169801,2,93.23668464805391
i,69,97.63311206445405,84,54.47766125162977
f,91,78.60083161564351,0,65.73144906673706
y,65,84.31757015929055,40,93.96827543406471
l,93,81.76691393733728,34,83.356772068268
r,48,52.33746601029643,30,61.96375108876633
x,3,59.01107231660306,100,93.97749957480157
t,64,24.845066987990847,92,44.252634712021
s,14,47.96275043925811,96,22.950924240335535
y,96,98.06756568714457,91,69.95438922287389
g,59,17.946255038333813,10,67.27446438307592
m,66,39.87415576110389,74,19.08005045299994
j,65,37.114746908104,66,75.61902615870264
s,22,65.89525139634843,70,89.66138629207408
k,86,96.82539012470146,67,29.204831215198134
z,58,53.4013101450307,43,72.23599420593038
h,85,41.94694702794541,63,79.43769708333687
g,94,74.50038084173704,54,36.62961547038693
b,17,31.17388011585531,39,10.53780855549583
n,21,24.409963723487515,80,9.99439078973271
x,89,18.914302674683725,68,33.70101093775055
y,2,7.127216086304633,55,10.99258634079433
d,95,77.1040053286165,56,39.794281701152165
n,70,39.09974886414814,37,50.455821247273924
y,15,53.82776970688672,98,28.021908581447295
r,5,60.14452096430124,19,84.55301832734678
u,22,1.74533540395162,63,75.0212498826904
i,23,46.18362241432725,89,67.34214448361352
f,59,69.05579398639428,86,22.318111107579863
o,33,7.608101540799995,9,31.863982892395025
j,36,22.170932835556457,100,99.44093840590111
q,16,87.3025388510525,55,0.30027566731555266
t,64,10.9901413737156,87,85.70971577275012
j,44,8.07523169144293,10,54.01886523202617
h,65,77.47963516544034,95,32.53710084819736
v,62,85.97600968405256,24,90.47626695366908
s,87,55.49280477743488,99,82.51994100129102
m,12,51.46864388189671,45,80.81304770237256
l,10,79.48835280368199,35,58.330310608633376
w,73,53.08285734040289,71,29.271739211653937
b,96,86.05625051498235,56,89.3454076777385
b,54,27.513961201630366,91,57.387088549068174
b,32,37.51636490421281,12,34.98046721685881
y,72,65.22043642548479,36,33.56601090487435
u,78,63.393079253445386,8,47.930135970391376
t,4,16.03373162556636,91,50.511305301043286
a,29,98.72993067450759,26,23.800969419268213
r,69,22.07322851051101,35,15.10920336878987
w,33,37.34198088441787,9,82.68618028822817
v,5,45.32644995211218,90,24.3345747757474
c,23,80.67139714235728,81,11.52453901806284
l,5,74.13039741719592,41,18.27862410639457
l,87,42.540802235520914,78,15.428334923016395
k,98,19.246747216377603,88,16.1600826748032
o,62,72.66874412523357,68,28.690329152168736
j,83,67.00411326393403,46,35.57893693013852
y,17,41.737660459826245,86,30.11205707116823
h,67,39.61818237079983,98,63.201156731259914
l,66,76.85579011143538,38,45.06891070963117
u,19,68.56316983923423,48,76.58914333869879
k,87,85.61512663940233,2,85.46149986415858
c,94,14.779199453199931,63,8.390753176351318
t,26,57.0649218455794,60,75.14684717331926
w,24,45.113383612454825,1,36.76923817827835
j,86,12.533697982477666,37,65.50996975992382
h,10,32.90751188663633,93,15.273287927410184
f,79,81.4884256827732,99,42.91964645875361
g,50,25.460215917962316,81,44.82819690482186
b,64,10.127830468851206,86,22.71015311146468
o,47,61.67059718652982,51,77.36969805130921
u,78,0.23639935722584715,75,26.642013790582087
z,41,21.71263176027567,20,71.25648427577933
g,1,76.91408369978507,17,33.88914972454683
f,5,86.14516561346902,48,63.909072683007295
z,38,1.5468442192417609,83,63.21250566859297
x,65,82.09337279297266,32,12.039676559103818
i,38,74.37335438552878,99,72.44311043855411
g,52,69.32286340252949,86,4.823791193782223
z,79,22.1833896172135,3,4.62908321371086
f,91,6.71348670711237,10,8.420882942663265
b,98,19.667160566382556,52,59.02551192892624
o,4,85.29488714266763,14,57.4971481922497
s,57,43.87948175273143,82,23.620354428751
c,51,53.18160175379022,1,3.245370140026116
k,75,45.25874365347878,56,99.09495469117675
u,35,43.709822391783106,31,33.9018361177539
x,4,52.69538853903335,77,0.010578779925263238
f,29,56.11610433168157,86,78.99023768376924
j,21,60.42870874561223,68,10.351061478963253
d,73,28.45283795668071,76,24.453965961955817
f,99,15.134892471557915,50,91.03301167128949
l,68,61.18447584903074,90,43.993576211963926
a,64,43.88198785080352,27,75.13232524096716
c,1,41.64617035303494,44,23.146831616286377
n,42,44.98132376620416,27,66.5069382340419
y,4,84.90191400359691,56,87.43671520690796
n,99,82.92296240167761,99,34.92924607580866
t,0,55.32751818144516,36,11.462994652402381
b,70,83.25573873566007,83,28.568850854129803
w,26,47.01659058666476,81,6.834140053578885
y,84,63.93759341616947,26,68.78506300776137
f,51,55.74234015258496,79,5.140611784649629
h,11,83.8232141546775,28,38.28944440934245
h,79,35.73981992700589,32,36.0727816818526
p,6,45.35798784271338,80,7.833809327309538
x,42,32.242224209208516,92,10.241845870360978
s,82,29.017180397327614,68,65.62888445695027
b,52,67.23214972811617,51,95.92283182089396
s,2,69.32416540898063,93,34.871238254463734
u,39,36.40564296691545,93,96.53584574295633
m,12,83.68596552329444,85,50.52076757823022
s,85,14.847209133908379,3,99.5144146628847
w,96,66.8872229759463,31,3.29911025249906
i,9,17.45916756949619,77,54.74509937831931
u,88,4.755991628752443,62,96.58174347269511
d,80,82.31675510169853,11,14.646283699277829
b,19,44.41550083631729,45,56.55632191826043
b,36,40.29516404491048,69,17.569370328358012
v,27,23.467325722247445,94,97.28108290218344
z,0,33.87733599396695,12,85.41415171578222
g,8,56.00302191360256,33,23.113245149480655
w,94,12.566642200243939,8,22.410165336719288
y,59,84.11188488278191,44,10.903496670346435
h,41,61.62896164817136,92,66.65326336336334
d,13,10.027994597215873,77,94.93390092090863
o,48,51.73528095857009,11,45.64206487289832
i,77,44.95980004061651,62,9.436093394063217
i,88,98.04541354692651,77,3.1015416419361563
z,79,56.53007596060298,21,62.33411060176262
l,99,52.395621855952065,76,30.988877877081045
a,71,32.65138191775184,84,51.24525590545632
a,72,40.14315280568245,51,9.191188969199725
x,55,90.70910773235306,35,49.5558478609222
w,17,38.78056047510935,11,34.88444457395633
l,49,50.57967152929067,53,1.4282764925051983
q,86,88.88263975857828,14,27.51848761686845
q,50,60.8569918786222,27,10.698235331380012
x,36,50.320120264827835,36,36.60707636228627
w,95,7.562540459172573,70,23.788308761777266
o,92,65.94806201858252,7,78.85575926842641
o,47,99.87465092055277,57,25.00419531278151
u,0,31.85409711271765,45,46.17995374326361
z,99,87.61810763598132,69,12.83365697500537
k,70,91.7358337637118,24,45.42314624591812
a,27,98.88618427647667,88,45.73082253895304
s,5,57.379455531661264,31,59.70505822135429
r,14,3.774862601426199,13,43.32590339740933
e,81,40.112616714647444,50,91.27472267801238
l,92,26.11816855701682,62,71.32504903812813
b,20,27.746873867114232,92,33.30108401170945
w,77,39.19572048674361,95,25.797318059761153
w,51,85.43387988439325,50,93.49307200860108
m,34,56.860124024952185,12,8.070382246116303
d,8,79.37831619174317,20,45.17201036879447
r,85,63.72629544795457,76,3.526010894586429
f,100,48.476654723972565,25,5.473935485833237
e,20,21.72051853369581,91,29.79050619464555
f,90,67.73415342576081,65,99.18209768701092
a,83,65.10095207201189,19,82.91045090638114
u,33,36.197335649896324,45,84.84412708102204
u,55,30.35571268843552,37,48.5523841537877
z,61,68.84672800683103,99,72.57638570187495
q,3,36.81045127433015,6,55.75403669606218
q,64,93.95670567635757,87,91.79506240423012
d,93,42.066539360511435,72,16.59905814600088
u,46,5.737224927145823,97,25.814073641012726
w,11,59.104558502333404,63,10.234849616205032
f,9,63.741887070966186,61,41.31914556842757
n,25,33.88037839903312,84,23.53055528287713
q,98,71.27779575518841,14,57.130779746090965
s,41,96.74387318897578,92,17.90760818531092
y,43,1.8998667995416496,62,97.44963998497943
o,27,96.62357906192817,68,26.5425684521724
p,41,87.27122603233786,6,75.98660899619541
b,74,15.690613636562311,66,60.88273070256357
q,78,21.05419967602521,86,93.8185305107363
y,33,4.359653798456476,87,51.94011268336983
h,85,29.846828333784416,68,34.31014316266708
u,82,9.390196860511502,30,44.93394398148528
z,62,54.99251595718072,6,47.570351405184155
y,95,58.317098745652864,48,51.306295125941645
k,64,8.859529419419953,100,21.893085671686606
e,99,42.92517624045546,54,93.52475954598776
s,66,25.368260284894163,74,38.66193016043192
g,80,21.76956418866024,87,2.0165896470343836
l,15,0.023191216793749803,61,54.04344575354505
l,25,48.4025835109118,72,11.217546331781813
e,28,64.37451635056179,24,82.50687579771507
y,55,12.58650222779889,87,79.71875471942653
w,85,74.30889408799396,62,94.24240174892722
d,54,33.28443034806359,76,87.39881804547962
h,7,70.63114743317513,68,3.031354646044482
l,86,69.08530622750239,34,65.59470629639235
g,9,31.733109307486053,23,18.185218540958324
q,3,29.625050070851344,33,81.05104489531237
e,15,86.59498519070948,9,48.64749696322247
f,9,86.18856994545362,100,43.2166529315003
r,45,51.23263966679116,38,77.33069360108101
i,0,40.91024901469501,75,53.54974165795521
c,47,9.26738334124101,44,39.30921674900162
u,71,33.08157949506653,78,6.0650092706535546
y,34,27.002343814110098,75,26.35238438269646
l,99,78.96971210430635,5,80.68831204474026
y,4,46.9748897891978,1,93.1556078366636
e,50,47.21748201820212,14,28.701594504615702
x,64,71.4639199161192,15,97.81509645618087
c,35,45.76340151074215,80,44.8065560981329
o,92,94.01149503597684,44,73.9798409183633
p,40,3.4883867111382805,81,76.9016820699953
l,78,98.92679764719772,0,61.422779808013004
t,23,43.438404691886966,97,81.74722290699279
