J,V,H,I,A
w,70,88.98923460462707,20,66.35898779805969
f,32,11.77617476579883,64,53.533553777464824
w,32,52.44700226121627,32,8.654229798398717
p,35,67.52036190881905,76,16.43108246794188
q,80,8.918435869403751,9,89.02993167579977
z,38,90.98623346847394,4,98.40849056051569
y,47,95.97732731646315,79,51.719025566439356
d,17,27.73910706772552,17,31.69287671811948
e,41,9.295120346823726,93,15.639091663761985
i,75,18.589961727703198,39,29.73471176282807
j,24,37.9702873172529,75,15.778149327611168
v,28,17.37306512799727,50,9.873483976215313
n,88,99.99304901711662,7,67.83279731969064
w,86,95.7226014303101,27,72.74865546108477
g,92,98.36245305548145,63,71.35999776836583
r,33,93.11973121835744,87,32.8007234371938
s,55,68.24479300318109,37,51.880659199096904
p,1,8.920078458663916,10,54.39531546228008
y,69,29.350903646916628,7,8.727256991330112
w,7,68.02784508874686,31,23.39171182002603
l,51,86.6874501885363,57,2.866236028975333
c,35,99.38522609888125,52,39.54038403755389
u,98,30.802295557059622,50,79.25553551183914
o,5,32.712961530151055,20,35.909542991435785
g,68,54.4149545396582,34,52.74280212113727
s,10,11.882104340735001,87,86.17428582997022
o,22,29.200243087613874,89,21.833830526695795
n,89,82.47917173810498,45,53.81601907491324
z,36,33.38623186681191,53,68.54115959024152
s,23,19.79355991443227,71,92.03089679315764
u,64,63.457296187186465,37,44.938869424882554
h,50,74.99036139547056,44,79.16738041281101
z,61,65.09908415725926,50,78.52667700396647
t,1,87.68233980381628,68,85.52301164260004
x,55,67.22218302296626,52,40.83411648322285
u,99,43.23892063875324,90,47.23634686459823
h,47,91.7152066535828,82,69.5929753329284
e,10,61.15409277429116,28,44.9094281577292
s,37,40.02776552501044,6,15.884641436695501
q,47,6.158351513145643,46,45.44333014863668
s,0,88.37419823957975,88,8.175256451645119
d,36,66.16365059292232,73,53.23763061239818
k,58,10.712705581402604,68,82.97078472754966
p,51,28.186975829169413,98,63.47154879802493
w,3,53.8607147915908,23,91.77407236700725
r,69,29.862127847188123,56,20.97573225595868
d,37,5.434103826464232,77,20.80110013764186
q,18,44.98446723920608,58,44.2011239452364
v,71,94.02482975448234,88,5.344932908557542
s,9,17.27706242188499,73,24.70706911061863
r,94,82.49649057367793,60,21.04976209702597
j,39,63.730141368430736,87,93.66368851057074
t,85,2.0684499648611854,71,34.73250458366886
g,35,42.10246888288199,55,36.47139396718878
u,41,86.87298427013202,25,17.177772007605064
h,60,22.813306490928433,6,32.49865951164204
c,26,98.72086890002207,42,87.04445424585836
o,88,94.48623225245989,51,93.04474526455861
j,81,79.62745039644872,93,10.44957738721697
e,26,72.15834470027698,0,70.91745217223493
n,4,22.138916632041294,49,15.68762736729996
k,30,32.366829538570975,99,61.22076612185874
h,21,8.042980333012418,15,29.460746333185973
y,5,53.35235101760543,45,28.928726654247107
x,46,40.52321796349177,2,2.478291404645816
a,45,4.208787306663231,47,94.84613002720256
u,4,53.93917502119717,98,75.11046873400183
c,47,60.33224935352103,30,70.49241541329712
m,78,58.82422629375926,38,93.90751984743308
a,50,80.49163652861637,78,85.52785880272091
j,91,35.364114634676426,89,40.64818002327024
k,19,62.0137803047209,65,98.78837302729634
t,15,18.580381414887814,9,29.616594317261413
r,14,56.720096907462434,64,10.296319027768352
d,84,3.0068666760178497,8,24.705271097022695
j,42,67.39975738656938,21,26.35792892129656
e,7,52.18758662780113,36,84.7098254777395
m,31,99.64681027191153,29,10.006996998794238
a,22,69.27320215068288,50,79.59626166863498
x,64,88.93253790160769,93,46.87093738476009
d,27,31.51921645647957,94,28.50387326008733
i,36,59.08622641042256,75,67.5665999194791
e,3,69.7052625322083,84,32.46237204774489
k,20,10.466447150571579,72,27.479490879566903
a,6,9.220301078565452,21,17.922288325458357
g,88,56.08798987953195,71,49.860788646230304
f,38,68.94233998839705,14,45.76080873931295
k,8,31.760774124511837,20,91.30875844116461
g,90,64.0633619586399,12,45.182965808097684
t,95,23.639983921371865,98,89.0928467101155
f,45,3.5110250500674955,7,28.310625244294187
y,55,72.48715117032728,65,37.16539816176137
q,98,70.09500291187449,14,63.44141757686768
t,94,95.95795077954237,84,68.4601964723264
h,51,8.57448720561278,39,30.49982933513139
u,88,91.19202917155398,30,98.01621220913403
t,5,99.82569383643498,69,34.58820631840606
k,20,58.76171733448694,87,30.54031795286881
v,85,3.728951206333564,59,58.201017977227124
p,26,23.610612986994774,56,67.06267461048135
a,95,38.44583598289692,13,97.46593840206084
d,23,56.54126941874006,34,68.34138122642605
v,28,76.68945173269465,47,8.574048536000689
c,20,6.295582487839901,71,31.142678540454295
e,81,62.991682167395204,3,25.491706186861585
h,53,70.2343793565787,10,4.085195456189394
r,75,72.89011200361435,64,19.85345273889446
z,5,7.195233323424599,56,2.6474501868277933
a,86,48.10932713142094,5,4.4405535554486235
j,77,92.85599063373012,87,28.22380638951827
n,16,60.968084151200706,36,22.440632878744825
g,43,94.70103873419522,32,34.577674372575885
t,42,84.18866170634767,63,6.466934152663251
l,84,76.50514836348232,30,83.30712491343901
l,55,56.92575225931622,69,14.630753642222105
p,10,78.56272984958788,14,81.60809475075372
b,37,71.97826326932204,52,79.52082770698226
j,96,37.58502536763791,43,71.08683402336943
d,14,64.98603793354549,14,65.92967147133167
i,35,72.99330093593836,93,88.2114400497154
z,76,64.62972353958178,71,49.98913874756723
p,99,2.4928820537580054,97,43.699921494670804
z,7,5.718187860059876,55,6.925321707167975
c,53,6.686937676875893,63,3.2715759516297904
l,99,68.60333690298246,94,49.4115898138384
h,68,7.555621905086718,63,92.4523896353227
a,43,73.19846093903442,52,46.90172462467292
q,8,28.274744136397235,18,78.64824881826776
j,34,89.06242969386552,99,58.08597729052429
w,77,33.18539520898604,77,21.229799615442246
a,26,99.79525962018775,35,56.983019395923485
q,26,2.631419832959969,18,26.357241088224328
w,69,48.04526584232838,71,72.93421813661222
l,64,82.83085279926537,62,63.467130002796566
m,37,39.77844534058346,41,94.96310740902396
d,55,7.5031637705889835,46,77.18028879269066
z,64,14.804192149740892,34,81.70305496651297
r,13,13.686687496844808,35,27.261157993750473
p,43,40.9502630065577,71,43.111946412287516
d,71,10.284940066710746,81,89.51126304033295
t,12,32.76465993258992,58,14.137671169353371
m,0,89.84832723684754,60,31.783425544594557
y,62,1.414644471078974,55,8.516923570737877
g,32,44.8000250174152,64,61.003461737433454
d,42,71.36215017977462,55,60.14481353334278
i,10,25.19889378471599,84,71.66645558123666
i,89,7.807129321051509,3,24.601806058439823
y,92,57.11702263587196,25,73.92546804530113
a,47,14.449435268757727,55,8.040974094278052
w,87,52.37519465997266,44,10.965024560344194
r,84,70.21153012310187,41,62.955776318261044
y,37,88.08431103686014,10,22.27729946573589
e,32,92.11347725901867,44,39.68532574146207
p,63,78.04019319395256,51,21.659775394925397
s,91,71.50648672097122,81,40.68336329093809
i,36,97.3244620214097,69,15.194250575583979
b,77,61.69640607031975,40,84.85705174679505
r,18,26.390502204867694,48,94.471434644222
w,38,97.34834989378952,88,24.89819108022273
m,2,43.8669559290023,68,23.71577147169852
b,87,76.73682207141964,26,17.46194587280425
o,19,69.52637735480361,34,10.260265735361852
t,35,28.776250706112506,98,82.12904417117939
y,11,14.465110893608013,3,7.062407345686362
v,2,25.335416737773684,81,45.042884327986464
u,86,92.18288642212885,59,98.37274332174589
q,35,75.87347393099867,84,39.09277491766873
q,9,93.05244502839982,72,81.56783798737311
x,14,35.25731838997616,98,42.08421537831559
o,32,66.46171184877272,39,4.126983127202976
f,91,97.20753981155427,15,81.70746777129374
t,67,54.43985505359395,92,84.0391441734926
u,10,66.43080892307076,24,14.857039333353029
y,100,90.06126174473027,28,47.02743954010305
f,61,98.56403157130946,57,49.30818989052966
q,67,95.46282858617562,97,37.97617506797284
c,5,58.89846411166032,60,31.81005518226717
y,63,33.0172321412141,64,71.74471723881325
s,10,92.59094230611642,67,84.42432384090512
q,27,27.50628754286526,99,15.777580622672172
p,80,45.00857419180012,49,34.4390225385229
h,36,99.05311771610883,82,64.31108803979423
b,81,38.882035876151924,48,56.36548390154215
a,84,90.36025476923317,75,85.83421634715147
h,2,91.93145257190626,73,59.74828841880409
c,90,35.983451432917654,80,23.672779523939937
r,73,95.29677659655343,77,69.99637342128054
j,25,66.40515005343428,47,46.83441733244774
y,9,0.8113472083688289,34,99.9599139410153
l,74,27.570273740578944,18,14.94839883163146
q,78,28.9233186657884,13,76.89751450815938
w,71,27.682521820608773,0,41.84904834277584
a,77,7.3656113660915405,58,20.47607533483188
h,51,78.90980717781245,78,69.49665863865505
l,10,90.88107437743993,47,59.35993953480485
k,84,11.841434945224293,18,1.380957555062623
a,96,71.96966600068548,59,56.928775643915955
i,87,10.856126091962304,89,67.03160787913546
d,86,44.93985746917708,28,41.672843472402086
d,48,20.457762009339508,59,67.42213363562034
o,37,32.83033140402161,92,21.133161225420814
g,0,86.04230462830877,91,25.598282454634212
n,17,23.37377564164832,65,22.070582416358075
k,0,56.018523574254445,22,37.53508580432422
k,99,46.42032952147438,84,3.907890680141324
t,50,24.733077036997187,99,15.251179051751029
f,14,81.5689496760903,29,79.35888154249196
g,78,64.06630710905877,28,80.67061869413159
w,79,33.56983742472514,51,61.0834935595628
j,40,53.27702520311476,83,93.97339989438176
j,71,46.7367155740739,35,86.59970751822836
k,85,83.572692752507,38,70.3678069926047
r,87,93.36567073056732,11,29.26462885886726
v,69,38.095973977026944,41,24.128023619612872
u,5,77.82431920932092,70,99.14267256852558
n,61,68.10302878270478,77,56.448475037550736
h,43,99.04497230939609,82,85.36476397796869
a,41,23.926681744120536,67,33.07338386354953
m,50,83.51174003598402,33,93.87017939216031
v,76,45.33954943201264,41,51.658273116948806
o,9,27.40453283176262,93,48.0652155715
i,21,19.929438873690497,30,81.2491919788823
p,64,25.242769993929194,83,59.89990124670671
u,72,38.85748529253116,5,57.96066549641004
f,65,44.196224959746985,98,32.38896087149984
r,36,92.21643588962493,62,32.383060790127296
a,13,0.318580947465541,93,27.94104591423874
s,0,96.54054648217031,72,9.726737097507343
h,81,55.18302085782242,80,27.503352372591227
k,53,60.71356383775146,26,62.611604101661186
h,67,50.59640095885697,86,51.54466001789102
p,83,50.57154685699472,33,76.78477639720388
f,98,72.13544462842239,41,56.2315868668352
t,51,45.41601497212688,9,72.88719287096251
a,89,66.65050470461418,90,95.68957217616845
k,75,29.76079884764046,95,60.70469268398211
n,77,65.29433059692279,90,75.0746086640398
f,55,36.036480817635685,66,20.838908783092624
s,47,61.20587077617535,93,45.917302525940386
w,35,37.683488758832496,3,48.988726731521716
i,19,1.4469270053142802,27,24.824204719590647
d,36,41.531588029523846,98,4.488014075214187
j,57,79.23704037984459,45,23.99387086269884
z,29,50.962181995717906,17,48.6072985565566
l,46,94.14478227803262,14,45.35136525324782
d,23,35.14512909464316,39,47.71231559338448
y,55,91.49276946758928,43,88.99256594080344
i,23,0.17644087245748397,40,15.327393007749324
i,29,30.807583516509553,4,54.04568604219791
p,59,63.147574554854515,56,90.74097406941809
x,74,72.94463545254905,6,85.8790585368903
i,85,47.371822596533875,31,91.8027862299999
g,94,7.97324173120103,87,99.12619109358701
f,30,10.078615052448658,73,95.85885955290611
o,69,60.45154682128398,26,64.0674103302493
d,95,58.368974137109255,13,1.078827374449054
a,17,92.88879979930323,78,68.24528493967524
z,55,25.015034046519922,27,78.02962283924654
i,53,95.6378838927553,90,82.21115294914318
g,8,83.9653744658797,32,56.80892595856911
n,35,91.43641137805167,51,63.929878305485275
j,42,71.58969723207993,9,79.43519463584751
c,43,10.914028749734083,100,12.743364229072418
p,79,69.54775035379473,30,63.64320798731742
e,2,92.82650962345873,26,49.78158431528386
x,31,81.17490410172562,47,82.00577488785356
o,19,5.012248755964066,16,60.86186710592779
f,0,2.299158536664947,24,32.20535492136497
b,20,79.3265549253053,1,40.07581805323379
q,21,17.81293558561414,50,83.04565088158586
t,84,13.64860280623823,73,58.540130397408895
v,94,34.4848058952125,66,40.19161973736691
c,4,36.47739511463769,82,72.63574132622426
p,86,72.18700052286741,7,35.583827430556845
z,95,49.459672375275495,76,45.53144686479585
c,48,71.8793495035728,50,50.71022827948391
j,23,16.92301573587254,74,36.579164859034094
f,9,90.37861174583728,18,23.42550087292642
w,84,48.735920918545716,22,70.1342207015054
q,88,21.975444768265582,27,95.79538188161642
m,9,84.5166093590981,33,74.34477636063563
m,20,62.20762730583117,85,26.19604231681697
o,9,26.100657861143752,7,83.90746486673595
f,36,90.26536400199225,17,1.4464028950134544
n,15,6.647723108920367,82,97.80555106231488
l,77,23.016701596879273,47,10.495355773853488
b,12,55.18164832066772,57,68.88874802831666
l,52,58.407899533734664,66,36.657403088982655
q,20,5.451256552233685,96,26.0305553938439
w,26,4.703107831649134,87,40.88994481178526
v,4,19.905237002372502,84,54.22893438398787
c,42,4.5645694310232905,24,3.718327716211034
u,10,78.1721978454266,56,19.003529199440962
e,76,2.36878675280473,0,3.6981037054832244
p,76,60.17600662262049,85,34.95763039666968
t,72,67.54822433662632,0,75.72363581025132
f,56,24.003277413260726,38,16.614013826511865
a,77,2.2985705034505366,59,52.73865370297515
k,10,27.638597162069555,38,25.615834908061984
v,99,2.0336621084178774,79,70.91105255145978
h,5,35.53664673368544,90,52.732459010097486
j,43,91.38611758654312,2,3.0408843132289642
k,0,63.44837414706587,81,95.96136168223566
q,7,10.735225922372294,52,4.714983474622159
u,8,6.151569662631817,30,28.671378982116824
c,20,76.06517470211458,42,17.079148055890382
x,25,93.40244901049091,49,83.38771194756936
y,7,97.06976891901299,39,17.740209167854147
e,17,57.574417600505576,62,1.9513072465019987
i,43,61.67378967113093,16,95.19611537842255
r,43,7.41299119390626,18,2.0527343151502397
v,23,75.06425860523152,45,91.46693360513592
m,30,83.77554557942096,12,21.021204615698863
g,41,73.4323476759134,78,86.17971784609993
c,86,3.562145272108419,0,47.58535737605839
t,71,78.84240165763688,26,74.77178077454279
t,54,76.40852993568458,26,76.39093729278422
i,9,18.479902735784258,0,28.77820611711426
y,16,12.100339820263295,55,4.396060866945984
o,61,91.1184211432762,87,32.50192225090189
u,1,45.750488703832495,52,66.294480245825
r,76,14.853239760524438,72,98.2263673474291
f,12,20.83721393207385,1,86.03820745003937
q,89,74.40899148207647,31,72.76953090645326
f,99,96.69565031689777,2,28.901725293651715
q,42,67.32386559011093,32,71.62299195294867
d,0,78.53386405532814,93,51.33255740308288
g,38,87.3894863193492,68,80.7597408353474
d,56,68.53480279974875,1,3.32590828710827
s,17,47.432624214208495,79,2.110937276374747
c,77,43.9128518809928,13,64.68393024287325
r,73,46.72193681426925,64,10.886976715731123
g,43,30.49817358953204,46,3.864640808309905
b,50,22.440150024155148,83,30.257552984782432
c,24,80.59629450840929,94,54.04914256218839
z,14,77.4905546924326,89,29.06111895209582
e,8,66.37466772784079,13,27.29781318812954
v,74,93.2580852961288,52,52.38515927559695
t,87,29.593308839874556,17,20.196030457992276
r,2,77.0531225905724,90,74.52907875616079
g,11,65.40400534532367,27,32.92514916360806
k,28,43.504750619766995,29,39.31677482044713
i,53,12.41202340914339,38,89.80136197131007
n,18,96.80140169004736,9,55.0220752255231
n,46,52.87150955263182,96,23.631545680654888
w,63,8.341830295042884,3,26.422832646341554
y,18,34.45541845461101,8,89.76669469946891
q,3,62.68316977706442,57,4.74181064520609
v,78,70.59816279708237,23,36.19963587488032
q,46,64.14464433232833,7,42.76391283776113
m,8,22.82887712006768,46,54.50201768535751
v,69,31.619735622883173,16,13.996114891133582
g,53,32.730579315024144,25,1.071417764953564
t,15,13.594451648553285,47,70.18920561888348
e,74,39.13768430584981,45,59.46486781063688
c,8,2.4121373884270048,32,74.00213825699211
z,71,64.90418061646307,4,25.400437612398598
z,64,89.47745712584491,18,67.13880280379765
o,77,18.965843397221814,89,74.63529948385684
q,22,94.80023113476481,38,89.90951586241844
i,5,23.26629469248137,46,54.64654109400087
x,69,82.72687946604077,96,76.32833592769572
j,64,49.80390254971406,37,52.72293748987218
w,29,32.28165032063707,39,88.7920741468887
n,86,81.3595052123082,79,72.82460541227523
p,0,43.49294965877907,96,13.42458987922177
k,40,56.42580770120631,92,99.39198157804545
o,12,89.94117052475715,8,84.78392910442467
g,52,43.37529571749867,14,84.64416612576854
a,7,53.03718779670547,50,42.01202030022419
l,90,48.68082008464254,25,98.95415732626874
k,8,94.87976709395394,18,92.12665952984999
b,71,7.65556215686466,63,82.87063148259578
o,75,95.71536261534341,92,36.03835052525925
r,100,34.86477926506063,28,17.9675677650605
t,83,86.62221598206973,12,52.52156842726164
b,85,44.07979876713994,66,70.90639548404874
s,2,5.953271854358233,99,31.37014604965018
q,82,34.935599626132664,8,36.727707725770095
u,4,48.93172163519761,28,88.59342800720675
h,97,90.46334078353753,93,96.95484571286016
i,72,22.057062923110614,61,99.72358018916613
e,86,61.722482637725705,21,29.685699396580844
v,23,20.59056530411708,75,96.13066435172377
h,7,39.33856614250656,59,84.19909889307189
k,9,92.66460489195478,99,6.327813226786194
z,63,37.3265075394275,92,63.82962620337559
i,85,81.20208805475899,72,6.005341113076401
k,15,95.8557745531214,46,89.80728151265218
e,95,0.5102416447483549,87,91.08974625132024
b,100,5.306032565303975,3,61.73765261607777
n,46,25.689832083614238,79,19.662528683410997
h,17,70.45056901798259,99,13.137419054612998
b,81,38.587576277284576,82,83.69688118382349
w,79,65.67166070776092,48,85.87068674658418
b,100,7.061621864202605,90,28.161530238461218
b,90,51.79908281020295,89,95.26756951358321
y,39,77.77651277756567,43,99.97387005733404
p,40,69.77718577881194,50,2.123447379313792
h,53,55.54920961263573,17,21.469174973207494
s,69,77.16575456640868,64,40.79251099224741
i,11,56.774403582596555,45,73.70053238162052
e,76,7.82028230441818,9,49.57203299535543
v,0,44.18952366508485,37,86.11761691147889
f,15,1.1624058525328218,68,23.26901883840996
m,26,85.08111003154117,4,83.34525750018878
z,71,33.78354841326482,72,52.647463983367594
h,66,95.05640513250046,25,80.53611667576288
t,56,59.12897932380984,1,25.099047647862438
n,42,74.19419890863145,54,50.12724492897025
w,55,5.591994671015321,66,87.50752196523837
y,61,1.5949217556932238,27,88.29507777172306
r,1,96.16108687583994,81,21.522237109862264
f,79,95.0888647035295,90,29.507281071564872
z,17,27.41401467282615,63,67.4305994677724
k,61,43.639177561607156,46,9.986996796521607
d,20,40.462227577164214,8,84.56944454723774
b,7,87.43889682019771,7,54.23512913107653
l,93,90.21259805438866,68,64.19710688983088
a,20,29.647047911961266,88,21.05800266407778
r,84,51.21914220300244,66,60.8531351331518
d,15,53.996106378112465,97,86.21831760390715
r,43,76.9698134938748,8,98.5374790914014
v,97,27.764045760545088,29,41.090746977041746
p,49,83.01738983733392,92,25.317071650730494
q,75,7.186526065107146,36,5.14441617180561
p,47,97.47292519828179,9,34.827774217930774
b,57,44.11231132335348,64,86.51002951493518
j,26,20.85722993004805,80,21.905162302483618
u,32,1.4895572223922349,41,0.3433898561639559
c,6,76.04397124738631,33,20.33957842452825
s,32,55.77428900900805,49,98.22719203996607
i,11,67.15654891340404,37,75.92175530393057
k,97,55.8119547098019,35,95.25541029766939
w,19,40.93118723390183,44,17.94607176065538
p,51,88.30932907346029,4,48.00186721017443
y,84,83.00543281094814,91,10.235074122127086
t,26,89.7158923433973,86,64.99025877578191
x,14,28.724667349449597,70,15.375457930946313
f,74,4.34883654655348,99,23.854494881834963
i,43,69.06909483501016,64,63.02527294546287
x,61,15.644659869826839,36,13.580698325970907
r,53,95.62163846508975,72,98.47034792510532
h,72,83.5538636255886,34,25.01529357360347
g,29,40.12668211556707,70,36.80056093430365
u,51,24.62119896251704,4,53.24298067004093
z,4,10.524981843867021,10,38.77188677062099
e,34,82.28864626081025,9,75.92151034860137
h,70,86.44460626315272,9,29.294006961345943
q,59,13.891470310050346,63,12.516035695019568
q,89,8.580441139806705,2,25.43372244157951
f,80,95.55805881599888,91,76.4403994251745
t,9,92.57050087297792,49,88.30559941930412
a,25,97.47192638987723,95,32.90395740359187
s,64,62.6841519363487,25,37.585907998420275
t,34,35.42776864700896,83,10.945012125625874
j,95,64.90073531561804,44,8.805384246390302
u,54,89.62627186540615,29,52.44017099181172
a,84,74.25637259674859,93,50.59983146654523
r,57,11.711215131412123,18,5.682194190076784
s,53,72.29302598962994,51,69.0269014811955
x,51,29.106814577514818,40,79.91040330325055
n,83,13.48982246830409,31,28.488330561648777
e,75,51.81568207346691,22,86.20357960930825
b,36,88.77990134625428,42,99.08894277555083
z,21,70.5059876940504,63,84.69392280441457
e,69,88.5445250222211,81,69.21910873515834
m,23,39.77639301942302,21,22.632376736227165
w,89,76.89316495881413,93,61.432430854636124
c,76,14.83945498502427,99,92.21603917109103
x,16,91.44321916444605,92,45.076226829744826
w,98,89.15408114764465,19,19.11178273673292
b,25,61.65941631287849,79,93.61663848190015
n,87,8.362161263159884,100,66.3624896803789
r,53,53.772295876525874,96,39.850020886782055
p,50,89.63774003136946,89,33.686897828593374
w,25,2.1244213575228432,35,54.00722241536528
o,88,41.96255951284537,40,22.60297214535376
z,50,35.17371423532393,46,27.933932812001604
q,57,24.611625267318495,90,17.8529843995201
w,29,80.6142510438731,17,32.93319963068257
o,13,97.19841582855292,50,59.48650490777365
q,4,5.183034376214879,96,42.66962330885909
b,95,92.88329662922054,12,25.918245811049424
g,83,87.01925944925708,69,6.224651697111671
q,1,46.01408387736389,65,15.29057451574568
b,20,90.45709054369078,70,61.31986611011071
t,0,54.26775504627691,4,49.317240273725105
p,14,57.342532381981215,75,56.6953093280825
d,36,74.06716158176448,89,50.58985435107445
s,35,6.322591723674009,68,65.22491934505858
i,47,50.207986944511084,36,9.77227264069379
q,85,68.55942551982254,35,35.289250643037974
o,76,69.78771224509181,21,72.07922723193917
o,35,74.5777387996606,48,28.65597292040477
f,36,68.9383570479027,90,65.04736340487057
e,95,14.177845101559905,69,51.90219586584496
v,48,35.37959093035463,38,22.85077561924156
s,15,12.74074314930611,19,88.12344951799416
n,61,95.42987516404737,26,69.49265254802543
k,28,99.98575285235152,67,27.891424142906352
x,1,37.35966321775342,53,74.94827089590495
j,94,21.05163774810428,100,55.20636040066481
n,34,35.4801392417391,14,94.3240142585158
k,34,97.83258186348101,50,9.979368215766316
w,4,36.581550633550194,39,5.1822376197866005
q,93,17.267325251230293,88,26.246247498841445
n,36,8.945063014560706,85,67.51957947004334
x,93,1.2598651871618127,51,35.45329489030704
d,1,31.529900787866637,31,10.713812105475318
z,89,75.91838970226641,6,0.8679249985593662
i,61,46.36938406193718,54,42.026820652151606
r,21,7.322581601317046,65,96.43038636720837
u,19,62.94010969680409,2,99.63493277730826
h,56,30.918775298902823,36,3.834810262975208
g,82,65.31392096109573,74,66.82926075661969
r,12,21.75874228682947,20,83.3492694460213
o,10,97.62520602532601,7,93.72496549127422
m,78,19.927422229285053,27,10.508796923542663
r,99,94.7262620025968,19,36.10166101981829
d,84,28.570955320099667,66,50.66846062619506
x,30,95.05871409926159,26,93.8607601963951
q,99,12.560585644259248,58,33.63869631337717
k,8,38.650122568189396,58,57.77320286437504
e,40,15.333247728856826,18,13.616092712389783
l,26,87.65813639145351,46,13.172296063643273
x,41,0.8084896466299285,12,18.725560122829
y,5,63.210044637932285,28,28.394821123083357
h,61,12.223942022143897,48,15.971970079724107
s,45,77.44358513348271,59,26.280654757986543
h,100,75.80416449924789,65,83.83968661323806
q,7,18.95482041994526,3,24.403345530553434
n,31,65.31750318431486,57,51.43955229670504
w,51,67.29625362198257,98,94.62701590243995
i,5,73.6580366467415,53,52.26145152153758
n,50,31.127952735497686,45,31.392627070432223
y,47,38.12346392120541,39,59.707552811330764
f,4,16.2078447136353,72,22.170189816682427
z,17,20.203098174059143,93,57.49692054664067
a,23,17.30424733536562,81,66.40755223545128
a,42,9.483696424458765,65,99.62031505985658
e,31,57.639348598653264,60,2.536803979099056
s,49,42.58801675458614,79,77.16595209980154
b,76,22.146528135444598,6,13.509649760924791
o,69,79.12265649443316,72,96.79252648538585
a,20,5.958133181054681,29,38.9886269506495
p,54,81.47790196151776,40,80.27301174473747
m,25,21.105556473736108,31,42.43966672427295
r,5,89.00830479493193,35,40.05143652042027
r,67,68.33090480164478,52,78.40535858390777
p,78,49.203606796685804,100,60.78815252101257
z,42,0.19986307521299151,72,60.3725075889593
t,77,83.61378351380452,70,71.35874203300668
n,76,12.385327538833524,56,8.8356583772765
k,11,62.36542555036474,27,26.19318652964182
l,89,20.647796290577368,58,21.995606483240028
a,87,37.53704916010246,3,38.776893110151576
g,0,4.496286765177205,90,87.78832315251431
u,69,22.61211593468809,16,37.90157878781214
t,20,0.858353908639542,96,26.989693452906682
m,72,43.415961266432014,80,2.986528426252144
k,28,62.40129606704563,21,75.07531009711387
o,13,56.76831692599317,58,42.0797724430941
z,58,85.11178312970054,29,83.32233134729927
l,57,16.646957830716147,64,93.69297656263497
v,63,10.04213502850585,94,78.28284890598235
r,72,30.62683317543976,77,30.790400721058763
r,100,69.05631848844794,55,82.86655522486936
u,1,98.80949068155253,99,6.923823610132196
w,68,64.06823956495319,6,78.99188028923803
b,81,88.44070244415735,31,10.453861642121664
g,26,2.4507297718992516,90,98.63450978394535
i,2,12.803709823219167,20,37.009779413756675
e,72,96.10833459003344,62,0.19457633284084563
b,71,61.754988418467136,3,68.4948964448726
p,2,23.293590344711788,7,26.56318360237806
t,6,29.576309579608797,64,34.874190603531254
i,82,87.878753198889,76,61.09918819791853
v,1,42.615498944450046,31,28.319820914112714
a,96,72.72634256883157,7,97.96747188028618
l,75,42.302414459701545,64,54.97997577130158
q,99,70.2161294797,41,56.42212352374637
u,17,42.13339437056555,18,15.111530329067458
k,92,89.53014413938881,63,97.25068067204722
w,44,4.141170888817991,19,23.102672584682303
v,63,18.11805398058016,69,86.56274463969315
o,58,41.99423161182415,85,99.39667810418243
o,67,6.211895226621056,17,10.370813755302265
g,93,36.66681437572264,92,53.83776566848607
j,31,23.359686574474235,13,22.80921442031605
j,86,75.77873971227378,40,74.63927689626405
b,42,12.549922730959729,92,67.70591183928319
w,42,82.06484324227915,4,47.521915374336075
f,63,56.225160555342256,20,79.75226450395633
k,55,9.60839459042031,71,24.09698073931836
d,92,12.289263802689987,31,1.31556119031081
q,68,74.29740912621345,68,89.5002742710084
c,42,34.061319851665864,88,85.0382000863034
b,0,39.05637941729319,38,21.252540890682937
z,92,60.62226323549989,10,73.16483647409635
j,20,12.343491200319633,50,62.11636895905836
i,63,8.576179854073985,68,59.66971894657974
l,100,82.56313887065534,98,19.85938532681959
s,10,74.59371308266985,81,3.962398199317796
y,45,33.7987662347709,60,86.98222316464165
p,70,49.824444234656006,96,15.025815533269093
r,66,92.00247795539083,36,83.82633895965633
g,47,88.2264817009365,56,56.11924137390167
k,55,45.57588400293632,74,14.09378407155546
a,37,80.809851209664,9,14.371742649295028
k,58,7.850240731908187,48,36.61307389886519
h,11,27.5513773195286,81,72.32764824964454
p,68,84.09556533489972,2,28.592132798119565
k,64,62.59032537738858,10,87.50658359758033
t,82,21.086565286457837,21,83.86833854765332
i,40,59.78574130357182,94,39.43038197504234
c,89,64.88801224520158,23,54.928190310587475
m,66,27.47011248717509,85,23.34646313312915
l,6,5.173403570364732,46,26.295081929533215
w,26,21.35056770046312,19,37.67609733642844
c,93,4.453025383699072,86,56.97822473399313
p,66,47.84226167680755,76,64.25820283675762
t,49,80.23194858003399,97,54.86214158827229
a,90,38.546187722501756,100,86.2920287332336
a,40,68.20980729348675,43,68.38838093469064
e,78,56.47923783247527,37,1.9161224552719736
c,25,53.75249733845674,90,1.5831065910854147
w,53,86.02590621919515,24,41.159225597174355
e,54,16.534590455458144,66,77.23043437264958
s,51,32.85494296771685,7,54.27220823763482
v,54,67.96868331850584,70,2.375556326643491
f,51,50.752834545497414,36,25.77367714269171
f,42,3.9580740691821603,5,37.128198678901384
y,60,41.23838798709355,23,21.211702067965476
