F,B,Z,S,O
k,54,14.059218870017897,58,63.769019714271046
o,80,27.942274083760022,60,60.19947809134185
s,47,9.60753845511345,25,80.97817232147393
x,28,11.614070730402059,34,31.172264094916326
y,57,47.02537656458874,24,59.65321417964148
h,29,67.33666193516005,3,40.46514905089283
s,90,43.40917256945328,72,3.2380018206662253
f,33,21.178924143319854,14,79.15167985328186
w,55,70.04386306242476,89,11.509013828138848
q,30,80.13572359116728,77,60.54410094885995
h,62,67.8405601967223,55,30.815017962779123
v,49,88.13755325899788,68,76.34153069969074
y,41,3.4157953272183295,74,19.952675148752498
j,91,45.092562297730744,33,40.25118123152571
u,21,96.87032521324272,2,20.486014813425424
e,17,95.16060900763254,29,49.28883391265438
w,74,8.523732202781565,59,13.25184369911202
k,43,18.17547458575547,85,3.6111824900136757
c,61,95.4016090265614,79,77.67989710085857
g,6,97.87081487234481,82,67.5461159948469
r,35,41.77827945851793,9,67.19591430651903
h,85,71.04879182906222,42,22.46533980065837
g,23,89.85397380630937,77,33.76375016584582
g,57,47.225084927170954,43,63.55885542203453
n,46,27.61216998951552,33,21.455435166287074
h,60,77.10473628801682,95,75.12935161408075
y,68,41.18396656183611,27,99.94584902496187
c,33,77.83882094862041,97,39.11712703538054
y,13,16.136883344824128,73,80.10615944298138
o,26,98.5323166027716,9,20.800515104651186
d,4,4.362623699778457,48,94.0757812727986
r,47,77.51112619506941,78,18.055803139743364
a,50,88.81000062640258,38,7.723651777391394
c,88,80.81012238662457,33,47.68916811813625
f,0,13.11625901002743,17,96.10448519976768
s,92,66.11130081591213,5,47.88559907353679
x,59,11.583925822183206,42,17.81515481921425
h,62,1.9587290572453786,99,36.64055456884806
v,63,18.457965074361148,4,90.04660615766639
s,21,88.88540074740216,30,1.591961448625201
k,64,83.98920711719859,12,13.508459988502008
g,90,54.86439142111863,12,48.46314647306556
c,29,78.63264074760157,91,42.732823137064145
g,6,40.32307207902255,68,47.200149924021474
q,63,62.69049491849874,92,82.21149604445964
d,24,41.76825447795412,77,66.14098369168799
q,80,59.1770955561837,66,1.1913929665533618
u,79,82.5878111490378,88,3.319910095858236
v,26,69.49169309316908,81,2.1163602001061377
x,95,66.21152109008152,47,51.36748157269996
k,31,25.160125818724765,68,21.254682646107913
b,13,2.7829089831426512,15,55.95653827959407
t,60,44.38302813698334,18,65.86457164245117
o,84,8.835144256802497,96,98.82115490345541
o,86,65.3150019676761,4,87.0900696041353
h,13,5.006747778480469,69,40.325701374608904
c,0,36.96417344699137,15,5.081453242421596
g,9,23.910654118331788,12,50.75741234723476
f,75,66.57149316384218,45,76.07134272505458
w,6,12.032000214199579,27,36.78227357269448
w,43,82.9040549491128,8,56.10826755269449
j,10,55.497734929518195,48,46.94860283642179
r,12,25.38519330332735,26,63.57174287994394
m,34,90.34612988059271,79,96.5161656082147
b,54,77.44755791580302,34,38.41183215701234
w,78,22.107070343397474,13,70.53422952641067
k,49,4.7297768747133535,28,88.20188393609641
m,76,42.6113813002437,33,41.14100313818893
j,36,58.49493090159709,56,39.64836137299639
d,36,59.571200370939984,0,57.63757784707184
l,93,33.186630402029095,7,71.45315838786354
h,2,34.430447091504504,24,15.31365399014567
y,4,80.00693362007986,27,27.761657009315556
s,31,66.45388485109892,3,97.24479399544259
d,85,84.71193077253398,8,31.53849237037335
q,42,25.823385716163905,16,36.00160807051574
q,70,68.50717628203704,22,6.41270795405301
m,26,5.563510924989535,34,24.94320884728165
h,17,34.02587476324877,15,26.556080316438003
y,21,15.583294913380097,95,65.61307503962564
t,5,72.8791531667705,27,8.53485236670175
i,76,67.549795844812,56,14.779510675456653
w,96,29.166148177306216,36,58.71205149229102
n,24,79.35062567447328,64,51.3036581485512
j,44,16.835502839789342,29,26.281336841613157
i,72,53.14003125343039,53,13.80967219674849
p,81,6.174026387032705,34,2.903582566297247
a,63,65.08699694471164,94,34.6324513913845
z,28,14.33621366218556,65,46.30174578797585
y,51,83.75798600869928,33,44.548582253824975
h,26,65.92442696665589,42,35.46001649301551
m,44,62.16644148343056,20,73.28805443698747
f,18,4.683079130918866,79,45.873015045916254
b,61,34.3054560714324,33,24.53912370102249
i,20,25.623687365211357,35,22.633453733734733
g,52,72.04952651534332,66,35.830126653313535
j,53,71.68595953108414,35,89.23235090126705
p,31,54.70203501969141,5,24.810433053673155
u,60,41.997072629370024,54,40.21909400099545
p,69,83.72618572919623,71,46.79448952426242
h,46,2.596126957673106,9,47.86515534098115
r,27,74.77027293775112,81,33.673849068659976
c,90,2.388974134106947,64,49.04257817703706
n,49,44.94829737669656,13,38.92311874449172
b,43,98.39598162418012,66,85.94593556159906
w,11,6.209977327232985,11,6.575069998562711
l,42,53.12858486724,97,42.601248766298426
w,85,53.4182640114524,64,70.30497645781034
i,84,33.65276319077319,99,27.48719424048851
q,5,73.10574844056123,47,26.062445698937076
j,78,11.670335095947305,7,69.62282266099913
w,34,57.015835377574476,54,29.863094132252233
w,81,33.573559216530015,92,32.043675365587035
h,36,5.7638838252559,0,33.54822503748023
u,35,80.44148409314437,70,46.39351374399976
a,79,48.941667115720996,45,87.83552711211154
h,5,28.88756472424989,64,16.31587787594779
m,98,64.50035353324384,91,90.91764484008866
h,27,67.7553318757124,47,71.2302567384087
n,69,6.755677453485998,12,1.8512531699289125
t,51,26.955612339400503,98,81.02893978859397
t,39,84.14621073326923,14,99.04548889025034
b,38,56.11982579699579,75,60.62963657134483
i,10,82.55137266024948,8,64.93695501118057
p,30,89.01448003437322,41,84.29366482995714
u,40,78.7538312616567,14,74.35990583874424
d,82,23.703602826957127,87,33.21345065185217
c,29,89.63157957548512,84,50.691567526950934
h,92,51.674708330903165,62,14.61245942955902
q,22,92.90252905404881,78,58.546111137100056
x,68,79.68317439393029,80,71.28401305214066
i,36,59.167136054316174,94,36.85459789787331
d,63,8.284451457607068,51,29.599806894354195
x,99,70.05161969654901,91,62.94229631299788
h,26,8.423389162357475,70,48.43125943592953
v,92,1.255986764504502,7,45.33714812865814
f,23,95.96021968385557,4,78.1574352500333
k,47,85.93162780200967,51,3.5286852847975614
q,67,39.046789139337434,3,93.8015185220159
o,99,37.153843970597634,76,37.021105236940585
o,52,36.73374132397068,75,6.4218865061881125
a,68,32.146709094499734,91,22.22121262366672
r,82,59.685343618495736,51,57.9328019250009
z,74,20.567475035610162,36,5.730682578513524
n,53,79.69269941508723,23,47.19166553598701
m,59,64.02426166337706,97,13.8618877863683
s,81,38.891346100026524,93,5.7451477272031255
d,55,28.50448448924746,31,79.2392244561213
y,44,55.791422899348994,42,68.75069840051883
q,55,78.51791724311603,86,27.895301318898092
y,78,55.619375811208,2,21.224610138422108
p,94,93.37147586084129,48,44.99482793302029
c,10,47.75038627063627,18,45.40110591738292
y,99,98.43520328897218,44,25.373328349691647
a,85,28.70776424948246,61,16.365908763743807
f,72,73.47965694466603,1,9.950252866689269
a,90,97.72919789931588,92,82.13025065997869
v,63,3.670130728515897,82,19.409471644017284
i,26,53.87384162727907,79,36.588732101848464
j,73,0.21911097747432384,50,30.095414312763126
i,46,72.36622327551572,80,18.38904830910967
s,97,16.439710529832418,16,36.399209979186345
d,2,34.57167306592066,57,18.48264795111939
z,39,5.439714186849576,86,4.53727040839188
b,30,18.036126159418696,77,1.2099601348201872
x,75,70.58004966408564,69,48.758266857670996
e,31,68.33725593404752,93,71.04202202098071
o,92,72.45606609562851,8,75.29808247224288
y,56,41.13507586806925,8,74.02243015376531
i,9,42.55404357401895,79,19.970578709903165
y,8,58.26234854915289,87,37.00144492535002
h,24,26.407537836459717,99,65.0316043158316
u,67,89.4660980327101,82,59.36904016598697
e,67,69.91666101601747,34,46.29940468740501
b,37,6.360391352219219,72,5.219263391706819
j,65,48.91050347689948,7,42.3158805753626
c,83,56.90924349531561,18,46.936763795089966
f,54,73.07648556337826,6,53.61767043800532
b,3,94.90721066047564,53,54.37558834442358
u,63,0.23539013998187253,74,84.69774459917014
t,17,8.28012577655699,84,74.71483807189065
s,88,91.22119251862364,52,11.035521611179643
i,39,37.690902503470035,14,53.72967227665224
l,53,92.03228482756288,37,10.087682089694816
m,42,13.653381552499832,14,87.65998701602676
z,39,56.49783909364847,2,40.90984336447184
e,93,56.5204093045259,68,21.544657346647035
l,71,5.1099953103434625,66,40.015713213355156
k,100,6.101044810377543,11,35.8161206322865
f,76,19.968155057820415,15,37.01150833947566
o,97,20.009339623152222,64,50.85968562560508
x,64,38.141455369586666,54,97.92706890827047
u,9,4.659282527990028,18,21.967147146263578
g,9,71.52679063966737,11,60.373131602844786
b,45,93.87934982821223,7,94.92073758746277
f,22,48.76567329818522,6,24.53211701093946
c,92,98.9499636758861,39,17.773943801074775
n,38,97.52253086612723,54,92.06325898687936
s,10,12.87530306869693,59,64.2344183765982
q,38,11.132082595996561,99,77.70834436718685
b,5,90.5381513009619,63,32.048894089238
h,1,87.91883766491272,51,69.77788149530126
m,90,97.47198659986867,94,93.71171932788288
s,19,90.70896980488206,89,64.33410178837646
l,66,36.08648294405956,72,96.6022001622247
i,33,6.497969290735495,92,60.99281592788463
n,35,74.24748828642858,71,81.45245933651918
c,90,78.42481973368804,55,33.405756494545855
w,91,28.85761669191457,93,97.90294178958753
n,34,31.77933257158897,65,42.19087699240147
i,3,11.912082747719266,56,51.32597493078912
k,78,42.8857247469703,0,58.006482403582815
q,80,8.152453271559047,11,52.6574970463232
x,33,80.98041587714944,1,98.26061193003996
y,57,9.423430360027895,93,76.93767641435142
z,3,91.31728722327993,55,84.51952249299114
a,63,70.95219763371017,8,55.02850935931579
e,9,16.03833813909904,57,73.56357084208405
w,91,4.774378178693961,46,20.8131232717514
t,28,28.179754780969112,82,30.859232574193708
y,70,59.98240033130655,59,23.870759481802818
u,22,46.64796283399241,26,49.517031088075335
m,7,99.4405140679709,26,24.987191077287918
p,80,74.4824161778895,43,82.41012254037904
x,10,36.937227435883266,78,35.76588900300317
z,65,12.22348426708355,87,29.263619378760563
s,61,93.28817965283011,55,30.304787224351692
b,27,8.079235177810018,87,42.71548441136238
e,78,18.350043274584117,86,96.0758310906696
v,1,41.040978940978576,13,81.252993153389
h,34,54.91139589724779,16,37.20349425143312
o,85,48.42341656946796,69,89.19115652067607
v,91,96.6725133814079,16,16.61188409334714
e,91,51.628406235883205,25,18.74060685642348
j,5,1.0792977463717213,21,97.43011258621466
q,29,17.23805253251667,93,25.877786063867614
x,1,35.565210351269094,15,48.49983386069315
s,11,32.10023734444469,79,32.881974324382824
f,17,78.99159598846275,23,40.868577407525365
f,92,55.1192964970302,91,82.2720405728123
o,18,81.14629061270752,33,46.26444342035708
y,21,8.721096497463654,12,18.54470063228584
m,11,7.9944331290072945,92,17.971122211280722
n,49,88.0601218448695,70,2.414206609080971
n,19,64.74550633468982,5,87.72286478017331
s,67,58.99488766536653,89,42.150990855531056
m,58,57.84521332348764,94,91.87870602900428
t,50,63.37019474144524,95,85.64023119460971
c,87,47.83717100496941,75,57.55974114929371
y,13,35.5689320427363,13,31.562953352780298
e,10,84.0732902597255,85,6.995004363876722
j,68,8.136525974047226,28,84.60412975120899
x,5,94.15465994104314,100,6.9418408374096625
f,87,37.32699330809546,81,61.914718735587485
h,42,87.63888929174553,3,91.94195541352506
n,71,23.344299893691378,12,78.77372143376871
w,6,13.245484389422801,3,53.472475586063815
u,20,29.392811158701683,100,17.629491583136993
y,72,79.30193217143173,34,67.6237223144043
g,99,21.30569596537373,35,58.22120900146675
c,59,3.227591359552695,34,38.44634446116103
k,78,63.03352030929871,60,89.77146617266007
c,22,1.116194188769104,71,63.988884721130134
w,38,66.79871024420325,55,21.921204956032845
n,86,14.984665184692004,80,11.217498222771827
u,74,85.20611746330327,94,72.49292820481494
c,48,0.6822332830411337,8,29.878637219264714
f,31,80.33762309277715,32,13.736276863851959
w,36,85.96479511121431,24,17.511506305525813
l,29,82.6417475048898,45,8.687710165995355
y,34,72.01000057777635,29,98.26623619747711
j,32,52.54445935309992,41,58.721589595604144
h,32,33.903596930971055,92,46.414440196070906
l,87,35.74502425897672,4,95.99971450830176
c,6,28.193890782583296,27,78.45784805634428
k,53,32.031628869092565,59,20.720418852521327
x,27,76.92993089918205,84,30.135887947901363
g,75,57.81714040901497,11,87.0676420671215
l,43,11.68983774118474,99,69.41773600197075
l,52,83.39997359985108,45,67.9063245605561
e,18,90.741097070896,97,70.58123529313573
k,27,24.637211124065907,88,70.35735048285966
k,81,87.45721782396824,97,51.10814933703598
q,47,63.30301137627073,79,42.848747784968346
y,34,71.21605890195782,77,55.429086764797134
t,85,73.97636863997788,8,69.52358571488863
k,94,72.03031556210757,50,12.72950697200146
u,42,92.37614367292561,10,18.200686129956534
g,55,7.168602187744155,41,67.51698328779499
j,2,7.396164512319425,76,68.796215933186
y,59,16.513122568393047,43,73.70188662223589
p,96,0.7816647369982443,69,39.53484812608819
t,20,36.434482719177666,28,39.18730188589669
l,63,13.768797631899032,31,11.490067623958655
y,65,71.14998055507498,8,39.95515877936649
s,66,56.097412208434704,18,45.04981667597121
z,72,55.56078566340999,61,5.967539381393728
e,47,85.75680207252651,24,45.55431716929456
g,90,94.03728033897697,100,86.33123723083469
q,98,30.45296698493386,50,76.47967853926757
s,14,63.87591075407779,12,67.21390495593388
k,73,96.34152145632893,36,30.924076280198666
x,57,1.1699797364326914,83,57.695790959846015
o,64,64.51120842397465,49,52.132230837169466
n,86,45.16059522151067,99,51.21217520077889
n,38,84.38949402532022,25,72.32944633500836
l,58,40.951948279649045,5,97.06531693930067
f,51,30.860843123822367,51,46.21485320215596
o,82,25.299041331103666,73,52.70432411731532
n,71,90.1870046762552,15,47.58668936643547
g,75,95.19447021403748,68,10.088815996147304
u,43,92.4885380733871,62,50.64564533176355
v,0,16.988415617242914,2,48.93460104356888
u,0,8.311807701326202,20,43.84244099375481
h,89,3.818509458799524,100,47.83594385349741
w,79,97.33449626982842,24,9.206611714509737
q,6,88.25843612039642,51,68.47078294103217
m,51,90.45764561996495,12,37.33674833011751
k,3,87.2396133683526,99,97.71954385906855
p,77,37.109234511920555,91,94.29631702139756
y,17,21.67884155441523,91,83.42194408224543
d,16,51.33551912289488,28,3.118620906483416
r,5,66.2383507297532,31,8.78499620728379
s,6,56.36615766605141,96,21.615901439196993
a,59,63.96133866616579,49,44.28482830645426
p,74,11.261855132266662,1,74.6947009350851
x,15,10.444213820547565,4,60.796457148232776
x,86,73.27085515687789,25,70.66604178115693
s,45,76.40192050986393,46,36.79848193356685
w,76,50.15277406492468,71,44.041114256503356
q,89,68.44490903579002,97,53.09346943141101
m,62,98.87509958672214,73,28.335817257073682
y,69,5.130787891711053,23,56.44157097047733
e,57,40.840858981298176,51,73.49196982597299
j,41,78.66587223563552,64,91.17441867361492
a,78,24.36070242652878,73,0.6132735017135071
g,92,0.537083950809436,24,98.67195857395429
q,65,55.4904027029845,66,18.64570585096964
q,72,82.87262067237644,30,29.776697777697546
y,64,85.28117626456077,92,78.57925503378274
w,83,82.22956058274517,0,64.79881315457115
q,50,24.918406266171832,11,89.21951984275009
u,4,14.436077689174686,67,23.761025125515545
a,23,84.57692738257072,32,7.193146833412722
j,0,2.21741814780978,11,32.26816970588891
r,87,19.73504669448164,35,95.1993118973076
m,58,18.658915782007803,5,32.137362945260875
m,30,78.42392559440793,71,93.12991871655414
a,24,55.28332051827212,62,29.31025779071873
f,60,56.47788454933242,0,43.626916339823495
o,17,73.29010146517201,82,84.32923335279827
f,70,38.34206184390185,52,55.98433573039529
e,62,74.5017966944713,97,52.27888925771128
n,91,27.74190936920331,68,46.938351697873635
z,69,79.45447338727611,82,8.809666929835103
t,61,61.32833434510242,68,58.635721482634054
h,38,72.33800257769065,70,54.92717887206212
t,44,99.75993537876356,29,25.914318585200323
t,97,78.99746411013497,11,14.515048386883322
p,65,45.611277890095,78,59.81304772722281
b,36,85.11143401061652,63,71.62202938927743
y,58,71.41845295905786,66,68.94787494724173
t,39,79.55902886790852,66,3.7473086128632316
k,38,90.56267705415159,91,78.21836414059908
w,39,80.53759533105801,54,9.931190598635187
w,49,43.97713606639786,5,91.25468422471205
m,75,28.52472849208216,45,15.338281752402805
w,2,59.14671650906942,100,95.45002484650226
f,37,81.9738248008085,87,74.55631522968234
b,14,92.63335991804843,79,9.067685113761058
i,81,55.09892956390855,98,27.437538626137815
m,10,57.91574276281629,62,81.552338454699
z,11,82.46477622904635,34,83.55213342174575
d,13,26.050954676643777,34,35.73514812289853
i,88,77.51585159767593,36,42.77134627041209
i,7,99.99182276617937,55,44.90061647672297
w,52,51.61939881848693,3,13.657273335351505
p,64,24.434799360439087,9,55.66230458511654
h,95,38.98116460317374,69,20.154341882952565
g,77,78.49206491009396,96,32.13491109207296
x,16,82.27989222477657,61,28.248918611238526
d,49,59.53211142119312,63,16.27021810140744
h,87,21.029131641133368,15,62.38523536432743
x,30,80.51520733471324,54,33.39540678642394
h,86,56.070702141090976,26,39.71687617172401
b,96,17.946605899434797,24,95.8981655958961
o,88,49.26038582570905,57,46.72324936593757
q,19,31.721124833439774,23,66.53639849173028
e,8,82.58549056840502,50,32.53292238613382
i,8,33.07626131514259,80,0.2872501837463237
h,92,56.59810139564358,88,28.790829271418016
i,99,18.801259630514757,97,90.52728928829407
a,41,95.00335235880112,26,26.531402212867583
v,55,26.653866992565245,61,8.743999827095738
e,80,39.77791107873892,73,6.779889236414894
c,76,14.17935899095879,74,76.7636756625424
z,41,51.885451840127196,56,99.18995564353592
a,14,26.00967147219312,56,74.72958587795358
k,28,11.022573785380441,62,19.962323897762737
k,60,64.53099844418617,82,97.04805679486799
c,43,43.30083220802193,76,86.73358982954925
x,61,19.265616629196646,6,29.955953502883194
t,89,55.54808525739381,84,70.68125289196338
u,79,61.70013615878701,82,40.414619437818764
m,5,91.42601198153658,49,44.99354565917343
q,57,69.10928117869078,5,95.0286830987895
f,23,49.18440067985285,18,62.74510072512357
n,62,41.24616164396212,98,91.55301869911547
i,61,27.430476300856878,33,97.74161435155384
l,26,97.13185650880375,32,79.4243437205765
j,74,38.19660060585471,79,36.67154556621026
t,29,74.53523137226415,74,69.25458764890831
k,79,95.14705660899916,51,81.74238986743467
d,30,85.62464029922376,90,13.570543456467233
w,19,83.57734698136527,6,83.40606041522521
c,76,24.544347142484057,13,3.086213205038446
v,12,11.304962647990092,24,65.6345045728799
g,44,60.05431092231619,39,86.83444461122771
m,1,47.99867162159681,62,21.287603130306255
v,54,58.29626803915817,74,42.36513470651448
t,74,82.07089646509486,59,87.93336748041011
w,94,9.072959766006782,35,70.02880176390718
p,69,54.120363176762496,21,60.74324095198126
s,76,99.87175309878926,3,40.86984662034534
o,38,64.66722557682996,19,38.802849455305314
g,43,68.03836589790527,7,26.984520433378822
e,82,66.9118581222924,39,9.350085725805545
n,81,62.92035677892007,31,55.696768112055786
x,3,82.96587836118748,47,22.302003131949355
u,5,63.259076328887495,0,94.56493658187235
i,7,64.816838188794,98,65.82047827723329
j,66,59.210531782719166,40,33.76571205884687
n,49,5.830221446266726,44,2.8917760409885807
k,68,40.163641086720915,44,25.902136221557104
h,62,40.94000017006413,72,98.95721860106842
s,16,5.986024428621317,87,76.55434449123041
g,83,93.38425553586379,86,24.998670559739157
f,80,6.528262402857187,70,79.35172517537033
x,71,50.17055602596869,77,87.7423363124409
c,81,85.68188774778206,41,58.31324050539687
x,56,31.362277287874317,50,16.67197359939393
f,24,17.679895335328723,58,80.25418014457402
n,36,21.115610384399897,35,5.254668190315803
p,58,64.212936914894,6,40.90000880259217
o,19,93.83326783880631,82,99.25270650181703
f,52,85.59480682703416,95,66.38347334718812
v,62,79.56186032587819,36,16.813653926489035
t,40,56.93347121245355,1,59.72615356860692
z,78,63.96036605137097,0,58.39952664348527
w,34,0.5180192393381966,49,15.405797608277826
f,76,27.91318018141903,38,29.362717157804664
w,89,88.33207356702893,48,79.14790937619638
u,90,91.76283358432994,17,36.258565968664215
x,12,7.537423898569539,5,34.12595584801821
w,0,62.23208173069599,77,86.58161328722315
w,0,22.229759987066757,21,70.79653203029227
i,35,94.36643853559136,0,37.23037090836914
g,73,34.777733577566714,87,11.08593731729497
i,46,34.52333702809902,59,67.89810404517715
y,9,40.33673456399297,98,32.51680986533716
e,7,22.56338912304421,57,87.23014830384275
f,45,67.16726743797834,93,7.662125401915565
j,80,42.98582825261777,91,94.86524888297696
p,0,87.43821439478225,46,61.537607343652624
z,43,55.55396308508933,11,28.421838870329243
l,92,50.173684674324825,90,58.311769705292896
s,43,32.777317197715014,17,81.38512931387719
b,35,86.53930461205526,29,79.75387633278984
p,1,83.65013165950964,93,70.65303383216765
d,73,78.86768941437265,3,82.86228745111167
s,21,51.85082661317458,39,60.258347035827256
i,45,77.52767105497216,27,81.39445139365031
g,28,87.1902496506863,34,1.0447995711993618
k,92,64.86020126465208,14,12.536356423541829
o,53,74.17810376415012,58,9.160962109064885
n,50,0.9241244624822009,60,6.566675949842082
h,31,87.12388878205905,43,5.536988309791524
j,30,64.55887422601162,94,34.353644873483624
u,27,81.5918903698067,69,1.23250594541352
t,94,10.065816246471904,27,76.54740829885053
u,37,6.00026770283929,54,22.577500597650857
g,77,62.28557143901652,88,91.04086999087284
o,40,42.510524967014554,23,51.06634900660273
b,23,72.55699016858524,75,75.60820776800395
i,64,85.5289972642658,5,59.55105172306065
x,11,7.787393774418683,79,32.19520241627484
q,65,96.03707624408675,89,75.66918108020225
l,46,45.31003725638955,74,41.86677771386417
j,79,23.40258510659867,54,60.2516827601078
x,17,8.169777177527903,68,61.47595325322439
v,86,10.92372004068416,94,6.589133384627721
u,77,46.853411497744645,30,22.948411074950727
q,47,12.348869014321206,21,95.68521469879471
n,63,23.6175284423065,53,22.244742752768243
x,54,60.90560074560683,45,0.32009276287784383
c,1,82.9635232957005,17,62.69985401624096
b,44,68.13547056467762,42,94.53014012073089
q,86,57.43033991532174,58,50.60753572111013
z,67,20.43675848582285,22,34.08279857616802
k,19,27.492951193719318,90,86.61975871171846
q,70,19.068705746968394,70,24.695919247951327
b,97,95.25921551315751,11,35.168208455621
n,24,5.7628892410613535,56,52.05403944330311
f,89,48.4706261789221,91,67.61894018882445
g,71,75.35525565276735,89,1.688011801036693
e,72,62.05614696400911,78,80.23006709536385
t,9,25.57143579346298,44,34.0944033521414
m,24,24.38045915588457,14,47.86912691312632
g,62,36.46410743240646,75,83.89182667914879
t,78,19.760941828346567,44,73.45167706535914
p,34,0.9093252223717041,18,45.88802474095808
g,27,4.312240942125801,98,94.99857761591966
h,85,91.8163607430401,99,37.27565402830811
c,69,44.37037283362151,38,57.03166905203412
w,96,46.62425425016943,73,50.44490382808756
v,18,37.48512614345233,30,37.85418421598757
a,65,20.528687977408133,69,44.37891534970561
k,28,95.35212467392358,11,88.70818938862212
d,57,90.0724015731648,17,36.69452472683983
w,98,7.21058529622084,59,65.44545518850495
u,64,94.83588604036262,80,81.56133497201454
v,84,84.64292234316538,31,53.161623781487435
v,7,59.497604161311656,16,83.9188636057134
r,15,47.303749814571404,100,46.94450967910364
k,21,46.742325803575504,78,70.26002265195922
h,41,30.461410811635183,10,73.12957244161464
t,68,50.39694668614778,82,84.04372333767436
v,38,68.97802607084607,65,82.83499612040566
f,47,0.34450582405686214,87,22.72308608947231
q,0,76.50850100741982,99,9.953793758479856
q,24,37.770626848679015,52,73.62466233912426
b,58,51.12397227406132,65,67.99713491657816
d,91,40.54058659556944,76,40.92788042682747
b,95,7.532935506436111,60,92.25706299981904
x,59,51.95327916701332,48,8.649959804483377
c,56,98.96060271789003,38,49.72317097457869
o,68,48.480789438754954,38,35.66152562987502
f,49,69.37056710117811,20,41.16130754783936
q,39,83.20301374069064,42,75.90649240304539
a,94,33.462644980139366,46,9.986462018400266
c,66,72.55031696168791,58,97.04262675413563
y,7,6.3749070969496335,3,82.84206438439783
n,99,99.64772143169562,42,64.07099913660608
m,34,82.58568609731199,69,31.676828120189437
i,80,0.5568765280078547,70,84.33670736866135
f,6,93.04153979899829,59,3.6079331704300444
k,45,7.149839383842793,85,36.136108633589416
g,4,96.43808089638323,6,4.036389991448552
n,64,37.5424886017203,48,64.35746130234504
d,39,32.56450981764439,46,87.07950696770165
h,91,62.41596041088107,86,19.05601342254627
v,69,88.271944032048,35,68.13131531591232
z,43,23.31799371381562,63,6.638200887019496
o,81,29.299193297391636,33,93.18265351196222
y,0,36.9435801330804,6,49.51680453721092
f,9,55.059656063032605,70,9.084187296022417
v,64,60.61024409021603,49,51.16688132036591
w,42,64.79715390429209,25,15.542787575561468
z,94,1.2805006217349035,86,59.67739927721515
r,51,53.25792933812489,29,0.6738437062040359
r,30,62.765811168881626,33,91.1901149151742
d,2,87.57866269444798,86,11.71765768305516
l,55,48.21716514701898,2,40.79250506576585
l,14,80.51146326856616,99,11.980420334897834
e,72,61.28312424697876,48,58.70855995119795
k,10,92.34945547507144,56,15.415537689954373
u,0,16.13794686124932,66,62.45677266172649
t,34,74.44315101204467,54,18.194567099381974
l,21,28.356890151829283,90,93.82203335429074
y,82,67.69044006262904,40,28.90420673788191
m,6,45.380873741301954,67,99.43861100364947
e,67,64.53771503899918,20,6.107301822582379
b,15,7.893032557333212,18,47.924110006004796
f,72,79.20831587339109,18,56.51656639080404
j,84,56.0701179671363,72,20.6407432570332
z,1,73.88586638232177,81,7.014022820081767
t,100,38.22299313186706,73,8.203351575722017
j,2,16.229987626753704,56,18.97825458737763
o,98,33.27322521971456,66,8.89476470588363
a,96,95.89408237100598,26,55.31863249497496
d,100,55.14659871308514,49,19.67351632721207
a,98,95.44571571442904,51,47.04937067298197
m,78,60.80095213551427,36,73.81934610389116
q,72,97.36084898790827,86,76.64805554294708
p,42,99.69365103632335,87,19.575930593547575
n,100,3.487506338982116,94,4.33082801403748
x,37,86.43072404233067,89,59.62327468830889
m,100,63.59213038900911,45,75.64950957752534
y,2,21.66129958401479,45,80.49087832085571
w,7,71.59161564573625,82,4.3047917578506905
a,95,85.15969470975865,12,30.81057904725517
f,11,13.407225953588886,20,63.669307232820415
i,56,96.72003437172056,91,68.60534958088913
u,87,32.725784350020426,44,90.8370648202318
i,11,82.84196319621829,100,30.7599330443353
k,72,68.19911661436822,75,92.2012826821952
f,54,87.72216530706302,75,3.558883413411762
r,99,19.765247193945367,11,99.17688942148317
n,71,62.83478640383026,79,53.692130548924766
i,24,76.85225055831972,99,32.32137248470259
p,95,18.20037128715618,14,95.51103102554484
q,91,80.17574391105882,48,7.430872436402092
p,89,47.35810531614565,67,63.72496809781174
e,58,15.184729753328286,97,25.349428210550172
t,98,29.919365820652665,16,27.388055221762496
b,22,85.58046054234177,72,18.38959060218299
h,66,45.06869214915664,57,54.66269229950752
o,12,72.80406186530587,38,27.674080555805425
u,13,29.779967023001518,39,18.121858276602232
z,94,75.94749096747651,84,72.56957987144116
k,65,31.12489088899696,16,84.7608195043405
x,70,20.25495073870822,92,26.428013655271997
p,64,42.383022245807965,70,89.83263810696337
r,7,53.12981053985254,44,79.97181177850395
s,26,51.683854528989,61,40.46863269445689
e,32,81.83956864861257,3,52.821496416507316
y,26,22.9979764977814,55,88.10544000583363
l,44,3.0541597655224795,66,98.61819893894398
m,45,89.25459689348777,84,67.75677903934869
p,62,75.51753373658717,50,41.10325345675876
h,25,36.57359623507256,58,26.533302287983762
q,11,86.10500200217392,64,86.34822769243522
l,33,57.67012384347395,80,49.90418665551615
y,23,55.72970552429446,42,88.11602731085384
g,45,74.34924385098263,80,40.651586385064796
e,58,11.300913280687286,75,70.87397950208458
o,93,58.08379576007848,99,62.42371717583099
t,93,99.05933766678072,22,31.123298421062305
g,65,50.314617576923546,5,21.612759389870117
l,76,7.349101722696227,78,36.86273069854934
x,11,71.09037796965048,60,89.17071160664372
h,11,59.69100849717294,68,15.9553240214935
y,0,23.181966288219368,68,73.94607810323309
m,78,0.3866164836863861,81,42.762167388193554
