D,T,O,G,C
i,63,19.145360024902224,85,14.584710525651168
e,17,65.91082724901095,41,98.40151887807205
b,86,68.91770409895803,35,79.82022800869353
d,65,11.431956429381929,57,37.01424618067757
g,19,12.541990220492682,47,75.34355323534075
m,29,13.540949847210982,19,91.16154433691453
e,62,37.53639371101399,57,55.46766400681161
n,39,87.74976136017474,73,81.63111073986305
e,88,60.99365463642331,18,90.63725523422299
t,98,8.226468591854086,90,30.314438730845474
j,46,79.45519956670697,15,73.73838517563935
n,17,80.59026253503315,8,74.2240155722537
i,41,17.595221893234726,78,21.87985389872036
b,63,21.91323177616177,74,39.4196588284298
a,14,52.749476228451144,60,51.134679094194
r,98,17.121072342768816,91,76.63014709944585
w,66,90.32798087213494,17,18.35636068127919
o,33,7.62611018785676,33,28.0583756077333
e,6,5.546002280106455,15,81.20959213209481
d,78,49.23958769407365,0,93.89721691670137
w,17,44.030234210234006,91,91.67665850637712
q,14,25.214825738349276,71,66.14570982183324
u,7,46.329658513336,26,85.20138317514059
w,10,53.83184497168251,62,92.42397070867315
x,31,63.99990417515669,49,83.82879908918389
w,56,31.421844849072443,54,86.59991663140299
y,62,56.04947884714008,90,28.16838463478183
a,96,3.2422190833999665,15,59.82652447572991
s,71,54.30052934378287,60,33.42595986956027
f,88,58.13628375993702,37,88.77663789917708
f,30,87.39673070321778,50,69.80049597367744
j,13,74.95074535755644,53,79.67685276701766
i,50,26.56978617343083,39,18.082274492615568
h,22,45.72780694993931,91,72.44459404137247
j,4,73.83243505459471,13,35.610035623133705
t,77,70.48571768605403,82,20.042361439106283
r,72,0.19495339729582728,59,16.316710451715476
c,8,91.80985325485403,4,92.47334227552462
i,10,26.996189774534706,97,87.99964927922602
w,89,47.81070535876805,15,74.67547889655481
i,68,45.103763495913995,63,70.58749683606472
d,42,12.63497851941694,3,16.0409129353112
r,35,25.533202329098735,11,5.635140315435461
j,50,17.15309882458961,73,11.939666743617183
p,31,75.13524802636981,43,24.657860781963848
l,78,79.33251284364961,65,47.0157951401273
j,33,39.400618447006764,68,86.24061783027206
k,99,5.529036020250555,34,58.192667143200296
h,1,42.99349437738719,77,26.59270957230261
d,92,89.7314263361616,36,61.038203517576896
v,64,16.59380241586854,17,45.763561410440445
w,81,18.60334041326913,48,26.931601623922397
r,8,77.21485606482446,100,93.33861115229195
o,45,19.4217385696033,12,11.227752430184868
c,92,83.7931894996139,24,76.90733221555733
l,39,78.56252257808643,14,29.45150445432776
h,24,93.87085892497609,53,93.78749742851288
v,96,28.472642140637248,18,87.23180536348144
a,85,97.44726426427253,94,84.19180201799963
a,95,51.75907765191561,95,45.64978271345572
i,34,36.60532563833561,84,37.2040809074744
w,36,53.91268679580746,26,60.37602319346418
t,74,6.913554963948531,89,72.08450469237204
f,59,35.222176730422525,82,29.34311123025781
v,57,40.44538165595378,62,27.366541573298996
q,99,97.24399575489504,17,21.12230014691353
f,58,68.69569653127083,77,35.020044667381946
y,50,27.862313719324472,29,98.94607835686219
j,82,21.198395062847197,9,29.240788043235412
c,14,74.06808886698143,48,0.6981180450733704
k,3,69.06630850802009,32,64.08699523965072
c,68,79.35812419426792,25,25.74128772845222
o,47,64.08481126694919,49,4.715737214622351
u,92,33.10504620744704,56,68.09572251185494
d,89,23.805622184413423,65,85.11186644960638
h,50,18.632035823644756,20,67.68956730270705
l,90,81.96239183554265,47,70.874006658022
s,71,62.92167274101952,5,4.066744687227852
r,46,92.47062490320849,43,75.92234664189452
u,21,20.843705809832024,87,41.48652784414839
x,83,96.5171899967779,79,91.58018554197288
a,48,68.53852742114988,39,69.43751353377687
e,31,52.12801459604622,39,15.380826328701659
d,42,34.05791400379932,66,67.65670340155062
t,32,3.476852251194995,99,48.35749936499879
r,28,9.581697343047313,17,26.266227416582545
g,74,0.5849175591398192,26,90.37648514077475
j,0,29.25504582428421,29,49.540355884490616
y,38,3.641426234134648,80,73.68346226564275
l,68,25.42484913570623,70,98.36926141768873
u,86,73.60011853081248,22,37.03231115339085
e,93,84.27409259655136,7,80.89392016559631
d,69,23.156051473042496,63,22.40390227866508
z,0,62.91221671035744,79,81.33317212005745
l,61,29.166204941447237,10,33.76970330099157
e,79,16.190743732858593,84,33.424097384053574
g,51,22.715671679885695,2,41.46038360212964
m,29,96.96292353086537,64,79.1602409117768
p,12,7.905295812439572,97,37.674845029881986
i,34,87.15894352404663,19,92.35680130231742
y,45,21.946514431105648,51,1.2674204839551395
r,65,97.10092396524801,58,11.480747029019279
q,55,40.25007726294928,51,9.21377502186328
r,1,72.26494691510791,50,74.83818017492884
e,48,95.98742806396086,85,42.49555024677926
w,21,68.99169657553762,63,56.387153584445215
y,26,16.073994481638977,11,66.92249160604588
d,82,32.60848592457236,17,41.457564394877345
d,24,31.200921198754916,25,8.758485869880928
i,68,99.78689909554045,95,35.88017764721268
a,22,70.29133200541634,83,30.54939632301329
h,57,83.97372783086834,21,24.972221640629666
a,6,91.42409477231391,34,74.16925748818237
x,65,67.7161805199285,46,34.273567645476824
v,57,30.584728863614107,55,63.651153528493275
h,25,97.71936735703694,54,30.356446346888443
c,63,21.1198523091084,55,56.71965300155154
a,97,41.55102925959153,85,94.89052717524574
z,21,1.993171824879414,5,17.488427032074583
p,1,10.922201718510705,58,52.16255435469934
p,15,29.877456821449712,53,4.8261470476065105
p,50,65.10330634475436,100,28.15617703487947
t,24,64.86245459822698,26,66.84747243941263
t,61,33.04571851628351,3,38.93986957654476
p,7,43.889314330250976,51,3.874497695146739
d,30,99.09225070512578,44,96.83830075980899
j,92,37.14727465337751,69,85.22140724408135
k,47,53.27055702602951,16,7.197385630256403
b,84,9.42451884649097,94,2.24672872498084
e,78,4.374493787083312,85,64.60489501975864
m,90,53.19494483517985,41,44.18826521477016
p,86,66.54526015166631,90,47.23354588781373
v,10,87.98092289387033,94,42.69146876130606
h,42,27.681343127161472,25,11.492551329405021
x,16,67.472505985888,90,50.588648033264626
k,26,24.710853540387422,41,47.529415289593516
e,35,77.90316718564631,77,5.751229859417306
g,71,95.45982194601157,45,36.402078006951754
y,65,71.59707784342275,29,59.098262455539675
r,73,27.2690500764167,66,15.075305661728377
i,16,72.90455429288706,64,47.70228928169066
o,36,55.33851883690336,8,13.162196964372274
s,87,80.1875850092025,100,25.988529824416574
f,35,24.138466412919758,97,27.94461959126936
t,69,49.373149322091834,25,31.690932299907416
y,35,54.13188205325282,78,27.913365921680732
f,49,18.709567590708108,30,68.90926861801971
v,80,64.22235182046667,72,26.353689364840037
z,57,36.586433948562494,24,52.15838295588138
m,84,11.498376356983819,8,1.8748452316019293
v,80,85.87072413914765,12,87.48746083713705
x,83,74.46553782228982,17,89.66978135151416
q,91,76.75938278696009,1,68.87253246198878
t,21,84.07715684841574,86,78.64611479767152
m,95,72.8644405076829,77,63.611193540822974
g,7,5.812574473911991,29,62.14462781650714
c,66,97.3422436398119,66,43.29156385236197
i,52,87.24655044820612,4,65.9167895627638
n,12,21.8657000660074,32,7.7779634987970026
a,17,32.78345349646118,37,51.88310566523029
o,25,85.17737867046382,57,24.595989717857247
g,60,7.869939410561533,19,51.609549572733314
l,5,26.505753329924996,6,85.90322507682443
g,97,38.63844698394063,48,61.40237271641394
d,98,93.75453551881841,84,44.03388597461637
m,72,74.33692436959538,31,44.94570503732452
t,97,65.76142522589979,6,51.60617000981541
a,25,80.2923636488086,46,76.61786754365161
l,97,50.407807811689906,97,25.90596643080466
z,2,1.0086504299809063,40,25.890650970961914
q,31,26.568233444294474,7,65.07125390144886
p,34,75.92810326762397,66,11.739347517105102
d,11,59.89310787440635,32,96.86410195540532
m,27,35.96666433000535,24,52.88019364788069
c,31,52.48839885665356,18,74.1914199176122
b,35,4.45928494799025,95,64.54114310187713
g,58,59.60420351762794,20,74.23197623269347
q,31,66.51864057230439,60,66.84785225182924
n,63,76.73816232025058,75,91.74410366833395
z,56,88.7292169020856,39,46.33205340838056
l,24,12.031140862253388,22,96.60699647479126
n,97,98.38271700222306,19,40.99736336003561
n,29,34.361457727646304,21,80.09081038838612
d,99,73.56458756241949,99,99.78104536881786
h,66,68.96495926355828,48,20.372229929603314
t,39,57.89828016889851,64,35.58164357304744
d,98,85.50057556318981,47,23.7496752015119
i,16,43.885632265929466,72,34.54971148126324
q,59,64.06005454140607,73,62.004398529009094
r,94,93.72169658648623,17,81.78706022572878
q,17,40.63955312935408,24,35.66776745831008
j,96,60.41997533418279,35,55.18793416786162
o,36,45.5521955959483,49,13.549592041602232
l,58,97.53736268120316,87,73.36462142388865
p,82,65.6184228252968,14,82.64113902744445
f,0,80.49528106666051,49,46.244908459477905
o,37,95.00998746140033,69,98.47280970221145
c,18,10.32179572560331,40,99.30371209844202
k,91,15.841769619326396,100,74.51981837637972
x,50,17.754850538130196,43,76.55665366735994
o,14,9.392833987216441,59,9.930877530221426
t,65,77.78641708965016,26,51.18398563950508
z,56,59.39300355347497,18,73.72755461414884
g,58,90.4882896923572,87,20.967497326094875
o,28,46.37856372992236,26,42.84986639431011
p,61,7.3913009461303965,52,86.4917680130438
u,45,34.23378173558158,47,36.47257798300966
t,30,53.52149398164882,88,3.495892670442202
u,46,13.180466711000193,34,93.35078777795984
f,24,5.797296010809494,96,62.60961936604249
a,62,29.65837178885995,88,44.85114747644582
q,80,59.19274764787139,82,79.20524828431962
o,62,16.75256450639486,31,17.830410902550074
b,80,26.35099106340685,73,64.26399332655309
c,79,24.416175677104015,97,16.536888726286502
h,34,16.385603328808106,86,13.263832809241238
j,38,64.65842591644467,11,66.56474289270705
d,95,59.64199602117787,81,97.39499806906699
l,94,93.14237200064832,46,89.54583696515729
c,8,73.457791301655,50,16.377846455736535
v,77,99.47451804004095,62,94.36262736003945
x,21,30.744286159942714,95,17.75158256015529
o,33,53.78597315000505,54,60.1682031144624
r,71,86.80575610486092,91,55.762635607125866
w,73,97.16805509856421,8,72.61873523640135
w,64,23.579514303982908,28,63.40611671286932
t,84,56.095057444588114,32,44.030087340953315
a,83,31.89981355672913,63,71.39453458945837
d,33,5.731124399438759,61,5.889832294045627
f,77,59.56279011418422,49,17.56813848050889
d,100,35.10303263395276,57,22.67250834461111
j,13,55.55171004103736,44,85.59526026709933
b,29,47.625485698852344,20,70.58396416840861
t,13,7.643542555567229,91,7.5631015940791135
e,93,9.601484053685228,83,86.23510501810473
p,35,94.56974732865623,16,96.29459918892117
k,12,47.57690094703862,18,91.65955278515295
v,13,29.125018274080016,8,74.11727086363275
a,97,77.19382995099244,51,17.68142373037599
w,94,17.36546358997192,32,25.799452309876216
a,52,41.66109801772942,32,95.78658930847709
e,83,89.0208311316813,79,36.70590291912196
d,97,52.031508628196676,90,27.11784843171474
q,10,95.2397826789827,80,2.4604458888331515
v,32,80.87939176531746,13,64.58365069215954
s,34,24.032524378603004,61,29.375339113413578
v,0,25.09971346006814,53,36.860940486260006
z,0,91.15823557378067,29,99.27795500167672
i,20,39.99817529960493,61,99.09632369927009
f,88,83.91356102320557,86,74.73124548310118
q,45,22.479213770041497,64,73.92420125729319
a,62,39.59355389707726,11,10.10269225397088
f,75,43.19184531978018,85,94.9196848008832
b,89,81.31372159260863,23,1.9772186531448965
e,28,80.32796070133436,77,11.158211159352248
v,63,39.977142945055796,80,14.466422471997442
w,54,40.713483940216,3,10.103139664516824
m,78,10.939044339868055,56,32.22744281796833
t,33,86.40003301526757,23,65.07651452605388
a,14,87.60429966964973,37,92.89014224980555
r,90,19.500706442854256,13,59.55531141725824
e,27,42.48992379505403,100,45.434661656444995
k,90,23.6710962393638,81,95.94496062128563
b,28,5.640197918836753,27,70.91053691381755
c,99,37.418958703510754,99,57.318478260039896
p,51,12.37623964269099,71,73.3113775996342
s,18,14.513687854009461,45,58.47411377430601
l,5,9.37289746544705,94,42.61987235248078
l,32,0.8870973347670397,32,77.50937754927622
c,100,12.586382837847953,13,51.5916964083708
r,58,10.585172602945402,35,36.51996027320211
w,61,63.33517164814331,1,95.24179919756075
v,28,67.71078617321035,67,55.960427609921304
x,97,36.85088564555442,44,29.287975235281117
x,62,70.88514485225758,33,33.029436414511245
s,56,13.55488721382876,31,45.853182635579195
d,82,38.43190605910123,82,14.187746363183496
i,59,47.12469716679507,56,89.75822273047378
g,41,92.44428163345913,61,95.65454282689913
c,79,8.10743699039228,30,6.193323858981026
l,64,9.342535695152055,74,9.151370411982974
i,28,48.80084809400172,46,59.557242004196254
b,1,44.60944127683939,27,84.37309655050754
b,70,29.449462626356805,49,75.27891905877951
w,33,58.37141070175282,42,2.4293828214332347
v,47,48.48872824996353,56,62.045215935346356
f,41,87.72725802639118,28,41.67617502312099
u,76,45.85590856718039,80,54.37690037305687
k,23,61.37762143098641,25,87.88493450828776
p,53,25.542460250329313,38,17.881344560730007
r,67,24.389197263065952,0,99.73272864008416
y,47,44.7614357078021,34,51.96015784581943
l,98,32.72077528429017,83,32.738621162856816
b,83,92.45555797939426,28,0.640465579234506
k,50,47.86640432414379,17,61.41925062619896
w,94,71.39073944055218,62,51.16169423587449
o,39,47.08798372979862,34,59.64642469747934
w,65,99.99094547533211,87,61.566482390937324
m,37,48.997156450449545,23,18.419440526415876
q,71,59.11905828675367,26,28.947404911892114
q,60,51.51708752783176,52,97.8407965996482
h,54,65.63701492136458,0,4.928311957034836
q,66,80.14919291988411,40,65.34739841376717
h,20,30.360539890692785,34,52.555619405803355
a,21,72.38556330941091,52,28.3430571122397
x,68,79.49911497525221,18,2.1159669053281704
v,49,24.90844925642205,59,11.91011482407741
p,50,64.69739216181306,33,39.86415870884106
t,79,14.26570127162069,32,19.24778343756949
z,53,1.9776741930668917,97,42.91291741831223
h,82,46.51810177800506,74,62.57141529583714
o,49,21.14016306260522,12,1.349753196006509
g,43,72.67517778950166,54,81.67942057637094
k,36,56.8860367893201,27,99.33258415191449
h,8,70.21250302838725,16,85.77202516975677
e,29,6.666517317967047,54,34.901865163213365
d,55,82.94512765281293,0,86.28887048568271
b,30,13.424989191074166,55,34.780354527599165
q,95,20.67193033994861,1,83.82057046991224
q,12,61.57406956487754,69,65.16940438531165
k,0,24.816818431209985,54,84.80864089488756
c,34,86.02653738916975,46,56.108870574564286
b,22,16.60684797213906,78,34.84445991251253
p,52,29.035983973612023,52,99.57368446938435
z,74,74.71247131328433,48,17.62666764019879
x,23,61.252141191601226,88,48.78583244343172
p,10,4.146473645370996,14,55.10526862431385
b,97,87.94799844123673,27,99.31740581593606
t,45,0.2889635460456397,31,7.623192143667867
q,75,13.093884641791876,23,91.58364533972593
l,99,70.06404167305412,43,56.949963766106315
o,12,49.385741120237945,48,92.30111631624287
k,13,68.62037284064233,34,89.37326922983368
u,94,67.18773312158395,27,44.47807493523194
w,91,87.17124953371008,64,26.588167544987307
z,46,21.855934023751576,38,80.60704540343525
g,66,51.18701820140766,93,57.52361591962557
a,40,73.94335276778797,85,12.147783990603811
n,89,67.74838538266911,80,23.99669537611897
p,49,99.7538103541172,66,72.78691675908534
w,23,1.542864255920362,70,72.65247649781989
e,71,7.737115339536659,16,84.5462974029851
w,37,82.84669034447948,17,37.12834589477566
k,17,75.66535631111473,32,73.1681874272369
s,68,4.260434031533311,35,25.243357659131437
z,15,12.657580188427353,9,72.98748733159238
v,74,83.69304378800547,56,64.15386759182292
q,78,52.34421102588872,23,39.01218503936258
u,52,40.50038604145429,7,79.35715021461948
b,18,18.53292356483821,56,81.91673689392373
z,21,38.04301417718429,95,35.97959177591541
c,34,41.381158796592224,82,55.577278922320595
b,52,42.721625530942106,45,83.06685821424306
q,42,36.089313079798,8,71.10505672311513
o,58,67.80174241495823,16,75.77281068035188
h,6,11.645318951879414,5,43.61894507460073
w,38,59.3396198232362,14,6.614604126655577
o,61,3.148450878256248,43,7.174860840487584
j,62,22.096704064624195,96,17.459176161041423
k,22,60.08754835900453,18,63.67235218753964
m,26,28.94863959933984,66,11.511087774104334
c,24,17.04190388123784,91,60.75981380036223
p,29,51.124201604048814,38,5.131235882082985
c,2,93.9589346763488,7,32.68206691565738
l,16,10.3115490641001,69,83.31955449660923
o,36,18.800512717519446,58,36.669695222697115
x,94,56.45440423198892,19,63.31780244152561
n,8,85.51030163942318,35,63.236520369930425
w,23,97.96310311857907,61,1.3833600377111566
l,63,97.82150662423835,22,90.58895286023348
f,100,72.06182671395386,9,98.84252502586861
w,52,53.15192061024929,25,76.54503492140428
t,11,98.46706258304154,77,99.97477177955935
n,94,79.43352351996245,97,44.27587914211172
p,78,73.05106562844841,96,67.56778859414115
p,5,2.366367794726121,14,91.6822998649365
c,48,66.6396873810352,69,46.35832739447729
y,55,92.34566707502994,54,72.7639625840115
a,42,48.10795146898293,70,73.57894228872264
c,57,31.285730763773934,88,72.3218870322065
t,94,34.71886323659151,82,36.55199036661687
c,69,70.18372559459077,29,52.381194623913395
v,39,2.1982098382018256,37,98.91251833102676
y,31,73.60987669960709,84,53.97466993489331
n,14,50.41672044375788,83,12.91152118128862
k,32,78.56500336623145,44,47.46599178596309
v,51,87.38159974711192,18,91.14594827291717
j,99,87.01111619465848,42,41.74169307834876
t,57,16.20443697293338,83,66.48474443699297
r,84,30.951500965359948,34,78.49914462811277
e,81,63.11678334367764,88,37.913390421972
z,10,81.1684273785596,61,89.40860617934234
r,20,15.911930529242724,89,79.07590367309201
p,73,64.48325946338187,33,71.62801822080246
w,28,49.74721894606356,89,43.796848955784995
d,34,87.91762093932934,41,25.151378439422402
i,40,9.914727873081898,91,33.41107659292636
k,10,72.44987471196151,92,46.159592692847795
y,69,79.1925166189704,51,94.90907604004892
b,41,89.62945521336553,55,21.236411546605684
d,66,90.52062270967215,6,92.16025893474843
h,41,61.75013780250418,84,15.323389065778038
t,35,24.274834624867847,31,34.83318971835511
s,83,88.2532213694928,58,19.292179884990258
u,63,51.06766521643412,93,88.63240379710003
s,59,62.62475930186845,77,2.5942211324977094
t,64,89.0286801485253,51,89.94838643381404
q,53,12.364730885327402,87,77.86305764907782
s,7,94.69093850684675,46,49.436390502828345
s,62,95.79625282325289,96,95.90036486374302
p,85,8.036844274618804,41,0.35804684876442616
w,55,82.06207303067589,97,56.75750387434879
n,20,22.543584878558676,12,46.166435996329255
j,94,82.40949100818582,60,59.41904909141152
a,25,17.457636382622844,78,40.847847115820514
s,14,66.11584536172637,82,88.36374465597272
h,39,62.827539961974225,86,5.386113966179574
r,2,29.442277999119405,68,41.057463199291234
k,17,84.95660570486157,45,18.472531366345677
i,48,87.8897463706949,54,50.88971489315335
p,72,32.64045473140358,38,44.64565839914303
d,60,19.79542430724306,31,90.06139432473174
o,9,67.57074310968414,72,45.77734429458717
z,70,58.1314069807334,2,50.68780635696901
f,92,69.89624813530143,80,55.194479821452916
k,28,16.181244284916374,51,26.470443459970937
i,4,6.4715820962741315,35,83.1217723479338
d,87,41.468208121360774,59,56.0907043930803
w,34,92.57259240758668,75,12.732803135637106
k,62,73.35433659682091,56,70.35838497531559
f,71,52.98060694530867,13,70.69956089424556
x,94,74.58613529508415,8,17.16888163594411
k,43,79.9632718707315,11,11.336770746661418
u,54,21.106262780527295,57,89.96080285192349
d,85,84.62304969145364,29,16.311659547265688
k,28,36.344343394309384,77,7.821086099379859
v,75,97.2232631368103,0,63.01745536662996
k,82,58.526980759103175,74,65.6045375815666
b,83,50.856356778251566,11,94.96527671358218
h,92,48.77404018615592,11,46.32998244164366
r,14,37.602701238730084,66,74.69759611579593
j,98,24.510208160603963,63,5.3264987464821445
x,54,35.42929647181627,79,2.737978012926179
h,95,15.672431920006858,46,4.159857597848527
a,83,82.84015698420684,64,80.76237056893822
h,88,77.71877737717857,70,95.96394161571861
n,5,1.0212988449726956,49,37.553808548068865
u,19,95.91716196504456,95,75.62502556797813
p,91,10.566240629168878,72,47.15988774080995
h,37,60.30252075971019,31,35.63854051358754
f,21,51.971216720729295,35,18.22073610729794
n,84,57.22854222173097,99,35.039680008953724
x,87,2.818431015435585,38,54.942352000362305
e,17,21.134056416756188,94,73.45812381345938
d,28,16.482616091506706,25,39.750829947943835
v,39,60.09109459824287,35,42.483975520216845
q,83,76.24247675478505,59,43.74052980114461
q,83,68.73817829784001,92,71.2201832084269
u,66,53.337050918410654,87,87.60086834978694
x,88,34.27166825113744,25,21.757135594186817
o,42,4.142600228000748,56,56.66752261699596
f,62,65.17903779050454,61,36.91396585365466
e,37,9.387800317024752,58,48.93382883564147
e,16,4.807006274866699,3,53.84326961377172
t,22,66.12947455800824,31,39.82149699914288
d,42,33.99491979304332,85,46.28670020997521
o,56,42.06858833915375,8,79.97523375201011
h,43,96.18923892714099,62,15.272765812138555
y,68,8.090858530293488,23,31.086100406542393
f,39,35.041155506085275,83,32.757696654900606
k,20,47.079741960079836,48,55.114001955831306
s,59,59.06403544311081,37,83.52643338193239
b,95,84.88993972672888,92,98.46105180976998
t,31,29.818030753878855,46,49.020261736020245
q,24,85.04296833538282,88,42.487531388388575
h,31,5.5793632593804094,58,69.31023581539057
a,78,18.62312487190243,76,55.92422503175357
n,84,29.528967337492873,55,51.55797393272991
r,65,60.03398490020169,85,25.76965015254156
m,34,13.732634171313506,60,25.681443754887745
w,96,57.64895419662186,11,58.45833512276437
j,79,37.060002902407355,79,10.372884752709643
k,22,37.02377039164064,34,72.42123395502625
c,70,4.4125730803102226,32,89.96478176651053
r,58,29.159405459248212,12,58.10545533941895
u,60,67.15708697632189,79,27.189332555339075
w,73,22.51789878862631,96,42.81822807996696
p,8,79.84205201479823,83,26.840755261953497
l,82,94.3951907497502,64,71.9415704516359
y,25,53.441108637815645,70,20.854228443236302
a,93,28.13803255517223,60,56.76572367806513
k,18,59.282180648653025,88,66.24927612508793
a,81,7.97741376346891,45,87.48368965165864
r,49,63.072266479306606,5,21.460139685023847
k,32,52.42932984368528,5,44.28120255651948
o,26,19.77285001421578,75,55.25676220762694
e,87,78.68433566930018,80,20.264957815395277
r,58,12.089481629712717,1,65.05483559316417
r,18,54.88347069240858,34,63.91807656666108
r,45,56.10195517348531,10,80.49761343427791
m,83,40.61673287732037,22,12.942512485207525
u,79,4.547714105362266,64,56.944269535961034
v,51,73.40418189837047,60,64.59486124556997
x,48,73.74448229229552,44,42.28334549207485
y,43,14.38423981844057,18,80.20291033744718
o,3,93.20609423245824,82,4.69266834662887
k,20,53.44503035796576,7,5.938063231624035
z,23,88.72299630769864,7,38.2742858883235
d,31,35.01251949053531,78,58.37434220436366
x,30,69.52610512345888,99,51.83382662524208
f,50,63.035129797041066,47,76.96360892114255
w,3,16.52092043134601,27,3.5504150449095384
t,39,45.83633307399918,31,95.03316083391934
c,17,48.20970706498024,45,48.40049257715259
y,22,77.93643896748893,59,43.116384478532495
x,32,98.43052244553121,65,85.83471321810195
x,7,55.81795184791672,27,33.43516856373845
l,82,29.16477703107644,18,36.92864826142386
q,97,83.25975050544722,71,68.2703260346755
j,90,96.35544691515922,46,78.98614440057645
j,94,59.8661157066813,72,41.46046026224334
t,98,26.371594601767235,20,48.37902794923027
g,53,1.9511437837856693,51,7.40107042689594
j,67,85.88508502653572,18,91.25020905935818
c,99,25.33258981566251,73,19.601509906599457
h,53,0.6907709449308297,89,84.11118044867155
d,4,61.15926451833072,59,89.45027213896533
u,50,24.893111080230245,85,0.6982501733440727
w,16,94.3995089151916,12,55.15097007942102
f,55,59.40229892524199,89,30.830321699212114
r,15,46.688396012933296,97,78.36677714459474
w,46,25.503216249721696,82,99.01258564059313
e,21,13.474466293274133,70,48.04841075034037
b,39,58.610049902898055,67,56.845546540238765
r,82,79.07632739517805,85,29.021031800311302
u,37,27.446170851277717,56,31.79250790335787
i,73,57.04489578262344,100,40.41379821824378
g,8,57.99842713575354,36,40.168119360090124
d,75,12.085865474037094,68,31.01486931375337
i,30,39.78422179813943,17,47.69788447889021
l,100,62.37723320570209,84,24.95667765088373
x,66,53.316003061811315,73,54.751858558320265
p,36,96.2770916340582,6,14.645675139178937
n,73,36.23070196487449,13,95.19112078414096
h,24,90.57987820274798,32,13.704851751930802
p,94,17.869408656914764,50,44.53757619482227
a,29,53.53656399209061,13,74.41891088963207
w,97,77.72455198957918,89,59.071337279816625
q,77,40.230677793860224,54,79.96655656549471
b,86,61.796761473034,61,85.29974308698442
i,73,82.01285782925058,16,49.029691081944506
t,20,37.003221397981314,1,87.65271662928828
k,15,86.78310083411323,55,67.398721861544
z,71,86.69570726040074,54,20.542647595083686
h,28,18.76106822665059,88,58.38602268935159
p,18,30.050839542604802,3,57.36048572217658
r,97,78.05832444053331,92,35.12537240279908
e,82,23.471995777651134,32,14.732548729859985
a,77,94.95353437132079,2,80.93418367885047
d,9,61.839828940822464,30,42.36022855685658
a,85,87.5532361845089,85,65.60231944178776
t,55,78.11024858756574,6,99.24131866576943
t,70,89.8364840114634,57,77.02985095460639
b,93,80.63514508329992,98,25.439232880827547
y,85,5.368526823055864,48,34.368709378268804
a,40,87.4586591200164,96,94.02431251287965
k,1,73.68007619852825,74,99.2272308644762
j,40,52.1051060277565,54,94.81474234714426
f,40,55.68820695555174,59,36.882450807649256
n,5,9.14502066520283,40,64.63316554835626
g,18,27.737542207946596,14,59.76397536176689
d,1,86.05941153199433,56,69.34896477793919
q,86,98.3340201965722,50,61.40368802619858
c,37,97.09201326090685,45,22.3345062492214
o,16,99.02894769815906,33,76.33470992681205
l,30,19.78126372606772,15,60.40001750850739
z,16,14.968825025677269,83,28.52103594331654
j,96,66.97783262260393,66,6.315828673966061
r,8,74.81167260812981,67,89.02139903320169
o,45,16.659698034393944,36,71.64075385639646
o,80,41.56866351934435,71,81.34216919617589
o,6,84.13827413630882,70,59.94873730251857
n,93,35.695900880147946,76,91.74196657379439
u,20,47.051768257660356,52,88.46200570430526
w,13,9.021604926366711,50,54.891628577086024
d,69,44.14426750728649,35,22.17382427535659
m,44,3.4263316619415063,19,51.58166048118014
n,67,73.48423933950643,82,78.70080509110896
d,34,52.62517141168088,65,10.95033435369377
h,2,95.38159363873545,71,85.47485124849322
m,61,69.52820829471557,97,55.01997904346503
u,22,61.94986206000787,66,25.258677564485467
u,9,10.708081211692477,13,24.542102333792304
i,79,51.36582676198558,98,6.658752449324801
l,63,21.825196337730958,6,88.51608715181474
n,2,58.596124190447384,36,79.79540908786996
a,100,88.5598505420333,82,38.67054506633954
l,44,0.5486409978420204,12,61.60188200297279
e,9,76.6486878265219,37,85.65504586405929
c,88,56.06076316476316,83,86.86788118574883
j,4,95.26778047279058,87,27.847552155960642
e,81,2.928881984406695,11,50.24843609179709
o,88,0.7347937562171225,24,8.599233455233168
d,59,39.368887851267175,9,70.42861570270715
n,100,22.08812513900661,92,63.17298508638982
p,69,96.48399027585634,87,30.210711620675458
q,69,58.89254966655104,33,91.45579370338538
f,84,16.109033561124065,27,4.152038062781582
r,98,99.79609820148312,91,40.4500558985305
b,60,9.762803922235562,37,56.149454468160265
k,69,98.6526533776315,87,44.45003785923058
r,7,36.781791731371115,2,10.091901782049174
d,5,76.21439951540658,41,72.63080365626254
l,68,47.630791545378855,39,7.7161830844918455
z,89,36.00715532829529,3,85.43556329726059
d,15,34.712601649450484,72,35.23573289590236
e,80,21.89554689264036,51,78.1177821189768
n,48,19.214352266334544,96,19.394781112769145
d,1,88.34869603820053,3,13.183022810361312
z,77,94.83474870544522,84,35.77110853849612
y,85,79.11437563352054,91,50.64017898680705
p,20,29.864393955127955,63,98.53015898531771
v,21,44.92223859117661,78,60.734861811443864
k,11,60.092474144260244,35,1.0302402846420255
n,87,1.691424080879289,94,61.66431851447154
s,22,87.48389656226341,24,16.943851031182223
c,87,1.0804939405500869,22,1.5000399709129253
i,27,77.68581407007248,61,20.9869980889825
s,8,21.947068536505654,73,7.646133824690427
r,25,12.081035689557062,52,95.73576505545155
z,73,17.2617620742069,72,90.7663978598245
v,37,71.10064731644682,71,61.81538745866274
f,40,40.61972841342424,3,79.90130658121292
s,85,60.98701639093238,66,36.719331698077376
