J,M,Z,A,I
k,11,81.47544729553252,84,52.95565202945406
z,38,5.185764555448024,29,12.79190498445104
z,90,73.82505932632375,16,21.910803137263347
j,10,88.21438029356167,41,96.65725684440233
a,71,71.40605830359996,38,75.18170055800161
s,98,72.67208552008636,72,42.149908218610186
z,16,29.110486471120222,5,12.422919276343503
z,36,78.8730824240831,70,15.563405616984738
j,27,86.43612836949049,74,70.40233776091748
x,16,38.29585882663016,33,67.2943871711857
p,76,22.445402243504407,49,17.73103563408853
o,76,54.39473955319173,63,33.06597996930329
z,30,34.8987560914085,1,29.926892331171917
g,33,25.25160817117823,25,79.1548030087789
j,77,75.14810371134509,27,12.789467852055436
w,23,48.796920742275084,28,62.246794382464955
f,66,0.31719260380432823,70,71.13260533792659
i,82,5.186008398974929,94,82.64723477912811
v,13,73.73826506690094,62,80.7242185752816
t,53,27.85836014326809,5,49.64352121486629
b,76,51.86069406930628,16,25.36512111452608
m,66,89.93217572999376,89,48.91416112005871
m,14,34.086954141097245,22,49.17727979573097
s,87,77.96133303998982,40,35.791783267430574
l,13,0.4149691130273192,44,72.21431894264506
t,92,7.5316832407901995,45,36.670897422588226
s,82,40.72976134794626,7,30.116363846382665
x,66,59.19034622196795,53,0.8256345088496264
l,90,56.7639265349968,18,62.13622525815305
y,31,40.80256947520587,15,72.48371826748044
s,52,79.12538881963378,64,88.81165473593485
i,5,25.928266137694244,80,95.15157298510499
j,45,55.59318534100854,6,3.3540274978716034
z,5,96.45043984377615,64,24.98725398220293
c,46,12.13012456949194,25,19.15488454480344
e,45,19.05330406894823,72,16.164730133034777
d,11,51.15092240138459,34,19.989343599996666
e,32,78.86982818821797,63,45.81408028667118
z,63,37.56647679508597,35,44.15329805313657
t,48,78.49842040396953,67,80.76404396519371
y,9,89.63090267375946,82,81.35460029970034
w,54,61.973681618207955,83,50.204266439648805
k,52,7.897296825004552,78,92.20878221438018
r,51,70.55792206886855,98,57.64306830454152
g,92,98.10768447784032,94,63.808446931046056
n,22,63.837010415448034,24,78.29379785709891
k,83,32.170523541730574,4,44.44764917720071
w,37,58.2375876973084,24,77.07460746288307
v,45,88.26134112722455,10,91.75424896201491
o,8,24.552682610905276,58,99.52539988532877
h,83,21.660598533979957,99,41.96240381089923
t,10,46.774325851428614,98,40.83102083478952
t,71,62.2314619232541,0,67.21767558632992
x,88,75.11313245940518,6,56.86679830703255
h,9,56.74766724938982,63,98.93147438666206
t,35,97.09707386007832,61,9.39865932906444
i,41,44.37999209989163,9,66.57474841941844
o,37,16.404678406115824,0,84.04918995010064
q,26,43.870151681381685,60,94.37106590281282
n,44,25.10361937353943,47,0.4996731883055383
s,87,88.2203668004843,10,74.75669294903486
h,72,31.92117907724662,47,17.475087738136498
w,54,10.651115645603959,67,7.442168778416136
z,9,78.13527836374844,39,81.33829616437846
u,46,43.20798946205703,76,53.761038849437895
u,5,10.71705306952312,81,70.10324269626705
l,67,40.93284649998712,10,80.97952929189756
p,59,16.40715257676415,85,21.449322396828187
w,31,71.42928810576392,40,63.467805086970976
n,84,3.64328675549751,56,65.99598406985045
h,64,38.06997583080536,33,90.80784383343415
l,98,24.335797063428434,43,11.198152659662163
a,25,54.83706143259127,47,96.52261257831837
g,77,74.23337631851633,81,4.117738846119923
r,8,32.062425262788175,17,73.31365889419894
l,4,12.827994453712964,16,81.18012255461105
k,2,80.8003256770862,57,25.618310671903487
t,20,82.15016880543163,78,68.9584187912458
m,49,73.11943526987638,32,40.80847720057551
g,26,81.49170056723348,56,44.81504386677205
h,43,73.24392972974026,68,31.323519635080476
r,79,90.38866178270433,57,15.360824023649332
g,49,67.19597521693127,56,22.887260596679592
v,77,59.17410274465471,62,20.790729310120614
a,54,28.165252033047683,28,79.82980392085
o,24,49.21269747265373,17,90.61335681625545
t,68,27.5743986090491,65,0.15135218192769972
e,3,79.52343649104199,80,8.125009440894171
a,37,24.343879200924967,51,33.33979375232195
t,51,73.56278930000596,1,56.99499003169157
b,19,61.32004016722191,64,64.01322606390406
y,10,63.44570521436427,40,11.125450939446925
m,31,23.76183189928005,41,28.943898050195628
x,31,26.939207331309923,72,57.674022433862035
u,47,13.342436328021245,77,50.17256453347383
n,34,59.96433854168629,24,60.42534556485273
o,6,59.52610523582167,58,16.457653286012718
x,78,59.88114936628034,37,50.72284036044494
j,60,30.501188434959015,20,36.50254444860042
f,63,16.75449250351032,41,27.8361060379411
w,73,41.06175873887933,53,97.34595618541975
k,12,49.769507444667724,13,50.462023816468395
u,39,67.79245346537999,57,99.57462581209036
b,77,45.1552949031621,97,83.45950231956888
o,28,60.76821213792599,59,49.352020160760446
w,66,46.375178093368,79,58.80122831574972
o,28,17.68509588178715,30,26.91875053454642
s,17,12.965715698590042,34,91.16982509201603
n,63,70.15280180532162,98,55.211709100366335
y,85,41.635822171657075,22,47.55894462335504
g,46,92.17416692624397,26,44.40528820790638
v,95,26.61023974840111,74,87.17885121231848
c,94,92.04080127488159,65,55.564620659879935
f,44,80.13199705813317,69,38.39279090049133
q,66,97.26253888377825,16,62.11174563997947
n,34,77.434052403561,74,54.657493115384945
o,38,96.27735388485785,47,37.803610593559625
b,94,21.08847026216829,77,23.63064517360851
u,57,67.82679087467358,21,78.71399119439296
z,51,54.55658490744067,48,31.496892657608523
k,53,67.66620319518145,24,10.595428815420316
e,28,95.82450087378464,7,8.315866997242994
q,64,91.98430668877742,93,84.10273990031327
k,31,22.332001756873577,59,81.2888173291683
j,78,65.02962279180613,76,38.6593804177359
l,18,84.87242165386783,81,81.47220287693295
g,44,13.696293313911967,32,24.940546325071587
i,0,9.660378946535142,76,39.43167891451732
y,96,84.9306544135957,8,17.118891838679275
q,26,15.73499467961147,21,62.43544418170613
n,87,52.04562770972473,21,58.819548383172545
o,68,13.51005550316432,99,8.218629149728784
y,33,35.963259455400475,49,58.665791290027805
v,65,36.6190771244716,39,56.099085596875966
x,49,7.165418699311554,59,31.267920729471165
i,56,37.18177575217726,67,6.115549459649838
e,50,84.49045486273296,19,23.0366216377369
t,63,46.65789981059656,78,84.14696397072271
r,60,58.3496704215514,75,14.180918786926188
p,74,94.14624764273044,18,61.11068313119691
n,21,12.068934193975334,0,10.694838769519432
m,66,74.75115882551941,23,71.35603474133114
j,75,96.45179558027041,38,5.580028190811481
o,82,37.76753408868846,9,65.34384551812154
x,30,47.714540042419095,58,34.289006341090044
b,77,61.52428956757361,49,32.38626326288634
q,67,31.056419231944755,59,85.46744242187145
o,31,80.71853251214472,67,14.246897236190515
h,58,43.86719886812035,5,18.375065991450068
y,4,14.12644137765282,16,43.936228774427086
k,22,90.55144715962122,44,17.923660005393906
a,7,26.159677882016062,15,61.533303931791664
m,33,55.279329664220725,88,79.4843897923893
k,90,90.41652274095438,28,41.538386165351525
l,88,25.704853879012035,94,27.719096776740482
r,52,7.652778651850545,20,56.94661000779572
q,100,95.18052334398472,46,68.04021732744637
j,32,76.75226776938719,41,82.40178684462846
m,88,19.217762091470547,95,19.907932186361734
z,32,32.11954352665802,9,26.93600812131467
v,46,84.44508706851799,55,26.473018962841532
p,38,4.632478401778551,33,98.33713985136751
q,78,34.04430372857146,51,3.5728917621347334
n,62,47.86559561825221,0,72.2342325422328
b,29,38.571425099514286,67,34.974725764132174
k,32,60.66037709300149,6,9.682226722484966
y,60,6.577745083528552,84,25.11772685929895
c,32,46.83416902576175,29,81.54664585970451
o,8,63.01488887288036,12,26.054944626157216
w,73,45.66267915079168,5,35.122677655725376
x,73,24.34646753823656,68,33.58385808396375
q,75,60.89067764907119,71,0.6052654299269489
o,5,55.544962434792254,75,50.01516991805911
a,8,27.000818577554565,74,21.754502568074983
b,30,55.87342666063113,9,9.15718172372677
f,100,12.088016594668371,93,84.1638218942558
i,50,28.255494331343613,29,19.257304668858755
b,21,17.344202879147097,91,26.536110285639126
a,71,43.44237805912964,99,70.26779931702991
m,45,54.42377290921166,70,18.953773311247158
s,78,67.59625281844112,78,86.28396341240948
n,74,39.95015565961818,90,42.39444555565015
j,99,79.61962851015713,41,27.470351249750312
i,49,89.36120795659566,100,74.28571270013165
c,94,91.43842249995235,97,11.657863071641428
u,59,78.26282636830672,44,65.8528829816796
y,6,95.48926573256847,2,8.394152538965315
o,92,59.258644395249725,39,13.263999501657553
t,96,78.86055585443648,48,91.71779992425455
u,89,22.848836935890372,29,83.17269650038703
h,25,2.969428903258131,1,33.36104798948831
s,23,14.53193207677499,78,37.38428974076227
k,45,69.27467686294253,78,28.14124263150042
z,86,8.4459602528562,33,91.51682957215208
m,46,70.86751925907345,81,6.8721983468182035
r,89,1.0422550422873433,52,59.91000962452486
g,65,88.07486560130211,61,6.59771995290932
u,86,24.454203570678466,16,11.196383650690933
u,45,60.02610253145555,91,68.9316777211483
t,19,11.629831466093899,9,96.21282631765754
y,33,29.13533949613072,60,30.574468171740822
x,21,94.78430544883946,86,97.42334060069278
t,47,82.8776309663877,42,74.50709044553948
s,5,60.31647952524016,8,30.794645886814198
h,66,68.13600367874287,97,88.41056077966407
l,21,39.76632531182583,83,36.91900734930569
e,13,81.81910230266747,48,87.19947192054146
w,12,33.72242220527982,56,2.2391041750067897
w,35,90.97162776756997,20,61.71949588544779
l,67,82.40543296133208,2,67.51851726299817
e,1,74.26785397852552,5,54.13987467391013
x,40,67.2840210314281,99,5.580926590719615
f,55,97.08032772069014,13,41.26958958425805
y,85,42.525275359894486,58,9.321308429406294
l,16,60.60309100715892,30,2.4432534132767247
y,68,56.108130166567335,57,94.88171486000321
q,75,26.92051444808311,73,60.17792571506866
f,16,86.17745868904596,82,95.13333383267104
f,29,83.32412763236732,26,11.838717107592245
w,80,29.460062320831682,21,99.39847503182696
e,23,89.79622204858472,32,25.53285318805375
s,71,53.584400497248055,50,68.14661311662068
c,74,9.762259127729022,77,46.56021819796543
d,50,84.77194955807619,20,7.929832409006488
d,15,83.00266053699166,70,32.59459982380621
i,36,44.99240922602431,45,23.295143229641635
u,10,86.87425037779909,91,22.263998185424995
g,76,12.302299672769557,92,71.8573194420179
t,99,87.11415235409557,70,21.033872754480885
n,53,94.53164370190942,58,14.145017627963686
k,47,81.16037943536607,38,40.45237454873235
r,26,27.259093806434677,9,2.393978439824096
w,13,58.07122585821007,10,31.556057627419655
n,38,78.26987554337987,99,76.36385125730772
o,14,49.25351530725578,69,59.096855057993004
k,29,51.68952433205541,95,87.52400280762605
y,37,11.48820528882587,73,68.13702477245648
u,96,63.02095405362839,75,90.56595294156068
c,15,49.0501784848312,27,14.939106320517547
u,98,81.83892029624975,64,82.33346072847011
g,27,2.52126094465821,12,14.711747392455665
t,48,67.90756669324784,80,64.11486904315149
k,90,69.158952328198,81,59.268883598195096
e,93,34.72752008559905,98,50.060945386873435
n,28,52.9665325166236,85,38.5062499021922
x,23,32.39710295354485,58,35.06834483063198
h,73,97.06839284782342,51,87.17256026376742
a,85,52.60263569879879,46,99.0752573639514
x,28,16.132279471104226,11,37.62626662709203
x,100,54.10589657322716,42,22.4736825027943
t,66,17.36583650798702,34,64.72221355125966
k,5,20.475738171168622,97,80.5593891184587
b,27,99.30605023122106,6,71.99718340636441
i,62,82.38831807115969,74,44.82462199470337
r,82,89.14683591298508,14,20.069626753166414
k,89,41.1127401344332,27,62.29041981195637
v,49,6.5784785710007565,6,72.09241035643075
x,85,13.203747449832981,92,30.650641772380972
a,59,93.07707639109587,95,39.7021223612581
f,68,66.98521006623587,71,27.585501629209087
x,91,98.11479616804554,86,20.539464495051728
y,84,77.91359050728613,52,41.49297842674194
x,33,56.731329245103105,83,41.59797296847507
f,24,0.23495591140383354,69,18.554177867728594
x,66,92.42637032667606,30,20.910409618417734
m,54,9.05396076677195,63,0.9897379932022887
d,67,60.19254842454742,39,95.54797705733021
s,4,24.175184828383657,36,39.558525587039654
n,58,35.83049427222741,62,94.2726676000037
n,1,5.868289123046255,45,4.114638769488832
p,3,28.651076815084174,67,80.33045042476711
b,61,30.009564141831557,63,49.024853280025305
j,98,94.55577597549161,7,0.6543316328301518
s,88,17.725618901907513,10,45.29995957986803
c,13,75.09817586347668,27,3.2328265410331625
y,59,89.5657485333465,35,85.02744106018415
g,84,59.91704183351108,79,72.88430216223473
s,25,93.17926350876394,90,3.1996251388552888
b,84,31.108289541905897,0,76.44269868418603
d,55,99.43017149495691,57,53.76294053287661
w,87,55.2618301283397,10,89.59603984023623
f,49,60.6080911520451,62,88.35756283273601
l,54,73.48751170205841,8,10.324024675827015
e,69,8.976089449673397,4,0.314175318671972
l,18,40.13950766682375,50,22.761934325139187
x,20,91.59908600783294,79,21.533067847125608
o,32,34.7514992178383,63,39.303901171349075
h,5,37.239717586108966,70,67.83302386624459
b,57,87.3135609796968,83,47.30120830031853
y,31,4.5903128914228315,77,99.02656297210635
h,65,99.01527808370511,67,32.56615780939376
u,12,62.68520764583094,55,92.04415359743386
e,81,82.73597848521717,15,31.661298644933
j,14,4.592439052833197,17,30.981047606298485
r,65,73.78730754863213,63,74.0170056237814
f,40,73.78943742170526,58,24.696903606284405
c,55,23.799153374312098,51,83.74349699500956
s,5,59.2705651061731,42,62.284219131108465
g,55,83.86754197689513,24,94.05467372171542
c,61,58.00888823590182,9,70.45024966216677
b,38,38.76719829550533,63,64.97871198439304
x,71,9.732182070004857,91,72.92489334032727
g,31,94.41231233541964,64,93.21000887459758
r,33,34.17043106672448,55,91.33667903620619
t,25,83.7318358486938,81,66.02953699735279
n,66,5.873005654176556,76,39.7290162618584
n,34,25.06895066782855,78,29.48900208034718
u,87,6.495919063517597,16,54.22036034610775
b,20,73.00562842435286,65,29.365697316659656
i,10,41.34751709240664,55,84.01183972857255
y,25,24.461719923630397,54,92.27750610005403
r,82,70.17398513406924,55,94.10594165420137
u,87,76.95389005209546,81,54.76584551100528
y,55,27.78995204301863,39,43.298508729868644
c,60,10.14257623358944,81,39.74077811130729
d,15,14.45203793612696,45,8.239366069492371
o,27,0.949797847761924,59,52.80507933714094
a,48,66.4974083677072,32,79.10932012638786
q,54,80.10270592584554,70,11.009432740317404
l,53,76.395423135775,49,24.81639390867434
z,54,74.38895804130942,94,70.51006779978466
b,20,76.62877118861402,69,36.60287370246239
s,26,2.220315365667991,49,88.9399894543965
t,66,29.95293877665004,65,22.427262628831336
n,39,33.26247903128496,67,38.43683101564992
n,77,42.659256059069584,26,11.890901501296614
z,100,67.83152496267918,83,2.1783011902995253
h,17,12.679676668297768,94,37.135434847979894
m,12,89.33391845994471,30,73.25422565376729
k,84,60.876716661544435,9,13.864357372123559
u,92,98.78878875576167,3,86.71461715274478
j,40,70.8355519975907,80,84.97703346214513
i,68,63.18546204340111,76,16.02384712460536
x,21,71.94972344163037,10,23.41494480353905
z,59,75.23196245533592,90,38.3521627935328
p,43,92.82482093399315,25,32.782860869104034
s,47,64.92506647056086,95,63.599702043903065
c,22,29.73389901371212,35,84.85657291230835
g,34,24.614297525188945,48,77.24679393431974
f,16,95.10585251633607,31,61.974671700325544
t,50,22.005274032945323,39,90.95920012417511
w,52,11.789114285882397,23,13.349983432488
n,88,13.859649721136924,40,95.03521825835651
j,88,91.50477276463226,10,99.1951918109227
x,27,57.377662554945566,74,6.123194350251637
t,43,79.96516200867482,93,23.702801812498198
r,51,84.34418396359187,71,32.74788630576928
k,99,67.00142384732523,50,66.43234182721706
e,27,60.76565155931048,79,99.20029341985403
k,60,12.146544581698148,4,12.968811756601262
f,16,75.56392540992405,46,5.987337795825609
l,42,33.74581240984522,87,28.30440235088303
x,50,38.7876064443047,98,90.44805517528584
k,82,8.357215560908005,92,66.33020095066307
o,61,15.394090544252526,72,40.785406055158106
e,3,95.21463030405648,71,39.12588058671441
l,88,38.91296148046306,12,34.9849364262931
e,36,29.497054391289034,82,83.8555741986397
b,24,31.22795727633042,29,89.44776529284655
k,72,22.297163632890705,31,57.16708136381386
d,26,19.007281805365473,12,15.647937398680089
e,34,28.182888817393724,62,77.32088065255726
f,13,40.154464007412415,67,52.709143878685374
s,64,71.59403499757289,63,43.657885670034055
e,2,96.33259237015018,57,87.97729678919369
a,59,20.407247784759264,3,15.104401679851653
i,1,70.94474111913307,92,84.46073641621811
