T,F,V,B,H
b,7,28.670660851753194,4,92.12464484731126
a,6,78.99716235955938,97,12.99324287027468
e,66,15.348758750535618,35,62.947530949345406
q,34,88.7678461653276,14,25.898043798635527
o,92,45.8691538959593,28,12.721956135325419
z,14,73.99604212112665,3,5.691094777623018
z,3,39.3278827936938,87,86.84095721761545
s,67,1.4289301243155528,93,81.57995227963653
y,11,95.41338019444022,13,74.92190743570612
j,43,25.836581247172262,64,70.57516391968989
i,80,42.180817029908766,92,40.76436580811974
i,71,57.86441991065628,32,58.91652181036322
j,88,25.579117595829203,4,38.9599219656792
y,40,56.76159895122234,35,10.265434078683288
g,61,3.51647210522813,5,48.58475820077375
e,92,67.50253514267735,21,29.42235456077279
w,24,69.75220608180587,46,57.137460443662825
s,54,20.739231230481792,60,5.424031544783203
c,90,45.356989817567104,94,1.590901082434859
x,21,64.05075816235497,4,48.48883071316107
p,95,59.84595226238913,47,9.640817311593198
x,75,27.74623843822046,9,2.7247801538186955
v,27,51.308303094201854,63,70.5030328793288
w,88,44.375988532203515,0,78.13363289512
j,86,84.36267131238193,79,29.322554972606785
y,90,63.17475735465242,28,85.62683225899163
x,32,51.153219597293145,29,49.52259881710693
v,29,93.26482735569431,95,97.55996059535474
z,52,43.861419509290656,83,15.543855524764227
a,88,24.30637754693231,62,72.68461373318473
x,0,78.46070877368771,57,95.00495672950984
v,9,74.5050997060404,93,32.38254357939883
t,44,2.08268608380181,57,70.52906658732199
x,14,92.78227899674731,13,54.927595559328566
u,56,89.15716468487341,27,44.21672788044761
k,94,36.095280835205955,86,31.241253429056638
h,23,14.24453015996927,19,3.2746593932026946
y,23,65.7825399574265,3,30.973257744941506
z,78,8.701902158653251,37,69.74957277449083
q,92,50.17356999927637,56,32.85864625097468
v,64,98.60352271500457,38,1.3028069092894223
c,40,7.270357366944047,85,65.55941742255152
j,5,16.07346851737298,37,29.39828420497337
q,65,46.293282958702406,47,48.962698247550385
p,82,87.44897715705669,21,90.0410875071396
l,94,49.4021375089178,74,44.19317853004403
r,27,79.64165528621633,33,44.13141513534223
r,59,24.60038833536361,56,8.6977979355491
c,19,97.65711761308405,23,97.78365559440239
r,94,75.1452704260043,54,7.525040501236413
d,7,63.168418201955454,82,33.05265276994371
r,94,23.97658119698278,67,9.316997076375067
f,95,97.89227064641611,14,22.177807103870816
f,54,28.998510055346927,60,52.01038941131482
v,97,53.91857484516023,38,57.61795750104074
n,56,46.5284168861116,78,56.051451082454406
s,49,61.096415428517645,34,55.30452728507147
i,51,66.86811326238002,77,54.88556603575469
i,9,85.91849397712575,37,45.44650843109751
z,37,9.92974525029009,63,20.137169930483147
v,19,54.237026070326756,70,19.9967087737282
c,19,7.8280118060095045,92,30.651809581484645
j,94,3.0789570929077192,64,78.23897756048144
j,94,21.70660279989056,20,13.5323278461861
l,79,8.671126649508054,16,1.0517542481760733
q,74,73.29295419899317,40,61.94909573979033
p,13,58.11837615839087,12,67.87456365704175
f,81,41.16972144393786,52,18.299983400125164
c,54,43.78801036650371,16,68.67389018444572
t,66,2.658661306010146,75,98.14393729847414
c,59,55.36206672023947,31,45.04065296031311
d,15,74.68578155563516,18,79.54343897553878
h,60,18.497200009869175,61,7.174377370770513
k,37,9.326703413019665,25,94.24555667914862
u,29,50.78930580781409,66,73.8088334841746
o,15,96.19067597998058,87,9.713928902439516
c,7,63.11631237197967,97,64.12566901078509
l,72,37.39816575028896,32,59.875405011665215
c,72,25.937606259383728,45,95.70306396150849
e,2,92.43849857292376,3,29.98906677841271
j,100,53.04211905487081,55,37.91633339289795
d,55,57.7237778355032,92,93.51570405680059
a,29,74.93150774819688,95,56.33450014070082
i,31,51.12420325372386,95,77.01418326721144
i,36,5.899032691926431,94,63.74975432083993
i,5,99.88003571091639,89,77.70406470956063
w,24,60.91774713593371,13,73.86931332175223
r,72,55.80958066740283,91,44.336884708505465
p,44,31.508397365338524,88,2.1879473758914636
d,55,22.879663205214452,48,17.317557106035853
i,74,60.14526759518007,57,30.312352874618
b,75,13.57495526229916,27,16.517369837785168
u,8,77.37858630956981,90,79.72510581482125
g,0,98.66376608224938,91,28.91970216860129
d,47,23.878200469495393,4,15.306406756620227
s,98,33.45193523101063,89,57.81401675576675
l,24,77.93698602075753,78,36.6089895023039
l,18,4.388861373413844,37,29.08815967051448
f,18,45.392385530153,0,68.70692541038052
w,48,3.13846099508468,26,68.71951717875177
e,90,25.33116587937645,59,27.770698702236942
a,7,30.48823007283007,21,65.2213334301308
b,93,21.801928396444993,35,15.34516564596322
q,26,43.50263491238091,40,47.80360438282467
e,95,97.61390426134217,3,16.845966771549037
d,45,90.47691500713921,11,79.86044354535673
x,0,27.07649142992127,91,61.223287870297106
v,2,56.34687906235379,68,91.76952333151574
v,92,86.30810211802614,47,53.75139987489844
p,65,15.597032067307314,40,26.17535982353796
h,25,78.74508651489062,78,79.32957954248623
r,71,45.619853013169966,64,55.782577694759624
q,97,9.667707428005567,62,32.41431559045318
j,8,26.826735257226233,51,62.257746920868705
b,78,72.11328101471241,77,17.647191416221208
m,27,15.62579345077041,38,34.072229079949615
y,88,8.593844131869243,98,67.58741525395116
n,80,76.9928656858564,40,8.096841756800522
c,65,40.74125291763075,75,59.10677987481983
q,17,51.109456457086345,26,65.72562947808387
l,91,97.69026588308991,86,23.010173680425094
g,68,63.705091654661395,1,77.29193465885015
d,25,76.99587235537055,77,32.45791681374167
u,90,8.113256063745089,41,14.726448926497904
e,14,16.08777860750329,28,73.66580304588969
t,59,2.300208891333111,14,57.57951963362512
n,90,57.280573749610184,59,0.5685854672448643
v,36,97.09974793626094,40,36.580636435971556
v,56,36.856209365133275,82,16.4729982077087
j,52,66.8647884370235,20,57.07831814532087
v,6,54.62560563094358,1,29.769336558469682
q,3,88.03912446161112,46,22.830205352737632
y,52,35.935522554889964,88,69.8871651305464
q,58,0.9486180649408094,65,75.2169843951641
e,72,1.5308317491707246,36,90.16138275609346
f,15,41.211487616572185,19,41.730605039670465
k,58,35.37948697402611,90,12.8557088729083
d,97,86.81546410946741,49,94.7471920702845
n,16,99.83859698602711,55,78.02781260018814
u,19,4.306842379218711,95,2.0888099598692977
x,1,67.0238586277145,40,56.5974843286248
c,18,18.159210093067802,67,33.76655061697684
n,50,66.18855679860636,12,32.27009520195833
b,55,81.59002569879054,17,1.6465911515064602
y,14,30.78160540929603,87,63.08322075648937
p,93,76.58065578877634,100,92.20977124626137
d,46,88.11790115879677,63,86.21734512855176
b,33,56.85114588650215,5,80.74175106470247
o,65,73.06629287631895,6,82.95774609540778
r,6,99.41025397290262,36,71.83909681755325
e,4,44.57581884933972,36,56.25851421194871
i,53,6.863504665066755,14,5.429102432743438
t,83,4.119698596414755,52,18.194296753304016
u,70,70.29524391489545,46,51.94539690674449
f,74,54.181392416434115,67,92.58370548843338
t,86,23.71007727380818,4,92.24990847779657
z,0,90.67586396283006,73,35.815467565790286
c,89,75.03867751713054,75,95.68763992455482
s,42,97.14522314919564,58,46.08008542393329
e,60,12.195965794742792,42,96.54828018066472
q,81,82.3011207770634,16,54.26310432461787
o,88,95.42226813835161,79,55.32858297847048
l,30,16.948998073164933,41,83.4985154828857
v,85,65.60149342092274,48,81.81034087754246
i,59,74.80309245527036,57,82.18358052634464
q,52,21.51022730390928,75,97.6803281618743
b,89,79.21613244772092,70,30.51497463771904
n,89,79.16241118531626,44,13.084298445822295
x,65,17.447083413064135,16,33.62205335092345
z,85,78.76499868622656,91,24.21971383845155
c,24,21.589783770656712,2,0.5726679986070682
n,74,59.16151259349965,6,13.0283799516564
a,95,26.892186204551106,18,18.813495998402274
v,48,93.5608824449479,90,26.69266529114488
p,85,9.374855133852922,11,92.23856810015356
l,100,93.86499322353389,35,69.10564140148134
w,36,94.63800047900834,5,61.189476624223246
o,52,29.37906726934848,71,15.8911792738458
o,6,84.87130987755404,88,49.89678195857482
d,93,77.8519475948514,71,96.60649907477203
t,55,63.92322806300123,76,22.400766249405446
t,28,73.7751412845767,81,86.30478309540362
f,33,36.41512923166312,29,61.37163326878442
t,30,14.788898477874735,45,45.594553477877334
q,61,35.62557612338924,40,93.98465554682693
d,74,94.25337756711511,14,16.490866328503763
e,10,60.888687949448475,10,80.32384183932962
j,28,68.62427469607304,41,79.99814530936031
b,20,51.18727732857575,100,42.51874129990178
e,17,23.110600068800423,69,49.85969820360614
j,45,48.423462805008576,11,35.017507608669874
v,1,57.179712092881054,30,88.93341634465855
a,89,11.853513581010834,62,16.96850238975519
l,59,22.14345516642391,14,77.05677786779674
x,79,78.38066022488684,23,81.78550306188028
o,72,31.086761467032808,8,16.40407798569743
k,45,32.05983997396007,36,22.7154819852432
f,85,27.261729995934182,32,75.54920913342029
q,77,89.14877811535234,69,86.43728789251422
q,76,84.48818855109236,72,96.08457497055713
m,0,61.51774151037007,82,36.59296694275569
f,36,87.90682145580251,61,77.94856674421571
f,4,0.409190533256365,13,36.50405113849654
w,93,52.5880896316815,93,47.25775682104626
v,71,62.240802758637194,37,11.808728444665261
g,7,91.90593676186182,1,24.87764232367179
w,88,60.87614431589445,65,72.83475878736549
m,96,13.04083043004345,88,57.209857574598175
r,43,85.02530936063845,10,39.66358821462994
h,72,79.60524528685407,70,70.60659778941839
s,86,56.90156251348344,79,94.11694369098745
p,58,18.508930017431258,65,48.41500031573437
u,6,19.724212034956278,14,6.970916295646957
g,1,63.18523428821998,46,35.641161366268584
r,66,19.68187448430674,99,2.6707613010375053
v,3,84.91929769818462,21,58.313336096801805
x,91,47.002271544902406,77,72.85752875183306
s,67,26.74494552673613,14,99.62899576678116
g,21,5.649251415791124,93,84.02547748253293
s,32,79.8669613009812,22,8.944673430969585
t,75,6.698118324289126,92,2.581587764761417
e,59,36.64773184039616,75,41.73852206923894
j,7,20.230098528744954,86,16.499482515533014
a,74,14.073892321549131,34,29.81639407793465
w,39,43.08437177192344,99,4.235729336608984
m,98,67.44708648344013,90,69.0636915933294
f,16,36.095494581718704,78,68.13901900139422
k,19,54.034774063752245,77,96.64984324330324
p,100,48.18300778026904,2,41.92418583381101
b,0,10.189240696459933,86,67.95875028424896
p,4,89.88068109740772,86,19.342041810984313
t,41,3.970608823744226,29,57.853685064538475
z,11,17.15441293648594,42,97.31809347831148
b,42,57.8879243031749,31,9.524119082145354
o,39,61.230337644215915,12,56.966125570310325
j,25,13.440947473484055,58,11.625081161483376
w,43,15.002786366548326,89,21.810238293786057
d,95,81.24465023928946,68,79.34088979757095
a,64,64.55184105879992,51,21.60168653558683
i,100,63.739880491961344,50,77.3000013461312
t,90,49.57175005593817,1,61.38711962306967
w,55,4.395229377565646,10,22.293156056197127
z,100,31.64000499258529,61,9.491428678941716
s,50,85.83758772229801,2,20.75367118214463
l,46,83.2146041020086,90,73.40046496151568
h,5,68.81474857742933,61,13.595660165708711
a,92,22.630994147396844,23,25.08933552777104
d,1,15.298608098398336,31,98.1023577964723
f,91,55.0338106781034,5,81.74703631618414
q,16,70.02363981600577,51,83.74545760426687
t,21,64.04370709165866,53,73.2962081070387
u,39,4.612977198154811,92,17.906451007509382
w,65,8.760054385125738,22,39.586765119685374
j,48,29.18430559893762,2,63.52786543595469
x,4,26.961055686072267,11,4.636794754630847
c,28,67.51406597213362,97,87.85212228876817
f,42,73.24544399610615,97,61.85953635491015
q,46,64.64163615396373,32,31.323550557793133
n,15,15.181069960739368,39,54.846880962381086
h,85,8.706536650418029,3,82.95807980340537
k,77,3.973377758946195,72,43.469405656597445
g,81,0.9059835484085732,46,35.13643172916969
c,6,99.37377074484984,1,47.51551311515949
b,78,10.250164005459773,77,0.5038407972608905
r,29,80.36353201826444,77,45.11528561155599
n,20,59.44444303459551,12,11.563686920990602
e,84,8.106061706037337,30,12.343767711934749
m,15,61.28670823743023,59,85.64470504807127
t,22,75.43123936436457,28,83.56949207387729
r,80,42.017087990049596,5,85.53959795118917
m,46,9.334424020655918,71,37.712655524680706
f,70,47.92042314567647,9,81.57708860362705
d,18,28.369327047136917,31,33.980529645459825
o,73,23.85656918935487,38,26.900312578192796
r,31,30.568255392561838,72,6.472525182280386
p,51,90.80199864083488,73,6.1201245995694435
g,61,10.744807811650736,98,3.7958640330086557
r,23,10.753247098011121,5,9.129532830421649
m,51,83.76073036596583,60,0.9984702801267065
v,56,75.61704570821567,87,12.340193094051099
m,54,34.59812248293069,76,20.226960552723227
w,52,80.01283187338896,68,16.12163902797512
q,23,88.12263201964986,45,56.94330077265184
o,95,6.071120084705783,76,34.80133336146726
i,89,79.36660586926119,8,30.321908881442216
e,23,67.87800639398095,92,36.22585294596804
b,74,30.134181516767534,68,45.40044342368984
u,61,79.91486114200424,91,50.05221475908848
s,38,6.510118709711854,79,18.687223410722954
h,47,11.602447463901889,58,54.287587252470395
b,30,7.178827345282135,52,24.86712342539602
u,33,17.633658844173095,60,82.83690468660187
j,14,63.949465549062,18,39.09936810824514
z,84,33.61784847582035,13,72.66535980921553
o,66,98.2027597146027,91,73.23578810733483
q,73,68.96698402461831,50,22.693310038630543
w,88,57.38296841850027,37,34.995610273137714
f,31,60.48753898158027,89,6.133226443665318
a,93,56.508981129126354,78,55.96945992038349
m,73,20.948410229827974,19,80.74015153347847
z,56,93.67541167794133,33,82.96999721709251
x,81,36.562535847692914,42,22.93572110485481
p,54,36.420179076394845,89,36.13286460366445
z,34,6.068209507732436,22,23.21237395737077
z,96,65.85505211891251,19,3.4251030797005644
h,84,8.028707475536423,22,89.9524769022739
h,27,74.35845015028269,100,75.083075376696
e,5,23.309108521393618,34,12.919671348632333
s,32,60.496169669568786,3,97.91298565096129
t,0,10.778037138745544,82,38.9136776962232
k,43,67.34264198250469,8,13.37456809563543
c,35,70.56970142440686,83,64.7191060281523
k,32,49.583651648169514,18,95.67635924108939
b,80,44.31461717660989,62,32.25953927373324
t,43,45.393175898905135,37,91.79290081163502
m,4,60.81848541236858,72,10.334397510758475
j,20,17.401180589454224,10,63.36728611418165
f,25,50.45914339205372,15,3.6068695232323367
u,28,87.81319691003957,11,21.02079169896456
i,74,14.06411146859613,95,52.05767290472393
w,37,99.32765339728832,43,88.70270276889204
j,12,77.26278473333257,72,72.16143432157482
e,62,86.17914167839876,44,43.13843914249221
x,6,9.565236837448875,1,36.094302258552666
p,87,5.063833854808242,61,71.76284377262498
d,64,4.748094418475091,24,69.80488411619392
y,5,6.871957302711207,13,85.65377181492457
g,58,61.853832272175715,16,71.99581972700388
i,19,83.65386806045059,94,30.89116226339955
k,41,52.6527218890075,57,71.36420980269978
o,79,41.720971765191905,43,51.50948385897175
i,49,49.47167138131778,8,10.926962715610877
d,40,81.32762202962834,37,15.104419887662335
x,69,37.84229843838083,90,53.79394124245085
f,13,62.828658373106116,21,10.110269337529177
n,25,17.141949392603628,72,83.22334960730953
s,55,21.815125718778017,76,92.63170864355243
k,10,39.39439850497691,63,24.678894672337982
e,70,56.582204731801525,12,28.83600348163626
u,75,12.006774720070378,30,15.2631354981278
w,32,34.124692375300256,73,75.39574031323028
e,64,51.89077947957747,34,68.33828184126742
s,64,86.54525684541534,8,58.61529809914789
z,53,47.17605177519635,74,67.08361358275626
r,48,39.30097912514725,14,96.11648786759392
g,15,44.150230832522595,0,8.819197159938074
b,42,38.52090709382037,88,31.491882379274337
z,75,81.39563127774211,46,96.29750236870764
o,22,64.2449263428408,76,31.051544223331906
s,33,73.78411314145275,33,71.04782718745108
h,13,79.81129243127837,70,23.544795737154622
f,32,27.99986712682263,47,44.13258248008876
m,29,44.45994105294611,70,35.434158058226885
n,51,79.06226185340842,14,67.88963942090649
c,10,16.42792631800645,81,74.26734880023757
e,26,81.53054556299925,2,68.03993508555594
l,39,48.98903559003902,70,76.19383654939026
j,24,87.01250430800154,92,30.502322789598637
d,67,85.93008867229085,32,73.04296880813924
d,66,72.35180142889863,39,31.703446728763986
g,89,18.145450031196532,34,43.81434713682232
k,23,22.31052894014892,89,95.755521422919
l,91,6.703748906535967,16,80.28518596041337
x,55,1.3565037024238724,29,2.834211575679202
z,96,35.89891689717045,92,50.907874631083736
z,28,18.205947268458168,31,70.89861489337713
e,16,21.294634455585594,71,89.6962715160347
y,42,23.56507801428669,27,5.517305637125391
p,35,85.12423644865773,82,65.58780622635334
l,87,94.73152257795307,63,48.46056976876946
t,89,31.14068997967957,35,75.47537190119785
y,93,93.30058579144924,6,4.635416058197306
k,69,75.09323372496695,77,1.001669540980854
f,79,70.29819857768406,15,93.50244297270154
n,75,59.47916208189172,56,31.494184022182914
o,51,33.91544613105233,54,19.341403611389353
x,25,63.76198833562422,95,84.28189005915759
i,11,28.965541966261977,91,50.42412764357691
h,7,53.70043073884776,59,56.580605592677976
p,27,70.50486933912853,19,70.58415759183147
j,58,50.16057634714402,98,95.84652327277225
a,82,48.0733465335923,28,75.37640861155161
i,75,81.86237199739732,9,75.59299889632285
i,29,46.73831478201035,73,75.5792498309919
y,0,24.763568891286813,54,57.18546383233834
z,15,81.77223284458101,69,35.63534417394484
t,82,70.10045538310115,52,21.548003770838164
c,91,3.2765031199308514,90,63.43142970141349
q,60,62.667892495977895,20,36.508713126400295
j,53,71.90626130407205,15,28.37166582073082
x,0,88.92733811896619,97,87.32104287602513
t,45,24.868155443506744,19,2.708034513736568
e,12,32.723191056925415,4,2.037625271515131
j,74,61.30873016272786,23,48.171142561442025
u,36,6.396813399361401,34,53.05625513421359
w,76,2.2168801670553906,41,68.10463155281667
j,40,30.81141932834396,91,23.25922530201101
o,11,78.54543727948192,99,68.84303610707859
u,29,75.32742505970738,79,18.457867999259435
r,42,96.57625582192314,36,19.537022383460123
c,11,25.862513454563118,5,39.73348717489671
n,50,60.25654926041851,57,18.406091027212334
d,64,22.012268520315292,23,77.36221266216569
p,28,45.011464208991335,43,79.00793830336279
p,90,50.13406518782283,6,90.72754203392957
r,92,74.88901396494492,85,82.4667745175237
h,79,95.47990182857083,69,46.734281927204854
e,56,11.182866164166638,71,31.489813199927987
t,28,80.49983272450281,76,65.35339355510831
c,84,41.58432919182342,12,46.359381802857435
f,94,71.96348255789627,62,46.92554184662126
d,7,80.07142326008709,20,95.53541845310042
i,50,10.795127942534222,46,37.456185807355894
g,100,15.574590311501236,99,27.67563574250128
c,22,77.53733664912014,94,5.650042131259636
a,77,68.91898575580659,57,37.42417961756062
x,85,21.266799427364457,8,0.3071226719781883
p,79,93.70099355988374,95,19.23169724134238
i,2,59.923856000869236,69,80.42123372806265
q,68,97.10360265498907,22,1.3280817095178699
o,70,98.2062293692108,35,87.96354078219699
g,41,90.55197181218833,100,18.833329733098648
n,28,11.164454569700332,46,37.939307853157636
y,38,67.29711447311685,2,31.662906329421435
h,12,6.265416677382607,38,83.8820194873005
u,9,93.93171135153973,73,33.37525136875692
b,46,89.42473203065671,64,44.17114445781638
f,87,48.60941430185511,69,64.06330188350293
k,97,39.62682434367532,64,89.34887502404344
z,83,17.16063502019598,84,91.1763394801663
o,87,64.1390200548368,50,48.54452155386024
q,93,68.48895834891503,94,62.7266240973155
k,75,20.7033788796521,10,72.7604741855956
s,6,72.16412889188845,71,53.83499994466596
w,52,68.118063711973,13,13.70076551088928
h,94,46.881118384770836,37,33.341047319902
b,15,44.9396214579056,48,77.6334376622731
h,34,61.66209907377351,58,90.31512700856442
a,28,77.10803620411895,19,97.21148247254038
h,82,2.407875109170643,29,78.5255970390987
j,64,96.44094283895245,81,7.614438737174312
a,24,7.6197637988743905,90,93.59955473238371
x,82,50.29498395714492,93,12.33716193387069
k,45,76.25177912472458,58,52.71358578357477
h,39,71.48067679454894,64,12.210634589097813
k,26,69.62690103206648,60,15.59846844930638
b,28,76.27529149903916,27,92.50180703468864
c,67,45.19224969491265,8,5.3254845747048645
h,81,85.26439458044422,67,22.446154704572773
o,92,83.06964167460387,19,61.52122995808998
t,44,33.66758533183325,36,58.24632053088774
c,54,52.93548353936865,15,69.21362609702115
a,6,18.156155578353285,25,98.46752683388281
e,82,44.550436966888896,69,28.01456005599887
o,57,93.62900135652328,65,14.287413010221083
s,18,47.1299374773414,73,48.900135190292715
t,1,79.45841879328461,74,9.368018289578938
p,10,54.190389993845976,88,52.87067489534449
d,81,14.244686566826491,85,0.3567375438772613
r,22,14.945319850985117,15,38.01583636003576
i,95,35.466925088697735,60,99.70386784051945
g,6,39.70451604440365,5,68.63383019541742
a,98,48.080669506690924,36,92.25805698085529
q,21,10.870977571516738,72,70.51938425184099
l,9,41.227104296187825,6,10.260413788656319
t,79,85.4321035175618,65,57.2438539588391
j,74,80.11333830601298,70,89.78610188332077
a,50,31.341416670461374,14,34.24108865439823
f,10,54.9256998039464,30,39.53081774895464
a,6,74.17676918423962,50,4.779641223236187
y,54,58.158108836775455,20,78.97790251834775
b,74,31.772683005046552,62,89.0177225257016
o,67,4.63127846405934,88,9.67310967821371
k,27,99.66165487268862,60,81.76641707750585
u,93,17.230652996282416,63,82.70718187776495
r,60,10.090534535654506,1,90.16624590086606
x,37,20.481934967324868,0,8.55185736008075
e,94,13.310276971385704,57,9.561179686024612
x,20,22.4368414822234,73,29.126318526922656
m,11,9.883418806068034,90,80.20403815244161
x,100,22.765245317006332,74,82.71805407094652
y,64,5.7132738834973935,78,91.91870057493449
z,24,28.24987192002737,88,14.901179269566466
b,57,8.115626717024416,48,75.51785274870582
w,69,66.87631939198184,52,30.012625920705737
z,44,33.40618431754463,2,17.90486587499909
f,99,99.10527062706589,60,41.456260772336904
l,50,62.27929581037377,48,61.19077985128377
q,76,53.95773225189996,42,3.1944817218299004
j,91,87.6400832236283,12,81.49902078984317
t,83,62.17166832820803,19,27.20244447067629
n,79,69.98857752950613,99,56.103502067471354
p,71,90.03803957917206,15,68.69041987932586
k,69,90.87613679719003,21,9.215511921687902
s,58,1.2178219290729264,79,97.68441995443114
x,83,2.757129529558877,28,99.03158583605723
y,27,35.35575178952954,89,60.56552900385835
p,20,52.03837178217812,0,18.425436175683263
h,29,90.07181256513816,19,52.63788498516138
j,47,49.350949235130834,78,48.13883684011893
g,81,20.77692505394655,59,92.03654143853821
j,0,70.62841728151021,38,67.5083895859118
l,0,32.7603252745005,55,12.32537761004605
w,99,9.99486203101807,53,34.22290608967381
k,89,13.866373725651904,69,16.52450848086454
e,39,41.01291623648895,95,92.93702468845608
j,87,21.104557730671715,35,33.25299032310485
m,86,38.23904099259231,7,79.53256041932782
g,20,48.36322075413501,1,71.34355945863825
w,15,48.65095623767195,17,17.501131544420556
g,30,3.3910965573471175,55,48.00653226019037
o,64,36.61755130957848,58,67.81507611882627
q,21,11.879526707098442,44,34.803101428846915
q,43,81.78127179721287,72,4.614045999126648
r,56,35.40133274221068,76,75.86203485073493
l,43,24.704676279477034,79,63.777849802070484
t,45,62.6800646531763,54,20.115418061208302
x,83,18.18985486566127,82,39.72140830549446
h,97,26.602969125643796,56,73.86374001453314
r,9,8.494137012922454,26,19.641936689060337
z,2,59.375850280184196,69,77.57651463917173
q,88,57.95553418663163,73,37.78639057254799
s,56,73.3380059668344,100,55.91229513171032
e,11,28.5493554994533,58,8.990471642315967
s,67,68.9423223817924,29,21.988360155796215
z,34,61.41245151292954,0,37.91415676622112
e,34,18.843453065803928,44,22.11837759845444
i,81,62.718320573325904,43,45.99321471994553
u,85,1.5731392495042518,27,64.48351315942337
f,88,82.14431882364424,66,67.61266750092993
i,42,47.7564111491897,68,26.740354838511273
v,51,55.07592787315646,79,60.649666174592085
g,70,91.95181102520273,57,66.58272837572794
w,12,84.13483804175897,36,17.137618405807597
q,84,41.215601527871605,17,90.57130510725413
d,41,22.79430418760996,88,3.4333473975127204
a,12,0.6367521180553837,68,36.39942813325534
p,42,93.15745375217097,1,17.465819908389612
m,77,19.43825926318222,43,26.012686718693047
l,44,23.853522957615915,47,75.75324810991002
d,54,55.608258579397265,97,58.87893779918142
d,14,20.772704367629668,42,77.7831699453913
m,81,80.85990724897306,80,21.414387131985634
b,6,87.23541219252601,48,43.639009803156135
c,0,43.72994909911018,88,4.533826368032834
x,67,91.06307759598717,37,68.4701324232312
s,34,30.232330051846866,82,93.28270408045547
z,31,0.748342604670682,68,55.85491053114416
i,32,10.921848904730314,34,58.2108981636261
i,64,30.81243409318083,18,99.40025497751263
l,86,13.586410014506923,49,27.051145909567676
r,15,44.400585136724416,77,57.647741051746216
f,92,27.080175833913046,48,80.65131284734845
r,78,35.28134371995031,18,51.9575893688549
z,45,31.707466960285124,83,10.843807145622842
j,46,15.579463410290673,72,33.72683969721901
j,63,63.64375690082257,61,96.28898703065994
f,11,63.67081015653392,92,59.38803503028478
p,58,40.73704958966332,17,38.439869912269565
e,33,38.39244102690947,39,93.45689408589469
y,98,94.42182969027601,43,60.417709587484616
w,99,66.51333131856813,54,22.184858520708072
u,86,63.5050584290326,66,83.55418558914661
v,26,10.09482424303869,83,25.781290101840113
m,59,16.775669394975758,16,99.52300787480965
l,49,53.24739494180668,96,56.60945303956044
r,91,96.13438364863207,24,85.13612741569587
z,8,35.07564920982686,1,90.28938488835429
y,87,21.512238483918477,92,78.1687067050206
f,56,26.05252749480251,79,85.38158084439314
f,75,93.00133188318071,36,40.62558623645255
g,7,91.35111717938503,81,17.556465867213824
h,11,76.4996259211155,75,42.66918883774215
n,52,12.458882206725864,60,78.42265786221846
e,17,71.43252624800289,78,66.97977520757742
m,38,11.214561385037847,18,20.345202585927723
p,10,60.79824454554782,62,12.810154001057029
k,63,36.297249101875096,99,47.67028937398403
t,0,75.88742589310252,9,14.85852764018375
l,77,44.9183148971507,79,9.703052139935908
u,99,90.83526761128886,84,81.71753492620397
l,49,13.467716034323518,70,19.780708453253006
w,22,43.78270726975796,99,2.0747578329572303
o,23,79.96073583096083,48,45.93223980036314
d,44,30.12621151829832,4,79.50729178082543
o,26,52.940326975554306,12,43.815047492321845
o,52,32.0541666998542,99,46.4785993323514
e,43,97.94074620447309,15,18.588359148764866
x,47,32.75323965439203,30,35.09695319971339
k,64,14.958488155375116,75,44.4038746929622
i,69,28.83016132747769,38,36.73857366154187
h,6,8.741733017151375,7,71.97722801188407
m,52,58.33115497735704,11,62.13728400493017
a,5,95.83838896664969,83,39.54912399228101
i,11,90.62430060206744,22,2.4949638885557346
r,67,31.737365089915038,54,47.38543413002256
e,49,68.02688553866477,89,22.215500633814113
o,13,43.06230776180403,76,71.04292098306796
j,72,29.030510812719555,16,37.105268235015686
w,87,21.68969529364263,60,86.03984400882922
x,78,51.28308220174505,55,32.42967932031827
a,71,96.47662474373861,50,87.9990638849033
a,68,20.233701578989326,43,26.545282431271524
j,23,43.94082662920476,85,58.71922093218104
l,85,18.956287142431062,28,60.883210772155195
z,21,52.1772536299496,53,78.48933282473469
q,60,42.28569982135192,95,73.60337914301545
e,35,48.711728725337544,89,88.68471773777262
j,8,64.98126393308755,42,80.81350807347414
d,98,50.36947304530499,0,45.36239457997146
s,74,16.310904366430968,48,59.23248042521196
i,74,91.23943842400816,96,6.208996128995614
l,34,81.17300770822162,50,17.147945330950808
u,5,41.742373262003966,4,55.31275398266517
l,11,90.87062838341524,91,65.31343763062219
h,89,13.090963887453732,18,66.39455314423216
w,5,12.012608415828973,30,92.35282999026984
h,7,49.51612727932056,6,28.21838473403737
o,63,46.95265250350654,52,82.08879680358756
t,18,75.75131891956093,52,42.73714639027178
i,23,57.418931403530024,91,75.62104644283554
s,94,42.02358019982544,79,10.232819570644502
c,66,43.49966418861927,67,58.97265832756617
k,15,91.26117046605005,67,60.42928330209719
j,24,91.88134848949575,0,8.086588570198838
k,73,79.40661565004758,94,75.44926989375122
v,10,93.07843185033043,58,50.99601422327387
i,75,59.5035005128681,85,78.18114258434495
z,45,94.08858053585641,51,57.14642523665363
z,93,45.61268406917741,11,24.14120713592033
e,57,64.67410046751726,11,9.536287395113707
o,11,75.5915028977025,43,59.05185418082295
s,78,18.76024951915978,59,37.98664080825226
g,82,22.846650126336797,15,84.75162227169916
