P,O,A,S,C
o,71,70.06627713581837,17,67.55646864776773
k,1,0.7849405615041105,8,72.65579319751112
l,88,84.06753208393091,74,60.2755327851923
s,28,2.8876992567115845,18,13.651789918822876
k,73,1.5108940115882374,42,74.08606852113824
v,4,45.69676356530559,43,92.03744614105172
p,98,69.21763898664285,30,68.86862292533421
o,37,89.06642016207996,1,92.89419968206712
r,2,31.789856386114547,80,18.338479686864105
j,22,39.66010219658783,87,16.55688616462817
j,88,37.124837527536855,38,5.511900649991219
v,6,76.24970067185848,75,19.38836339355824
z,36,0.3327449315792985,93,58.83195979921714
n,97,70.64261674092226,50,88.1481803419841
t,99,81.11622608534826,73,80.48686777162179
d,24,26.570867772026297,94,12.84868777295529
x,89,84.41954004641897,23,39.2104705134373
z,50,57.57473877771497,93,79.04457882824164
c,36,79.20188654866719,41,60.90161893689767
p,94,67.82886264004786,36,99.2176137660811
i,36,17.601948845369364,23,41.34849951955414
o,37,48.356365525373526,55,39.74524365561698
g,42,9.215349847068044,9,34.59585269185936
f,27,78.26703143492657,34,46.252970820277476
b,89,31.139116851828486,71,8.41285229596872
w,98,45.84248176145833,17,98.97436389503584
h,34,59.82475571047551,2,97.95806642373148
b,18,84.66420467488234,28,61.5823238533572
i,28,14.813600812842365,99,82.09447048928264
i,44,3.8007140040340226,76,15.265942603246351
p,81,31.627412554672652,54,75.7216916220618
g,15,10.12255744357039,60,16.175667836272247
e,24,67.37485265728009,55,58.94889238826059
f,14,4.5337717533085575,73,83.09014139906134
s,34,6.653368814008919,94,35.52872587197181
u,74,75.46615702351264,1,88.47544466215379
e,25,65.07635658776894,93,97.53646524667289
b,96,95.0269028649114,81,7.7626262547179525
c,42,21.745780541206162,97,71.24737084282302
g,61,7.306924556032035,20,24.01155668746474
c,15,74.46259750495729,62,62.46233254624133
e,57,4.833406614414448,1,6.507555180988067
k,0,46.448913795217685,13,34.832030379646895
j,11,44.91523631860338,37,37.470374741141654
c,49,15.488260740537152,86,61.62812552999456
n,66,58.77097850090178,17,92.2451269484564
v,76,54.39766225726633,40,57.74721540427484
m,19,19.78007902323857,21,86.79133138696332
f,99,22.448619364288437,60,51.92329914575523
z,15,95.53760427986715,88,78.37394845539166
r,56,16.550519338585758,47,78.99110824743735
i,59,33.11228411522118,96,64.30686684614922
v,56,12.705828227320415,57,82.06188068021392
e,12,30.704919528114203,64,18.545772870422507
c,88,43.50786258725514,71,88.92627816889045
h,97,54.740840231462315,72,81.58027294235563
n,77,17.537258138362443,76,55.42088888089754
n,47,54.867738618806975,57,65.6073014841546
b,16,51.731854040083036,2,76.85113003330301
d,33,11.458534771609674,49,30.00027903608884
x,85,47.0130024894632,38,62.83728851897581
j,68,0.22515007382216679,20,17.478181098670433
x,74,82.83144469049178,19,48.925414429388105
a,80,17.58201181987652,72,76.38035419830342
h,58,82.20467959963172,100,38.86313965741648
e,44,1.9879174262253718,20,25.000949842435194
f,49,36.90103344936004,74,84.10064699733074
v,87,52.30862914627836,3,76.55073750802643
c,9,94.63635507668315,16,83.9970764012992
f,8,74.01536783451556,37,43.53019258391663
h,97,36.284033132468394,76,62.233666636825966
q,88,69.97404153270462,79,44.176653445703685
j,42,68.03670869735336,98,89.8553077935768
s,36,45.63149350858553,46,80.45393538376625
g,5,77.65995359341925,3,10.071826929661775
i,4,48.41805144224027,16,3.8196973409649337
q,71,87.13051630501154,20,74.41073253156682
o,15,61.728251188881934,19,83.81301624511714
n,46,78.40758257088812,19,77.68969983747094
p,0,63.435629795191616,41,63.428410161573666
y,72,98.85595593992956,58,21.780071177245553
j,68,15.772894738571509,36,40.10210206693847
w,40,4.463373398302384,2,76.47837134431008
h,3,6.543012240615109,38,54.250001657794954
f,67,46.61484888726256,6,68.10206642079918
b,52,73.76788918568035,8,69.91009076269164
i,75,18.368033164839314,6,33.43046433045331
y,43,12.736042627227395,33,60.791500449177306
m,69,8.208125867624293,14,13.016659361994309
n,28,17.486488024602497,40,74.26077139797515
n,74,71.72149195420641,61,13.795739598183399
h,55,82.15904484391639,0,12.079798016915733
q,12,82.4128358549522,72,28.731792468019634
d,82,40.98483421690211,34,48.095394598465205
c,56,2.9229067676392773,49,38.99407087396194
p,34,33.46975196760631,97,50.93094364752697
r,10,90.16640786432683,74,71.25821477982964
c,77,9.252667895832545,11,51.034181606254
c,93,2.631717179489823,58,24.99883842249343
l,68,86.88944038076288,18,76.29030540924656
b,32,2.618474025980533,90,29.48289689629686
j,78,99.41299898432695,66,18.417627934954506
i,56,41.33562475154247,26,78.71393295200774
p,50,73.57120877618397,23,10.096378796208239
j,53,35.1503574169509,78,1.1886316552445098
g,57,4.94624511673345,90,7.6230903742455
b,4,85.38581514683779,6,99.47808256960067
b,21,44.89691557092187,89,0.03063898985307123
u,39,99.05524869251788,63,55.41543311349763
h,7,53.85642248155026,74,89.97483622472132
z,39,80.35215342074376,1,90.03715238169787
b,17,85.65659552985734,13,23.188818735709404
x,63,70.81627809148773,28,93.44321535939729
a,10,68.19023923279315,18,80.17068167071494
w,42,34.026316887687614,87,93.9025042226953
y,66,73.27829259852497,97,43.76570275810452
c,32,33.42849311560801,59,14.989681877265248
b,32,86.34199708833191,73,17.9242920749044
d,39,97.17634819257498,27,49.59275677210394
z,30,93.07757391876417,7,5.283021597135884
r,1,63.65580458918115,53,32.768320114626235
s,27,96.22369259104767,59,83.17609101114567
a,30,30.75684752885245,28,79.36843709434976
z,95,28.79351793854992,84,7.35751569341444
p,70,88.55277744612906,23,64.41066363260687
v,44,1.4715895663068967,43,52.06976427091231
q,44,69.95265201473771,6,32.47649801747055
n,21,41.05368763939066,58,58.89060086462822
i,7,56.51657291217289,60,94.66032737694992
l,41,80.82157619549156,53,42.42038551667607
t,92,4.635948011253399,34,44.2292558915204
x,31,97.82407800826758,28,57.28305772159382
y,26,78.49502717748702,53,71.51452726174861
u,47,29.698952274535905,23,3.4971237341220873
o,8,25.753712319048972,72,4.498947220433925
h,61,33.05042135697932,85,94.49212346252031
t,54,54.19066024445879,20,92.05975415683089
h,7,0.19732522767758054,37,19.138008322750878
p,19,13.547233513423473,19,37.56954099215958
b,74,89.7196930434414,30,39.253998548938625
w,0,91.69249347835951,47,52.862560393973034
x,95,46.61253548174099,51,59.789495071878044
u,89,5.77813445612062,64,90.0890589572048
g,57,79.19330508404116,68,64.40253024462889
e,9,33.756778963681754,62,71.98533856879422
b,86,17.652953197000365,61,47.592085855324484
x,43,75.02138182118415,71,8.179801883564275
o,46,98.57847047655794,20,6.9486050223542595
g,31,96.5887490838076,65,35.00161116441668
j,34,36.122340230974636,22,43.405216062549414
j,96,48.64018025723006,52,79.1876582725409
a,19,15.28495296060186,56,84.8240863995782
e,24,98.45759640303467,86,22.757459907564204
v,45,0.08331827929617397,6,84.37149953594894
d,61,13.92922063218698,88,72.94996412511287
t,59,66.2481368288439,23,86.04963392053165
y,100,7.7854114923974755,38,55.26281582570817
k,92,43.79827932776167,29,19.709865323881125
v,27,39.36389765537845,13,76.29105989144645
o,11,64.6967328705104,27,1.0243895295875771
g,26,66.82541491959428,10,60.709445962104034
g,30,90.36424958717187,65,63.05146445752173
v,49,80.06569236809165,70,84.1211108230813
l,29,97.51275469604384,66,20.319399772711854
i,82,94.77196875652905,33,96.9828310619455
w,100,95.96259597254875,97,35.600923911317906
f,82,28.143574142916695,74,14.023895351637384
w,97,63.155638411116236,11,22.94154422591258
c,95,76.67712934584013,77,84.00429052929827
q,38,6.443703963969883,49,65.28316667387594
x,46,89.56029584245098,15,61.07175937792641
d,91,15.147992041056424,56,23.452156412982184
k,1,31.224595515491682,51,80.66142139992948
k,97,41.96637077039668,55,8.621130835317704
j,88,88.12747629450953,0,57.45285961722498
z,49,89.54381803186159,40,77.5855877568433
n,28,42.329153150492395,58,99.0628190507921
f,94,81.36989919192827,83,54.327677576301824
t,30,12.930861224737844,93,74.20241550846694
x,45,9.396363834877441,91,18.799597629227062
b,79,1.6569800093023002,59,20.113648870413925
j,51,73.65245476276094,66,91.03732835132658
j,20,62.8805291802782,29,74.86977925053202
m,27,43.10272201911023,24,96.98954512874643
u,88,64.41055920129301,71,84.05719723668619
z,85,12.10574976216716,5,79.56711087092025
j,61,93.75212366155591,26,51.98604287870744
x,87,73.49067445456392,56,82.85380459709253
h,15,74.39898375825413,53,9.054165916644552
z,72,13.923171364289178,88,12.546427415376638
o,51,82.09485957289718,41,55.34544733896312
y,74,63.57507211679526,36,79.96721617585621
t,16,61.735608589050315,68,82.30461763908971
y,37,70.46953545232564,33,49.661475516933315
o,50,0.819954204962059,7,21.754482906788375
t,12,54.785064878918824,98,16.372056255874412
y,36,5.867792512320868,76,15.601264662678993
u,19,53.79903742195613,73,69.50140390800972
p,84,93.24977322339278,60,92.60362312104998
d,50,37.19455981096868,48,51.44639099229186
j,53,64.04767671971274,27,50.78872352597914
l,18,69.75429400509334,25,50.104842768392096
f,1,71.24038199922835,77,70.92754856826767
c,45,36.31287702419754,30,54.36253873380539
t,34,24.092134285862453,14,42.04748009535467
u,38,17.613822728640194,11,6.644626378219643
t,71,8.791885647286769,73,67.87932299239586
p,66,55.70483741649422,43,74.30898252977086
l,22,61.09603467738335,57,71.99110593000677
r,93,43.51955088895774,35,1.3343957932754336
c,36,5.616633390976156,10,16.424265154958828
k,57,97.92858603219744,15,7.845937589003304
m,100,87.46671276460368,97,90.71285305922588
f,71,6.158855618805226,94,61.780330589443174
v,70,25.114591303376454,33,43.80503739467563
x,54,7.323901849810999,58,83.12495999079836
c,39,15.514701387389064,82,27.06706291357642
w,69,58.773048403294226,5,48.004489593585575
f,60,51.27990071477456,66,92.05809988007228
d,75,17.25202757770763,60,8.673259495849884
k,43,59.43001149898283,50,0.6659223323480901
t,43,28.91104778900253,2,82.73505039428902
o,92,98.53394986630471,2,50.026079257210995
c,17,90.2472145965743,77,25.10871803542132
d,0,1.226586186507661,92,21.861953133096378
p,76,64.43715808415456,84,20.410511885362915
z,88,21.797682057566327,73,36.707507448379864
j,87,66.78446166049298,46,21.07796650064879
e,73,12.99672724098916,44,59.20325046896598
b,54,71.80715588576929,74,41.96177802910675
r,14,97.64132213099063,64,74.49796753968204
y,11,99.19802316010264,75,17.08429364114479
w,6,59.20569317298949,34,68.95081916914545
u,21,19.53218864871358,1,71.38673420995438
m,80,45.95976056609794,80,27.504533678012677
c,40,89.55805673135767,58,51.52259502774801
x,51,78.4986704007138,77,47.9323086471528
l,3,97.00914482163128,58,47.185801551789574
s,83,77.18249537181403,7,13.163194819053391
g,5,58.9424656586339,59,33.51764727450923
p,25,85.42117521273666,64,31.320750310893807
o,22,32.0183822265667,6,90.78702615908207
w,58,0.542978353566459,12,25.78457892388295
f,56,8.835405464297363,69,77.27112332568241
q,22,43.362074785965675,16,4.507962930363041
d,57,7.571890885935362,45,41.990118956413
d,96,38.36272445519354,82,6.543380083332395
w,26,20.840087564614972,51,22.318707988068752
x,59,23.655646565532006,54,44.97374234040943
l,60,55.248722158586794,50,92.30292133710262
d,2,4.115869018174479,38,13.395196968664358
a,90,72.58066573847894,79,11.40696681807083
f,42,96.20266635190981,52,20.795875073365877
y,13,92.85520032668911,91,64.03523819995415
r,81,24.124070462544644,72,0.28963404577929674
r,5,86.09930592921395,52,26.595551992904465
k,59,37.59156188037068,24,56.54936586262602
t,33,91.70649868319917,25,5.52820408926179
u,24,24.52428015535141,41,44.35045092600376
d,1,82.62344855440223,21,83.46527571141547
a,3,95.38439444919554,2,14.22277230221718
l,58,10.076823749527842,54,37.81406487517335
b,49,75.94864516965751,18,87.67245555170474
v,41,89.96228210910088,83,24.754806781677164
k,58,96.7607434124399,97,87.27535793753958
c,64,23.966636678618404,9,90.19898590593033
z,24,43.68057795589239,25,78.40951910240543
t,3,14.626790078511952,6,7.119848413916319
f,57,6.716255290091966,16,35.11574930509044
w,96,66.49737226144116,80,93.220928789247
w,69,9.430907619729423,7,38.6350558073422
f,48,86.49165356955831,62,82.68057659304695
d,69,32.975560205022816,44,8.386124769402404
f,35,97.69034663965405,30,83.0170203057793
p,98,73.4723161551492,81,45.85872962089951
s,72,47.40013156085842,31,55.33412036096534
r,1,65.82828412999456,38,31.720129033134427
i,34,15.474377333208011,71,20.97526498424086
u,86,52.478416392354696,6,64.41440945616426
z,23,1.8746833283502462,9,71.30582256444042
e,42,77.04869821977367,84,61.24886528792134
m,61,73.16470444314204,49,14.07517652442939
v,49,70.85854799035506,51,95.0672804039456
n,44,15.919739257048382,85,29.819901419427243
n,27,20.968773536778762,49,57.626414923741706
t,34,75.68057615886038,32,49.83000024942639
x,86,68.70233827826509,39,4.336114938770108
k,32,39.54591628608119,79,95.86749353881535
z,7,44.96605672052637,23,15.099720095943558
n,7,80.14085604939703,38,13.03384288618984
v,30,0.6204671834785569,78,25.171175939396917
a,83,18.726014471071984,40,76.05526783884878
s,67,10.309085762642933,4,6.005383929254426
q,12,99.65163686518466,89,73.56804030356034
s,22,24.335856032665337,91,11.086660474500032
y,4,33.66820094595795,94,67.77304070901192
k,30,24.30511522406652,70,53.863734601632316
z,7,6.390870327997645,37,94.56948185505114
z,100,37.54586036423342,26,90.83346479263997
l,69,15.420051199716767,79,23.665491882946387
z,91,7.290147595791918,82,86.2528076871931
d,93,44.35322135370993,68,54.32194057291198
o,59,99.01681374327997,36,12.42398969986407
l,71,25.186907902486954,90,5.116765097628595
k,14,80.03015597876396,31,50.35583918495231
k,66,30.53112253517152,76,40.232255495630056
o,55,61.75977119144972,67,76.41096626712628
b,0,79.58094340712691,97,39.56153423024068
d,66,13.272444431015074,67,61.37846579735684
a,59,89.5284441343715,47,26.60843929385307
e,62,39.60117057600597,73,38.58904380732391
a,88,4.078606941573682,69,30.39251244595016
p,34,17.471803123822006,69,78.6806646044923
j,64,61.90009900321358,39,67.32075557095999
p,60,90.57903012549141,23,69.82368546717703
o,58,23.455325561129747,35,21.529106700296985
s,83,36.91736683284831,100,16.24691954176901
g,34,7.067931023703422,9,27.25142425654291
q,41,36.069557183060816,50,75.1430863566786
z,84,5.734097542303973,96,46.8721031458984
c,9,99.06297229800668,28,33.05929555946027
u,73,51.391271218233015,82,5.327102726626187
z,55,96.58032305179789,69,84.89655962875531
u,75,91.94303890292733,19,55.613209222569395
v,96,58.98604724528668,9,61.871755934830155
u,25,84.22558819062537,18,6.563666165000193
q,25,85.2266942596422,7,20.682760490906695
g,62,56.983314459746026,0,13.553602886008964
r,55,79.47691427261498,96,79.219954953101
v,50,52.25813399223158,20,8.44780678970184
i,34,28.315564471156375,16,20.176174544779137
o,10,58.370742173739806,7,24.696546411994625
a,47,18.919061937449644,80,51.47234004150288
c,2,54.19922538378694,63,39.64220416628079
s,1,99.3946500833933,29,52.55300614603611
r,64,78.8974949994843,31,65.516235777226
l,20,53.335807082112616,0,60.16815048769361
z,47,10.674387688969034,30,84.407346493295
e,10,12.139279115518242,84,69.97119886279563
x,53,35.48584279576396,73,95.54606526524913
p,64,46.61165374620886,13,53.26765445230686
a,10,28.716767975941327,76,61.72282520005836
b,86,57.394058772042555,19,11.046303974221082
k,94,34.271308476584636,87,55.345780774567785
w,72,54.947683995853225,56,80.47361142109173
v,75,5.084463430022145,45,76.83339411753701
u,43,89.30961792127205,4,72.79008946010553
a,53,10.659073189506806,90,41.49394764922209
v,37,25.137567520040506,82,36.278674514035536
a,32,52.82312570519998,53,81.30522058312343
b,39,60.489179335840916,41,45.17045546292577
l,54,10.425828081744893,41,20.08622712160375
d,13,68.15016652481744,97,12.703038151940794
e,5,20.098649423269098,67,9.055214419548763
e,79,83.41716971324985,27,92.79737928005659
r,51,6.500916649024713,89,65.09942766705494
b,95,13.544852423794273,12,69.60549800798185
z,83,88.22257525251264,29,58.797685786094135
n,45,22.507157756008322,55,14.577808972468386
e,24,7.133173009577442,98,31.588979873267853
z,90,22.99950313697132,39,52.868215330050546
n,23,8.268524950271406,90,75.68446651340261
d,9,62.8801705181783,28,6.959062537883575
n,16,39.069831553939274,8,30.828057590645173
e,97,5.864009066254894,21,53.06391140764188
x,85,28.108945523209915,54,81.90539723059067
t,81,16.86139906975629,35,28.12456584104288
v,11,18.747949068521987,22,69.37048728562178
p,15,63.362956011238566,72,96.56693493159852
d,75,70.0991115171875,13,53.21799720107332
d,44,17.36354033708636,0,45.4527771953527
v,42,82.17473231224848,95,56.64312422125379
m,84,31.416483680703955,69,65.68772310115247
g,28,65.63828032272231,55,93.74567617822694
n,39,81.56926579702987,76,49.543387963827534
y,1,62.041318824274136,79,36.47232318069976
f,41,14.702678443024498,2,74.84380168960388
g,62,62.141142925764015,11,48.34765089760098
s,97,42.07639301235929,84,61.50100386989258
s,45,61.17898108848618,2,6.657955940996252
s,4,45.411062945974614,82,42.32342877255088
y,33,6.483144599332147,32,39.102665851333086
e,9,9.318715024309032,96,56.527026879290496
m,55,54.555306185112975,93,89.43446943856031
x,57,87.02146691364678,10,17.054462044355923
z,65,7.736965409683427,68,98.43578103900735
q,59,25.774093300049973,52,65.18049981800547
t,13,19.357106202683628,78,30.467400485786168
k,5,8.672194598150817,88,95.05913437284852
t,26,69.71627671506741,19,10.920907166393622
p,28,37.1370506225912,76,95.32901245359359
s,86,96.10940116966721,3,5.741069449333347
j,47,70.22235596441446,17,78.19817487332307
f,13,43.87346687604132,4,27.264811175773595
t,21,95.96382470946564,70,80.58152319971488
z,75,56.50894388676513,35,7.223948561432358
z,2,97.57474754843152,1,58.09976348828919
d,42,17.196421648908466,25,53.40033389656297
j,71,39.29542414150323,15,15.939157577135932
y,55,9.77635614696436,46,91.5208496224601
h,42,40.41362916084451,4,35.18796309062241
b,51,51.80984194327208,46,65.46922431866797
s,52,62.72252565025259,66,68.49203315056772
q,7,73.97344313038089,6,10.222883764863555
q,4,88.27834764238138,96,0.008916025635974378
i,89,53.518657376075986,17,44.19222554085438
j,52,33.21296586089274,48,78.27832521989058
i,0,65.02578672163335,87,65.2686629679561
f,58,11.04302335979207,35,45.69315929780863
b,45,78.73854925358071,43,6.609714659207366
t,20,24.134034065013676,69,34.017728161908025
q,89,25.727347508184405,91,19.373782618527002
l,20,99.54148547892952,42,80.76598019187345
s,10,41.304431583344204,27,28.51917016488006
i,97,24.520062947597477,31,3.8425100648859623
a,43,89.96378660893012,94,2.9831722989756337
f,8,62.07267519247887,80,12.520945700821972
d,66,75.22006369282373,51,35.07227392785551
p,55,72.32311051441638,99,17.84546353377626
v,9,58.05164381285978,48,30.46047779798029
o,95,61.29277483926225,70,57.13796152400884
c,71,38.93975943122665,7,63.89268447171603
z,87,29.08046807678649,61,22.689229974863967
p,86,44.969165949441226,48,23.727961042230163
h,11,2.378250784413749,68,19.997282947537776
q,9,65.57794796760923,15,27.161370685128837
w,32,20.701029104961478,71,61.87674545460897
z,91,97.82060078611941,14,89.46021457527485
c,80,70.42913246693603,28,36.778073802445434
y,56,13.235239007857412,87,27.197265983336283
n,30,92.24590115427472,21,93.40403731603273
v,75,5.950393029856837,99,35.33968182407499
y,4,22.078446210041356,3,17.46514640241439
r,8,7.645541004272005,64,19.281559502861313
n,89,54.20218025645117,15,72.64654167781411
e,88,22.70563546293234,29,27.01932558784619
r,84,82.9886652880015,41,98.0701797349176
y,21,29.780648255429163,79,9.198362170854214
w,96,77.81689497249945,17,97.22101710428225
d,19,28.680922710036803,1,45.992333891803796
z,51,93.0169695360043,63,51.484940556185066
g,79,39.110443498734824,30,73.85514564656188
t,22,47.357352682328546,61,9.180221907786345
o,92,40.39466934571486,23,35.47853540944889
z,86,12.982087826481992,23,63.078192824536195
m,8,56.78500787156418,80,97.30671015892327
e,26,15.209758937196716,77,18.34256488345649
u,67,30.263468500801793,77,58.04962249798986
x,78,53.3828558136088,32,94.70998680322045
u,34,99.28346927291936,43,24.937534461424416
g,89,42.49931195470433,18,93.89707678672528
u,94,59.09782583024833,9,66.57834765686657
v,4,76.55121299567307,27,2.456182687011854
z,50,93.90048803710293,72,50.26953755586386
d,11,97.69893557074785,35,6.86914397534345
l,98,50.907523010041075,4,73.74646180230438
e,0,66.66866291533937,91,13.155376673832853
b,60,89.95226249719198,3,74.71576834060359
a,68,31.921937951496894,68,20.738700813248855
h,99,62.177470894505674,43,43.98726269863529
o,24,7.727258563727801,58,31.843617523057766
g,82,50.29031701167541,61,17.15342618522214
q,65,80.46174699635525,6,5.272468953280606
f,95,42.66152665893949,71,89.78888985386646
u,38,98.17178782082314,76,81.63387613552801
r,37,1.274717896639721,85,1.0195282294832686
r,68,79.00181067908379,0,52.41733032937825
j,81,32.73006123398504,60,4.258095196229583
e,63,41.08509587914353,3,52.92676154331968
n,45,78.89026174147294,31,91.91584391421046
c,61,88.09801656784958,11,94.73677302424336
i,51,4.9593362155331056,89,76.8670605705057
c,86,45.42951568132354,28,72.43207144047513
a,83,37.581171179175435,89,8.526888467985572
k,12,19.25724286805317,12,38.07768517650312
j,9,53.066730718979,58,74.37682524399774
p,39,59.053599303675206,37,28.25255277516788
z,47,98.83591472825208,5,75.95495654788031
j,3,80.83243502907888,83,97.79177730405685
j,31,48.43817339923247,87,68.74761796513076
n,24,11.257162475151294,92,94.4964074716154
p,85,29.73558751591098,34,65.68331152053689
j,78,78.18663038772382,49,32.082357630454716
g,68,64.08210856438188,34,2.879696562968992
i,21,75.99002931401209,70,5.4827846867310015
n,17,41.75921203712829,7,42.93419649594521
x,16,33.78553710241322,59,67.88311532140997
y,86,60.50936787779393,39,68.8363063548599
x,94,34.88603180211185,92,64.26698820077027
u,76,26.906136946009372,15,56.901143927399964
z,12,33.55311997179184,15,93.22214948687714
r,58,89.53343370943475,79,37.338367418117514
u,65,27.236301672392127,51,18.771748225841577
r,27,9.95245079310062,34,51.66725788107567
q,17,15.173214703966952,87,13.499624356359007
c,97,92.84955455676234,48,88.53899357654865
s,25,69.58158088748739,77,40.72818024799086
r,65,12.10053404080087,57,21.02850704964423
n,69,31.335196997575576,76,56.27586391552174
w,79,34.46009528085797,72,15.906062142547173
w,38,43.41815382662107,45,64.27000721004032
b,34,17.66688426326222,14,82.27567630796703
d,17,36.7583070546885,42,8.97023149170023
l,63,91.687882366104,56,14.905826072202666
k,29,25.244906504037534,60,87.4296652357992
b,13,69.69014428265686,19,62.351213641636726
v,50,99.69917489923868,73,9.898237025314515
g,58,6.29831103568984,6,87.06728404662749
c,58,80.6269718264047,42,88.42334586163471
p,32,24.777425948435493,92,47.06015510223638
n,14,83.87627774099158,87,43.648340754589896
p,37,13.385510209932661,74,36.01921634946961
w,9,84.06689978208769,80,55.25005920085205
o,83,17.370266609613992,36,11.459963007955942
t,47,22.895882924185063,14,49.0745679921716
x,56,4.828893802987322,93,8.585772372556521
z,4,29.779760666808507,78,31.470066489284388
q,94,73.39803375983742,72,39.29200343995758
s,70,94.67913196781501,99,85.09751253009861
v,80,97.27366246532576,93,85.83930348722004
w,80,92.46427187386526,67,92.27644442686793
y,57,75.16153868491587,97,67.12838822069935
p,13,12.790669595123493,49,32.54768269807429
z,73,55.04486128022661,49,84.73065418914523
y,45,2.1797302718929323,78,89.24469416571847
h,16,64.69909403972883,76,49.1607635254366
j,99,48.51749501589805,97,72.54359617827569
q,31,53.04076531025912,65,72.56800184425626
q,34,78.29078187775738,64,47.81751410609393
b,45,13.461406956739086,58,45.46721610640231
z,22,88.12610476681691,34,52.94046821082846
h,85,8.66167486456021,100,92.74483792692068
w,97,71.56980471870497,42,37.796384923691996
s,81,52.872294955201816,66,31.965347046916527
o,92,18.72438605238791,43,78.55720659776425
q,31,70.10991509022931,63,93.80478635593582
c,17,10.161845445927698,85,83.0649461733252
u,26,97.75338114641539,16,69.53164147440927
g,93,95.90487243137032,81,89.56090875304827
m,98,1.8231073758374627,69,63.872479128039885
o,68,12.537991230263234,60,25.365878540088758
c,63,69.9731354254855,93,23.701743189839284
y,35,1.2557091192638037,87,48.668490861945315
k,29,0.16477135387388264,54,35.68810602091983
p,28,13.545656940626817,60,88.49581222288901
f,56,15.304068847915374,8,14.674571074904087
j,63,16.873723689066942,26,10.600991062513742
x,100,84.40686108738099,43,12.659175130302636
b,38,27.41657680465035,8,66.2035290027287
l,3,50.63238803543611,1,71.72221119141895
t,26,21.167995428556974,18,9.064365874270841
i,35,2.665108256271742,1,79.8670729414211
u,13,31.012866466998723,59,12.265050808711642
o,41,43.70905868945938,42,32.80061514689155
g,70,37.44239485283003,16,98.40244346734764
p,76,20.50659289171882,78,51.91780237399518
u,96,14.215094808652252,48,65.87373725002851
i,69,70.76587998153956,23,43.01109917682907
o,34,60.44197944428363,56,54.444033699298046
a,72,62.5877343253663,23,38.54094699807621
n,79,4.6369120364687655,80,85.63392063310133
i,67,1.0487038675658922,34,34.578509573303684
y,9,81.16818474010495,57,84.72770960015772
w,2,58.871492340801936,67,49.05592346187957
a,0,73.55051191301087,72,33.06754415005635
y,57,67.92992369306484,38,32.49506718116939
d,32,31.211376231216605,48,35.113255636602915
v,34,0.27664818925817736,46,44.999097806216696
x,74,73.39104605992028,70,93.31361552060558
c,7,71.93328190352307,23,51.73925491942164
a,33,37.99249593081111,73,66.30779359790316
n,89,9.563085960329499,32,58.620065979492665
t,41,34.907835609187345,45,98.76574292313784
h,79,49.49706739697466,3,74.1729842588915
q,13,21.841997051261796,82,89.1505776294606
v,77,95.34544248561907,2,74.14768439811243
b,34,56.367863376379844,68,27.464251749203548
e,26,16.146014324341007,49,86.92277641376639
k,32,7.738733058549929,17,54.342606789279365
j,75,11.169163123602111,66,50.44800545717866
t,17,40.31051490738824,11,29.897311275184624
v,73,92.5280708488803,99,46.19476291232951
f,54,12.573560616221291,46,42.22250665492078
v,75,33.614049413236145,60,49.20443619631706
u,74,67.82871743709464,93,26.434417005948962
m,69,55.13642130876655,35,20.72115293863397
m,39,2.5923305209460845,65,31.85068833853223
j,4,24.594918055982838,46,23.96698139036061
g,72,64.10388121565411,97,31.144706862251283
r,3,34.74150234472164,17,97.49214858951458
b,94,8.616270459044117,37,69.79083731925029
t,84,4.134132426262926,14,96.95068627006131
x,21,89.32154307371817,58,31.450901841208744
k,44,47.47643918109517,9,94.9305627337163
b,5,98.47295577174704,30,82.34274197188923
d,47,74.71038468766102,69,39.433968713003
c,64,2.4913297807673818,56,15.449128741814079
p,53,35.487517981321126,96,76.4554204373896
n,24,83.85751047152172,38,24.405338495413588
e,32,62.404821659262154,86,83.99245843623073
l,77,51.64694729224751,50,62.413540429536205
c,35,65.53707806544438,33,65.19579831849144
a,95,0.6596804394142675,7,90.55932615215565
d,54,91.91949016079364,40,96.15773715306291
c,24,79.46476157467404,59,92.89190535346097
d,67,83.78808000383245,9,41.159063037373755
t,3,27.38918530290989,65,0.5815102414952089
w,45,55.44857816302685,71,28.39021748158592
m,30,85.23924277431905,26,79.60841156093291
g,89,77.70574027279972,64,26.835844783451044
w,95,44.51194380749893,98,96.66869481516427
w,76,72.68527050532379,48,48.00467236148144
x,0,69.54519755622897,52,20.004054326374266
x,41,35.987772660766126,27,48.3097235755799
b,0,89.81268828699532,70,48.031980601711844
i,17,25.00935700780942,8,98.10097995553551
c,70,49.391426581078235,30,95.2891811065336
s,61,46.740000939797945,5,93.71139439421908
v,40,87.31623925274543,42,50.20981651068915
b,26,29.628016698889414,97,0.8144526680667341
o,67,29.436324105447287,93,24.95536714059352
j,93,35.67037080566995,82,88.64882205624312
t,8,21.410890076811175,40,56.846849609497326
q,81,3.1153900884516306,9,90.24752891434207
v,15,27.748534715542483,87,67.42604785399628
f,26,12.513970739572478,37,31.363823113261326
n,46,12.184042096154013,89,84.40982312822895
v,28,66.29635503170483,66,28.738563450318644
v,79,56.779683861933904,69,51.2239077528422
s,43,63.07721322413131,1,69.91986775086838
w,23,49.4233905343361,47,81.74479362066745
h,52,33.1503895695853,11,52.83300764930411
s,83,65.97991547078188,17,86.73519835444984
m,81,8.23970137955956,87,25.728788943215577
