I,U,Y,C,J
h,55,26.392699897759442,87,18.44536903060573
c,100,32.76501708675264,67,63.91726071124113
w,34,31.40353910114141,45,13.426998015673297
i,75,2.156627441080694,86,81.6465802545139
q,29,43.17911100260654,57,60.5745313693005
s,22,97.3464020490697,34,43.3203759451809
u,95,74.86493390397995,70,45.409718136403
k,97,63.472190345709635,25,25.201897531730776
g,91,93.14335687887635,86,80.42438002634391
h,74,33.743559854276604,11,9.134853509960116
y,42,79.8433297977441,58,46.57610309455813
v,98,43.28413984068599,32,55.33651252950844
i,0,48.60927974091764,19,3.3776235355078232
p,100,13.310484787596867,85,49.10556005750229
b,49,39.11639233023298,85,65.3963032124741
u,1,65.20297797053122,39,75.13441365020337
b,25,63.38094565250714,89,77.81814160088386
v,16,38.060324348435906,38,56.567196629228825
z,18,49.27460285344618,42,15.301693263924987
r,31,83.73787777043486,63,98.71268707150179
g,75,81.2382466297801,18,90.59587171162448
n,62,67.24090968621944,45,67.3176457751798
j,89,85.70642852309925,26,28.033867526399238
t,56,37.09668826012644,76,64.20337342397954
a,43,80.88611275438731,42,25.681068886788715
f,45,51.621254784841305,21,77.56917684371646
w,49,47.667973162360255,86,27.74647849002814
g,74,83.61672332603277,74,6.215432304288315
i,44,38.21248429722284,10,5.158075526241679
j,99,29.181998417949295,98,45.84959754904405
r,42,94.81801470877289,92,29.437560431840836
j,55,94.32687110820184,12,12.408455253325423
f,69,77.24233790632015,68,66.27964150406147
p,43,56.24303520276903,37,47.40202897750253
r,33,65.07688598476116,69,43.90496904565223
s,10,18.83460765723255,78,95.53341774441375
c,65,36.786690475277126,4,99.8314911226016
r,70,16.942549253416374,90,95.77535108987756
p,52,36.95599385669352,96,81.3249933651502
f,28,85.37535619304963,29,45.001129215104484
m,17,51.254309088244284,8,23.585163720820436
v,0,40.507260034711834,54,57.811816674213766
o,72,98.753305394732,92,43.47638548966829
a,33,91.81688536639562,20,21.02011533907232
y,9,6.051821824988901,47,71.89757548263658
b,88,71.14151517871635,89,85.64781126591504
g,39,17.405186741053523,75,52.05436277601317
d,21,14.43970308598207,28,52.979090776674234
u,14,97.06932575027045,46,46.55212903191847
y,46,97.38298015299667,37,75.5580400619009
f,38,63.85461980580966,38,60.30770226591877
s,61,97.10436680539894,12,83.92350059701957
x,8,91.36243209005974,28,14.519237530291528
c,16,39.79134198857768,83,98.11749836731121
r,55,69.68469293481925,8,99.60328102312943
h,66,96.42327274725892,12,6.713621516221446
o,47,93.61024498276075,16,46.14423358557323
v,13,7.3654311204427785,22,2.4023481537587044
d,28,63.015913501603904,23,9.306148194001384
t,91,75.69669739681414,27,69.06095571122856
b,5,84.37966987163328,94,45.566475249691344
k,28,34.10042291838463,92,35.88897171937836
z,99,92.00224501414199,26,86.70978368318396
s,39,36.08498145884509,49,61.61250749438027
u,4,70.9958753795451,53,23.013413016002648
w,39,52.84994299294878,68,44.98180518701964
d,3,20.45138013924348,66,86.14724988244103
c,19,79.29429647976505,84,34.2423292977307
y,83,90.62012339746433,69,71.37724006955887
x,3,92.09595083698959,46,24.361661797870525
z,9,85.89825969428307,84,68.0112684389968
h,17,37.43682266010312,1,95.39888666547702
g,71,54.91632175812424,7,0.8778680420386986
u,65,81.1415476167634,71,98.77695487008616
r,71,98.62333298602994,71,78.9110598614799
b,58,49.99673884252063,84,26.823325852871903
v,29,1.852837732211443,71,19.292191730071153
o,0,57.28608970338923,39,98.45710870261522
y,97,88.31497868826786,11,85.47404376220081
v,15,12.53378021818622,15,34.11684423313728
j,1,68.11741236456899,8,32.299644261991254
l,18,3.155113613815541,23,40.30938186706625
w,78,55.57652572889072,27,47.634754310130525
z,72,33.65332247124465,54,83.70546401429235
b,25,75.27640206393707,88,86.20890513731443
f,80,73.40115589028493,28,7.24443200150755
e,21,1.0312711560400367,92,71.96567341105191
a,67,56.70285112337831,18,42.068944521445395
z,27,92.68439675339236,29,46.93970423354399
v,45,24.807292479575615,30,31.880790356476073
q,16,36.77935939738083,100,58.704441408626906
n,59,57.53843301014009,95,78.44913923313591
l,98,38.69326941635492,95,13.794127347613594
z,64,36.70282927048966,30,51.64029002132676
g,100,11.606119649036161,8,52.85771548313929
e,68,36.268970381905916,14,63.435375115678525
j,76,68.85674092975954,8,93.24486077998749
l,33,60.04112596758707,4,90.14548824272865
z,80,24.58683652518303,50,64.63579667239347
v,57,94.63605934372833,0,95.11356509702303
c,29,82.217868497368,48,48.325371999016475
q,51,18.6657463767009,60,88.05491998448399
a,59,44.407704817801154,82,92.12831497761562
i,28,90.36765542655145,11,18.60334444474513
b,82,2.256737480947002,30,92.12806002877797
f,43,81.5439470536709,73,43.972386210971436
p,0,81.58563437561975,34,92.85789855943895
f,83,21.231923619433303,7,73.62019960398011
h,32,95.55064768556603,26,49.024019471109284
a,89,3.457049886239272,31,93.24855184209238
g,71,80.78801233393735,73,92.29497201212313
a,8,11.609511511137871,39,47.118939699895435
p,24,37.13028070630375,53,28.937321992785
c,29,96.9737316111559,33,29.99076800592675
k,56,6.629746809487247,30,16.28657240794771
m,53,11.145389420678132,45,51.39598954241617
n,30,78.39053727108248,62,58.13235736225503
n,22,75.78657617725878,12,63.53498126558459
g,38,73.32944647156265,46,93.49611112300398
c,93,69.65067759820064,72,48.30151745249689
a,83,81.29906705674664,100,83.35625538894203
w,89,20.146914208836687,31,1.1820048722007148
q,84,67.24908673728605,85,17.237499358709975
t,9,30.871773069096996,13,49.900785021136194
p,9,17.325532927769636,1,40.3287696558135
c,30,20.90918616412051,37,66.2358067164368
d,38,21.115611234174025,96,90.14188366497143
a,76,80.62318360788363,19,7.4392276139490505
w,91,78.24064580005486,47,60.466680416089716
m,12,37.48223782654875,48,70.35684302949363
x,20,85.2518316744569,81,44.47454035217714
i,55,9.861889191683082,43,77.8240813126937
r,72,88.34464351886915,45,11.170287104199994
e,99,21.74945828480861,46,33.47633668393766
s,39,60.84819931951198,91,46.3512710202512
t,71,1.6393759703176247,29,31.492477939780162
r,56,1.0680173576292917,46,80.72584963068985
a,39,85.32913509745647,72,11.473998215036518
t,9,33.9746386677726,5,88.8704168434865
n,32,18.98103449705434,83,9.09270446383369
x,22,34.55540334347128,75,44.38506411254644
p,60,6.315310128179918,11,43.35316453653636
e,87,20.219174774898963,30,8.257481092789797
d,33,91.4724381520253,33,16.763244174435275
f,48,64.46126716806293,26,52.55460384859617
u,79,86.50150895817823,68,56.46447004043347
v,86,95.42132367345113,61,96.07386883518241
p,66,49.312992340314075,39,44.530438738915024
m,79,38.22664617273672,87,33.14183063705363
b,90,21.455695509162286,12,56.575314555201416
b,69,0.0986634423370214,72,47.03318646552373
c,76,80.61924473146715,9,48.34191506245935
p,52,44.58112493426175,42,44.956801738862886
f,4,38.472236651801154,47,68.37164745589227
r,37,70.76008754255902,4,58.56648291874797
n,84,64.50931007571667,19,42.4767425336743
k,15,25.007108369969046,57,41.638771493605006
u,80,55.643445298898676,94,17.679037600671975
e,4,95.59203471647434,3,95.29780509313689
i,6,57.32974330255719,40,14.34852294299157
g,39,75.88092449437214,29,82.94686097797998
d,86,91.68285858697044,55,73.78145759216842
x,73,12.389052486141805,75,65.38601750017659
i,5,1.2619654137433045,77,38.7304287195804
v,67,27.631987609578644,59,92.57461740272996
a,89,43.38522541789407,48,85.11801367844998
f,6,94.71929400363528,39,27.239278621458872
a,93,92.1165979881295,20,19.737495328162467
c,88,98.41819020017081,36,3.9575866213689026
b,17,55.830640354623284,44,96.47224228376541
t,26,69.3367391500876,41,27.55910339843126
z,6,15.370370830189263,83,97.35816976617582
l,30,74.99569437386492,71,41.33400825182891
g,67,71.0089493257601,53,20.141362349419733
f,94,73.01578601266193,46,3.588816141612805
q,49,37.2399612587817,6,49.17509147851715
h,81,4.5620627171518935,5,91.978507281081
m,25,59.70766475091557,46,85.07604496424122
h,66,74.77239388480584,37,83.17974392887658
v,49,18.096367805531155,29,10.585033316476967
m,70,81.46886481594755,57,23.870863965524293
z,100,84.49715484991248,70,99.51720056108373
p,29,15.411576773308223,4,52.40525011609297
c,42,88.74727909406414,90,17.837933090782233
l,62,89.28441255511956,76,11.738989552780987
c,28,76.61498308038705,6,43.686830756457475
m,63,0.4687012097185361,27,50.4907561052966
n,80,86.05049362844494,11,52.00265103537863
y,96,77.25075994857596,66,23.79763760630257
z,9,58.308568725666866,34,8.697832342376199
s,34,72.95020091182586,62,36.39511773350268
i,30,97.19852635617612,46,27.58364848512459
l,96,68.78626031883329,65,73.14150016163907
n,83,23.270732155846076,9,61.817501019399735
a,70,79.20008532065235,6,81.70486458218834
x,2,22.705101254806912,32,60.613703112689834
z,22,31.514301794756772,89,96.28901148828092
e,54,40.28279792256666,22,44.27218381258097
e,87,81.4935292208012,20,56.90998425869065
q,84,89.673865428072,3,44.58697695359094
c,73,17.485568374506933,10,73.09202054650733
o,93,3.9288997464028697,84,55.52087095791535
s,47,3.292181801680927,24,18.033553021526583
c,58,8.789723309946474,82,29.891021488484103
a,47,89.69861241510253,55,12.726143551359115
p,99,5.852362087710638,6,5.75049739208926
w,18,21.029753309207077,63,35.85615305405226
x,53,78.20044377634935,88,44.26657678435152
u,75,82.7550194398338,67,21.038738632869723
n,63,58.92116017654161,58,77.56479962511075
h,13,58.83859873358021,27,52.40666363279476
y,86,45.51986933263815,5,95.69680177811411
d,88,44.768502170701716,72,15.294452245477775
l,45,36.50025401093252,29,14.938265898512682
a,22,83.83029299806324,4,68.01132327254295
o,23,11.975040711913131,7,56.768831806695495
i,1,9.043519067998307,54,25.26546127174335
u,90,83.64440644055948,94,18.755578338027277
b,16,46.53731665947418,51,21.1049067917251
o,48,29.534798601334366,55,40.56484436050427
h,27,83.61655968213302,34,57.332230743725454
a,34,6.084767361445753,97,15.928952136950226
q,31,40.76154528666402,79,38.002533194852596
z,71,48.17818183835891,87,57.2851749208923
f,0,9.323280243703547,22,16.292295291262416
q,12,54.13454290077341,8,56.05636391144003
x,38,39.55805082080425,74,16.840585703529854
b,87,59.122239816123646,61,43.86135819475151
d,26,25.098463865214537,66,32.074315669383935
e,33,1.6890553744446701,29,34.703404204646915
q,0,64.43345559235058,29,80.44451105872609
g,36,36.456356324732845,78,71.19378273902223
g,21,53.62234762015311,25,90.13639821671791
d,45,60.22424675751813,12,80.35716048389234
d,91,24.526924315213773,10,3.228140447967942
f,61,45.593844491354005,21,61.62134748806963
q,33,1.3216866589804144,44,22.43380455441194
f,93,11.308857110664894,76,13.685521997804983
x,8,8.038435088109708,13,50.943813927763124
i,32,82.89019670439892,41,68.19299275371658
r,42,26.870811051361166,59,14.513397330889244
j,30,95.49785081339533,6,0.40279880692327685
u,4,51.80809949060983,9,80.63449311606009
r,68,87.72274194283222,59,13.102556654000374
f,66,69.91954526687375,72,59.640288404325005
q,4,8.013947651570508,44,2.93600318226509
u,67,56.43649619263971,33,47.251321402525356
g,27,1.8134205720502505,72,52.67764134265636
q,68,33.669481272777055,29,34.427901181477935
e,56,30.45460441357055,46,39.496142557471856
y,65,23.73501160772207,74,91.53528853548515
n,62,17.637559365654376,90,11.154190868431723
g,37,36.5334421246746,43,61.32602971033347
j,26,18.16758682935443,68,60.08942949556118
d,43,4.899244709775519,81,98.9506328582435
e,5,45.399584171866344,78,74.60835111028543
h,42,33.885763016741585,81,91.84045872082139
d,50,64.5636128215863,8,32.7664065493609
b,53,29.48933692264809,14,1.7426699813865798
n,11,10.745648237047945,12,14.484811460240365
d,33,12.548751777410317,79,76.48263111234658
i,4,50.02645477375746,39,74.54302546270571
p,88,76.729943689555,0,59.964087631055094
d,80,22.666344610029764,83,84.08017741685957
h,39,22.33325292346342,60,16.8388269048391
m,82,42.381226891355574,6,64.38405759976176
d,19,80.55119902269571,0,78.18948791218571
a,59,21.799924317104093,74,33.20173005931212
x,70,79.66576951304309,89,92.53595620159115
t,48,24.829841078847014,94,14.894940595368055
u,8,78.60006265947133,8,43.72226940375321
u,2,83.57214176181095,54,15.991079443344214
w,23,25.442702410220885,88,12.859305547271848
p,15,65.24092733129862,89,88.13953193045067
u,56,62.48961180690784,49,37.26598608755084
a,19,67.10002239693648,97,28.305631115091344
e,25,59.39157098263021,84,60.95039144309282
y,56,31.367756974250394,65,1.3725109889734965
l,34,62.17232177103226,34,95.28485741959919
z,15,46.85841716243145,20,38.183923079283055
d,12,80.18455172302139,49,12.262819897514376
r,53,63.48840227364994,96,22.10052759695579
q,100,54.30025552409803,11,11.227951107051338
y,19,86.98287192513517,37,72.51355508593011
q,72,53.26084967809979,34,31.607428147990348
r,62,47.334937858239144,22,51.862609907895575
g,85,66.53843561195765,38,51.50518120092637
k,53,91.63725382516361,21,51.647630024410965
i,72,35.422123904476756,47,36.06193979043073
r,79,25.52621983871788,11,82.07598837645564
v,49,34.46198713969007,13,58.086293943011825
p,24,6.796252168779693,28,1.9366485952741819
c,37,47.01121188022035,79,16.978996239288424
b,1,33.73585920032578,11,8.234762334907519
c,59,75.1221456010539,30,64.69778907396723
n,33,54.34007265613607,20,44.21814744482292
d,1,41.19561770494202,57,91.75306649471067
x,54,96.45653929263439,50,21.93413242191631
t,73,31.50955442287966,21,32.30820313514502
d,73,10.50504646122209,85,54.02684060283389
z,54,69.13327942624554,37,2.6763813466618935
p,93,32.2720152613723,65,2.954943899034901
q,95,80.18677449723106,95,81.973255954242
w,1,17.058408362936817,93,39.38471032450028
t,24,28.12197270474287,32,45.45206598664686
g,49,69.19160325605806,28,15.133960470311948
d,92,65.80612240000322,92,37.91521853315402
s,88,67.08143887413705,13,30.75007913815512
p,34,44.917015460745255,94,8.758821206129719
g,24,74.07359866596572,100,61.67821250176521
v,11,17.283876739114778,51,73.75243848781562
z,45,62.798188721108914,86,7.982317357071766
v,61,86.70359796595443,85,33.39946410782003
t,51,46.62607050658578,41,17.71762334336563
m,78,32.531794610050945,99,32.57213894573218
j,26,41.730709847264706,94,38.91299172464191
u,91,38.608364177905365,9,35.52560718796537
u,81,41.32298200367225,7,65.13781394193268
q,25,68.90961972888914,67,90.43631542180535
m,77,79.02477107784046,87,47.8781313869752
k,76,47.98086855966815,21,91.352743946658
g,80,56.575813163392795,82,6.896006739273686
y,99,19.25500521358724,50,10.127262454543152
l,96,10.757397431815496,62,24.851903617128514
i,1,18.40300382705099,1,74.50880794666436
s,0,7.1817256597692,71,68.30880054892852
s,76,85.62967023474795,88,78.15507259370588
w,6,1.4146425044402444,50,92.8271729624993
u,57,24.466759439684715,38,64.38685104697575
p,43,27.18292109941496,99,3.7687541551908676
v,19,9.58714064976891,99,44.37998392284427
s,88,51.8978952655179,15,61.89065788377973
v,60,79.0206058318057,27,26.08400538813075
u,27,73.33387114055095,24,13.899668546010757
o,27,64.93927836759084,34,94.10523201447498
u,38,32.61165875784373,28,34.00428837780424
x,21,67.92949694961594,100,56.96033351360953
y,64,16.397723307442902,54,87.97806274461966
t,62,49.176218762517834,31,4.678983280228721
k,99,57.801679840561334,89,49.60717940208396
m,90,79.83989843074905,35,92.3809985268777
h,52,71.87263291608895,20,50.23814016827216
t,57,18.22364208823217,43,71.785181875009
i,7,84.29891211390844,36,39.33087289950063
k,19,28.603085454252998,55,9.133522304891063
t,16,61.458899769545525,62,32.04228726833704
x,69,34.40071765120529,2,63.76389757040115
c,31,91.07279675174316,53,51.249491717343744
z,67,45.285013620951844,30,17.642410883968505
r,28,59.09389561490165,10,3.4831045519361004
d,84,45.62225713734844,50,28.735327738855055
s,37,63.5974418139713,1,81.92334185761773
d,12,62.37798181979692,40,16.878048210113416
n,63,73.00557013215956,90,73.38999491416139
c,39,49.01674536139352,41,66.17612966670202
x,82,96.75943555719309,21,30.31679318307915
m,79,93.41203946110129,54,19.27988153981901
s,52,15.313607206356872,25,50.69556196849767
d,8,82.17799115141776,28,48.1761627610831
r,90,86.45116421425556,20,51.463720604932725
p,78,94.95809483889278,71,84.33825314340578
t,46,97.96162723767827,91,28.389587959725105
w,51,27.597853853453124,72,65.78662091483096
p,20,68.48794930211544,98,14.93841094055891
f,69,38.760667913067714,33,47.52707761938242
m,66,94.15014965038448,42,28.876047387475012
n,65,86.20220847161528,2,63.74853616786502
c,13,68.7912155648949,39,75.22517995977402
b,27,22.50971942013783,1,74.23315587686047
m,66,10.626033335787888,92,65.45103889600463
j,69,64.3320278806805,56,79.03674361943612
q,63,38.939728117150075,81,58.52531664884732
k,65,49.84298114946593,91,13.784620510269185
m,10,23.511185230160347,80,23.914545056279135
g,50,73.84191055543118,1,70.41143617642908
e,61,92.78801951666215,60,67.92423830938623
i,39,1.4145154209688315,51,17.029052660495523
v,88,1.8522484297415098,50,2.0894035950384526
h,26,98.52469200030046,77,97.03601300316312
q,5,11.980326840027544,52,66.52646919472902
k,32,13.033401512101673,58,50.26995350452991
i,6,69.16663656040494,61,51.55170059749518
d,87,59.290476545416425,8,50.84130886631435
s,99,28.725597892759858,63,88.38463209795353
p,50,41.474078279879414,8,13.820325458881477
e,26,78.03105520323281,2,43.7409479138815
p,31,93.50904320136996,34,37.950704592005714
h,51,36.738620881308684,14,91.64767809934827
a,79,35.777380224022224,69,63.4420617619357
e,58,31.51326856426526,83,33.931428348855356
h,96,56.14565731712622,43,71.40473832006342
k,96,47.067654486374124,20,37.378801096043745
h,75,25.856785611924813,68,75.48219238064038
n,54,45.45999696365695,8,77.92861249903629
z,40,19.197875873884385,78,88.3776997069973
v,32,60.447528305033046,85,32.338547045924315
g,100,86.71109821013705,100,83.49160976701583
e,80,52.703181933931944,33,41.40365742306942
x,41,40.579751342815044,93,28.896861217375246
t,29,9.883327421045763,10,31.19703041123327
a,53,51.752363206195874,54,23.16842351372457
h,50,87.13560553049857,61,83.50310383078804
m,29,55.0006764008794,98,15.149576000980824
w,7,85.89792082565943,61,81.96299414965726
v,30,22.17854443478433,80,86.21068866227226
e,55,36.07647458192651,87,17.23073556986474
i,35,79.04736158486024,92,41.88214125785201
p,59,66.67399747154774,28,13.77814760396534
z,91,94.95167608301253,70,5.6959741542014335
l,51,40.896974077369855,37,28.54600984247537
k,51,89.23364273355482,47,28.928819019861972
t,66,15.672904592602832,60,18.700436393819587
y,32,45.2853949352385,61,8.49674149242362
v,7,10.402034474646316,89,88.71353486623357
h,59,70.32410132379322,58,73.28147067876579
t,16,21.638952873730844,49,44.937102336700754
z,29,89.39349050440316,79,96.86106236781326
m,75,14.439854523372919,83,62.91533239537686
g,49,55.418916159781475,10,17.4361765510872
x,25,31.85831973205464,9,95.68179819878334
z,32,16.724550102148605,27,13.841870527444067
r,45,60.570029139693396,84,45.47435882331491
v,8,50.62540067519598,27,1.7404154687106876
o,31,1.924976780369858,45,73.73437406118684
o,92,85.77873001864276,47,6.611586046458672
r,6,57.505891703415934,81,83.46599260946232
w,59,25.749354483011732,68,84.97097252220921
r,30,84.34444269616408,8,57.77178728584399
c,83,73.94425547601898,62,57.40733779753066
y,29,53.962671726258485,65,66.42284120243679
t,75,77.07250534947057,80,0.9379512062356654
o,5,74.6477611272205,9,56.44037618594642
o,80,87.37174460654342,1,1.1937703149587309
h,16,44.99045891080924,5,71.73058200980132
b,64,49.90888915173769,86,39.45651544670117
q,22,33.784511542024696,89,14.891658299975251
a,44,65.08034061931573,12,22.5734555721135
v,32,84.11303974362974,76,42.27131340993838
k,73,98.32641399044991,64,84.3774080959853
f,42,95.73598647402108,67,54.2569754029581
h,0,8.716925601759307,68,85.3202123758954
z,67,75.52463531696255,98,33.859833242450165
h,78,71.46932363972742,95,35.637028047758676
f,67,58.68481262842279,91,20.381014274369246
e,28,24.577069926107576,96,67.35065340959648
m,14,76.96210607970991,96,71.33502466643216
y,12,21.998790842082006,89,90.53620325908074
q,58,0.22407668624205845,28,28.540075001802347
s,27,99.43641930694275,100,7.722455443261255
l,65,57.055895552748694,68,42.605282748299175
j,86,73.07873372980399,18,84.55172314752969
y,89,67.41328662455474,95,80.90972095153374
i,12,59.75228194996205,64,23.64053047923047
g,0,72.05541212760879,81,69.87288028203572
g,90,39.45119966926535,36,13.805818965784667
b,67,28.118804893667615,22,41.329387434624266
d,62,40.48990635002884,88,26.675285018137927
b,37,21.940469565389463,42,6.1908927632924
u,69,46.472858692355736,15,52.1077180377967
u,77,86.93924348706783,88,1.6926297591363215
j,84,54.933644283613226,42,6.703737936055498
l,43,61.11520901980213,31,72.44026526224576
x,44,27.165364061898067,18,79.68469777027155
c,15,4.8623477320114965,89,80.44504714511471
r,29,2.0412234990445532,9,57.712360954961895
y,6,71.90240542546928,45,25.53850853839804
q,3,37.058164130005586,30,1.764966208595975
v,24,57.2763333558874,8,17.841067612648263
m,19,28.342431950939726,29,31.347449810466777
r,72,42.20819381607467,14,76.14143259206429
v,3,45.804232902375354,51,96.25267972144405
j,49,0.09461890141625462,66,97.73134383924716
e,75,21.48911533322527,41,92.5896529768097
f,85,70.2296419970549,70,73.31246225918188
h,28,4.477389656322394,36,20.987925838537425
g,2,89.54005924485963,63,62.11897351776354
k,62,31.854307138518678,62,81.34690411240932
z,38,44.58637573700359,89,2.523226726772587
p,9,38.11506936356975,47,13.955935777763063
m,95,54.65336557373709,39,53.893306033165686
x,23,35.38327895940444,91,73.87363662985513
u,84,72.18363900753064,93,21.665594598435035
a,85,43.86704783943344,42,99.05413005163818
k,34,45.23844797831364,3,29.343041356580592
r,17,96.36173431385986,29,79.3426426788121
x,76,29.966440433317253,88,24.7563003778011
q,57,39.70692232317406,20,68.98992474180037
v,21,4.686582162778152,79,65.9424946080284
y,27,89.67572043827825,53,69.59802629391184
b,52,94.20248164872899,94,78.77349482703487
m,7,53.718339169105334,14,59.17951068008354
f,72,20.488234679228277,21,0.35240191464293025
r,58,14.449011676066215,54,91.33714614985507
g,37,75.68697288670724,80,28.333995107638867
m,12,22.429339954354177,2,33.05972195294711
e,83,0.44289889365054513,29,39.433297133698616
k,21,82.66969739721755,34,67.85015897091834
y,7,51.93773565509392,75,10.45096029536684
n,51,90.69581326582393,50,44.18878268920843
l,99,70.34169134543492,64,25.195476698962295
t,19,61.37235155787029,20,6.606567042510214
s,15,50.93354099004762,14,8.888213155972903
x,42,10.487045080844236,10,6.2756887126956045
w,2,0.22304546203143483,67,77.83271634656202
c,98,80.28267149571646,54,46.20770399828133
k,42,77.63513526781456,56,90.74722134641556
g,6,33.34525886698761,62,35.09425757047383
c,91,87.96373021194579,74,8.723545760155849
h,23,6.680504679261756,62,55.33734844887475
c,59,45.10275038702749,100,89.73790214568805
j,10,37.728587488138885,12,66.00273561460868
b,58,93.36697429034555,21,29.098304950337095
r,36,62.603587509979775,64,98.63730318096992
q,74,86.92782133068994,30,77.6612091024034
l,3,41.482006903637284,81,22.78847391108133
y,86,66.56083422425117,21,3.3074709306319394
s,87,25.24172594225935,85,44.99774656490312
p,67,55.000518037538896,22,35.506818717521924
g,53,91.98092731224502,21,8.091885078458427
j,22,71.7837208837326,8,7.498978572219006
s,58,6.228049797293411,42,31.541420095275964
n,10,92.36525383158354,45,71.45358340678246
b,39,88.67717816772343,66,50.334160970490885
g,88,81.47242561098334,10,20.25027053856958
l,41,3.670729634615888,89,49.67138303202935
x,95,56.634649356386056,39,20.37247058214451
c,98,4.041304954124813,95,94.31540012000654
c,19,71.94314696110592,91,59.06777110069643
u,12,18.518793226801133,11,26.57605159403593
v,41,0.7473168393960616,95,72.61879835048025
k,80,62.2447977932508,38,68.84324745643532
m,33,17.44310819460958,82,83.05553294754131
m,10,42.14084856641934,21,34.48809862278147
r,26,1.3022362453080194,68,14.755264159606806
y,78,12.757470052357988,3,6.4937785569926465
c,18,98.67261047322003,30,11.468893749633635
d,7,6.454598110145627,58,74.7008842537565
c,78,34.17628979810845,47,8.025644974546509
v,21,33.69190423428514,71,59.62489855875681
n,1,33.99086608685795,11,84.08083075209409
y,68,95.63672896465805,81,92.88782972114271
l,93,29.965762926759844,58,36.74701341189716
o,22,5.528595336946063,60,11.91387241688695
l,50,17.403397462893288,57,85.83283888345721
h,81,59.732824991608155,65,19.57952013193822
g,64,20.67796549912506,26,67.7900169881009
r,82,57.50981541674256,5,14.599380562505782
p,59,53.55341351173528,93,63.31548696378804
h,22,95.11498510172646,39,76.67736950731499
q,99,32.311052304652364,59,7.830034388039864
h,37,86.88760953215635,30,66.86184901298314
s,96,0.7683910523612836,27,93.61118870432159
u,62,91.14043695065692,54,84.55205886648558
x,94,2.196872393748628,49,63.792190149724284
k,1,50.80557651150639,28,22.815450927854076
y,43,92.3997365380293,95,22.786511443190594
n,89,12.488844404374898,46,72.69205407072904
y,81,42.29711995058162,36,42.44595212929245
c,46,89.84171311363349,80,14.595285461833186
l,72,63.45142348571421,11,44.644242017179806
r,57,28.869574715655432,4,28.933104205697504
e,100,88.92687326225204,17,42.93788457680996
k,33,5.471884476331946,56,19.379024819021197
o,27,34.10803000488356,35,88.51862541405713
e,42,95.12132527537045,54,69.5144948539574
c,59,88.17318485814799,78,57.088118056239566
j,80,92.78636115844068,35,15.87148104362881
m,81,70.05075208814526,6,75.91405622996133
h,93,63.06085389867081,18,82.5227063554918
b,70,76.09026836879117,61,52.86108495789876
j,83,31.27994482581904,23,75.81065664280875
c,60,83.41842865198691,47,89.00615409930683
e,81,72.91434824422606,69,12.062640464154306
h,74,24.692857362146025,34,51.208537623496895
f,38,48.33522510892322,22,10.228623376485235
z,6,8.361854597618656,50,59.6754233001099
k,73,0.2609945666685043,97,1.6659939812115332
p,27,68.12756187559367,35,34.812036024180436
s,14,53.798358834411985,25,1.8696806836490554
u,70,30.385534211943323,73,63.8599086524814
p,30,42.682861398107754,67,58.37985324750976
j,97,85.94710207029885,85,57.586118956692026
a,24,44.98959343328113,26,84.36858195691963
g,47,76.30156633604246,96,22.882579422021955
l,81,89.60381886097628,36,28.16323225632341
n,10,66.73887786535238,78,78.68408118616756
g,7,46.93654321410228,56,83.64797118954836
b,21,68.8231113654303,58,37.56324850956897
v,67,99.40781870795088,43,87.5382215167566
n,71,5.060645012024456,69,57.341847589184134
h,68,86.11474241287704,63,75.18868498876056
j,65,98.3651011261294,91,43.554595599408245
c,24,9.354730625808639,96,71.52204474905517
b,82,41.1406492776751,63,99.6616192966986
p,5,85.67035980311726,65,85.56037832079339
h,33,68.08292184985402,75,41.76461943736635
y,36,4.745169171932229,10,64.73811050346345
o,96,10.184322740814922,65,29.164724568524868
a,25,28.580480708098953,28,71.08214443696635
e,10,29.514555410349097,65,48.59615481644345
n,74,60.285422107008316,60,68.9157448079142
i,53,38.680488305610574,60,80.92761314340997
g,39,57.72125038022675,39,93.22499993797781
m,64,23.861784110064,60,69.32064552197397
d,40,5.5579694632743815,88,95.5315063090618
r,27,53.89535782466477,64,29.06970660332395
u,84,65.98603978791701,54,11.166036905533417
n,60,57.30257677982773,5,74.44059839760195
k,4,29.527424480733945,46,54.71913264907248
a,65,16.29885233443965,38,8.927162651965991
j,41,15.47556959585259,69,39.1034726070919
l,81,41.09115239333645,56,56.04924620517917
l,45,15.327535816786675,54,57.26989660108583
e,68,60.805632151144614,3,48.83533632931193
z,6,74.24193775938785,79,89.81752071023877
m,67,64.13253051419038,40,57.55397253676116
r,25,37.176873096458905,73,16.63365706376173
n,61,94.7114464065692,70,16.37966742144141
f,20,62.04363074195529,82,62.80133688727068
v,70,75.5173969510465,52,83.43583532494576
e,34,13.93232842385409,87,72.72912099210554
k,15,84.21818793470405,87,13.796086647398297
b,44,28.57499265554746,72,44.76598952326603
u,13,8.093955118721308,39,72.16399175302843
g,63,54.54538103674326,76,39.43056189315305
i,90,99.41273256025954,54,26.41831053709449
q,91,66.09333250812817,0,45.95418162209191
a,6,38.43746503085742,45,43.919737725329675
f,90,0.0020630326032278212,73,10.498724427203799
q,54,53.30660192016021,40,89.75117372444466
e,77,65.8271889429769,2,5.818932846135838
f,37,28.186624485985014,41,6.6319368953500435
g,28,53.37175646761666,13,31.522600054024487
