A,Z,W,J,K
l,71,46.49497741272166,11,95.34388221046152
x,7,79.49888235129313,98,82.03265421832195
j,35,24.56081757498797,11,57.94235469587441
k,89,22.91955236008205,9,64.57386420591118
o,4,92.67723118550546,96,58.231201842781445
t,7,60.72020371270159,57,39.529856990435285
p,86,32.448648596100625,65,46.50126884535537
g,92,74.47638262555549,32,42.51883353339814
g,77,96.7076678020005,68,68.52068935245784
c,62,28.334071705656484,52,94.35806030911522
t,13,16.00958360301208,16,54.450535878208505
t,29,65.72473708830874,40,79.52513750512395
r,21,54.854442776982225,15,62.944713807698925
c,16,71.21799432583884,47,74.8319150522447
d,58,82.33955293300411,6,34.123702075650286
o,12,72.72528916208772,0,11.61054022130925
z,34,28.47694330374636,0,10.4954002176454
k,28,77.5041650910658,91,91.84377732738386
o,46,97.86365077756165,36,2.220045444273
x,25,97.67643867346482,90,81.42406737046569
p,30,80.51193683925177,83,16.706607198827072
v,26,71.85558524861992,77,81.58717641109308
m,72,85.40675403509474,5,37.27660650519107
x,88,28.64310839639487,46,34.777060169480535
f,66,42.809674525978444,3,65.25807083623262
a,36,87.81484270185979,28,78.81722803509193
e,94,7.548211498395219,98,68.38175035513287
h,80,69.54240947294909,14,73.93636010917793
w,79,22.733083944254396,47,82.04666501742356
p,87,51.19964603134042,10,95.23084790643433
g,17,74.13673616987195,76,60.048044882387806
x,54,22.019640898592474,3,28.76276532259048
u,30,45.710007321024705,39,51.615671054605606
i,87,51.85019239579661,6,4.298526859833663
c,62,59.79669298432868,15,49.25114312241483
q,71,40.825476461505325,44,90.28880024125267
x,79,42.700192006252834,14,92.74189157665751
x,29,25.434785254608304,16,36.05562099898475
p,84,34.02385309650586,74,4.23568339938063
g,29,97.48294491055387,53,55.624266458761504
m,6,52.87255036615781,0,73.40539928458779
x,29,4.855339029535621,9,46.1791804839186
x,83,54.052971975428534,11,66.06980372726863
w,33,59.06055902291166,22,95.05631512302824
s,42,79.37580800369963,56,19.795318285550177
r,23,93.60743525528417,95,11.66227771621996
i,42,26.96202441129224,75,4.664309951581869
m,82,69.44482886719699,4,55.95054863130217
o,11,76.56056489265235,48,3.438936782082014
u,69,28.647385527015178,10,2.6442682731794287
q,2,71.6134704021428,76,51.45303679407887
e,74,33.305673181816495,44,58.45196643863023
l,30,85.24262480544176,16,97.90706734320395
x,63,74.94133151480831,6,43.402531676054934
p,1,1.5429072574959846,99,2.6308784591934975
m,91,63.427072799407,27,64.45139981141983
r,6,25.30334581468955,75,12.635932186111432
k,4,2.874462602930905,88,28.202766187571093
k,5,81.64266968352396,81,82.6807719784987
r,100,71.53833589772309,85,87.56086309664262
b,21,21.129285781398533,11,5.524161429259533
b,3,81.32201321398882,2,72.9507393070523
f,45,82.96677925992438,61,30.962982976162778
k,11,8.678797171809826,2,8.005011636125293
l,24,39.351602571840495,62,97.84335853461758
o,13,1.2981326438115226,40,40.97564386258615
p,76,74.62702755762332,56,13.930913985126303
i,94,20.33168345860201,96,69.67335134301598
r,73,46.2595115382959,51,49.06341185575568
k,84,19.51758070794397,20,80.92699594017832
n,98,59.713818402681355,36,13.744199153868564
v,10,18.770769486079374,77,27.43044970227769
l,96,36.28396057242459,34,8.41604824390646
m,16,78.53128870530554,28,4.067819808446805
i,47,4.254873143412308,85,12.091327427541032
y,97,14.773850360417807,18,30.0740982095437
z,60,31.28142277767355,44,16.36502592700585
h,36,5.018386629788463,82,69.25736307091755
z,89,66.31832759909005,17,20.88914102953998
t,21,99.71341610585473,99,84.80910405317742
y,9,80.41248655302773,92,26.84018632704389
n,92,97.18965858841963,84,30.350434882422938
y,82,88.51863638013985,78,43.07024058073806
x,59,87.70359595396907,85,69.33960628975474
t,35,27.685493450631114,40,38.981783424051066
k,5,45.01410644623516,11,41.36039477132742
s,32,62.12856559355018,76,60.53703158639261
n,80,93.33571807882056,54,76.68163225227349
m,84,90.11142386694172,14,35.54327195950635
k,14,50.20385159046422,92,46.836930559640734
h,19,77.50222928878881,7,56.59626243708003
m,60,20.046319676601165,58,36.945941624647574
n,57,91.93996910199472,34,48.62418297469554
e,2,5.768062735705626,16,69.57411206881781
y,88,71.783808458092,41,48.53233452165549
w,62,88.72447892107567,39,55.21992344559132
c,7,26.91703612894272,78,62.05175620433633
d,0,80.12271328463012,89,18.357920601112077
l,4,14.71170274825253,29,23.44448853987786
c,86,89.31114237969531,36,32.72072421728536
a,25,13.408078543639979,44,41.903065829661145
l,82,74.83466629636501,29,9.808757061175822
z,65,26.02190494828538,88,31.957911696370147
a,38,56.19036464554339,13,24.623861762235734
j,53,92.05768616296027,91,4.662031903710783
x,60,29.587446807841655,83,79.33870517401441
y,6,93.68921743539144,99,61.47277172516643
c,70,79.18011163944844,7,11.190328957155604
v,2,68.46637253625855,12,86.2749445446442
j,89,89.64813852586046,45,27.435672778690957
p,100,59.48944763136175,6,83.60333518832563
h,94,75.55113790241535,72,47.45415222149051
v,61,18.266182442084045,86,5.691202417554453
y,73,16.58905522948235,68,68.92744096198939
k,71,16.903551381824467,95,39.68206313886811
a,74,95.61602894258264,38,49.849554307851996
w,60,9.289012432282961,77,35.61109406547729
t,65,84.2843922923497,93,79.6238804755606
r,96,26.798620598641342,73,78.50666361812027
f,16,9.151042576082302,71,83.5249324993692
o,9,93.53185563826564,92,48.927303935469745
l,68,94.67420221118626,38,63.11570320736296
s,24,85.5285076078125,68,44.58276615314646
r,7,56.642509005213405,40,45.149249964367264
c,73,65.24792659229243,49,97.57370264728185
t,89,29.239083144736412,11,14.142522596536677
g,78,64.84555916822818,63,3.0026510050428223
h,17,91.6411357759644,98,24.377740432614768
o,31,27.8096557821611,16,11.04286659245355
p,69,49.317497163562564,88,9.350181458102625
b,31,15.532213247899096,11,73.20529667939485
x,15,75.77119504482755,41,86.08906426119538
b,30,6.509288287418835,6,13.92260055331278
v,2,40.765646538858626,90,81.57526606146519
o,98,89.1789490364687,14,83.00072999971925
q,98,60.87029527426642,45,26.385789001025984
o,65,20.457723242218805,27,28.240279846922256
q,8,44.16544495281721,62,56.13205259412087
r,64,40.811718103496794,9,72.93983247786988
m,55,12.20672455200985,44,11.96510026456028
m,31,5.790226794155062,86,67.21764916821313
r,62,67.74631404039792,33,43.27204107096713
u,11,92.11130164595764,47,97.44598955534181
g,99,39.478840838082455,92,58.69125204841835
w,61,6.668313076830912,12,65.3402542955461
f,60,13.797484693897477,72,57.51288989898084
w,43,72.09095878427146,40,71.81183520849773
t,44,25.396443690806734,72,0.026925314098424913
w,62,8.649480167296064,2,62.767713243536164
o,69,54.42454154247521,23,41.133945220771786
p,10,90.96741338437587,97,10.779445475058957
m,71,62.93032389579353,44,15.457057919905647
c,33,81.70087830803988,0,26.317039388951535
c,49,6.772735768320359,93,45.608680293644866
w,69,91.92570356523545,38,19.80327716237209
d,28,79.26452038189095,96,53.30753326907337
n,25,52.430060017524106,12,42.96500421547572
s,38,84.84287375377629,34,26.38504920325724
r,87,38.727515286750716,91,55.8570610649911
u,57,91.3502616910117,9,56.89169210597376
o,42,54.96505618765419,69,65.2661989196704
p,95,25.65341649432521,51,35.999798469670694
w,50,48.836090446434255,39,44.39771926125585
k,39,69.55527365312373,78,20.19483706150258
m,57,60.52065725746777,74,33.24330334356609
t,61,41.124968653543625,67,77.98961508876265
n,49,68.75166617569698,74,55.730523655481356
h,94,59.932963594260436,2,60.39098431570948
h,33,2.4948068154317715,32,32.991516586909555
g,7,97.40993196400302,74,8.612118727186457
q,36,91.85882600648144,24,82.5401699830436
l,87,17.331856430742143,5,16.2170648440051
s,65,90.1051768648094,38,84.78239021811392
m,9,59.98157236136963,52,56.496428266138295
v,58,34.07832206360123,54,67.35863096136868
v,33,73.73748221554598,88,33.126119937621745
e,12,11.50080674843702,1,40.45740460285473
q,79,90.78485523975351,6,96.61467395016953
z,32,8.979955369512794,32,38.03448635823003
y,63,89.91318904799175,15,79.50925148438401
b,85,25.080586574362563,84,30.695744696025283
q,54,87.83935946541449,37,92.85925206651072
l,97,42.9231689612707,26,48.60586001358366
x,18,89.4023299754967,34,1.815914284112774
t,6,54.473336150579996,85,94.66881095228955
u,2,25.7980250864583,85,35.524190799270784
z,2,64.29440558254676,100,54.915443775776126
w,91,8.622435168013777,78,44.38538003515653
p,25,89.07865848816769,98,47.085106026068445
h,33,26.42598596847755,94,43.23488629122091
s,95,26.64286562017326,31,63.7809989049426
x,67,89.38945574754716,71,74.07280542421294
y,81,3.348055727059618,50,8.4361035637042
s,82,77.85958607109843,86,41.314973885652904
q,46,48.30538115524271,95,95.68401965188397
d,84,78.09047880660648,33,28.10811959723192
q,30,39.663390495784576,54,21.962975939802153
f,62,38.42948140691791,10,4.25372492935402
u,31,89.0863045312998,84,99.74109288032093
h,42,31.3966092874145,97,91.3796791637752
b,92,9.607523937978879,18,8.648650902905475
s,23,45.64172329048674,19,78.09720000774279
m,62,54.42242021775537,16,11.63279787465581
n,4,77.61525090722985,14,64.52105545326961
r,25,86.05016246346125,40,45.690207443975474
w,9,64.13497861203203,6,3.1552356992524233
f,92,97.8651761269119,1,86.95631460503229
u,8,3.3548077764027795,25,26.460672509614646
x,67,61.36924011177399,23,29.86213623986156
y,44,46.3846714628537,17,0.21996418231201575
c,89,81.47615024251994,96,53.28530976553766
d,20,29.41005964953095,51,87.707035153818
j,31,25.241217767672364,59,98.92223909853605
e,57,89.10805812204202,17,85.24366079536907
v,99,20.698137242960623,46,81.48106401842826
u,54,79.07747380868992,29,43.974999067232446
a,16,37.86245799134027,69,0.2673133186801735
y,90,62.03098019584073,99,16.041881266074743
f,33,75.39451783747933,41,90.12230674966135
k,79,79.9394255829129,9,95.6842649698885
k,84,8.018208993406251,63,24.87845405188751
x,53,30.332025100852288,0,14.070496495186402
a,20,18.919805829340643,90,5.69271379478522
n,53,67.44384294528055,7,42.36343270954617
q,69,61.37942322642179,5,11.448562354751978
q,21,14.909017345509291,41,67.74475303928793
x,70,80.70953807528878,10,76.14517010620824
r,91,26.976400904686983,22,73.0191258942711
v,62,30.013839151092057,46,63.96893297589107
f,68,15.571775942239107,85,64.90121439765906
e,70,41.27811881555479,46,90.67335961957127
r,59,16.286669127541785,73,44.463182291004486
p,73,2.4208364676320815,1,60.54099796416856
j,48,3.25095980580844,44,98.73406960448027
t,78,10.916117876764487,59,27.542674937016532
e,7,65.76891262498306,14,54.91036279483612
g,69,15.578195479229539,29,73.88254885830564
s,52,28.12185507296361,4,58.409541155966
m,56,5.186816212830847,79,20.0154731159078
w,59,8.274616009312263,1,20.63447127349811
i,43,87.67858416344177,77,25.944249678734177
q,55,8.730062825642303,29,59.08139038653216
k,54,76.72054601234885,96,67.47999558125032
e,100,5.832265184476815,81,42.522229982204394
m,58,22.075832772294923,13,74.84819916693507
x,63,37.86542670946277,44,71.25526248560708
x,42,79.07244917325201,54,98.2156551021494
e,26,51.85635638683143,38,19.35896035896636
x,86,50.0755506075029,34,21.60201708728886
f,75,66.03032027307003,48,24.01912316036676
l,25,27.982665492962212,66,50.69783724247227
y,64,3.6621564973438048,41,58.44423790145061
o,12,57.973018395145616,36,98.58458353849335
u,51,16.215240084867755,39,2.154193202254817
p,29,21.820152016834406,49,31.765216519584406
e,60,93.49068402022469,82,83.77752980934656
b,71,57.43173257699793,91,47.78059687005636
b,49,32.36395579708143,90,30.625655086287885
c,20,75.90900986484974,79,76.24696727615301
b,72,77.74285065226852,8,65.15045002194103
v,21,22.266164605075744,18,29.845893557533365
q,29,44.59455931020737,46,41.45861986497948
c,16,25.56542266927956,8,11.787145943624155
j,67,51.211379811359755,8,70.06280644536695
s,99,68.49345359987336,71,72.34834348108294
q,23,7.4162568311506805,14,28.075802126231718
u,97,99.77757158457733,67,77.90701183564462
e,99,64.54581908857915,52,58.18559737835801
b,94,24.36879685883413,94,91.94265979943862
i,91,31.819261423509083,48,4.757806731575931
t,14,59.31877759395062,94,80.16449957356402
f,21,54.62275070948752,11,30.45156187838932
o,5,16.090551046430623,66,77.23974791780905
j,43,10.087615274251483,55,42.25924050697986
m,41,52.79864331089453,2,96.48638620764667
h,20,62.53025328682368,88,89.5302007166399
e,84,53.31376842615031,55,7.964623480994614
u,1,31.298986361626124,12,65.42058105041559
k,42,10.653357130061591,79,81.671093072834
l,1,58.89384227354548,30,94.14727506146617
q,92,95.11185297241865,28,43.69628202011982
a,40,37.37353323201257,29,84.02712142623831
t,17,38.15852049373119,26,52.03745222971779
e,71,50.860106793461355,9,50.64490515342063
y,70,49.26133029073576,45,57.58787631717723
v,73,94.64866777282234,6,52.29459076043804
g,27,16.47665672173678,47,53.459249448843096
q,48,38.20904060607084,3,90.62357106745537
v,23,95.31948572499377,96,47.509118565943155
w,62,11.213772831783508,17,78.42829429927376
i,71,13.029803450129762,2,71.38326624793525
r,27,81.27496934875134,24,75.86996983004465
a,35,3.8504284356264518,28,86.72369839835046
c,14,41.34412271127659,85,39.97658447364003
m,90,89.24057956541677,33,71.8693215034195
e,44,50.86609131306917,67,36.92370958540796
a,26,93.25497288661883,5,34.882418882112084
d,13,91.4647369751189,43,53.30919812776247
p,54,42.87877106958155,51,29.8685879790317
u,6,84.17026605300542,25,51.28151877468438
b,43,63.745860486777815,86,4.653705473421377
z,67,44.49849181763167,33,65.58242225192713
u,71,89.42102737766938,70,18.554479510648047
g,58,84.35921992557468,82,36.837000504563065
z,67,24.911276585752574,25,17.157165760360947
t,25,27.107385081565603,10,42.81587671337023
a,38,3.0024617942939646,33,91.77736751577424
k,19,92.2001962126677,67,25.248266121247543
u,94,19.395491017775036,96,57.07069456446124
e,70,65.0780687196273,94,47.91309987624414
f,78,77.07559561463951,95,32.17726875850996
l,85,12.492768043653356,45,36.501532319175645
m,91,6.974233988766021,94,88.5130005336746
v,53,33.086650850097385,94,25.41452575876596
g,2,1.810710963358464,9,68.70458644457838
h,24,52.75158098008619,81,87.37595016616284
x,7,45.069136254167454,51,54.22749409177465
w,46,71.13418096071213,73,76.61777092001668
d,47,72.25902541326437,84,1.3467616143642003
y,66,66.9371162513951,12,99.56419621967254
a,51,56.29251237797108,99,35.35541492046558
x,71,35.807942297954256,91,82.5330314232468
z,45,56.54271555138246,92,61.841576866526005
j,60,58.567083425129276,18,11.677180153784139
n,50,33.94765557171978,4,8.06311758764956
c,43,57.09680057621974,37,64.75824055591039
l,78,97.56344441140708,34,37.17975774327533
h,0,4.575832599883023,19,16.73029862401717
n,8,67.30026953561406,70,92.33456331626942
v,21,67.68483532760008,99,19.982369794958498
t,42,3.492799303591576,18,12.749086425866096
m,83,5.354142971662279,24,29.41302086706812
j,7,30.938201401475162,41,13.879165809801464
r,36,54.6797015866739,8,98.77723788043397
o,4,15.722013793174927,99,57.74031352289604
d,20,93.67562123675603,25,43.73686992812009
g,87,77.46804398916365,58,42.72225254388701
b,55,4.504482018448863,65,60.49285688992383
q,21,81.5419225626975,64,69.01833785461821
a,60,0.12017011792302412,56,93.10801504504813
z,52,87.18840279963554,45,64.01064405090412
n,18,96.34520767051444,57,0.013325698463728664
m,75,14.48465592678232,74,80.03753136345279
r,100,89.67824970218052,23,19.480590849051303
l,82,32.18693394972849,43,53.8218376475165
v,35,24.257522913920138,55,79.02433344164506
u,79,66.19178056336852,32,21.386625725707308
d,77,18.78271972403722,67,78.29546764543122
t,52,5.137827664246608,3,78.63947398329859
h,90,68.76528977259755,74,27.87533763957026
i,22,37.74419833892125,32,99.23309512846835
h,63,1.8534361786589848,12,32.68946768086797
e,92,75.23496779530839,9,13.384328322651484
a,22,27.448712021992726,75,15.931751244106806
h,38,78.44044027827094,33,49.92435900023903
q,10,47.43447124667011,96,71.67460663001138
e,46,9.460326747884984,31,55.905828872846456
f,94,49.6870493353253,5,20.368493475611515
x,10,1.7934996405502779,85,16.667368568752728
n,19,67.78218801309114,1,73.80961011906568
q,48,29.54509932311854,64,21.417293295096883
i,94,19.702268291285684,33,23.451128727935856
l,51,62.64125222645308,74,71.87794471681964
x,33,38.014359187232635,23,36.72922631244197
t,57,6.058854847981776,66,22.30380581390088
p,76,68.9107272122613,40,60.86840136539708
w,23,84.5865850576786,93,13.074784624576996
s,72,34.18584991854912,65,85.76035961624247
t,42,64.40447148025243,100,99.34279450081259
d,55,86.90436596869459,98,84.08847967141652
t,68,56.14941459767554,28,91.8502692608088
c,16,52.3835794670652,69,51.97324794751944
r,18,41.78756761319807,35,15.761457535128676
y,92,42.758567997357844,14,80.70690178762526
w,77,95.44864361000047,7,7.839126364028504
m,35,48.22520327431785,53,28.908333309697554
i,60,34.131159376949505,24,44.13702534673754
u,51,28.685962019834598,41,32.31302336473645
y,90,53.73081241753294,24,40.28586933441268
d,98,24.225191420705794,18,31.488737773468323
l,2,86.56924237593203,1,88.23414998959178
c,91,10.083602722251229,53,86.65643378315806
l,4,92.34008951400314,8,5.977495511469677
s,17,21.504426231392536,99,92.39402807038566
t,8,16.221736947739128,83,78.70478464407796
h,27,79.37546019869625,95,76.64941262697351
l,80,69.25430880143001,55,21.02874589610092
s,71,67.47218649676714,18,70.4533868236975
g,37,78.4177555052458,91,25.519107882804903
a,47,10.628502905796111,75,14.593224416495488
f,64,98.15938753439318,60,7.834774223654994
g,68,9.207532490776805,43,11.207976149365983
i,39,40.254747188953985,26,76.8415926370694
s,64,88.41248025665817,50,79.64795123595586
e,5,2.8145991311017804,7,6.6647521099122535
q,75,90.72708173071842,25,36.844285416904384
q,93,1.6836676680031415,68,85.63641521747742
g,38,64.24586256897791,31,13.709314515525694
n,44,16.378482502771895,74,32.54569090626773
r,24,18.29506975064036,67,52.62102166023966
h,94,86.81438872776378,1,45.41372502554813
m,55,56.30976880699673,57,31.59411695671176
c,45,92.30996219142709,50,36.732324090543756
p,76,81.33548869875699,1,75.55945244555194
v,45,73.885987748067,97,21.765287263072253
y,21,4.740184219934285,83,11.418320193276676
y,44,32.18766454891073,15,23.01498906515327
b,47,20.813046878609665,75,99.5412653786242
z,33,37.70749797570362,52,70.24076045813725
x,15,31.95790351580109,44,85.04906048562522
t,88,25.74048733544273,26,75.7106247891225
x,57,48.455965930818834,99,20.860256089397833
f,21,35.63005787313281,79,42.002689086737114
y,85,31.783698399430616,39,27.40162286565623
x,5,8.604169339751422,47,55.331295630912535
k,82,72.15979676700616,30,33.37318676361738
y,51,87.9527326557218,28,63.95668229443212
c,30,52.19028132445922,26,41.29174909258967
q,31,13.796191866706797,34,45.35055942178753
s,35,3.4593915256449503,35,12.179680978477602
p,27,4.478885749469896,47,59.69826127456065
v,70,32.066589445826956,20,20.993242266588673
u,70,96.80108682732896,66,63.015892619339695
q,76,59.36456412277974,87,9.519429365211751
c,23,99.21328233773836,42,90.42251178675639
o,24,9.683995401897228,56,45.24001966535993
u,13,99.63149668661985,3,32.54397418656955
r,87,67.92153125914817,96,49.61838230676035
s,25,39.4838414472578,0,76.74678463877656
q,32,50.753774865408644,59,8.379819179205727
h,30,72.67813700716597,21,86.0284907853333
g,58,66.1180465256848,61,50.860122650624525
w,78,76.91128263397876,52,36.013436747229136
y,46,10.65857140789499,31,98.19788812825851
t,50,78.80929818202401,97,73.42693419592878
q,21,89.02743318912142,94,25.570773970454454
w,93,7.788756915413286,36,81.50042553510866
y,95,43.24488595094744,61,76.59946120286884
m,29,1.855250180171819,27,2.3288619935538435
k,5,45.608834011546776,52,41.59830346738567
k,75,58.24279827944173,45,72.56840851846817
b,80,41.36359848331751,33,57.497532363418614
p,40,18.256728411313706,78,32.646715563099974
o,95,72.35843284080083,74,99.46052933391816
c,99,59.41694117577192,1,37.39226237265761
w,89,62.93786711462407,21,21.197763775802702
y,36,16.926538018487047,71,65.0936896914391
c,52,25.552392792075253,4,59.45826468549109
f,8,62.46442521156279,46,12.272680951765969
n,81,3.2761654333499868,77,21.72385405004552
z,43,94.11260374733772,47,59.91752856450559
y,86,21.065021273985163,69,38.76918406205998
t,62,65.73606423129323,6,13.325942340104469
s,52,67.84605071186208,43,2.9941261731095348
a,34,94.55315135945163,24,83.87748991859625
r,29,33.335920920639595,34,64.7315649955718
t,6,83.81188797329277,12,54.86009765248758
f,84,27.58925308075585,48,50.490746833655244
s,1,22.022415098166505,46,4.768094497331443
x,28,0.1250499963569629,75,48.611489514128934
t,33,13.399520871583459,48,48.5683283595088
q,59,0.9539638606953726,14,48.6537292707222
n,10,30.082442192614767,21,3.5114888873738037
h,47,20.44957056091895,40,2.0855122787929115
b,69,97.60678109085804,79,7.21794021241422
o,57,4.8741391238647624,30,40.60576218315883
c,75,59.14646929998651,53,83.1549494935111
l,67,82.60530228788174,85,64.54802019138754
x,87,96.11400794111945,95,18.322288447255307
o,13,54.26666373715562,3,29.04786752970684
z,83,3.6046577868808938,42,55.40689343103736
v,30,26.353827356226866,31,39.3732932867725
l,38,96.90950951215692,57,75.28734666376177
q,10,24.745980155405235,80,3.4930022349016987
t,93,39.97281213214373,12,40.52007416393768
w,2,84.2682444556636,32,95.39736136019722
e,91,2.109393985452934,98,39.96939074982079
g,78,90.6032543141769,11,53.89413858718586
a,35,44.20741185578462,36,7.51459307741682
l,30,27.719643811108586,3,98.8561496095348
a,76,56.87243857907019,49,49.85718944818277
d,18,46.503198781295985,18,20.63945367492933
j,58,98.96895959286492,81,62.10841257893157
l,26,34.97423998665785,96,87.64313631489773
y,73,43.538868917561565,51,94.37701967825339
j,44,61.32792644194851,31,51.104000289248276
w,8,76.38688316322609,87,27.676344169640288
v,16,4.43660164000359,55,22.746999168421546
e,42,11.040167023012836,27,9.075513573755023
u,68,52.92298749373254,57,74.89023613912347
n,60,80.65052460538956,68,77.75132142846181
q,10,98.03278657149463,17,46.056476822039805
w,68,23.636040254141022,65,9.282475852209926
q,32,68.85264699480913,92,25.603559990607316
d,72,79.87825680899489,53,85.15335925834856
j,7,9.028844531094272,49,83.50488167640894
h,67,3.9455846944878914,94,79.35625969689634
k,11,26.93193530140574,100,67.14491571150893
j,6,56.13862019674598,78,9.9615686810126
u,43,84.56499311278755,73,48.17391342075202
e,96,91.09114466413295,57,46.25841150318502
o,97,57.67783247008757,72,47.681873512281236
u,9,50.659017664863434,60,59.770640617577364
g,74,90.08770887015805,40,30.505574635182974
x,86,72.60342518219781,33,38.69173827609016
j,31,25.06674892557713,51,71.27002254999752
r,32,63.250152599589406,6,24.257129200616802
w,61,79.3422904542125,55,13.840638193759835
u,94,7.698351960919492,62,50.30228607508731
x,73,36.88935922010359,10,99.03682313516455
e,3,37.56367935041425,50,69.95509249799754
m,97,53.704734496629314,10,53.24533957062734
w,69,37.15141978764082,6,10.597845697192799
k,43,64.1570612316048,52,63.303425443866104
z,95,49.10546551070879,53,49.08525618606805
u,9,47.821328534140505,22,83.72941536934601
c,68,34.69260444300177,68,63.441726852501034
r,32,27.989721848855975,15,9.857492463261863
a,31,7.253494643252267,87,74.15119283351908
k,64,8.151194792280926,17,84.28336504068376
h,29,6.002262506142997,70,99.36958846183437
x,26,43.46127728359328,13,93.46086880138326
j,77,17.080956514442093,82,98.52786454430998
t,32,10.566883301717333,29,33.34798006508429
y,46,32.77435326270981,2,74.1385465858836
e,51,60.38497382685411,34,80.07693071176303
j,59,81.58468379397797,39,48.632538635981426
q,20,33.26945310177681,24,63.02134769633996
e,53,27.631572063922928,44,59.53750245247264
m,47,71.77789397413837,79,25.103522100377408
q,42,67.01104580246025,58,71.82059969729347
x,82,54.28045558458708,60,99.77337745811202
w,90,77.7299823606679,74,5.173422439854836
u,80,33.56039680774002,43,39.016217019964984
m,6,46.201563399179456,16,3.842127066567569
a,38,36.16406552272026,34,2.2338126036500205
b,20,1.0913771776417502,2,38.023664189394815
t,42,92.74125743347332,28,39.957949524557826
m,52,52.436568745413666,59,47.36418462697337
q,56,84.0176911531554,57,71.17924787827992
b,69,4.609291385751069,96,38.361973066290304
n,63,89.30119996328678,18,35.254566346130915
z,35,47.405093915116105,100,71.38912037553973
s,4,10.234156136092732,1,51.465760336049
t,86,5.74973344501487,22,37.004797539378586
m,39,68.28931547809415,3,2.065833571858522
d,44,82.15553258877229,31,33.27642062775206
u,89,89.4297940080643,28,86.65584726997882
c,13,31.53029313628757,21,75.33202735922343
k,77,15.05088914931797,59,35.766937443303895
c,57,57.619177166217625,84,78.49670261844938
z,48,22.019897597008743,97,0.39983671600323234
c,38,81.24585439658946,61,32.783469650968236
k,88,26.993993516226965,60,95.8851239425033
b,37,82.82461888394222,26,67.0516201446567
t,91,26.118173224144137,79,15.283161060522122
n,38,10.79933481509121,83,42.52168538236268
j,34,50.08873198660597,33,5.8608320651415635
n,32,8.91725332201746,68,67.81809878081543
q,68,96.93820264352794,67,81.59935797738376
o,39,40.261982875771196,13,20.1159084357891
v,29,82.91140280930382,11,98.15417789769992
r,73,49.23652881652932,49,37.81855366283129
s,78,27.158276031461348,29,25.440872988312247
t,27,34.16764021163575,86,53.97922005056057
c,89,97.32659918672317,35,57.60585388595414
a,62,93.29700335061308,61,1.8826499386223605
e,3,85.44387732138404,82,73.8884070864211
j,58,86.00700297702473,20,78.51886956928492
w,45,94.83661805474867,17,39.070901164295336
k,79,0.812179239655475,84,21.997711918018258
l,31,68.99159696380492,46,87.25727309536545
p,79,18.310043364060956,95,30.636114737968335
o,39,92.80137986165956,69,58.65091875885441
d,17,13.707355055659932,33,82.94394795198588
h,98,22.453981462527615,11,58.975024390765704
n,68,41.039411548162754,5,91.18185998446862
v,77,30.232919591696692,92,92.41151131896324
b,82,88.3389646244577,87,10.288561353314375
x,16,96.59011116230631,83,52.23575439490897
e,71,32.37413737203638,25,33.85187271429441
g,43,51.77376136923678,67,34.40150842207116
n,77,46.45830017132777,25,24.1637406485677
m,16,56.639477896166035,56,81.50484670958457
u,53,71.69745998359701,67,23.288856661700752
d,77,61.735322036897486,76,44.81646069328592
d,22,43.06233830313003,19,50.066733756074235
v,73,26.22203398887242,27,47.148390834155016
p,26,52.85796789884236,62,48.788672474772675
q,64,26.20016977854458,11,28.507387431933207
b,17,6.768686194238893,54,78.3983413746707
a,98,64.67257015729967,62,90.14255986676791
b,54,92.40365087816042,84,31.82085847218191
m,2,74.04285073507766,61,43.56373388680655
s,72,99.14737677774087,89,79.11998445455887
a,19,18.509117321540913,97,34.173163030741996
w,34,18.771167546031663,6,69.93852227723151
t,51,66.34385889536492,0,74.60369822315472
r,1,17.534549087795458,9,89.83113974080932
q,55,82.89588078971826,12,47.72590687095357
q,55,58.69991230257112,9,10.85083469491357
d,56,31.843996427531906,34,25.0716269511677
p,36,59.8448192717861,2,95.55590206372776
h,80,2.580328725677239,56,0.8177003674523897
t,62,70.02985223095985,59,96.01868074517235
v,86,94.85369036710324,22,94.82546424004128
h,66,69.9301069508617,32,18.060894667547423
v,35,15.042208957490477,99,70.48809218985058
p,7,5.0025819057080145,56,7.780384741836399
f,33,9.854375768952128,34,22.812346860379595
p,42,92.89358835641337,53,42.93133727547402
a,3,70.69072877503991,3,40.37786345875555
p,39,32.46947392426417,91,16.570271213999675
b,26,63.324310168975664,50,20.70080968734107
w,11,17.594547264420935,3,29.70430229948238
j,45,82.14431765948733,29,57.36470316881246
g,81,35.69859465929973,98,62.35470984455328
y,34,70.09556964408908,28,4.039976656575417
w,37,86.31842021722916,74,35.24028004723555
n,52,96.87455932710972,11,54.466217389885685
v,63,31.70258241052496,33,54.053452232871194
z,1,79.63034990951876,7,45.80861430040183
g,33,39.26064457308952,53,79.22407779266821
f,74,64.64946741420822,68,67.58123151904304
g,8,91.92008283828058,35,50.80265632140883
m,78,89.83257021163855,39,21.45359988396567
c,100,12.066558330625554,49,20.685951330588203
d,53,35.86451679741421,61,91.94279907048549
g,22,69.51732772173813,82,79.87951878085511
l,33,74.54120620425591,27,86.39871950917679
c,88,43.826229301047924,62,35.76687914154946
i,100,72.45679435311695,73,6.681477420694071
x,8,58.49314076259154,100,92.12986988568397
l,4,15.54107195463088,49,1.515319288978334
