X,Y,M,T,B
l,78,5.74766516992653,45,13.386880059331062
f,10,85.2146011246675,48,2.8072927740681486
v,36,69.79094143297895,63,68.95613906814573
l,58,43.68277541238942,17,93.73840969839958
v,69,56.05115524865728,50,80.62049732223733
d,79,3.9264938499141366,42,34.841171456164766
g,68,11.114736922299128,52,0.5404291184931687
g,78,10.551093343002938,59,66.26271272832317
n,66,44.39654726490298,57,18.224692393548015
s,2,55.48677207233267,81,8.33068677557951
e,61,53.33413392818503,99,41.332822205783216
n,95,64.12824993750968,1,33.7406130078739
u,81,22.999164452652344,38,9.28955522988133
e,88,87.6993530596184,39,81.43353182595679
t,23,97.17362317055684,70,3.9097907312148017
m,15,1.7624094905802412,20,72.40961720504966
s,25,13.1754636787093,0,39.45842347796581
m,2,67.24629690667297,30,97.4663428519678
h,69,25.96492034051957,40,54.729276601045285
s,49,84.72366296343719,29,78.1601854910833
c,88,3.478655364723837,32,54.03343200178126
c,74,18.104539576431446,34,76.2795540906837
p,43,80.15836927755039,9,93.60289319612163
m,33,34.64595557706357,11,70.33571090775652
q,53,45.065264329886844,100,94.4609586152267
j,46,20.275017216006063,52,39.41480843031718
p,16,79.89921481665051,54,38.01364955451262
b,12,67.75489363376713,44,85.31614028845578
e,14,58.65617574090158,17,13.578573207376055
r,5,0.2769346563455177,100,85.38288200567024
g,28,77.28738194856483,68,42.90772358484699
l,80,2.1185719689157834,83,48.095270788229364
m,85,44.7480360830364,53,80.33349690806826
y,29,18.64227845859342,42,81.11058904978556
i,91,55.45454197998754,76,47.068091834615785
b,59,44.93675151244669,20,97.71049247127061
x,95,41.68322943639371,64,66.44738639832592
a,37,11.401688183979308,79,94.23928081158857
r,49,7.275546810699074,41,84.18861281395226
p,19,83.73456610111926,83,38.46681822845793
z,65,42.52980329132294,25,34.000599900648524
n,36,5.262297129695193,92,70.80662792290377
x,38,24.190243292368695,18,75.3542705716742
x,74,1.9328074327454092,80,20.613748409038756
t,26,4.828466528493747,0,86.0499893036742
r,40,91.81887172534088,86,28.67227351697594
h,64,3.355922483423457,82,52.9479273516829
j,21,50.65026135356673,10,10.500132654985617
r,62,2.580747939299821,63,88.38080104973953
g,76,64.77976175183375,14,2.166303245711665
o,26,19.080751221115243,81,94.76268756391428
x,22,81.10175763461635,32,23.999022861893838
s,31,23.021602105003836,54,60.66852154792659
i,16,13.64002586187355,1,41.668072552277515
j,32,92.99242301134895,30,20.363396121657097
r,51,99.47492845536992,98,66.04837045553172
n,83,29.64431350559963,27,47.14506927573093
n,4,20.578597018326295,89,47.59015009870031
p,50,37.542301987515906,8,33.17812315236793
s,42,81.56188634819138,14,31.299666637753564
b,68,7.663044346774505,64,33.951871175584536
p,91,48.520006578649635,100,47.54157305922463
z,4,51.920614928980434,56,71.42998810784465
t,67,65.27219679900726,39,6.8492210419862865
w,23,38.36456186253906,44,67.3334034407415
s,64,2.8681639193656627,24,45.37608743838483
v,78,31.846833129158515,20,87.78479396556301
t,90,88.22081429393401,99,7.61567867602716
f,55,89.7714969682918,69,42.043746909270375
s,49,60.7616730405004,59,42.88640942603353
h,32,67.98827317836903,83,88.57032605211828
q,93,88.48860731880993,58,20.857910147458767
b,7,92.59062898120727,27,38.29418971797555
d,44,78.28073190393232,53,44.57217599406598
p,7,93.84703362232112,81,28.509760727666034
e,17,58.02011034747749,78,29.459104130055803
u,21,35.482487048117385,88,16.850456856580664
g,48,99.86783720831279,59,35.02581568639219
b,29,24.779585727540464,93,44.54570057179858
m,54,6.723422530489909,99,95.22961477852029
y,47,82.24156693265115,2,85.1213009041999
n,72,45.87392824202033,57,87.92747850748259
p,43,95.62465950272755,88,55.280255797363445
y,14,22.53661674497326,90,47.14405820894729
s,3,48.99101317559118,20,79.71277661898071
q,99,81.62544267440403,48,46.4976146882066
f,54,7.5165460772822374,42,25.99217403266987
x,37,67.47616980113459,67,18.65710603807954
y,44,7.893270241103034,81,90.78993141550188
h,16,86.24801565637698,20,7.951729376306494
p,100,90.70318613519325,70,87.87319937838518
w,26,20.908100246339245,83,67.23259168942425
m,65,39.52281542136521,62,99.10046329071716
w,92,34.16639572583837,14,16.814099962206065
y,97,46.498818378948904,88,13.0704889487126
p,21,88.2979162695478,51,24.82390294578779
s,42,86.9587752991056,42,93.59131194211288
g,15,66.83397632535822,81,26.584581088111104
f,68,25.689296762825244,66,27.201902060427287
e,66,79.04128822951186,37,27.869641223506893
s,47,1.8068964019078315,95,44.686347980167675
c,15,87.91971329256607,6,75.56178997775169
b,70,51.13054092602754,53,71.52152704377671
y,69,84.72262767502757,96,18.140139763955844
u,100,95.78339550875505,87,90.76805364318231
j,57,81.45889314066066,48,26.179377850398843
l,92,99.77593684700243,66,88.14826254373904
i,72,86.82827183121181,80,82.56057669303901
c,67,78.52707739119423,42,87.30436528544965
f,8,1.1255842216640555,83,45.308255656589935
q,7,47.13919218514141,29,12.312696757649222
a,9,97.32310389471097,60,79.53776508529415
q,18,30.571502774111302,77,20.893785392746256
x,5,90.1816913266772,40,73.42753316740279
l,26,90.3387372338194,100,29.707917411262073
o,71,30.082200737211974,27,70.17615119763593
n,39,40.62804404522456,24,83.28146228944061
z,92,5.6281698590866736,59,19.98527504848038
q,40,48.59148050188041,61,69.77361170165294
t,45,85.78326793948693,11,74.12733459102031
h,1,35.32528745997169,46,2.122222999043799
g,76,12.013657372702513,14,36.125115555698784
s,78,32.511646229155346,69,98.68513058930876
e,81,68.51314488787646,0,51.873030810000905
v,4,74.96077503452699,33,32.30967891871944
b,87,10.559050950723247,30,52.14454194097446
p,33,15.227898714874588,95,50.36733421422126
x,41,20.13379648928526,69,13.544948734469475
s,26,77.52823814449087,67,73.85669767926622
j,57,78.39228832444697,98,7.551485498867461
x,54,18.68786263923289,21,83.71733978973705
p,22,64.88140691115008,39,53.73801548069185
o,19,21.233639136690773,65,82.07160091517173
f,64,37.683127919283464,78,57.08122048463816
c,4,1.5016960824437597,5,83.59543880915335
u,12,58.88791319247695,6,48.841151735450715
n,66,17.35090572250183,68,5.063052450586413
g,51,36.44590275709386,10,50.459071991988594
h,14,45.11693821148954,95,31.075512741851675
i,61,9.651927403905347,33,1.9896742181202187
f,8,17.952899222843232,88,35.69756018081321
y,96,18.454568524857706,19,37.862079960068286
a,22,99.02364980829059,70,65.92425379892197
y,61,22.23441989599042,44,60.56485917430848
c,25,33.5727614539372,79,47.27819694026102
h,43,54.116432751840016,1,25.469982896795816
c,44,44.2608463799118,71,82.0236238393516
j,19,84.5851143579911,4,73.92519496297129
j,79,24.60395947854326,22,42.605543598101534
d,36,95.05270580611905,50,80.11616432985902
a,32,79.28814781825868,27,77.09971959009722
o,83,28.48192790656805,73,80.31123641270254
l,84,76.31162824110153,29,65.31455265830715
d,89,21.780810734145362,100,43.94743418366257
g,85,6.69226009167928,54,69.36633774448583
h,30,35.74790858931286,90,21.634367445821834
g,47,44.80597846881338,20,74.4062369615838
p,51,99.75088466421764,69,68.87101743535841
p,53,62.53980988276558,92,8.739638586732934
j,81,13.525844814592292,84,76.21357820763002
n,48,25.701855500284342,88,27.737667652148733
s,15,40.04395866210137,13,14.820824784567044
c,38,82.2774553596115,85,57.10149018416807
a,10,37.5200003049069,19,95.85810253580091
k,23,55.72838471799528,52,80.67924536530992
h,9,29.387141583578934,40,64.50200939311343
p,96,18.186222026620147,58,99.97858849540022
j,83,96.37903318480544,10,67.0983568976534
q,69,8.276395572555495,75,98.91825344302823
u,58,57.252609693058496,53,41.959541486929176
u,84,18.854612564115346,13,81.88749615178772
x,73,35.45969333625724,72,36.57683031389421
l,47,88.8893150853689,5,66.92921410823006
o,60,50.83644741886999,25,92.91518294289946
l,56,86.2200948081282,70,1.756559031541527
b,2,70.54448695017653,32,35.28123223615667
b,10,37.99515127335461,9,48.542090658519
a,64,9.40070224111823,15,0.026338093668221152
u,20,22.590647715183398,73,77.25022819269526
k,96,19.75345007775052,87,36.578750656148785
w,46,37.88177973362091,23,27.604167364317888
f,66,57.741412336191544,49,24.14370018745754
q,43,74.50446713530671,84,5.786978480107274
i,66,84.630934633249,66,20.216284995775034
a,43,16.538841065401634,27,55.61784241024227
o,74,48.772949778120434,14,50.85748898111302
w,88,47.191772487995834,29,48.685944367547485
i,56,18.67602748590469,4,17.92877212804368
j,96,88.85265935704044,34,32.308560191974514
o,36,23.980659712520968,62,36.53933062504473
u,86,90.79601813535811,87,75.01434604494214
m,59,47.810008784607014,18,90.12919638329126
c,99,18.513676995646676,8,28.209137529367613
i,65,39.80610408473634,95,61.12654591279958
d,33,51.256401171842384,32,44.02347483710728
q,87,0.2459704806617946,28,10.009697757764169
z,63,92.9809577875492,85,59.58298569092172
b,67,86.82914439281862,31,62.0235439468234
v,64,12.189025885145677,94,63.79472415064982
q,88,4.657283118991495,72,86.75670673810589
z,55,21.824807566705605,91,62.510691264147546
r,37,89.96426602018907,26,45.31554122490588
l,66,20.729276923457718,2,16.184655442057363
l,9,20.18927972202623,49,71.45247261630625
n,15,56.233368205839284,57,4.494967050469723
m,51,69.34935026331239,17,45.46366120637613
v,41,33.35211868760473,67,13.454408095050752
v,53,42.41913019214294,6,0.566750857416054
b,33,46.689846516554866,69,5.130365186030428
u,11,2.099287017444673,69,81.50159267089528
c,54,69.47634295585013,78,60.31092658455967
u,97,35.4737339937545,38,63.9889716011932
a,76,94.84608196545291,26,0.6037576654936649
z,6,19.337777053455728,32,97.53618632812594
f,35,65.84978507860122,98,56.80897062463589
x,7,78.19846902823943,48,30.353765692031885
r,30,57.873814181178076,24,16.155642794040737
s,80,36.639439894554634,77,24.322296150684288
v,47,29.49716825903418,81,87.77116524700286
i,32,55.3929613182068,17,52.53122420281001
l,81,29.87972819961374,37,48.68766395785212
n,50,84.12191989248079,15,26.872137970580077
x,3,7.308476754740312,32,75.91166873318497
v,15,98.70276710599023,93,5.822050499630915
v,14,50.99502446306757,21,31.446854106849862
a,4,32.59020111236365,18,88.49893446588592
n,30,54.20408990405815,41,48.51946158393218
g,54,35.945754029365254,75,76.91896992079342
a,61,41.55464538871557,56,60.924857548169264
n,94,1.0913501885960075,2,15.918047414793069
k,34,23.10279490322582,8,13.961061152307586
k,58,0.6006280666051911,68,49.24484093484022
i,44,66.18029453575419,96,94.26281433855503
w,43,50.24181439313835,73,53.02523881494749
j,36,41.415366254427845,23,84.3684142602237
f,4,40.53143899728532,4,82.79253468450489
i,80,67.55015534394515,34,11.21663992915839
x,64,9.585535241921816,42,33.28407220713234
k,19,40.03728977462247,16,79.5210641468296
w,22,73.00369303380589,34,33.824290358471856
m,38,39.10643621387659,29,15.516756477846737
h,26,73.19710825334718,57,22.68212143770495
v,88,25.85500407467266,36,42.810359805397304
v,36,31.731882440173397,19,89.27845557246039
t,4,96.80639861132444,46,75.54674917403716
y,64,12.774167543531444,96,80.21727274119617
a,83,44.63770275365211,83,33.398997634689884
f,81,73.86341002129848,48,3.859334631945477
r,41,4.218589582465738,51,66.62243286289035
n,87,94.16228692346759,68,66.89199558238738
w,45,25.38514877643985,37,57.24696618696865
u,69,69.55697510453194,4,59.29910980291797
p,60,93.32924103320123,22,14.661837577370063
z,87,9.348513876179199,54,72.73576473225543
x,40,99.25986036336695,65,99.21685782780085
a,0,1.918626121350342,63,61.43620432532679
i,53,10.808545975669048,24,15.794511122881861
i,96,0.026221656022673567,5,91.45135226121887
z,46,38.206618782314,64,79.71821805612036
l,84,43.65631583400147,64,6.819715648982749
v,16,68.7796743550892,22,84.75974389733527
e,32,94.80550437099902,80,53.1151812677612
c,76,3.5340578384488563,37,54.11334915321343
o,35,19.412426840555586,55,67.59500229855476
c,58,76.35811072255353,84,66.73020796432347
f,97,71.17779464181308,72,68.52224765090446
u,16,92.07187079747636,90,24.446075564740088
r,50,8.93236346527181,77,91.00458009428246
w,53,18.62097118691223,58,3.3464497624184686
d,36,33.66147013401965,62,65.57933241724399
e,96,39.7198159472899,38,1.830060536997924
y,23,70.2294637076852,0,10.23212934718054
k,26,35.58033682286587,53,89.10030289669047
o,60,64.40126976317309,89,55.87636589679548
x,41,7.0490571347124,65,53.6089154321351
w,1,84.33427775615608,76,45.21606423500333
o,84,98.57322149519678,16,42.272078291600145
y,82,64.83518640359435,50,39.75649429320518
c,87,26.190062523623403,1,16.77380760273013
x,68,62.10568127033286,92,7.028721320021192
u,100,46.742723935575135,0,38.401734224614316
j,95,89.95006676106259,29,99.09323961390682
v,61,58.26666896812745,56,33.22472488896974
m,95,43.27043341251251,41,80.11332913045972
w,20,43.36072267471057,83,34.880357845081555
b,26,14.585590399889348,55,30.293148115876345
j,52,83.11722523106899,18,29.3679885573343
v,1,65.11038370843568,2,71.16255789994011
c,99,74.86104128539512,64,73.05792697686671
c,64,67.34703546117731,45,93.74039797227952
h,30,40.30182881093584,61,59.13132874744746
s,24,3.907521282956472,14,28.96785027417935
q,43,72.50296248347891,43,94.62607506494194
g,77,58.12879258610071,8,75.62382378403126
r,58,22.557683088274693,76,96.57490186374777
f,4,24.88797922228908,43,58.53226225814231
w,58,66.3162696730801,43,50.134429497408775
b,1,3.983951379578299,97,65.7130106764197
w,57,23.46705677398545,92,73.1500979817112
g,100,31.944294578589695,26,86.41876339634203
d,76,86.8833093171239,90,33.29099495675003
n,34,48.470336211403456,15,58.087468122073915
r,70,50.11525345981672,20,22.978389299068645
m,38,65.29816805186663,95,4.150784028420129
p,65,34.82983980844844,83,53.19444352212729
s,16,72.93276474321186,12,43.317534238602384
m,41,65.24259423589316,12,92.83183501086613
b,5,0.48717678495499017,25,53.31450011418747
t,75,46.39344997897198,47,86.11856603067984
j,49,29.787177848210412,62,38.507548804409616
x,55,0.10512336825506674,82,4.07819926125198
u,70,31.474678752638386,89,38.23415298369035
c,25,74.38786312007325,37,27.86415228790553
h,81,9.733607904238784,61,26.322618719449498
x,6,61.523309677651504,60,0.4745369524722265
x,3,28.22747476023335,33,28.352344366042015
q,56,55.68852727383556,70,30.590044413589258
y,27,68.36120657675764,36,57.07443574489023
s,47,2.382091821104193,53,69.17199833088212
b,52,45.25596781153318,42,48.352453471540834
f,78,34.733752239937566,94,91.71937205425621
n,22,89.28285093668545,48,6.9523851339574065
s,43,43.51582844812521,32,53.90597907519129
a,49,74.55560700311945,80,21.609210421526047
n,83,50.69769077436275,74,8.352744142375279
t,65,8.560904904399091,93,85.11018946734097
n,64,73.30913799008412,55,34.10129926385955
e,82,69.44525409905057,78,26.26807020801678
k,81,90.4931265806892,29,21.407132660699414
t,53,69.5701045614745,80,42.54046716344965
j,83,97.20341815937026,64,69.90408664693297
k,21,8.257925195678018,30,72.01055825168628
n,58,84.76247213803497,55,51.911152733471525
m,85,73.07926220834729,25,33.048294173239434
w,3,42.72115510688307,18,0.42914102069058213
p,62,62.06922595168044,25,29.285524795269204
t,58,0.8873385422038305,63,32.439419018442905
f,18,48.94791772860191,10,75.32204937892234
w,12,61.149174064175305,31,34.05759522114785
j,43,21.58413083599491,54,75.66156480012451
q,70,41.125007424667025,23,87.6950074910113
u,13,28.13280439569811,76,57.55665068729658
t,64,83.5839552840823,10,63.19881268690679
u,10,67.87382616135805,64,1.1553380805952917
b,85,53.0468911385878,77,13.5418578527444
b,52,68.54954761534817,25,27.648400480935475
i,71,28.643478107723563,61,76.80426782593767
q,9,39.55060678381591,69,66.51192554193298
h,33,91.58666482585939,81,31.764611991961544
q,14,66.81565177164909,91,35.958016533550044
n,92,41.91594274065862,99,85.38925731710037
d,83,51.5041574805822,64,22.197001992763077
r,79,65.8753489249238,16,6.129934690964667
x,65,69.6481454811557,89,47.16913669376363
o,65,87.0592011025313,33,69.62321399310056
x,23,71.42959557571422,89,94.3428539965723
c,90,6.070102179124759,20,77.48920265642734
k,5,50.88242118110977,13,87.65913304686671
c,28,88.76709710870429,34,46.21350644104179
c,57,54.80375936698052,64,7.980829658558974
u,59,65.74188509522857,92,4.228803570924011
k,71,71.82506190331935,23,56.49781470406191
k,40,83.79165169699196,26,71.7669365349973
c,19,5.744881539350832,54,78.12331990023247
j,77,64.71729033323467,19,56.87421229080388
p,41,76.6145588706923,64,75.1365438289224
p,66,15.506530923357442,19,41.0376142577206
f,61,43.08935495320204,41,9.382184911963476
f,100,3.6034567744558488,82,34.71562080069882
e,23,53.26420105196914,20,45.48632004630041
z,89,22.18677739220042,10,27.843000237709138
k,39,89.45203996271336,79,93.9905801015018
j,64,34.97860559377547,92,52.9664866323694
b,100,97.87434842769002,54,37.715955984463854
e,90,77.25453029674402,85,54.22790968786643
b,30,24.559748950693418,12,77.97449921160784
r,84,34.468523686502806,77,3.352844009163536
d,7,24.61293839783756,16,4.683911146475261
x,11,40.13678258055783,36,94.09898340337675
f,30,32.723048090611194,29,55.51919437936882
i,35,45.554951393803,28,5.620231942123654
a,96,97.09385484658932,52,50.491945536549586
r,62,13.716800859152379,75,10.88572350560385
s,90,23.594128599801234,82,60.601128985903244
f,39,83.18784568566065,94,55.352084096931705
x,42,88.7443984548892,78,13.176415447827939
o,18,99.09963508318307,26,4.4987975373377616
d,56,59.33844397586113,56,49.460350138615375
f,8,44.46297819927945,20,13.542385727048956
l,93,28.874154026499742,25,62.98644409965883
l,36,47.09435868432238,55,47.738658009789205
t,23,96.63088326164447,24,89.44618338774035
f,82,35.78975158117773,80,19.760193768196277
r,9,66.31282740564237,76,66.55528227200837
t,83,69.829093083205,14,55.74422085225421
y,13,48.06873096028051,74,73.36206392623205
w,5,39.78600763178284,36,95.70606276704257
t,57,95.25054941777738,98,47.14659682117106
v,40,77.25455445508949,24,98.82692433830779
p,62,68.31577030181013,0,88.41297732365774
m,40,90.03452026446435,13,69.59449071961481
d,61,95.63969628145163,81,80.07205835912026
x,21,89.46987017226195,86,97.47606011567652
b,33,24.962458376295395,62,39.89549963711709
v,56,80.27552498584204,65,91.69687746994097
h,3,67.9162557630013,76,10.094861693306278
d,90,90.90351892009654,92,90.78559409172873
e,28,58.67002091223568,75,0.784749128858564
b,20,5.753163024454877,40,93.47238074756395
x,91,79.81212738209238,84,1.3824494973685986
k,24,4.185049804931673,50,80.51629784241062
m,90,20.691700763766928,66,35.56052848405198
z,98,16.47523755754089,58,99.29303541924439
a,94,77.06517830000385,63,11.45300159185224
y,20,62.50980910760377,45,54.26948186782372
f,33,19.195949153912473,77,86.66020572653689
t,58,30.776770157722012,4,28.852446199230386
w,70,58.96118108150012,5,35.990716022938464
b,53,81.03614799203208,0,68.60296184342451
t,1,26.619485412105192,72,33.023317966479816
t,9,37.577195172764746,52,45.73934231340703
v,98,22.769503370865696,22,27.765121834734096
r,90,59.56107065666198,54,84.32694433995344
l,94,61.84223114593339,64,14.329260867982685
i,93,11.234376417007319,9,56.12780033244024
t,57,15.95293904271461,81,49.717141073896066
p,37,52.60627290743366,83,39.00877211023849
u,48,97.53131698860386,73,2.7912636816289527
v,14,41.887270009424206,47,40.08865021612651
a,55,78.35703412548705,74,12.88713364488654
s,93,28.722673847271373,90,22.513166502046055
r,50,65.58213090913594,9,30.78021948445695
i,22,58.956165259032666,97,14.718360636632022
a,23,3.6924273375615546,18,55.853037700846016
j,75,64.82400757849656,34,3.7267460735558977
m,73,74.65561628655738,86,95.46405149372664
s,88,15.905172296069148,45,73.66900904467819
c,40,40.743850166229954,29,1.6897616969734686
x,4,45.6978534784521,80,13.779600715506291
r,51,72.71297877551183,57,74.55192666752166
e,7,80.95890306025264,33,82.88061912332478
g,74,26.514226277991593,11,73.56094428168853
j,81,45.684527182251635,93,12.30265533263556
x,66,61.02266829675366,79,91.77825660681268
h,54,21.455917389430436,69,26.240119273371754
k,42,34.4068469545479,75,31.406693552232834
a,76,13.682149669678878,52,37.67987409430044
t,51,85.27141962017585,16,14.952850074018642
l,90,82.45851871208096,77,9.626020108140521
b,27,26.314613961111576,79,94.9861534653587
m,64,71.27481158758977,79,10.488663096925476
k,13,34.284923169134,77,98.39973493795206
y,93,58.78417961294503,20,49.40291376036156
l,19,23.03652544467345,87,42.35180060755936
f,9,18.47493176283811,31,25.176745819119795
n,22,99.8378765027975,32,65.38586316963453
b,80,37.28216989305609,29,84.6090357751677
k,3,4.317356547602291,38,16.6115352348687
p,64,53.60657117209849,98,11.47651514075344
u,83,84.24915035623445,23,11.137986536161959
a,11,73.22689318294432,1,46.67499780448981
h,21,23.64117965734225,68,99.91047847198176
q,9,69.62613086896114,35,2.8653045225568885
h,16,87.65528775547381,30,6.640566125008974
n,12,7.424226909537401,83,5.629630895526027
y,27,42.71731603763376,0,18.365974141482322
n,9,20.78112018041285,32,64.87965090957249
e,61,38.23598522671967,6,24.353257525752813
d,35,92.14672888990533,40,22.522984072272944
g,47,58.91061124107067,21,3.172688353952835
i,96,14.404316796448724,42,55.203049247743905
b,9,30.015894560893308,67,28.67762013372779
y,94,46.27193870594263,5,70.97915103272624
z,41,91.0848901975929,6,76.20224630142523
x,81,15.556051441037333,2,80.80929801570635
f,4,98.77363559944541,37,13.901642055715623
p,38,99.78898254775011,3,29.898182930877514
j,81,72.27649820133784,30,4.709093353204585
h,40,40.39872955227172,78,73.55598780153734
a,83,78.81211619367294,48,38.43283049048409
e,4,9.700270954274936,50,38.537655185075806
d,26,32.85774826536585,25,33.8875285497912
s,42,61.920918059984196,39,32.85661778724243
z,39,4.951351754275057,75,63.180020216464484
k,45,40.63569452350916,87,6.497655636612976
l,92,44.777682763236626,53,97.742867266074
o,27,30.37489941015411,81,10.495306684043637
u,91,98.93503632367499,56,8.87171484865611
h,60,31.712635150182223,78,35.68786295835417
z,25,61.978047131762395,14,40.12348753129669
z,61,40.741153925464516,96,84.15086622540105
y,86,24.507847479259816,30,93.08709474916306
a,94,82.31480670628885,15,56.2029423510076
j,24,2.3885576767107564,59,28.5218769641996
k,16,29.487232126857176,71,7.8791163347856745
z,47,53.04549361844026,50,56.49727944798993
c,27,33.88600908749129,5,52.05543066614522
p,94,44.59477240322417,38,54.30313331469602
s,90,58.56122932021472,43,13.5236406863511
q,10,20.241008694369043,96,23.55695725777237
f,63,66.80413590826365,65,39.250712610447906
b,12,77.90188612672888,77,37.46310510745594
s,10,9.241283384020305,39,8.123227328261928
e,29,41.81194846076538,41,14.817457898675668
d,29,45.841290452904495,16,5.058588918447882
j,88,18.428779618922185,79,71.77121503909788
m,66,72.01292925999324,67,86.72436081619769
p,7,5.524215312646474,14,35.219942509419056
h,20,21.93444545579005,70,15.15477470083847
a,33,21.389740362963305,39,28.54892806810416
y,72,2.806075591248003,18,84.21936881611339
p,21,40.1299854947295,82,31.883557980468492
p,53,91.19291435949258,66,85.06379746978473
d,13,33.65311361912748,80,86.11067623221183
d,2,35.43242936702493,65,38.835571538110536
j,47,11.397703252583756,67,8.454176236958777
v,54,25.219862401206683,48,46.64957712211475
m,74,69.92336527325224,95,18.005249055080252
t,29,30.82913242007521,33,64.01042764537107
t,52,76.04727674214318,45,7.185176156351492
u,21,44.081001618894646,53,60.30524332084958
e,100,3.5770677429458275,11,30.91066514611106
z,85,36.70707741947638,37,54.34245827625088
v,5,85.19498625684241,23,41.71811501278492
c,6,25.121806292586278,82,86.68318278135024
q,39,40.35800931584692,9,81.91370376616956
e,40,97.33605964909742,0,10.88123952134865
d,9,81.87121298948851,97,47.655340538233105
i,76,78.42778074575686,73,45.088399583158676
j,88,19.13181477592907,14,31.59661864861253
h,20,27.14234453924167,34,11.222122260014233
y,95,13.288623244048148,14,43.08697576605726
o,6,7.688344661148905,8,42.02265132733828
t,0,47.60917536276498,67,78.86439602084752
m,39,87.397195385518,82,50.20628888491917
a,65,16.03781054163653,55,58.41049622934121
f,93,95.9201212456425,87,85.4073802461254
c,83,4.23167876900502,40,45.43081122667088
t,94,15.523837917731997,19,26.998624934777236
h,51,13.247629922490866,98,57.56798725190485
j,16,84.73143403317573,89,6.288006450373418
n,36,89.81076714618222,77,7.68245412796118
x,84,87.43491469226439,64,90.76754167646142
t,51,75.9412870422008,88,3.821494580702922
b,60,50.61608278574179,70,39.20765741415081
g,53,89.53405771376379,52,56.187281747316845
r,43,88.24234801103695,68,63.74882654169433
t,97,56.15780377598587,89,85.17774627226449
z,30,49.873194398500665,39,70.96242397401488
s,6,14.824208562181552,98,83.33705623558811
c,11,85.04636998679163,73,58.42534075897825
w,53,34.89107510598666,91,24.297382561025348
e,93,54.01486376959531,12,31.59128702188734
a,84,81.93912361070217,68,75.0110688063253
u,96,67.32030059606643,79,50.78721609886907
o,20,12.64558295806073,41,44.285884713562986
j,58,64.46709223250123,89,58.826511286846994
z,55,10.374704882643904,38,88.37732545021602
u,11,54.278718256498124,49,72.24043762281069
z,74,54.46108530196794,26,39.904908423543894
a,32,33.38651191864216,52,16.337353487862792
q,98,69.44108286887925,90,88.55002618087623
q,28,38.23883349099039,15,60.78046122274985
d,65,32.58134749302777,74,47.7653160855691
f,40,65.29288652958257,20,56.89608417549098
l,12,84.80475044589645,83,82.2964682207051
y,34,74.12665230402017,89,26.635688870110585
h,12,55.2480175070854,86,55.958649114010186
x,16,55.86571595630454,42,59.59793551211875
f,97,29.137932772130025,10,3.4475765266165914
q,80,74.47373246396035,28,24.18030168423546
e,30,42.14244956035071,35,84.71462845152632
a,90,55.622776050664015,98,17.82026625523948
s,71,38.530864663925435,31,40.41702209501845
n,56,48.261843581614606,75,64.27523752903063
y,40,79.40267772965983,63,36.29201142913089
n,43,97.7287246146467,79,10.204798942944315
j,60,29.93041212345472,30,32.272134699263255
p,20,24.743982135677058,46,62.4529178031851
b,89,30.66007558235011,91,52.392933444274426
b,51,72.62448520176069,11,68.59401072028086
l,88,75.77628807704954,70,83.12440605018682
d,66,61.85035528261995,10,37.15766510330073
k,47,34.463497597906446,59,92.76726314061284
s,80,37.74555307741182,30,4.597504149552201
a,31,1.8487637900157616,95,75.92852909549761
s,29,68.00556086674288,36,79.63596724230274
z,90,0.4764208317488805,1,80.33134724316227
x,25,15.467981914710649,64,31.756356016354857
s,80,72.65980526617423,84,84.56426862018259
j,89,4.3371709736567565,29,94.91940577029133
s,49,42.01446878189249,79,71.30612518835527
v,100,18.042769287347603,48,37.2612012396913
q,3,86.98077684144093,41,74.67606649231924
g,20,14.327359041898491,94,25.756098223576863
u,27,3.254618763690531,62,96.95956627945495
z,16,11.245287299551865,99,66.41009003356878
z,47,95.04717663412134,95,91.66188837184538
d,38,82.08655673961258,6,89.79429102853106
b,1,30.907230827383515,79,11.940646630200336
a,79,4.081011335531947,48,50.555957101858084
z,81,99.76749621414946,36,70.18389338947333
y,27,53.216939838486034,50,30.806463019048802
g,57,4.586598406606479,17,86.26659285170753
j,96,52.73964327819147,52,73.73848970793382
w,32,50.00877410167166,56,39.86590115897113
g,31,59.70081793775543,37,17.344405246625616
j,52,61.27798018168179,55,46.535522467238586
x,94,59.39597107583826,28,18.73086063818079
q,49,5.362648577362494,82,92.0492393326505
y,37,39.66075958805797,10,62.48582027448665
t,32,52.351118942727226,43,57.31256974211222
q,8,75.66872360428877,2,62.04814765755108
g,68,6.440158982827027,87,44.526101358996954
w,33,35.839967883734545,21,62.43873841329264
y,100,12.55976317287616,64,79.42036811991984
i,83,14.90788785902215,28,2.7959183550745115
y,19,0.46000129339253126,70,28.18362956020254
q,60,40.96484025429292,67,4.839521123138557
j,39,13.230028404372751,20,93.52878878757002
r,54,6.711827042956076,34,69.2943423212583
t,90,76.64066631981838,48,72.86579795713297
j,46,17.643057233249436,96,13.548389256125182
o,98,55.60690381908395,1,39.08232254209266
a,40,77.92233734096726,93,17.499733622445156
q,2,93.25586961153542,30,98.46591385122221
l,86,67.69457760058053,67,94.37056299373451
c,95,55.60402477126577,27,76.53662054322463
y,89,87.94557392510339,72,67.80137405570595
k,97,10.819983340317407,50,42.08453769124733
r,49,67.06303552301922,2,25.22090384918778
u,20,40.78987854282493,90,77.48956435605162
p,49,41.87703918280297,83,88.03007210881786
p,53,97.25191865511805,54,45.745872553390576
